gisco_id,name,registered,turnout,invalid,blank,SPD,CDU,CSU,Grüne,FDP,Linke,PRO,REP,HEIMAT,Tierschutzpartei,Graue,PBC,Die Frauen,FAMILIE,BüSo,BP,DZP,Volksabstimmung,AGFG,APPD,MLPD,Die PARTEI,CM,DSU,HP,HW,STATT Partei,UNABHÄNGIGE,Others
DE_01001000,Flensburg,66970,49002,758,0,24261,16954,0,2729,1601,2312,0,0,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01002000,Kiel,177028,136375,2105,0,69487,43641,0,8553,4044,5747,0,0,1225,0,0,0,0,1573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01003000,Lübeck,164988,120580,2118,0,59557,41439,0,5144,4055,5005,0,0,1225,0,0,0,0,2037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01004000,Neumünster,61191,44386,871,0,21517,17030,0,1630,1602,0,0,0,783,0,0,0,0,953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051001,Albersdorf,2836,1907,38,0,663,936,0,39,109,65,0,0,24,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051002,Arkebek,197,136,5,0,44,70,0,3,7,4,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051003,Averlak,491,328,7,0,142,148,0,3,9,9,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051004,Bargenstedt,725,511,13,0,176,257,0,6,32,18,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051005,Barkenholm,158,124,2,0,54,54,0,5,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051006,Barlt,646,483,8,0,201,227,0,4,12,16,0,0,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051008,Bergewöhrden,27,25,0,0,4,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051010,Brickeln,153,105,2,0,22,65,0,4,4,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051011,Brunsbüttel,10874,8129,147,0,3703,3212,0,178,373,297,0,0,110,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051012,Buchholz,840,587,6,0,184,331,0,12,19,19,0,0,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051013,Büsum,3934,2579,47,0,917,1340,0,60,115,74,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051014,Büsumer Deichhausen,304,211,7,0,73,114,0,4,7,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051015,Bunsoh,664,489,10,0,159,261,0,18,23,11,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051016,Burg (Dithmarschen),3523,2231,49,0,865,1021,0,57,100,86,0,0,26,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
