gisco_id,name,registered,turnout,invalid,blank,CDU,SPD,Grüne,Linke,AfD,CSU,FDP,FW,PIRATEN,Tierschutzpartei,HEIMAT,FAMILIE,ÖDP,Die PARTEI,Volksabstimmung,BP,DKP,MLPD,SGP,TIERSCHUTZ hier!,Tierschutzallianz,Bündnis C,BIG,BGE,Die Direkte!,MERA25,III. Weg,Graue,Die Rechte,DVP,LIEBE,Die Frauen,WB,Menschliche Welt,NL,ÖkoLinX,PdH,PftT,Verjüngungsforschung,Volt
DE_09780122,Haldenwang,3017,2027,6,0,0,101,364,40,157,857.0,56,227,5,22,1,3,92,19,4,12,0,0,0,3,1,3,0,10,2,5,0,4,1,1,2,0,5,2,0,2,4,4,1,11
DE_09780123,Bad Hindelang,3915,2618,9,0,0,101,526,35,105,1270.0,63,312,6,20,2,15,48,21,2,32,0,0,0,6,3,3,0,2,2,7,1,4,1,2,1,2,2,2,0,3,3,2,1,4
DE_09780124,"Immenstadt i.Allgäu, St",10514,6315,27,0,0,477,1276,124,519,2360.0,171,747,27,78,9,16,160,80,6,39,2,1,0,9,17,9,7,24,1,19,1,16,3,2,5,9,12,10,1,5,8,11,6,21
DE_09780125,Lauben,2707,1694,6,0,0,107,274,31,145,673.0,65,211,6,14,0,7,40,32,1,16,0,1,0,3,0,0,0,28,2,3,0,4,0,2,1,2,4,0,0,1,3,2,2,8
DE_09780127,Missen-Wilhams,1137,734,1,0,0,31,103,11,34,190.0,16,268,1,8,1,2,39,9,2,4,0,0,0,0,0,1,2,2,0,0,0,4,0,0,0,1,0,0,0,0,0,2,1,1
DE_09780128,Oy-Mittelberg,3754,2517,8,0,0,99,468,45,152,1071.0,59,323,7,31,3,9,87,25,2,22,1,0,0,7,5,14,0,12,0,3,1,12,2,1,3,2,4,5,0,3,2,7,6,16
DE_09780131,Obermaiselstein,762,505,3,0,0,18,74,3,23,285.0,17,54,1,1,0,2,4,3,0,8,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,0
DE_09780132,Oberstaufen,5687,3611,12,0,0,157,601,46,246,1666.0,124,472,6,35,2,6,73,36,3,41,0,0,0,6,4,4,2,7,2,8,0,6,0,4,2,4,2,6,0,3,4,6,6,9
DE_09780133,Oberstdorf,7192,4526,11,0,0,275,781,43,266,2160.0,179,489,16,29,1,10,78,45,3,28,0,0,0,9,12,6,1,8,1,3,0,10,1,8,0,4,6,7,0,3,3,5,2,23
DE_09780134,Ofterschwang,1590,1005,1,0,0,46,211,19,82,418.0,36,126,3,5,1,4,17,11,0,6,0,0,0,2,0,0,0,0,0,2,0,4,1,1,0,0,0,0,0,1,0,1,1,6
