gisco_id,name,registered,turnout,invalid,blank,SPD,CDU,CSU,Grüne,FDP,PDS,REP,Graue,Tierschutzpartei,HEIMAT,ÖDP,PBC,Die Frauen,BP,FAMILIE,CM,BüSo,HP,DVP,AUFBRUCH,DZP,KPD,PRG,PRO
DE_16061089,Steinbach,460,374,7,0,66,237,0,15,21,18,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6
DE_16061091,Steinheuterode,236,179,1,0,63,76,0,3,11,18,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1
DE_16061092,Steinrode,469,344,3,0,171,100,0,6,16,36,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
DE_16061093,Stöckey,372,285,2,0,124,88,0,10,24,22,5,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,2
DE_16061094,Tastungen,223,169,1,0,68,54,0,8,16,16,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
DE_16061096,Thalwenden,309,238,2,0,80,103,0,4,16,22,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2
DE_16061097,Uder,2083,1462,23,0,435,737,0,32,106,97,8,3,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,12
DE_16061098,Volkerode,229,171,3,0,32,95,0,6,10,19,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1
DE_16061099,Vollenborn,218,178,2,0,27,121,0,6,8,9,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DE_16061101,Wachstedt,478,359,5,0,67,230,0,6,39,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5
DE_16061102,Wahlhausen,198,157,1,0,81,44,0,8,12,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_16061103,Wehnde,314,230,3,0,99,77,0,4,11,31,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
DE_16061104,Weißenborn-Lüderode,1213,870,17,0,197,495,0,40,59,40,0,3,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,6
DE_16061105,Wiesenfeld,204,156,8,0,56,56,0,6,11,11,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
DE_16061107,Wingerode,989,769,7,0,184,456,0,27,34,34,3,2,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,7
DE_16061108,Wintzingerode,497,351,3,0,131,107,0,10,13,68,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,10
DE_16061109,Worbis,4390,2921,29,0,1010,1019,0,95,201,394,24,5,0,14,82,0,0,0,0,0,0,0,0,0,0,0,0,48
DE_16061111,Wüstheuterode,498,392,15,0,100,221,0,7,15,25,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2
DE_16061112,Zwinge,358,250,10,0,149,51,0,7,20,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
DE_16061113,Schimberg,1930,1319,22,0,275,777,0,21,97,75,10,5,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,21
DE_16061114,Teistungen,1977,1400,20,0,354,774,0,24,100,102,4,3,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,6
DE_16061999,Briefwahl für mehrere Gemeinden,0,4486,19,0,1277,2255,0,187,324,280,16,9,0,13,83,0,0,0,0,0,0,0,0,0,0,0,0,23
DE_16062001,Auleben,940,563,14,0,226,186,0,15,29,73,4,3,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,5
DE_16062002,Bleicherode,5639,3603,59,0,1571,858,0,128,187,683,16,8,0,31,6,0,0,0,0,0,0,0,0,0,0,0,0,56
DE_16062004,Buchholz,191,147,2,0,60,35,0,10,5,31,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1
DE_16062005,Ellrich,5167,3829,46,0,1704,946,0,135,238,661,28,12,0,19,9,0,0,0,0,0,0,0,0,0,0,0,0,31
DE_16062006,Etzelsrode,84,72,1,0,19,29,0,6,2,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_16062007,Friedrichsthal,233,171,2,0,66,41,0,3,11,43,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DE_16062008,Görsbach,997,693,17,0,303,186,0,30,38,109,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2
DE_16062009,Großlohra,905,624,12,0,254,202,0,19,34,88,6,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5
DE_16062014,Hainrode/Hainleite,338,237,3,0,105,53,0,4,13,49,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
DE_16062015,Hamma,269,180,4,0,72,54,0,5,14,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
DE_16062016,Harzungen,205,144,3,0,65,38,0,3,1,19,6,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4
DE_16062017,Heringen/Helme,1992,1245,22,0,528,320,0,28,76,244,5,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,7
DE_16062018,Herrmannsacker,342,253,4,0,89,100,0,6,13,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
DE_16062022,Ilfeld,2699,1574,25,0,683,436,0,56,92,235,9,3,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,18
DE_16062024,Kehmstedt,456,321,6,0,159,81,0,8,17,38,1,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,4
DE_16062025,Kleinbodungen,359,258,1,0,117,60,0,10,10,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
DE_16062026,Kleinfurra,1024,670,11,0,339,146,0,22,24,102,5,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,10
DE_16062029,Kraja,274,191,0,0,88,50,0,4,5,34,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6
DE_16062033,Lipprechterode,552,357,8,0,178,71,0,8,14,69,3,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1
DE_16062036,Neustadt/Harz,1059,764,7,0,325,242,0,30,45,97,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9
DE_16062037,Niedergebra,700,498,6,0,192,172,0,13,31,68,8,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4
DE_16062038,Niedersachswerfen,2844,1797,27,0,809,506,0,56,103,240,11,6,0,17,6,0,0,0,0,0,0,0,0,0,0,0,0,16
DE_16062039,Nohra,849,585,6,0,264,152,0,14,29,106,6,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1
DE_16062041,Nordhausen,36516,26578,306,0,11667,6605,0,1103,1274,4863,127,72,0,209,72,0,0,0,0,0,0,0,0,0,0,0,0,280
DE_16062042,Obergebra,739,533,8,0,241,158,0,11,16,79,8,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7
DE_16062044,Petersdorf,314,231,4,0,98,71,0,8,14,27,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2
DE_16062046,Rehungen,467,349,16,0,170,67,0,8,21,57,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2
DE_16062047,Rodishain,234,165,4,0,57,44,0,4,11,40,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
DE_16062049,Sollstedt,2686,1756,28,0,756,446,0,55,90,332,11,8,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,17
DE_16062052,Stempeda,237,178,3,0,72,39,0,7,11,38,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4
DE_16062054,Urbach,879,602,14,0,254,130,0,33,25,127,6,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,6
DE_16062055,Uthleben,1004,689,18,0,288,192,0,16,53,106,3,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5
DE_16062057,Windehausen,436,316,6,0,123,99,0,15,16,47,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
DE_16062058,Wipperdorf,1382,975,32,0,426,253,0,27,61,144,8,3,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,14
DE_16062059,Wolkramshausen,985,675,8,0,317,155,0,10,33,131,5,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,7
DE_16062062,Hohenstein,2227,1727,27,0,740,499,0,46,104,265,10,1,0,14,5,0,0,0,0,0,0,0,0,0,0,0,0,16
DE_16062063,Werther,3051,2346,29,0,1035,634,0,55,123,405,19,2,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,25
DE_16062999,Briefwahl für mehrere Gemeinden,0,2481,22,0,989,789,0,77,158,391,8,6,0,11,8,0,0,0,0,0,0,0,0,0,0,0,0,22
DE_16063001,Andenhausen,208,144,3,0,62,48,0,3,6,13,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DE_16063002,Bad Liebenstein,3582,2648,20,0,1112,717,0,145,124,457,16,6,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,39
DE_16063003,Bad Salzungen,13998,8151,111,0,3368,2053,0,266,364,1705,60,22,0,66,10,0,0,0,0,0,0,0,0,0,0,0,0,126
DE_16063004,Barchfeld,2954,1968,29,0,864,456,0,46,93,427,22,3,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,16
DE_16063006,Berka v.d.Hainich,718,532,13,0,223,159,0,13,37,73,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9
DE_16063007,Berka/Werra,4020,2814,46,0,1266,852,0,73,158,321,14,6,0,30,4,0,0,0,0,0,0,0,0,0,0,0,0,44
DE_16063008,Bischofroda,537,377,3,0,119,139,0,16,54,37,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
