gisco_id,name,registered,turnout,invalid,blank,SPD,CDU,CSU,Grüne,FDP,Linke,PRO,REP,HEIMAT,Tierschutzpartei,Graue,PBC,Die Frauen,FAMILIE,BüSo,BP,DZP,Volksabstimmung,AGFG,APPD,50Plus,MLPD,Die PARTEI,SGP,Pro DM
DE_05962012,Halver,12825,10140,173,0,3688,3526,0,598,1272,499,0,43,121,72,28,37,0,58,3,0,2,14,0,0,0,1,0,5,0
DE_05962016,Hemer,26639,20091,239,0,7878,7009,0,1065,1851,1209,0,173,227,139,55,72,0,113,2,0,15,28,0,0,0,3,0,13,0
DE_05962020,Herscheid,6024,4823,50,0,1887,1634,0,274,561,229,0,27,66,32,10,12,0,29,0,0,0,9,0,0,0,1,0,2,0
DE_05962024,Iserlohn,71989,54557,706,0,21546,19637,0,2935,5020,2875,0,304,576,317,167,102,0,228,22,0,26,67,0,0,0,13,0,16,0
DE_05962028,Kierspe,12704,9319,156,0,3404,3162,0,587,1109,541,0,49,110,45,36,56,0,39,2,0,2,15,0,0,0,1,0,5,0
DE_05962032,Lüdenscheid,55191,40958,689,0,16068,13375,0,2428,4589,2349,0,199,442,219,151,145,0,186,5,0,9,66,0,0,0,21,0,17,0
DE_05962036,Meinerzhagen,15339,11439,175,0,4047,4061,0,639,1450,665,0,32,108,50,39,76,0,60,1,0,5,19,0,0,0,9,0,3,0
DE_05962040,Menden (Sauerland),43142,33251,481,0,11971,13028,0,1796,3382,1550,0,148,379,160,85,33,0,161,13,0,18,29,0,0,0,7,0,10,0
DE_05962044,Nachrodt-Wiblingwerde,5016,4014,52,0,1712,1383,0,219,307,204,0,15,50,18,12,10,0,17,2,0,3,4,0,0,0,5,0,1,0
DE_05962048,Neuenrade,8833,7144,72,0,2747,2780,0,386,635,324,0,26,57,43,10,12,0,35,1,0,3,10,0,0,0,1,0,2,0
DE_05962052,Plettenberg,19758,14786,197,0,6187,5174,0,563,1460,695,0,89,180,69,44,31,0,52,3,0,2,21,0,0,0,3,0,16,0
DE_05962056,Schalksmühle,8883,7088,75,0,2898,2239,0,401,883,363,0,23,66,46,21,19,0,34,4,0,3,11,0,0,0,0,0,2,0
DE_05962060,Werdohl,13154,9912,96,0,4607,3075,0,414,795,534,0,56,160,47,27,19,0,43,4,0,0,24,0,0,0,3,0,8,0
DE_05966004,"Attendorn, Stadt",17447,13908,170,0,4820,6346,0,520,1206,534,0,66,72,51,33,12,0,46,0,0,5,10,0,0,0,8,0,9,0
DE_05966008,Drolshagen,9144,7280,79,0,1498,4287,0,274,798,179,0,21,60,35,8,2,0,23,1,0,6,4,0,0,0,3,0,2,0
DE_05966012,Finnentrop,13460,10338,112,0,2739,5623,0,312,955,345,0,61,55,42,20,3,0,47,2,0,5,10,0,0,0,2,0,5,0
