gisco_id,name,registered,turnout,invalid,blank,CDU,SPD,Linke,Grüne,CSU,FDP,AfD,PIRATEN,HEIMAT,FW,Tierschutzpartei,ÖDP,Die PARTEI,BP,Volksabstimmung,PDV,MLPD,BüSo,SGP,Die Rechte,Tierschutzallianz,B*,DKP,Graue,du.,GART,Menschliche Welt,Verjüngungsforschung,V-Partei³,Bündnis C,Die Einheit,DVP,FAMILIE,Die Frauen,Mieterpartei,NL,UNABHÄNGIGE
DE_14729400,"Trebsen/Mulde, Stadt",3213,2058,52,0,684,193,259,60,0,98,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_14729410,"Wurzen, Stadt",13657,7775,127,0,2278,809,1104,226,0,389,2842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_14729430,"Zwenkau, Stadt",7601,4809,71,0,1813,544,669,169,0,291,1252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_14729999,Briefwahl für mehrere Gemeinden,0,29801,284,0,10905,3508,4841,1417,0,2065,6781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_14730010,Arzberg,1600,936,25,0,269,113,165,17,0,59,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_14730020,"Bad Düben, Stadt",6549,3634,53,0,1244,553,604,97,0,196,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_14730030,Beilrode,3513,2167,38,0,734,250,358,23,0,139,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_14730045,Belgern-Schildau,6487,3842,68,0,1145,456,561,69,0,251,1292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_14730050,Cavertitz,1855,1241,16,0,455,128,167,18,0,64,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_14730060,"Dahlen, Stadt",3589,2063,33,0,713,241,359,48,0,100,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_14730070,"Delitzsch, Stadt",20873,11233,163,0,3406,2266,1867,314,0,644,2573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_14730080,Doberschütz,3462,2428,41,0,772,287,378,46,0,182,722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_14730090,"Dommitzsch, Stadt",2147,1225,17,0,365,200,212,22,0,89,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_14730100,Dreiheide,1758,1233,18,0,364,159,183,30,0,118,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_14730110,"Eilenburg, Stadt",12838,7019,149,0,2016,1012,1328,148,0,392,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_14730120,Elsnig,1193,819,13,0,220,130,124,10,0,83,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_14730140,Jesewitz,2526,1740,24,0,589,225,285,47,0,110,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_14730150,Krostitz,3136,2046,21,0,797,225,282,47,0,138,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_14730160,Laußig,3171,2134,32,0,755,259,278,26,0,125,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_14730170,Liebschützberg,2497,1747,21,0,668,146,206,19,0,125,562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_14730180,Löbnitz,1710,1072,21,0,390,171,125,21,0,62,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_14730190,Mockrehna,4104,2715,41,0,911,304,341,33,0,176,909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_14730200,"Mügeln, Stadt",5129,3031,54,0,935,370,476,58,0,186,952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_14730210,Naundorf,1933,1251,21,0,435,142,193,28,0,99,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_14730230,"Oschatz, Stadt",12284,6713,103,0,1950,698,1382,130,0,353,2097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_14730250,Rackwitz,3964,2439,32,0,777,387,341,72,0,141,689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_14730270,"Schkeuditz, Stadt",14459,8240,109,0,2607,1119,1313,267,0,579,2246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_14730280,Schönwölkau,2016,1311,35,0,443,186,185,29,0,96,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_14730300,"Taucha, Stadt",12824,7941,100,0,2579,1078,1263,303,0,663,1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_14730310,"Torgau, Stadt",16115,9010,150,0,2545,1244,1903,204,0,561,2403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_14730320,Trossin,1081,732,13,0,225,114,135,18,0,49,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_14730330,Wermsdorf,4433,2671,51,0,826,288,472,82,0,126,826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
