gisco_id,name,registered,turnout,invalid,blank,CDU,SPD,AfD,FDP,Linke,Grüne,CSU,FW,Die PARTEI,Tierschutzpartei,HEIMAT,PIRATEN,ÖDP,V-Partei³,DiB,BP,Tierschutzallianz,MLPD,Verjüngungsforschung,Menschliche Welt,DKP,Graue,BüSo,PdH,GART,du.,dieBasis,Bündnis C,pro Deutschland,III. Weg,BÜNDNIS21,LIEBE,WB,SSW,Team Todenhöfer,UNABHÄNGIGE,Volt,Volksabstimmung,B*,Others,FAMILIE,KlimalisteBW,THP
DE_01051027,Elpersbüttel,705,422,9,0,129,117,38,73,6,44,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051028,Epenwöhrden,590,366,8,0,114,109,30,58,8,26,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051030,Fedderingen,234,142,2,0,53,33,11,21,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
DE_01051032,Frestedt,302,203,2,0,78,45,15,36,5,15,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
DE_01051034,Friedrichskoog,2023,1096,18,0,334,325,129,161,37,60,0,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
DE_01051035,Gaushorn,145,75,1,0,18,24,8,5,8,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
DE_01051036,Glüsing,91,64,1,0,22,8,3,20,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
DE_01051037,Großenrade,391,246,5,0,79,62,16,38,7,29,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DE_01051038,Groven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051039,Gudendorf,309,192,2,0,62,61,14,26,7,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051043,Hedwigenkoog,157,99,0,0,44,29,0,6,1,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
DE_01051044,Heide,16706,11807,108,0,3097,3619,908,1243,445,1699,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,23,380,0,0,0,0,0,0,0,0,0
DE_01051045,Hellschen-Heringsand-Unterschaar,126,86,2,0,35,15,8,6,2,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DE_01051046,Helse,695,392,4,0,105,119,35,84,11,23,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DE_01051047,Hemme,383,204,4,0,77,49,12,20,6,18,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0
DE_01051048,Hemmingstedt,2302,1360,9,0,360,470,98,173,52,118,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0
DE_01051049,Hennstedt,1719,896,8,0,266,213,93,181,24,75,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,24,0,0,0,0,0,0,0,0,0
DE_01051051,Hochdonn,941,537,5,0,148,151,66,83,29,41,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DE_01051052,Hövede,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051053,Hollingstedt,263,128,0,0,42,38,9,23,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
DE_01051057,Kaiser-Wilhelm-Koog,283,171,3,0,62,46,17,21,4,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DE_01051058,Karolinenkoog,111,78,0,0,43,12,6,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DE_01051060,Kleve,343,198,2,0,71,37,15,28,5,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0
DE_01051061,Krempel,522,291,5,0,55,131,20,35,4,21,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
DE_01051062,Kronprinzenkoog,671,393,0,0,106,108,41,81,11,34,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
DE_01051063,Krumstedt,415,261,1,0,82,66,19,50,10,23,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DE_01051064,Kuden,501,310,1,0,96,78,34,49,14,26,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051065,Lehe,900,470,5,0,119,175,36,33,14,44,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,28,0,0,0,0,0,0,0,0,0
DE_01051067,Lieth,336,215,1,0,74,57,27,20,4,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
DE_01051068,Linden,700,401,3,0,145,97,41,54,8,34,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
DE_01051069,Lohe-Rickelshof,1690,988,9,0,282,338,61,98,23,126,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,26,0,0,0,0,0,0,0,0,0
DE_01051071,Lunden,1390,566,7,0,141,230,44,38,25,50,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0
DE_01051072,Marne,4685,2421,35,0,606,755,228,448,68,195,0,35,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
DE_01051073,Marnerdeich,311,183,0,0,50,54,24,31,2,14,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
