gisco_id,name,registered,turnout,invalid,blank,SPD,CDU,Grüne,FDP,AfD,CSU,Linke,FW,Tierschutzpartei,dieBasis,Die PARTEI,Team Todenhöfer,PIRATEN,Volt,ÖDP,SSW,Verjüngungsforschung,PdH,Bündnis C,BP,MLPD,Menschliche Welt,PdF,SGP,BüSo,BD,BSW,MERA25,WU
DE_07335203,Martinshöhe,1184,991,7,0,171,330,46,17,246,0,59,23,32,0,4,0,0,4,3,0,0,0,0,0,0,0,0,0,0,1,48,0,0
DE_07335204,Schopp,1122,1003,7,0,183,321,57,28,255,0,37,27,15,0,4,0,0,8,3,0,0,0,0,0,1,0,0,0,0,2,55,0,0
DE_07335205,Sembach,861,450,7,0,60,133,22,12,154,0,14,17,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0
DE_07335501,Reichenbach-Steegen,1086,957,4,0,258,202,54,39,212,0,57,30,15,0,3,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,70,0,0
DE_07335901,"Briefwahl Gemeinden Gerhardsbrunn, Lambsborn, Langwieden und Martinshöhe",0,101,1,0,15,29,9,7,21,0,9,3,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0
DE_07335902,Briefwahl VG Enkenbach-Alsenborn,0,6225,27,0,1402,2028,504,231,1076,0,245,215,92,0,40,0,0,40,6,0,0,0,0,0,0,0,0,0,0,10,309,0,0
DE_07335909,"Briefwahl Gemeinden Erzenhausen, Eulenbis, Kollweiler und Schwedelbach",0,464,4,0,108,143,33,15,82,0,21,12,6,0,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0,1,33,0,0
DE_07336001,Adenbach,119,67,3,0,18,19,0,2,15,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
DE_07336002,Albessen,107,74,1,0,7,18,19,2,24,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DE_07336003,Altenglan,2193,980,14,0,244,197,42,28,326,0,55,23,12,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,33,0,0
DE_07336004,Altenkirchen,1063,449,3,0,83,97,25,25,167,0,14,15,7,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0
DE_07336005,Aschbach,261,144,3,0,37,23,10,4,41,0,9,6,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
DE_07336006,Blaubach,323,182,1,0,41,46,17,5,43,0,16,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
DE_07336008,Börsborn,335,181,2,0,24,30,15,4,65,0,11,20,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0
DE_07336009,Bosenbach,585,308,8,0,64,74,9,10,92,0,15,13,7,0,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,10,0,0
