gisco_id,name,registered,turnout,invalid,blank,SPD,CDU,CSU,Grüne,FDP,PDS,REP,Graue,Tierschutzpartei,HEIMAT,ÖDP,PBC,Die Frauen,BP,FAMILIE,CM,BüSo,HP,DVP,AUFBRUCH,DZP,KPD,PRG,PRO,Volksabstimmung,DKP,DSU,Others
DE_01051036,Glüsing,92,71,0,0,21,43,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051037,Großenrade,382,272,8,0,119,125,0,6,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051038,Groven,86,52,0,0,13,27,0,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051039,Gudendorf,320,234,3,0,103,103,0,7,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051040,Hägen,48,42,0,0,5,33,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051043,Hedwigenkoog,174,140,3,0,56,63,0,9,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051044,Heide,16303,11933,252,0,5259,4956,0,406,769,189,0,74,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051045,Hellschen-Heringsand-Unterschaar,124,81,0,0,31,40,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051046,Helse,679,443,6,0,236,149,0,14,28,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DE_01051047,Hemme,410,297,2,0,111,132,0,12,29,7,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051048,Hemmingstedt,2404,1759,17,0,896,653,0,39,118,23,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051049,Hennstedt,1429,983,17,0,410,434,0,34,66,12,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051050,Hillgroven,62,46,1,0,10,29,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051051,Hochdonn,934,654,4,0,309,272,0,19,32,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
DE_01051052,Hövede,52,42,0,0,9,29,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051053,Hollingstedt,259,182,1,0,64,96,0,7,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051054,Immenstedt,83,68,2,0,21,36,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051057,Kaiser-Wilhelm-Koog,299,210,8,0,90,95,0,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051058,Karolinenkoog,108,78,1,0,23,44,0,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051060,Kleve,368,272,4,0,120,115,0,10,18,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051061,Krempel,513,368,11,0,224,112,0,13,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051062,Kronprinzenkoog,719,519,5,0,248,217,0,15,27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
DE_01051063,Krumstedt,426,325,7,0,121,158,0,6,24,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051064,Kuden,491,337,3,0,137,162,0,10,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
DE_01051065,Lehe,899,618,7,0,288,254,0,19,33,11,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051067,Lieth,328,215,3,0,75,107,0,6,22,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051068,Linden,682,476,8,0,180,227,0,9,39,9,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051069,Lohe-Rickelshof,1608,1173,13,0,599,429,0,42,69,14,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051071,Lunden,1407,797,12,0,432,286,0,20,35,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051072,Marne,4792,3631,49,0,1670,1568,0,99,206,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
DE_01051073,Marnerdeich,326,208,0,0,100,93,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051074,Meldorf,6055,4690,62,0,2479,1657,0,143,258,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
DE_01051075,Neuenkirchen,787,554,11,0,249,239,0,16,30,6,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051076,Neufeld,524,371,5,0,167,171,0,3,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051077,Neufelderkoog,108,84,0,0,14,63,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051078,Nindorf,865,627,14,0,279,258,0,19,50,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051079,Norddeich,349,241,0,0,130,82,0,7,14,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051080,Norderheistedt,110,81,1,0,28,43,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051081,Norderwöhrden,228,160,2,0,60,78,0,14,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051082,Nordhastedt,2101,1518,14,0,637,685,0,71,82,19,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051083,Odderade,246,190,3,0,78,98,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051084,Oesterdeichstrich,195,139,0,0,55,72,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051085,Offenbüttel,237,180,1,0,39,123,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051086,Osterrade,366,274,0,0,109,143,0,7,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DE_01051087,Ostrohe,770,553,11,0,253,228,0,20,28,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051088,Pahlen,891,605,6,0,229,306,0,12,42,6,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051089,Quickborn,153,120,3,0,44,59,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DE_01051090,Ramhusen,123,86,1,0,29,52,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
