gisco_id,name,registered,turnout,invalid,blank,CDU,SPD,AfD,FDP,Linke,Grüne,CSU,FW,Die PARTEI,Tierschutzpartei,HEIMAT,PIRATEN,ÖDP,V-Partei³,DiB,BP,Tierschutzallianz,MLPD,Verjüngungsforschung,Menschliche Welt,DKP,Graue,BüSo,PdH,GART,du.,SGP,dieBasis,Bündnis C,pro Deutschland,III. Weg,BÜNDNIS21,LIEBE,WB,PdF,LfK,SSW,Team Todenhöfer,UNABHÄNGIGE,Volt
DE_01001000,Flensburg,69302,51278,460,0,7152,12480,2756,4780,3153,12296,0,347,738,637,28,0,40,93,0,0,0,2,0,0,17,0,0,61,0,45,0,842,0,0,0,0,0,14,0,0,5025,125,0,187
DE_01002000,Kiel,184655,140793,832,0,20333,36407,7023,14335,8978,40476,0,852,2068,1541,115,0,107,164,0,0,0,34,0,0,85,0,0,287,0,109,0,1755,0,0,0,0,0,46,0,0,4013,710,0,523
DE_01003000,Lübeck,164139,118804,1130,0,20757,36136,7807,11963,5360,27112,0,1123,1219,1341,143,0,127,114,0,0,0,69,0,0,42,0,0,182,0,97,0,1366,0,0,0,0,0,63,0,0,1506,623,0,524
DE_01004000,Neumünster,59460,40376,405,0,8089,12872,3751,4762,1320,5841,0,352,377,462,130,0,27,35,0,0,0,8,0,0,12,0,0,50,0,20,0,450,0,0,0,0,0,50,0,0,1048,254,0,61
DE_01051001,Albersdorf,2882,1517,19,0,413,382,139,202,58,155,0,20,9,32,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,66,0,0,4
DE_01051002,Arkebek,240,156,1,0,37,24,23,30,6,19,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11,0,0,0
DE_01051003,Averlak,477,259,4,0,64,80,43,25,5,11,0,4,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13,0,0,0
DE_01051004,Bargenstedt,767,457,4,0,128,121,32,77,10,42,0,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,23,0,0,1
DE_01051005,Barkenholm,145,97,1,0,34,25,14,10,2,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DE_01051006,Barlt,613,391,5,0,104,90,49,60,14,40,0,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,9,1,0,0
DE_01051008,Bergewöhrden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051010,Brickeln,170,89,1,0,32,17,13,9,2,6,0,3,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
