gisco_id,name,registered,turnout,invalid,blank,LFI-PRG-GRS-MRC,AR,PI-SIEL,PP (2006),LREM-MoDem-Agir-MR-UDE-AC,DR [Démocratie représentative],LP (2017),PACE,GE-MEI-MDP-UDE,DF,UDI,PS-PP-ND-PRG,PFE,MIC,DLF,AE,D19,LO,PCF,UPR,G·s,AVE,RN,NEA,PRC,EDE,ÉC,AJ,LR-LC-CPNT,LÉ,PA,ACPLI,UDLEF,UDMF
FR_80421,Hattencourt,195,110,10,0,5,0,0,0,10,0,4,0,0,0,2,2,0,0,0,0,0,1,2,1,5,0,57,0,0,0,0,2,7,1,1,0,0,0
FR_76342,Hattenville,474,299,5,6,21,0,0,0,37,0,2,0,3,0,5,7,0,0,11,0,0,5,5,1,10,0,123,0,0,0,0,3,16,25,13,1,0,0
FR_57302,Hattigny,165,81,0,9,4,0,0,0,9,0,2,0,1,0,2,0,0,0,7,0,0,0,1,0,0,0,23,0,0,0,0,1,18,3,1,0,0,0
FR_67185,Hattmatt,540,278,11,14,2,0,0,0,37,0,5,0,4,0,8,13,1,0,28,0,0,2,0,0,7,0,106,0,0,0,0,4,10,23,3,0,0,0
FR_68123,Hattstatt,656,380,10,11,12,0,0,2,57,0,3,0,6,0,14,22,1,0,20,0,0,3,9,1,5,0,78,0,0,1,0,4,46,63,12,0,0,0
FR_65216,Hauban,91,55,6,9,0,0,0,0,10,0,0,0,4,0,0,3,0,0,0,0,0,1,2,4,1,0,4,0,0,0,0,0,1,8,2,0,0,0
FR_59286,Haubourdin,9902,4733,103,80,347,1,0,1,741,0,58,1,87,0,114,247,1,0,151,0,2,38,115,55,104,5,1522,0,0,2,0,37,215,570,118,18,0,0
FR_57303,Hauconcourt,454,244,8,0,13,0,0,0,45,0,4,0,4,0,4,11,0,0,14,0,0,1,6,5,1,0,82,0,0,1,0,3,14,21,6,0,0,1
FR_60301,Haucourt,111,67,1,2,1,0,0,0,9,0,0,0,1,0,2,6,0,0,3,0,0,1,1,0,1,0,21,0,0,0,0,1,1,16,0,0,0,0
FR_62414,Haucourt,191,121,8,5,7,0,0,0,30,0,2,0,1,0,5,1,0,0,4,0,0,3,0,0,1,0,31,0,0,0,0,1,8,11,3,0,0,0
FR_76343,Haucourt,174,115,3,8,5,0,0,2,17,0,4,0,0,0,6,2,0,0,3,0,0,0,0,0,1,0,42,0,0,1,0,0,13,3,5,0,0,0
FR_54254,Haucourt-Moulaine,2054,869,13,17,98,0,0,0,155,0,13,0,11,0,18,41,1,0,23,0,0,9,35,19,34,0,231,0,0,0,0,14,18,81,37,1,0,0
FR_59287,Haucourt-en-Cambrésis,162,112,1,3,8,0,0,0,16,0,0,0,0,0,3,2,0,0,2,0,0,0,1,1,0,0,55,0,0,0,0,1,9,5,5,0,0,0
FR_55236,Haudainville,715,411,9,8,16,0,0,0,84,0,5,0,2,0,5,23,0,0,24,0,0,1,5,1,1,0,151,0,0,0,0,0,27,40,6,3,0,0
FR_55237,Haudiomont,202,88,0,1,4,0,0,0,13,0,3,0,1,0,1,2,0,0,2,0,0,1,0,4,2,0,45,0,0,0,0,0,2,7,0,0,0,0
FR_60302,Haudivillers,690,355,7,6,21,0,0,0,62,0,4,0,4,0,10,9,0,0,20,0,0,5,4,8,9,0,128,0,0,1,0,0,25,22,10,0,0,0
FR_54255,Haudonville,77,57,0,2,0,0,0,0,15,0,3,0,3,0,0,0,0,0,0,0,0,0,2,2,0,0,17,0,0,0,0,1,4,7,0,1,0,0
FR_08216,Haudrecy,227,134,6,1,1,0,0,0,17,0,0,0,5,0,0,4,0,0,3,0,0,1,1,3,1,0,53,0,0,0,0,0,7,25,6,0,0,0
FR_76344,Haudricourt,368,207,6,13,3,2,0,0,44,0,0,0,0,0,5,10,1,0,16,0,0,0,1,4,3,2,75,0,0,0,0,0,13,5,4,0,0,0
FR_59288,Haulchin,1577,828,9,18,55,0,0,0,116,0,12,1,6,0,19,43,0,0,20,0,0,7,23,8,9,0,362,0,0,1,0,5,29,46,35,3,0,1
FR_32153,Haulies,121,79,1,2,8,0,0,0,23,0,0,0,0,0,2,4,0,0,1,0,0,0,3,2,6,0,9,0,0,0,0,0,5,10,3,0,0,0
FR_08217,Haulmé,53,37,1,4,10,0,0,0,2,0,1,0,0,0,0,4,0,0,1,0,0,1,1,0,0,0,6,0,0,0,0,0,2,1,3,0,0,0
FR_40121,Hauriet,206,142,4,7,13,0,0,0,15,0,2,0,1,0,0,13,0,0,6,0,0,1,27,0,9,0,20,0,0,2,0,1,7,11,2,1,0,0
FR_68124,Hausgauen,341,202,17,0,4,0,0,0,38,0,1,0,6,0,3,5,0,0,15,0,1,0,0,1,1,0,50,0,0,0,0,1,19,33,7,0,0,0
FR_76345,Haussez,226,114,0,1,4,0,0,0,17,0,2,0,4,0,4,3,0,0,3,0,0,2,2,0,1,0,45,0,0,0,0,0,13,12,1,0,0,0
FR_51284,Haussignémont,177,102,4,2,5,0,0,0,8,0,0,0,1,0,0,6,0,0,2,0,0,1,2,0,0,0,53,0,0,0,0,1,8,5,3,1,0,0
FR_51285,Haussimont,119,79,3,5,1,0,0,0,19,0,3,0,2,0,3,2,0,0,2,0,0,0,2,1,0,0,19,0,0,0,0,0,9,8,0,0,0,0
FR_54256,Haussonville,225,135,0,2,8,0,0,1,17,0,3,0,4,0,3,4,0,0,9,0,1,1,2,0,4,0,46,0,0,1,0,2,10,15,2,0,0,0
FR_59289,Haussy,1161,605,19,20,37,0,0,0,90,0,1,1,6,0,7,13,0,0,18,0,0,4,35,4,6,0,245,0,0,0,0,0,33,45,21,0,0,0
FR_01187,Haut Valromey,616,352,9,6,20,0,0,0,79,0,2,0,3,0,10,19,0,0,18,0,0,1,9,7,8,0,58,0,0,0,0,2,47,51,2,1,0,0
FR_03158,Haut-Bocage,671,392,16,12,26,0,0,0,74,0,2,0,6,0,18,18,0,0,15,1,0,4,24,6,10,0,84,0,0,0,0,1,31,32,10,2,0,0
FR_57304,Haut-Clocher,288,150,9,5,3,0,0,0,28,0,4,0,3,0,0,5,0,0,13,0,0,0,0,2,3,0,47,0,0,1,0,0,14,10,3,0,0,0
FR_59290,Haut-Lieu,315,159,3,6,11,0,0,0,37,0,0,0,2,0,1,1,0,0,8,0,0,1,7,0,2,0,54,0,0,0,0,1,9,13,2,1,0,0
FR_62419,Haut-Loquin,117,66,2,0,6,0,0,0,17,0,2,0,0,0,6,2,0,0,6,0,0,0,0,0,0,0,16,0,0,0,0,0,2,4,1,2,0,0
FR_40122,Haut-Mauco,743,458,8,11,19,0,0,0,105,0,5,0,12,0,10,55,0,0,19,0,0,0,5,4,16,0,100,0,0,0,0,1,44,37,6,1,0,0
FR_64257,Haut-de-Bosdarros,258,166,4,5,13,0,0,0,26,0,1,0,2,0,2,12,0,0,8,0,0,1,4,3,5,0,39,0,0,0,0,0,18,22,1,0,0,0
