gisco_id,name,registered,turnout,invalid,blank,LO,LCR,EXG,PCF,PS,LÉ,PR,ECO,CPNT,DIV,LR,RPF,MPF,RN,MNR,PRG,REG,DVG,UDF,DVD,EXD,DL
FR_21101,Braux,125,87,3,0,0,1,0,0,0,0,0,3,0,0,0,0,0,8,0,26,0,0,46,0,0,0
FR_21102,Brazey-en-Morvan,134,92,2,0,3,2,0,0,44,0,0,0,1,0,27,0,1,12,0,0,0,0,0,0,0,0
FR_21103,Brazey-en-Plaine,1743,982,24,0,11,20,3,0,375,0,0,11,6,4,273,0,11,237,7,0,0,0,0,0,0,0
FR_21104,Brémur-et-Vaurois,81,50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,0,7,0,2,32,0,0,0
FR_21105,Bressey-sur-Tille,402,245,7,0,4,6,1,0,74,5,11,1,1,2,93,0,0,37,3,0,0,0,0,0,0,0
FR_21106,Bretenière,473,305,5,0,6,7,1,0,125,5,9,2,2,2,94,0,0,44,3,0,0,0,0,0,0,0
FR_21107,Bretigny,520,390,9,0,1,2,0,0,100,21,7,6,3,2,181,0,0,47,0,0,0,0,0,11,0,0
FR_21108,Brianny,78,68,1,0,0,6,0,0,0,2,0,0,0,0,0,0,0,13,0,9,0,0,37,0,0,0
FR_21109,Brion-sur-Ource,180,112,4,0,2,0,0,0,0,2,0,0,4,0,0,0,2,21,0,21,0,0,56,0,0,0
FR_21110,Brochon,485,348,6,0,2,7,3,0,138,0,0,10,7,2,140,0,2,29,2,0,0,0,0,0,0,0
FR_21111,Brognon,194,132,4,0,1,1,0,0,34,3,5,2,2,0,52,0,0,24,2,0,0,0,0,2,0,0
FR_21112,Broin,246,168,3,0,2,3,0,0,58,0,0,2,4,2,57,0,0,34,3,0,0,0,0,0,0,0
FR_21113,Broindon,64,43,1,0,0,2,0,0,13,0,0,0,1,0,21,0,1,4,0,0,0,0,0,0,0,0
FR_21114,Buffon,157,96,0,0,2,3,0,0,0,2,0,3,1,0,0,0,1,13,1,31,0,1,38,0,0,0
FR_21115,Buncey,318,177,5,0,5,3,0,0,0,0,0,0,2,1,0,0,0,31,1,32,0,1,96,0,0,0
FR_21116,Bure-les-Templiers,149,110,1,0,0,2,0,0,0,2,0,4,5,1,0,0,2,16,2,27,0,0,48,0,0,0
FR_21117,Busseaut,61,53,0,0,0,0,0,0,0,1,0,0,8,0,0,0,1,1,0,11,0,0,31,0,0,0
FR_21118,Busserotte-et-Montenaille,25,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,20,0,0,0
FR_21119,Bussières,49,36,2,0,0,0,0,0,0,0,0,1,2,0,0,0,1,4,1,3,0,0,22,0,0,0
FR_21120,La Bussière-sur-Ouche,165,104,0,0,2,5,1,0,32,0,0,1,0,0,54,0,0,9,0,0,0,0,0,0,0,0
FR_21121,Bussy-la-Pesle,55,46,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,3,1,9,0,0,26,0,0,0
FR_21122,Bussy-le-Grand,207,126,8,0,0,1,0,0,0,1,0,2,1,0,0,0,0,7,1,44,0,0,61,0,0,0
FR_21123,Buxerolles,48,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,5,0,0,17,0,0,0
FR_21124,Censerey,186,133,1,0,0,1,1,0,54,0,0,0,1,2,45,0,3,25,0,0,0,0,0,0,0,0
FR_21125,Cérilly,235,148,6,0,3,5,0,0,0,4,0,0,0,0,0,0,1,18,1,44,0,1,65,0,0,0
FR_21126,Cessey-sur-Tille,383,231,5,0,1,3,0,0,79,7,9,4,8,1,71,0,0,41,2,0,0,0,0,0,0,0
FR_21127,Chaignay,329,239,2,0,6,4,0,0,0,4,0,4,4,3,0,0,10,32,3,57,0,1,109,0,0,0
FR_21128,Chailly-sur-Armançon,195,137,3,0,0,4,1,0,54,0,0,1,8,1,31,0,1,32,1,0,0,0,0,0,0,0
FR_21129,Chambain,39,30,1,0,0,0,0,0,0,2,0,2,2,0,0,0,1,6,0,1,0,0,15,0,0,0
FR_21130,Chambeire,167,107,1,0,5,1,0,0,33,1,1,1,1,0,33,0,0,28,2,0,0,0,0,0,0,0
FR_21131,Chamblanc,285,172,3,0,1,3,0,0,53,0,0,5,3,0,71,0,0,32,1,0,0,0,0,0,0,0
FR_21132,Chamboeuf,197,146,4,0,1,3,2,0,69,0,0,7,2,0,42,0,0,16,0,0,0,0,0,0,0,0
FR_21133,Chambolle-Musigny,245,166,2,0,1,1,0,0,45,0,0,4,2,2,88,0,3,17,1,0,0,0,0,0,0,0
FR_21134,Chamesson,219,126,4,0,7,0,0,0,0,5,0,3,0,0,0,0,2,22,0,22,0,0,61,0,0,0
FR_21135,Champagne-sur-Vingeanne,235,156,2,0,1,0,0,0,47,1,1,3,2,1,74,0,0,19,2,0,0,0,0,3,0,0
FR_21136,Champagny,29,29,6,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,5,0,0,14,0,0,0
FR_21137,Champ-dOiseau,76,48,1,0,1,2,0,0,0,4,0,0,2,0,0,0,0,1,0,18,0,0,19,0,0,0
FR_21138,Champdôtre,423,256,3,0,4,2,1,0,78,5,3,5,5,3,98,0,0,43,1,0,0,0,0,5,0,0
FR_21139,Champeau-en-Morvan,277,185,6,0,4,7,0,0,0,3,0,0,2,0,0,0,2,15,0,52,0,1,93,0,0,0
FR_21140,Champignolles,72,54,1,0,0,1,0,0,14,0,0,0,0,0,27,0,0,11,0,0,0,0,0,0,0,0
FR_21141,Champrenault,44,36,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,4,1,11,0,0,16,0,0,0
FR_21142,Chanceaux,142,102,3,0,2,2,0,0,0,2,0,0,7,0,0,0,2,5,5,19,0,1,54,0,0,0
FR_21143,Channay,66,46,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,9,0,16,0,0,16,0,0,0
FR_21144,Charencey,39,31,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,9,0,0,17,0,0,0
FR_21145,Charigny,49,38,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,14,0,0,16,0,0,0
FR_21146,Charmes,97,59,1,0,1,1,0,0,7,2,1,0,0,1,29,0,0,16,0,0,0,0,0,0,0,0
FR_21147,Charny,41,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,17,0,0,0
FR_21148,Charrey-sur-Saône,195,121,5,0,2,2,1,0,37,0,0,2,0,1,35,0,2,34,0,0,0,0,0,0,0,0
FR_21149,Charrey-sur-Seine,122,84,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,21,0,19,0,0,39,0,0,0
FR_21150,Chassagne-Montrachet,353,262,4,0,2,1,0,0,75,0,0,2,9,0,137,0,4,28,0,0,0,0,0,0,0,0
FR_21151,Chassey,85,56,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,13,0,0,38,0,0,0
FR_21152,Châteauneuf,85,64,1,0,1,0,0,0,34,0,0,0,0,1,23,0,0,4,0,0,0,0,0,0,0,0
FR_21153,Châtellenot,155,95,5,0,0,2,1,0,54,0,0,2,0,0,19,0,1,11,0,0,0,0,0,0,0,0
FR_21154,Châtillon-sur-Seine,3818,2282,49,0,42,42,0,0,0,31,0,39,20,7,0,0,34,404,14,530,0,6,1064,0,0,0
FR_21155,Chaudenay-la-Ville,27,20,0,0,0,0,0,0,11,0,0,0,2,2,3,0,0,2,0,0,0,0,0,0,0,0
FR_21156,Chaudenay-le-Château,32,27,0,0,0,1,0,0,18,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0
FR_21157,Chaugey,21,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,4,0,0,0
FR_21158,Chaume-et-Courchamp,116,82,1,0,0,2,0,0,9,1,1,1,1,0,53,0,0,10,1,0,0,0,0,2,0,0
FR_21159,La Chaume,117,88,2,0,0,0,0,0,0,7,0,1,4,0,0,0,2,11,3,14,0,0,44,0,0,0
FR_21160,Chaume-lès-Baigneux,77,55,3,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,19,0,0,29,0,0,0
FR_21161,Chaumont-le-Bois,74,55,1,0,4,3,0,0,0,4,0,1,0,0,0,0,0,2,0,5,0,0,35,0,0,0
FR_21162,Chaux,273,185,2,0,1,5,1,0,97,0,0,0,1,1,62,0,0,13,2,0,0,0,0,0,0,0
FR_21163,Chazeuil,160,105,2,0,3,5,0,0,0,3,0,2,3,4,0,0,1,8,3,23,0,0,48,0,0,0
FR_21164,Chazilly,112,69,2,0,0,1,0,0,26,0,0,0,1,0,28,0,1,10,0,0,0,0,0,0,0,0
FR_21165,Chemin-dAisey,67,52,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,3,0,11,0,0,31,0,0,0
FR_21166,Chenôve,8347,4890,91,0,66,114,50,0,1629,116,676,45,25,69,1159,0,0,796,54,0,0,0,0,0,0,0
FR_21167,Cheuge,79,55,3,0,0,0,0,0,4,0,0,0,2,1,29,0,0,13,2,0,0,0,0,1,0,0
FR_21168,Chevannay,41,31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,8,0,0,17,0,0,0
FR_21169,Chevannes,121,87,6,0,1,4,1,0,32,0,0,2,1,3,28,0,0,9,0,0,0,0,0,0,0,0
FR_21170,Chevigny-en-Valière,164,106,1,0,1,2,1,0,42,0,0,2,1,0,48,0,0,7,1,0,0,0,0,0,0,0
FR_21171,Chevigny-Saint-Sauveur,6690,4237,75,0,29,51,15,0,1226,112,87,33,13,44,2105,0,0,422,25,0,0,0,0,0,0,0
FR_21172,Chivres,168,82,0,0,0,2,2,0,37,0,0,0,1,0,23,0,0,17,0,0,0,0,0,0,0,0
FR_21173,Chorey-les-Beaune,391,284,5,0,2,8,2,0,76,0,0,6,3,0,142,0,0,34,6,0,0,0,0,0,0,0
FR_21175,Cirey-lès-Pontailler,106,76,4,0,0,1,0,0,24,3,1,0,3,1,32,0,0,7,0,0,0,0,0,0,0,0
FR_21176,Civry-en-Montagne,77,63,0,0,0,0,0,0,25,0,0,0,1,0,22,0,2,13,0,0,0,0,0,0,0,0
FR_21177,Clamerey,150,112,1,0,3,3,0,0,0,9,0,1,0,0,0,0,1,16,0,29,0,0,49,0,0,0
FR_21178,Clémencey,80,70,1,0,2,0,0,0,36,0,0,0,3,0,20,0,0,8,0,0,0,0,0,0,0,0
FR_21179,Clénay,433,276,6,0,3,1,1,0,69,6,3,5,8,0,108,0,0,55,1,0,0,0,0,10,0,0
FR_21180,Cléry,131,82,6,0,1,0,0,0,30,4,0,1,1,0,21,0,0,18,0,0,0,0,0,0,0,0
FR_21181,Clomot,121,79,1,0,0,0,0,0,43,0,0,3,3,0,17,0,2,10,0,0,0,0,0,0,0,0
FR_21182,Collonges-lès-Bévy,67,46,0,0,0,0,0,0,25,0,0,1,0,0,12,0,0,8,0,0,0,0,0,0,0,0
FR_21183,Collonges-lès-Premières,452,255,8,0,6,7,3,0,77,4,12,4,4,5,76,0,0,45,4,0,0,0,0,0,0,0
FR_21184,Colombier,59,40,1,0,0,0,0,0,18,0,0,0,0,1,14,0,0,6,0,0,0,0,0,0,0,0
FR_21185,Combertault,219,146,5,0,2,0,3,0,36,0,0,2,2,5,75,0,1,13,2,0,0,0,0,0,0,0
FR_21186,Comblanchien,433,301,6,0,1,8,1,0,138,0,0,9,5,3,97,0,4,25,4,0,0,0,0,0,0,0
FR_21187,Commarin,145,111,1,0,0,1,0,0,46,0,0,4,1,0,46,0,2,10,0,0,0,0,0,0,0,0
FR_21189,Corberon,247,164,1,0,2,3,2,0,51,0,0,1,3,0,82,0,0,18,1,0,0,0,0,0,0,0
FR_21190,Corcelles-les-Arts,332,220,5,0,0,1,3,0,113,0,0,6,9,4,57,0,1,20,1,0,0,0,0,0,0,0
FR_21191,Corcelles-lès-Cîteaux,492,360,6,0,0,2,7,0,157,0,0,7,6,5,121,0,5,41,3,0,0,0,0,0,0,0
FR_21192,Corcelles-les-Monts,572,426,9,0,0,1,0,0,151,3,4,4,1,2,155,8,7,42,1,0,0,0,0,38,0,0
FR_21193,Corgengoux,227,159,3,0,0,1,2,0,61,0,0,4,10,2,56,0,2,13,5,0,0,0,0,0,0,0
FR_21194,Corgoloin,692,438,15,0,5,11,0,0,145,0,0,7,5,7,166,0,6,65,6,0,0,0,0,0,0,0
FR_21195,Cormot-le-Grand,120,79,3,0,0,0,2,0,31,0,0,3,1,3,27,0,0,9,0,0,0,0,0,0,0,0
FR_21196,Corpeau,659,391,8,0,8,13,3,0,139,0,0,13,8,1,129,0,1,64,4,0,0,0,0,0,0,0
FR_21197,Corpoyer-la-Chapelle,36,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,24,0,0,0
FR_21198,Corrombles,179,140,1,0,5,3,0,0,0,3,0,0,0,0,0,0,1,10,1,41,0,1,74,0,0,0
FR_21199,Corsaint,116,92,2,0,1,0,0,0,0,2,0,0,1,0,0,0,0,6,1,26,0,2,51,0,0,0
FR_21200,Couchey,924,695,12,0,4,7,4,0,266,0,0,11,6,13,284,0,1,82,5,0,0,0,0,0,0,0
FR_21201,Coulmier-le-Sec,201,131,0,0,2,7,0,0,0,0,0,0,2,0,0,0,0,23,1,13,0,0,83,0,0,0
FR_21202,Courban,135,85,6,0,1,4,0,0,0,0,0,0,3,0,0,0,0,8,0,15,0,0,48,0,0,0
FR_21203,Courcelles-Frémoy,113,86,3,0,1,0,0,0,0,1,0,1,4,0,0,0,0,4,0,29,0,0,43,0,0,0
FR_21204,Courcelles-lès-Montbard,73,57,1,0,2,3,0,0,0,0,0,1,1,0,0,0,0,3,0,26,0,0,20,0,0,0
FR_21205,Courcelles-lès-Semur,154,123,1,0,0,1,0,0,0,7,0,1,0,0,0,0,3,10,1,38,0,1,60,0,0,0
FR_21207,Courlon,67,50,2,0,3,1,0,0,0,2,0,0,0,1,0,0,0,4,0,23,0,0,14,0,0,0
FR_21208,Courtivron,123,83,1,0,2,1,0,0,0,4,0,5,3,0,0,0,1,20,1,13,0,0,32,0,0,0
FR_21209,Couternon,1090,777,9,0,7,13,6,0,212,35,21,14,7,7,351,0,0,92,3,0,0,0,0,0,0,0
FR_21210,Créancey,312,206,3,0,2,0,1,0,113,0,0,0,0,2,69,0,2,14,0,0,0,0,0,0,0,0
FR_21211,Crécey-sur-Tille,129,93,4,0,1,2,0,0,0,2,0,0,0,0,0,0,4,29,0,22,0,0,29,0,0,0
FR_21212,Crépand,271,198,9,0,3,8,0,0,0,19,0,2,0,1,0,0,1,26,2,65,0,1,61,0,0,0
FR_21213,Crimolois,394,280,4,0,3,6,0,0,66,1,9,4,2,3,128,0,0,50,4,0,0,0,0,0,0,0
FR_21214,Crugey,161,103,2,0,0,0,0,0,59,0,0,0,0,3,28,0,0,11,0,0,0,0,0,0,0,0
FR_21215,Cuiserey,85,52,1,0,1,0,0,0,13,1,0,1,0,0,19,0,0,16,0,0,0,0,0,0,0,0
FR_21216,Culètre,60,39,1,0,0,1,0,0,27,0,0,0,0,0,5,0,0,4,1,0,0,0,0,0,0,0
FR_21217,Curley,65,52,2,0,1,0,3,0,23,0,0,2,0,2,14,0,0,5,0,0,0,0,0,0,0,0
FR_21218,Curtil-Saint-Seine,71,53,1,0,0,6,0,0,0,15,0,2,1,0,0,0,0,2,0,10,0,0,16,0,0,0
FR_21219,Curtil-Vergy,86,68,3,0,0,1,0,0,32,0,0,0,2,1,25,0,1,3,0,0,0,0,0,0,0,0
FR_21220,Cussey-les-Forges,120,97,4,0,1,0,0,0,0,1,0,0,2,0,0,0,2,7,1,19,0,0,60,0,0,0
FR_21221,Cussy-la-Colonne,45,34,1,0,1,1,0,0,18,0,0,0,2,1,6,0,0,4,0,0,0,0,0,0,0,0
FR_21222,Cussy-le-Châtel,110,74,1,0,0,0,0,0,38,0,0,0,1,0,21,0,0,12,1,0,0,0,0,0,0,0
FR_21223,Daix,1140,814,10,0,6,1,3,0,225,26,12,7,1,3,341,13,3,67,6,0,0,3,0,87,0,0
FR_21224,Dampierre-en-Montagne,62,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,0,0,31,0,0,0
FR_21225,Dampierre-et-Flée,101,69,0,0,1,0,0,0,21,0,0,1,0,1,24,0,0,14,3,0,0,0,0,4,0,0
FR_21226,Darcey,268,187,1,0,3,0,0,0,0,2,0,0,1,0,0,0,0,10,1,78,0,1,90,0,0,0
FR_21227,Darois,315,225,3,0,2,0,0,0,64,3,0,0,0,0,96,5,0,17,0,0,0,0,0,35,0,0
FR_21228,Détain-et-Bruant,87,62,1,0,2,1,0,0,20,0,0,1,1,0,20,0,1,15,0,0,0,0,0,0,0,0
FR_21229,Diancey,76,54,3,0,0,0,0,0,13,0,0,0,2,0,34,0,1,1,0,0,0,0,0,0,0,0
FR_21230,Diénay,188,150,3,0,1,1,0,0,0,1,0,4,3,0,0,0,0,15,0,39,0,0,83,0,0,0
FR_21231,Dijon,75012,50883,655,0,397,561,216,0,18751,1273,1040,533,139,274,18539,245,74,5214,294,0,0,26,2,2650,0,0
FR_21232,Dompierre-en-Morvan,163,129,7,0,5,1,0,0,0,4,0,0,3,1,0,0,2,14,2,20,0,0,70,0,0,0
FR_21233,Drambon,104,70,3,0,2,0,0,0,18,1,0,1,9,0,28,0,0,6,2,0,0,0,0,0,0,0
FR_21234,Drée,42,27,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,2,0,8,0,0,13,0,0,0
FR_21235,Duesme,52,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,26,0,0,0
FR_21236,Ébaty,143,85,3,0,2,1,0,0,49,0,0,0,2,0,14,0,0,13,1,0,0,0,0,0,0,0
FR_21237,Échalot,81,61,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,4,1,6,0,0,45,0,0,0
FR_21238,Échannay,92,72,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0,6,0,29,0,0,31,0,0,0
FR_21239,Échenon,467,253,8,0,5,1,1,0,129,0,0,2,8,3,50,0,5,41,0,0,0,0,0,0,0,0
FR_21240,Échevannes,124,78,1,0,0,1,0,0,0,2,0,3,13,0,0,0,0,12,0,15,0,1,30,0,0,0
FR_21241,Échevronne,238,173,6,0,1,1,3,0,74,0,0,4,2,1,76,0,0,5,0,0,0,0,0,0,0,0
FR_21242,Échigey,158,84,2,0,0,1,0,0,22,3,3,3,1,3,28,0,0,17,1,0,0,0,0,0,0,0
FR_21243,Écutigny,65,35,0,0,0,0,0,0,11,0,0,1,1,1,19,0,0,2,0,0,0,0,0,0,0,0
FR_21244,Éguilly,49,32,0,0,0,0,0,0,14,0,0,0,2,0,14,0,0,2,0,0,0,0,0,0,0,0
FR_21245,Épagny,179,138,3,0,4,3,0,0,0,6,0,0,5,1,0,0,2,14,5,26,0,0,69,0,0,0
FR_21246,Épernay-sous-Gevrey,131,91,1,0,0,1,0,0,43,0,0,1,1,2,19,0,2,19,2,0,0,0,0,0,0,0
FR_21247,Époisses,598,384,12,0,2,4,0,0,0,8,0,2,4,2,0,0,3,32,1,93,0,0,221,0,0,0
