gisco_id,name,registered,turnout,invalid,blank,EXG,PCF,LFI,PS,ECO,DIV,MoDem,LR,RN,DLF,DVG,RE,PRG,UDI,EXD,DVD,REG
FR_77412,Saint-Germain-sur-École,305,155,0,1,0,1,19,1,0,1,49,39,30,1,0,0,0,0,0,13,0
FR_77425,Saint-Martin-en-Bière,598,352,4,3,3,2,27,13,0,1,120,96,46,9,1,0,0,0,0,27,0
FR_77435,Saint-Sauveur-sur-École,869,480,1,8,3,5,57,9,0,8,204,96,52,12,1,0,0,0,0,24,0
FR_77487,Vaux-le-Pénil,8383,4089,26,74,45,79,520,358,0,44,1622,553,552,107,12,0,0,0,0,97,0
FR_77518,Villiers-en-Bière,166,92,0,2,4,0,11,5,0,0,26,24,12,3,2,0,0,0,0,3,0
FR_77528,Voisenon,853,437,1,7,4,2,58,13,0,4,139,84,85,13,1,0,0,0,0,26,0
FR_77001,Achères-la-Forêt,887,452,0,2,2,1,31,0,24,0,0,158,71,4,0,156,0,0,0,0,3
FR_77003,Amponville,309,159,0,1,0,0,9,0,10,0,0,43,29,5,0,62,0,0,0,0,0
FR_77009,Arville,103,61,2,0,1,0,1,0,6,1,0,20,11,0,0,19,0,0,0,0,0
FR_77011,Aufferville,390,179,1,2,6,2,17,0,4,0,0,66,37,0,0,44,0,0,0,0,0
FR_77014,Avon,8614,4542,19,56,38,89,506,0,365,41,0,1105,539,66,0,1702,0,0,0,0,16
FR_77016,Bagneaux-sur-Loing,985,459,5,9,11,9,55,0,25,2,0,117,91,15,0,119,0,0,0,0,1
FR_77027,Beaumont-du-Gâtinais,714,325,1,7,4,5,30,0,28,6,0,69,75,6,0,93,0,0,0,0,1
FR_77035,Blennes,432,204,2,1,4,3,21,0,16,0,0,34,64,6,0,53,0,0,0,0,0
FR_77037,Bois-le-Roi,4862,2601,8,18,16,43,254,0,220,22,0,539,228,50,0,1195,0,0,0,0,8
FR_77041,Boissy-aux-Cailles,242,138,1,0,2,0,9,0,12,2,0,38,18,2,0,54,0,0,0,0,0
FR_77045,Bougligny,537,247,2,1,3,2,22,0,7,2,0,85,64,7,0,52,0,0,0,0,0
FR_77046,Boulancourt,289,148,0,2,0,1,13,0,9,1,0,42,34,6,0,40,0,0,0,0,0
FR_77048,Bourron-Marlotte,2116,1139,3,10,8,4,72,0,67,8,0,334,141,28,0,462,0,0,0,0,2
FR_77050,Bransles,375,204,0,4,0,6,21,0,12,1,0,70,36,3,0,50,0,0,0,0,1
