gisco_id,name,registered,turnout,invalid,blank,NUPES,LR,ENS,RN,DVD,DVG,REG,DVC,UDI,DSV,DXG,DIV
FR_81192,Murat-sur-Vèbre,749,442,24,58,145,0,0,215,0,0,0,0,0,0,0,0
FR_81193,Nages,359,200,9,24,40,0,0,127,0,0,0,0,0,0,0,0
FR_81198,Orban,294,164,12,25,56,0,0,71,0,0,0,0,0,0,0,0
FR_81199,Padiès,154,86,7,11,32,0,0,36,0,0,0,0,0,0,0,0
FR_81203,Paulinet,438,251,18,43,74,0,0,116,0,0,0,0,0,0,0,0
FR_81211,Poulan-Pouzols,407,235,18,17,78,0,0,122,0,0,0,0,0,0,0,0
FR_81218,Puygouzon,3094,1592,73,222,578,0,0,719,0,0,0,0,0,0,0,0
FR_81221,Rayssac,196,124,17,20,16,0,0,71,0,0,0,0,0,0,0,0
FR_81222,Réalmont,2711,1441,89,203,494,0,0,655,0,0,0,0,0,0,0,0
FR_81227,Roquecourbe,1795,928,69,112,314,0,0,433,0,0,0,0,0,0,0,0
FR_81232,Rouffiac,537,330,12,52,128,0,0,138,0,0,0,0,0,0,0,0
FR_81233,Terre-de-Bancalié,1321,789,46,113,287,0,0,343,0,0,0,0,0,0,0,0
FR_81240,Saint-André,96,65,9,0,37,0,0,19,0,0,0,0,0,0,0,0
FR_81247,Saint-Cirgue,190,106,13,0,37,0,0,56,0,0,0,0,0,0,0,0
FR_81252,Saint-Germier,126,77,3,10,26,0,0,38,0,0,0,0,0,0,0,0
FR_81256,Saint-Jean-de-Vals,81,67,6,7,22,0,0,32,0,0,0,0,0,0,0,0
FR_81257,Saint-Juéry,5009,2529,121,297,1058,0,0,1053,0,0,0,0,0,0,0,0
FR_81259,Saint-Julien-Gaulène,197,129,10,19,37,0,0,63,0,0,0,0,0,0,0,0
FR_81264,Saint-Michel-Labadié,85,58,12,6,18,0,0,22,0,0,0,0,0,0,0,0
FR_81267,Saint-Pierre-de-Trivisy,511,323,21,47,118,0,0,137,0,0,0,0,0,0,0,0
FR_81268,Saint-Salvi-de-Carcavès,88,55,4,10,18,0,0,23,0,0,0,0,0,0,0,0
FR_81274,Saliès,705,369,9,54,140,0,0,166,0,0,0,0,0,0,0,0
FR_81282,Senaux,45,27,1,2,12,0,0,12,0,0,0,0,0,0,0,0
FR_81284,Le Sequestre,1446,793,34,72,376,0,0,311,0,0,0,0,0,0,0,0
FR_81287,Sieurac,194,104,5,11,26,0,0,62,0,0,0,0,0,0,0,0
FR_81295,Teillet,377,220,5,25,72,0,0,118,0,0,0,0,0,0,0,0
FR_81303,Trébas,279,165,16,23,83,0,0,43,0,0,0,0,0,0,0,0
FR_81305,Vabre,665,403,21,55,178,0,0,149,0,0,0,0,0,0,0,0
FR_81308,Valence-dAlbigeois,885,473,30,41,158,0,0,244,0,0,0,0,0,0,0,0
FR_81314,Viane,442,265,10,35,76,0,0,144,0,0,0,0,0,0,0,0
FR_81317,Villefranche-dAlbigeois,919,529,45,82,172,0,0,230,0,0,0,0,0,0,0,0
FR_81007,Alos,62,35,0,0,12,0,11,0,0,0,0,0,0,0,0,0
FR_81008,Almayrac,250,160,0,7,44,0,69,0,0,0,0,0,0,0,0,0
FR_81009,Amarens,57,36,1,1,14,0,12,0,0,0,0,0,0,0,0,0
FR_81012,Andillac,102,73,2,3,20,0,30,0,0,0,0,0,0,0,0,0
FR_81013,Andouque,323,205,5,3,77,0,89,0,0,0,0,0,0,0,0,0
FR_81018,Arthès,1981,1122,19,28,339,0,380,0,0,0,0,0,0,0,0,0
FR_81020,Aussac,216,150,0,1,37,0,60,0,0,0,0,0,0,0,0,0
FR_81024,Beauvais-sur-Tescou,273,145,0,8,43,0,48,0,0,0,0,0,0,0,0,0
FR_81029,Bernac,149,107,1,1,22,0,38,0,0,0,0,0,0,0,0,0
FR_81033,Blaye-les-Mines,2183,1216,22,21,500,0,263,0,0,0,0,0,0,0,0,0
FR_81035,Bournazel,167,104,1,4,31,0,47,0,0,0,0,0,0,0,0,0
FR_81038,Brens,1813,1045,6,18,314,0,424,0,0,0,0,0,0,0,0,0
FR_81039,Briatexte,1542,859,10,24,292,0,290,0,0,0,0,0,0,0,0,0
