gisco_id,name,registered,turnout,invalid,blank,EXG,FG,PRG,LÉ,ECO,LR,DVD,RN,PS,PRV,DVG,MoDem,EXD,NC (2007),AC,DIV,REG
FR_76114,Bolbec,7746,3958,71,0,85,801,0,60,0,869,0,618,1381,0,0,73,0,0,0,0,0
FR_76115,Bolleville,461,283,5,0,5,27,0,3,0,108,0,53,76,0,0,6,0,0,0,0,0
FR_76116,Boos,2610,1548,25,0,14,134,16,518,0,510,6,254,0,0,0,71,0,0,0,0,0
FR_76117,Bordeaux-Saint-Clair,441,294,2,0,7,18,0,4,0,130,0,34,95,0,0,4,0,0,0,0,0
FR_76118,Bornambusc,174,118,1,0,0,11,0,2,0,40,0,17,45,0,0,2,0,0,0,0,0
FR_76119,Bosc-Bérenger,155,94,1,0,4,3,0,2,0,51,0,7,26,0,0,0,0,0,0,0,0
FR_76120,Bosc-Bordel,311,211,6,0,3,2,1,64,0,88,0,40,0,0,0,7,0,0,0,0,0
FR_76121,Bosc-Édeline,245,161,0,0,1,6,0,42,0,75,2,32,0,0,0,3,0,0,0,0,0
FR_76122,Callengeville,335,219,7,0,1,6,0,3,0,86,1,28,67,0,0,20,0,0,0,0,0
FR_76123,Bosc-Guérard-Saint-Adrien,731,482,7,0,4,23,0,14,0,212,0,45,177,0,0,0,0,0,0,0,0
FR_76124,Bosc-Hyons,311,192,7,0,4,8,0,56,0,55,4,49,0,0,0,9,0,0,0,0,0
FR_76125,Bosc-le-Hard,1117,668,12,0,12,28,0,17,0,264,0,93,242,0,0,0,0,0,0,0,0
FR_76126,Bosc-Mesnil,211,121,6,0,1,6,0,3,0,33,0,22,50,0,0,0,0,0,0,0,0
FR_76127,Bosc-Roger-sur-Buchy,522,345,3,0,0,27,1,105,0,150,1,52,0,0,0,6,0,0,0,0,0
FR_76128,Bosville,381,250,3,0,3,15,0,3,0,93,0,33,100,0,0,0,0,0,0,0,0
FR_76129,Boudeville,148,98,1,0,1,4,0,1,0,38,0,19,34,0,0,0,0,0,0,0,0
FR_76130,Bouelles,198,140,1,0,2,12,0,1,0,59,0,23,37,0,0,5,0,0,0,0,0
FR_76131,La Bouille,532,327,11,0,6,29,0,13,0,0,0,52,132,0,0,0,0,84,0,0,0
FR_76132,Bourdainville,341,222,4,0,4,6,0,1,0,103,0,31,73,0,0,0,0,0,0,0,0
FR_76133,Le Bourg-Dun,361,253,6,0,1,23,0,5,0,92,2,38,84,0,0,2,0,0,0,0,0
FR_76134,Bourville,224,156,1,0,1,2,0,0,0,49,0,13,90,0,0,0,0,0,0,0,0
FR_76135,Bouville,775,503,9,0,7,15,0,6,0,163,3,59,233,0,2,0,0,6,0,0,0
FR_76136,Brachy,560,325,3,0,7,21,0,7,0,85,0,34,168,0,0,0,0,0,0,0,0
FR_76137,Bracquemont,738,486,10,0,9,76,0,6,0,108,5,86,184,0,0,2,0,0,0,0,0
FR_76138,Bracquetuit,276,152,4,0,1,10,0,8,0,70,0,19,40,0,0,0,0,0,0,0,0
FR_76139,Bradiancourt,157,92,3,0,0,5,0,6,0,33,0,17,28,0,0,0,0,0,0,0,0
FR_76140,Brametot,132,82,2,0,1,4,0,3,0,19,0,8,45,0,0,0,0,0,0,0,0
FR_76141,Bréauté,919,591,6,0,10,46,0,15,0,218,0,74,212,0,0,10,0,0,0,0,0
FR_76142,Brémontier-Merval,368,205,8,0,2,8,2,53,0,70,1,53,0,0,0,8,0,0,0,0,0
FR_76143,Bretteville-du-Grand-Caux,951,555,10,0,6,38,0,16,0,214,0,89,177,0,0,5,0,0,0,0,0
FR_76144,Bretteville-Saint-Laurent,139,105,0,0,0,1,0,4,0,62,0,8,30,0,0,0,0,0,0,0,0
FR_76145,Brunville,168,107,0,0,1,16,0,0,0,30,0,21,37,0,0,2,0,0,0,0,0
FR_76146,Buchy,1023,633,12,0,11,32,3,129,0,351,2,80,0,0,0,13,0,0,0,0,0
FR_76147,Bully,690,432,6,0,3,27,0,8,0,163,1,62,124,0,0,38,0,0,0,0,0
FR_76148,Bures-en-Bray,212,108,2,0,1,2,0,4,0,45,0,16,35,0,0,3,0,0,0,0,0
FR_76149,Butot,253,164,1,0,1,7,0,9,0,41,3,37,62,0,2,0,0,1,0,0,0
FR_76151,Cailleville,206,140,0,0,0,10,0,4,0,61,0,13,52,0,0,0,0,0,0,0,0
FR_76152,Cailly,590,364,7,0,7,14,0,9,0,179,0,40,108,0,0,0,0,0,0,0,0
FR_76153,Calleville-les-Deux-Églises,251,154,3,0,3,10,0,5,0,52,0,18,63,0,0,0,0,0,0,0,0
FR_76154,Campneuseville,404,238,4,0,2,11,0,1,0,68,0,23,127,0,0,2,0,0,0,0,0
FR_76155,Canehan,258,146,1,0,0,16,0,1,0,34,2,39,52,0,0,1,0,0,0,0,0
FR_76156,Canouville,206,136,3,0,2,7,0,2,0,60,0,14,48,0,0,0,0,0,0,0,0
