gisco_id,name,registered,turnout,invalid,blank,ENS,RN,NFP,UXD,LR,DVD,DVG,HOR,DVC,REG,UDI,EXD,DIV,ECO,DSV,LFI,PS
FR_48165,Saint-Laurent-de-Muret,200,152,2,1,0,67,46,0,0,36,0,0,0,0,0,0,0,0,0,0,0
FR_48166,Cans et Cévennes,300,235,4,1,0,41,161,0,0,28,0,0,0,0,0,0,0,0,0,0,0
FR_48167,Saint-Laurent-de-Veyrès,40,31,0,0,0,15,9,0,0,7,0,0,0,0,0,0,0,0,0,0,0
FR_48168,Saint-Léger-de-Peyre,181,138,4,2,0,63,46,0,0,23,0,0,0,0,0,0,0,0,0,0,0
FR_48169,Saint-Léger-du-Malzieu,201,162,1,11,0,66,50,0,0,34,0,0,0,0,0,0,0,0,0,0,0
FR_48170,Saint-Martin-de-Boubaux,193,157,1,3,0,25,119,0,0,9,0,0,0,0,0,0,0,0,0,0,0
FR_48171,Saint-Martin-de-Lansuscle,151,123,2,2,0,12,96,0,0,11,0,0,0,0,0,0,0,0,0,0,0
FR_48173,Saint-Michel-de-Dèze,187,147,0,1,0,72,62,0,0,12,0,0,0,0,0,0,0,0,0,0,0
FR_48174,Saint-Paul-le-Froid,138,109,2,0,0,69,13,0,0,25,0,0,0,0,0,0,0,0,0,0,0
FR_48175,Saint-Pierre-de-Nogaret,156,112,2,1,0,41,37,0,0,31,0,0,0,0,0,0,0,0,0,0,0
FR_48176,Saint-Pierre-des-Tripiers,108,90,0,0,0,14,60,0,0,16,0,0,0,0,0,0,0,0,0,0,0
FR_48177,Saint-Pierre-le-Vieux,279,225,2,3,0,108,73,0,0,39,0,0,0,0,0,0,0,0,0,0,0
FR_48178,Saint-Privat-de-Vallongue,234,181,0,3,0,70,90,0,0,18,0,0,0,0,0,0,0,0,0,0,0
FR_48179,Saint-Privat-du-Fau,118,95,0,4,0,33,36,0,0,22,0,0,0,0,0,0,0,0,0,0,0
FR_48181,Saint-Saturnin,73,59,0,3,0,23,20,0,0,13,0,0,0,0,0,0,0,0,0,0,0
FR_48182,Saint-Sauveur-de-Ginestoux,52,41,0,2,0,27,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0
FR_48185,Les Salelles,134,106,0,3,0,38,54,0,0,11,0,0,0,0,0,0,0,0,0,0,0
FR_48187,Les Salces,88,69,0,1,0,28,21,0,0,19,0,0,0,0,0,0,0,0,0,0,0
FR_48188,Serverette,208,165,0,6,0,60,61,0,0,38,0,0,0,0,0,0,0,0,0,0,0
FR_48190,Termes,204,172,0,4,0,79,51,0,0,38,0,0,0,0,0,0,0,0,0,0,0
FR_48191,La Tieule,97,75,1,0,0,36,21,0,0,17,0,0,0,0,0,0,0,0,0,0,0
FR_48192,Trélans,87,70,0,3,0,27,18,0,0,22,0,0,0,0,0,0,0,0,0,0,0
