gisco_id,registered,turnout,blank,invalid,A,B,C,F,I,J,N,O,V
DK_746,40432,26786,590,39,5885,1003,2945,3973,188,660,1421,3817,6265
DK_751,224510,143564,3544,278,36234,7360,13442,28783,1146,3710,10143,16123,22801
DK_756,29037,16991,503,33,2888,371,3420,1413,72,199,681,2966,4445
DK_760,42318,25660,786,38,3551,587,4770,2473,103,397,941,3454,8560
DK_766,33142,20589,640,58,3342,480,2995,2092,98,373,882,3918,5711
DK_773,16817,9297,341,24,1914,234,1231,1041,22,166,583,1382,2359
DK_779,36284,19783,780,46,3839,948,1995,2304,54,254,1613,2764,5186
DK_787,33812,18751,554,47,3744,450,2966,2356,47,442,970,2601,4574
DK_791,68627,40933,1221,92,8177,1315,4452,4970,173,663,2173,5113,12584
DK_810,26740,14092,456,19,3172,376,1809,1714,58,377,870,1792,3449
DK_813,48231,23498,691,64,5415,531,2892,2853,92,776,1380,3905,4899
DK_820,28303,15194,436,44,2543,363,2308,1550,45,662,637,2157,4449
DK_825,1615,824,22,2,154,17,76,93,4,24,72,156,204
DK_840,20948,12649,371,24,2455,424,1642,1826,65,392,614,1637,3199
DK_846,31724,17856,569,34,3803,474,2507,2280,79,459,936,2571,4144
DK_849,29134,16020,407,35,4513,360,1885,1627,59,380,1029,2121,3604
DK_851,149423,81723,2785,215,19321,3106,9483,13332,499,2747,5581,10383,14271
DK_860,50454,26352,830,65,5597,707,3720,3396,97,787,1539,3484,6130
