gisco_id,registered,turnout,blank,invalid,A,B,C,F,I,N,O,V
DK_773,16215,8522,130,28,1696,229,640,549,199,499,2605,1947
DK_779,33161,17517,370,34,3308,1007,1233,1145,320,1254,5180,3666
DK_787,33273,17888,289,54,3327,534,1719,1342,396,1092,5209,3926
DK_791,69571,38537,809,142,6887,1771,3065,3268,863,2098,9832,9802
DK_810,26690,13571,267,52,3062,431,1104,791,399,1050,3692,2723
DK_813,47088,22624,419,79,4986,545,1526,1482,527,1672,7756,3632
DK_820,27851,13454,302,22,2037,401,1511,873,278,833,4233,2964
DK_825,1517,681,5,3,129,22,33,52,11,43,252,131
DK_840,21115,11786,209,21,2118,668,981,1024,336,835,3057,2537
DK_846,31698,15931,301,30,3250,574,1286,1181,375,1096,4668,3170
DK_849,29027,15237,244,40,4166,358,888,799,405,1107,4304,2926
DK_851,156581,77477,1896,175,17397,4452,5584,7599,2734,7211,18897,11532
DK_860,49825,24184,460,85,5171,805,2149,1892,747,1633,6743,4499
