gisco_id,registered,turnout,blank,invalid,A,B,C,F,J,K,N,O,V
DK_383,5090,2763,91,9,1121,94,187,197,229,6,101,188,540
DK_385,5382,2475,36,7,726,107,276,147,247,11,99,206,613
DK_387,7300,3396,52,10,1342,136,352,201,245,12,137,211,698
DK_389,8674,4507,60,12,1482,193,629,264,447,15,232,331,842
DK_391,5268,2730,35,5,965,120,247,232,195,15,139,197,580
DK_393,6222,3124,49,8,1046,128,267,201,368,13,145,226,673
DK_395,5585,2916,32,4,983,123,420,164,219,12,129,249,581
DK_397,15827,7654,108,19,2793,371,913,577,685,24,423,518,1223
DK_400,33415,16246,405,46,6154,606,849,709,1403,735,873,1003,3463
DK_411,73,61,4,0,15,1,2,4,16,0,8,1,10
DK_421,8232,3688,59,5,1272,165,549,211,313,17,139,214,744
DK_423,4869,2288,19,0,743,91,305,109,220,10,88,191,512
DK_425,4724,2311,52,2,707,114,331,131,169,9,76,176,544
DK_427,6528,3302,42,6,915,185,242,356,438,16,201,191,710
DK_429,7496,3467,65,6,1097,175,430,196,309,16,139,233,801
DK_431,13313,6754,86,3,2102,361,863,467,651,28,294,475,1424
DK_433,4427,2238,30,13,726,144,321,158,194,13,82,118,439
DK_435,4636,2322,39,1,660,152,199,185,214,12,103,175,582
DK_437,3733,1867,23,2,524,101,278,105,169,18,62,119,466
DK_439,8264,4410,59,7,1368,194,525,352,444,20,196,310,935
DK_441,4638,2193,34,3,804,67,335,95,180,14,67,180,414
DK_443,2591,1184,20,1,373,23,258,64,108,12,52,99,174
DK_445,15292,7266,90,8,2719,387,1008,455,600,55,221,472,1251
DK_447,4218,1970,38,3,903,61,185,124,164,12,113,124,243
DK_449,14485,6413,85,11,2385,286,851,484,550,26,298,470,967
DK_451,4021,1970,23,4,657,123,199,106,192,11,77,123,455
DK_461,138984,64267,812,90,22713,4010,10185,6299,5556,453,2885,3490,7774
DK_471,8240,3846,39,4,1282,180,480,219,318,17,123,270,914
DK_473,8467,4258,53,12,1277,223,473,346,365,29,210,256,1014
DK_475,5174,2171,43,3,730,105,176,191,238,14,124,119,428
DK_477,5147,2440,32,3,816,152,249,188,232,29,89,122,528
DK_479,32920,15330,224,30,4791,977,1661,1437,1551,104,855,1092,2608
DK_481,3321,1355,25,3,345,71,111,72,129,4,69,93,433
DK_483,8369,4114,66,6,1398,153,629,210,320,7,158,268,899
DK_485,5745,2827,35,6,881,155,392,246,252,18,86,170,586
DK_487,2791,1245,9,4,363,70,134,81,133,6,70,116,259
DK_489,3796,1799,21,2,684,58,182,100,128,4,74,118,428
DK_491,4520,1945,21,2,655,84,310,138,182,16,87,142,308
DK_493,3023,1402,18,2,420,50,188,86,114,13,51,79,381
