gisco_id,name,registered,turnout,invalid,blank,PS,PPD/PSD,B.E.,PCP-PEV,CDS-PP,PAN,A,L,PPM.PPV/CDC,NC,IL,PCTP/MRPP,PNR,PDR,PURP,PTP,MAS
PT_090732,Porto Da Carne,291,108,0,4,25,50,12,1,9,3,0,1,3,0,0,0,0,0,0,0,0
PT_090730,Pêra Do Moço,784,341,16,26,88,133,20,7,18,7,2,8,9,0,2,2,2,1,0,0,0
PT_090729,Pega,221,63,3,5,15,22,3,1,5,2,3,0,1,1,0,1,1,0,0,0,0
PT_090728,Panoias De Cima,586,190,9,9,58,46,21,9,12,10,2,3,4,1,1,2,1,1,1,0,0
PT_090725,Meios,181,65,2,0,23,26,2,1,7,1,0,0,0,0,0,2,0,0,1,0,0
PT_090724,Marmeleiro,453,131,1,0,31,67,1,2,18,1,1,1,2,1,0,0,1,0,1,1,2
PT_090723,Maçainhas De Baixo,989,417,25,8,168,92,41,22,23,12,9,3,4,0,1,5,2,1,1,0,0
PT_090722,João Antão,137,62,3,1,24,27,1,1,0,0,0,0,2,0,0,1,1,0,1,0,0
PT_090721,Gonçalo Bocas,216,109,7,7,35,34,6,2,13,1,0,0,0,0,1,2,1,0,0,0,0
PT_090718,Fernão Joanes,288,109,4,2,63,23,3,1,6,2,2,0,0,0,0,0,0,0,2,1,0
PT_090717,Famalicão,509,158,10,6,72,33,15,1,5,2,2,2,3,0,0,3,2,0,1,0,1
PT_090716,Faia,174,60,1,4,23,21,3,0,1,1,1,3,1,0,0,0,1,0,0,0,0
PT_090714,Codesseiro,226,100,2,6,25,38,12,1,5,0,6,1,1,0,0,1,0,0,0,2,0
PT_090713,Cavadoude,267,86,4,3,40,23,4,2,1,6,1,0,1,1,0,0,0,0,0,0,0
PT_090712,Castanheira,377,129,7,9,29,64,4,0,6,1,1,1,1,1,0,0,2,0,1,1,1
PT_090711,Casal De Cinza,489,169,7,11,37,70,15,2,9,3,4,3,3,0,1,0,1,2,0,1,0
PT_090709,Benespera,316,84,4,2,35,31,3,2,1,1,0,1,0,0,0,1,0,0,0,2,1
PT_090708,Avelãs Da Ribeira,158,64,0,1,34,17,5,2,1,2,1,1,0,0,0,0,0,0,0,0,0
PT_090706,Arrifana,497,200,8,9,57,63,17,4,16,6,7,1,3,1,2,2,2,0,0,0,2
PT_090705,Alvendre,205,69,2,6,37,15,2,1,1,1,0,0,2,0,0,0,0,1,1,0,0
PT_090704,Aldeia Viçosa,329,128,2,4,47,55,5,4,2,2,4,0,0,0,0,2,0,1,0,0,0
PT_090703,Aldeia Do Bispo,197,114,6,3,45,35,9,3,3,3,0,2,3,0,0,1,0,0,0,1,0
PT_090628,Rio Torto e Lagarinhos,803,264,12,21,51,106,19,5,25,9,3,2,0,3,0,3,0,2,1,1,1
PT_090627,Moimenta da Serra e Vinhó,1036,368,11,24,148,83,40,19,10,5,9,1,7,0,3,2,2,1,2,0,1
PT_090626,Melo e Nabais,886,244,14,2,86,86,7,14,7,7,4,2,3,0,1,3,3,0,2,0,3
