gisco_id,name,registered,turnout,invalid,blank,PPD/PSD.CDS-PP,PS,B.E.,PDA,PCP-PEV,PCTP/MRPP,MD,POUS,PND,PPM,P.N.R.,MPT,P.H.
PT_010101,Agadão,507,155,3,1,102,43,1,1,1,1,1,1,0,0,0,0,0
PT_010102,Aguada De Baixo,1477,452,5,13,255,127,18,0,9,2,2,0,6,9,0,2,4
PT_010103,Aguada De Cima,3283,909,13,34,480,314,20,3,22,6,1,2,7,6,0,1,0
PT_010104,Águeda,10050,3367,35,86,1226,1622,129,3,162,24,7,0,36,12,4,10,11
PT_010105,Barrô,1448,459,11,26,216,163,17,1,6,1,2,1,5,5,0,2,3
PT_010106,Belazaima Do Chão,522,210,1,5,69,124,5,1,1,0,1,0,2,0,0,1,0
PT_010107,Castanheira Do Vouga,616,219,2,13,130,61,2,0,0,0,1,0,6,2,1,0,1
PT_010108,Espinhel,2406,705,5,18,249,379,15,0,17,6,1,0,7,1,2,4,1
PT_010109,Fermentelos,2440,1019,8,18,781,153,20,1,13,4,3,1,6,6,0,2,3
PT_010110,Lamas Do Vouga,686,258,4,10,87,140,1,2,6,1,1,0,1,0,3,2,0
PT_010111,Macieira De Alcoba,142,62,2,1,37,18,1,0,1,1,1,0,0,0,0,0,0
PT_010112,Macinhata Do Vouga,2921,860,6,23,345,400,23,1,40,4,0,0,8,4,1,1,4
PT_010113,Óis Da Ribeira,631,320,4,25,123,139,7,2,6,3,0,0,6,1,1,1,2
PT_010114,Préstimo,887,241,7,6,121,76,3,0,12,1,1,3,2,5,1,1,2
PT_010115,Recardães,2490,992,9,26,360,493,33,5,39,6,2,0,10,5,1,2,1
PT_010116,Segadães,736,233,1,11,104,95,4,1,4,4,0,0,4,0,0,3,2
PT_010117,Travassô,1400,530,2,22,262,197,20,3,5,4,0,0,6,2,2,2,3
PT_010118,Trofa,2391,947,12,37,352,415,38,0,63,10,1,1,7,2,3,3,3
PT_010119,Valongo Do Vouga,4206,1263,19,44,450,599,26,3,80,14,6,2,10,3,1,2,4
PT_010120,Borralha,1838,702,5,23,257,359,17,1,23,6,4,0,2,4,1,0,0
PT_010201,Albergaria-a-Velha,5995,2027,30,76,925,766,107,3,57,13,7,1,27,9,0,3,3
PT_010202,Alquerubim,1993,659,13,17,315,265,14,1,11,4,2,2,7,2,3,1,2
PT_010203,Angeja,1879,703,7,16,262,301,34,4,49,9,0,1,10,4,2,1,3
PT_010204,Branca,4129,1441,19,59,720,496,43,4,39,10,5,2,25,6,6,4,3
PT_010205,Frossos,801,306,4,4,157,115,7,0,8,3,2,1,3,2,0,0,0
PT_010206,Ribeira De Fráguas,1516,617,9,26,292,235,13,1,7,3,2,1,14,5,2,5,2
PT_010207,São João De Loure,1782,668,11,17,390,185,16,1,14,5,1,1,13,5,1,3,5
PT_010208,Valmaior,1676,591,7,14,265,232,17,2,27,8,3,0,10,4,0,0,2
PT_010301,Amoreira Da Gândara,1135,412,10,17,240,106,7,4,3,6,3,1,6,2,1,2,4
PT_010302,Ancas,728,289,4,15,157,83,4,1,7,2,0,1,7,5,1,1,1
PT_010303,Arcos,4369,1632,15,68,676,642,97,2,78,8,7,1,19,4,2,7,6
PT_010304,Avelãs De Caminho,1089,375,5,11,182,141,15,2,8,1,0,0,3,3,3,0,1
PT_010305,Avelãs De Cima,1982,690,10,24,468,136,15,0,7,2,3,0,12,3,0,8,2
PT_010306,Mogofores,948,397,7,17,155,172,19,0,11,0,1,0,6,2,4,1,2
PT_010307,Moita,2264,724,8,29,366,247,36,2,15,2,4,2,6,4,1,1,1
PT_010308,Óis Do Bairro,436,188,1,8,95,67,11,0,0,0,0,1,4,1,0,0,0
PT_010309,Sangalhos,3966,1427,24,74,689,458,61,1,44,20,10,2,15,16,5,3,5
PT_010310,São Lourenço Do Bairro,2091,642,14,15,324,236,17,2,6,4,1,2,8,2,1,3,7
PT_010311,Tamengos,1323,525,5,22,279,179,14,1,3,1,2,0,7,8,1,1,2
PT_010312,Vila Nova De Monsarros,1638,373,8,12,156,167,8,0,5,4,0,0,3,2,2,2,4
PT_010313,Vilarinho Do Bairro,2784,881,15,33,586,179,16,8,10,2,9,0,12,3,1,3,4
PT_010314,Paredes Do Bairro,1025,433,5,23,298,78,5,0,3,3,1,1,10,3,2,0,1
PT_010315,Aguim,1054,359,1,8,166,155,13,1,6,1,0,0,5,0,0,1,2
PT_010401,Albergaria Da Serra,160,50,1,1,14,32,0,0,1,0,1,0,0,0,0,0,0
PT_010402,Alvarenga,1325,509,7,20,287,149,9,1,14,2,3,2,2,3,1,2,7
PT_010403,Arouca,2310,916,15,36,402,375,33,1,17,9,0,0,11,7,1,3,6
PT_010404,Burgo,1792,627,12,19,309,232,24,2,8,3,1,1,13,1,0,0,2
PT_010405,Cabreiros,213,66,1,1,35,19,2,1,0,3,0,3,0,0,0,0,1
PT_010406,Canelas,676,169,0,2,108,45,4,0,7,0,1,0,0,1,0,0,1
PT_010407,Chave,1083,416,2,15,168,162,22,0,5,1,1,1,12,20,3,2,2
PT_010408,Covelo de Paivó,159,46,1,0,27,15,0,0,2,0,0,0,1,0,0,0,0
PT_010409,Escariz,1747,530,2,3,320,172,7,1,5,3,3,1,4,2,3,4,0
PT_010410,Espiunca,444,151,3,0,93,44,0,1,2,2,0,0,1,2,1,1,1
PT_010411,Fermedo,1269,419,4,4,226,144,6,2,18,1,0,1,4,3,2,3,1
PT_010412,Janarde,167,45,0,1,32,10,1,0,0,0,0,0,1,0,0,0,0
PT_010413,Mansores,958,326,4,5,213,81,3,1,2,3,1,2,2,3,2,2,2
PT_010414,Moldes,1237,397,6,9,159,181,14,1,7,0,0,1,5,7,3,0,4
PT_010415,Rossas,1364,386,2,11,216,111,7,1,19,2,1,1,10,3,0,0,2
PT_010416,Santa Eulália,1983,630,4,20,337,224,14,1,7,3,2,0,8,3,0,3,4
PT_010417,São Miguel Do Mato,742,203,0,4,142,45,3,1,1,0,2,0,4,0,0,1,0
PT_010418,Tropeço,1021,269,7,8,167,70,5,0,5,2,0,0,0,1,2,1,1
PT_010419,Urrô,1054,295,6,8,176,81,8,1,7,1,2,4,0,0,0,0,1
PT_010420,Várzea,444,196,5,4,123,58,0,0,0,0,0,2,2,0,0,1,1
PT_010501,Aradas,6642,2397,24,90,1180,848,111,6,69,13,9,2,12,7,5,9,12
PT_010502,Cacia,5468,1943,24,88,653,893,112,2,86,13,8,3,20,15,4,12,10
PT_010503,Eirol,609,289,2,12,161,85,4,1,7,2,3,1,6,3,0,1,1
PT_010504,Eixo,3958,1344,13,48,553,540,66,1,66,15,3,3,16,7,3,4,6
PT_010505,Esgueira,9384,3694,45,127,1183,1754,245,2,190,34,12,3,39,20,15,17,8
PT_010506,Glória,8984,4045,40,138,1572,1619,344,4,199,16,10,3,45,27,10,14,4
PT_010507,Nariz,1150,392,11,10,258,74,11,2,6,4,1,0,5,0,3,3,4
PT_010508,Oliveirinha,4138,1433,21,41,876,383,40,4,12,6,7,3,16,9,1,6,8
PT_010509,Requeixo,1015,320,5,9,206,72,6,1,4,6,1,0,1,3,0,4,2
PT_010510,São Bernardo,3572,1479,11,55,749,460,99,1,41,7,9,2,20,5,6,7,7
PT_010511,São Jacinto,842,283,4,5,70,172,9,1,14,1,1,0,3,1,0,0,2
PT_010512,Vera Cruz,6644,3237,24,115,1177,1349,279,1,192,14,6,1,36,17,2,15,9
PT_010513,Santa Joana,6348,2421,33,86,1117,887,114,5,75,21,11,4,38,12,7,9,2
PT_010514,Nossa Senhora De Fátima,1530,483,6,24,340,86,4,1,9,1,2,0,5,2,0,0,3
PT_010601,Bairros,1517,507,7,14,155,303,6,0,5,4,1,0,3,2,2,2,3
PT_010602,Fornos,1417,545,8,14,118,372,9,2,9,2,1,1,5,1,1,0,2
PT_010603,Paraíso,842,314,5,5,126,152,5,0,9,1,2,1,1,1,1,2,3
PT_010604,Pedorido,1344,396,10,5,91,260,10,0,11,0,3,0,1,1,0,0,4
PT_010605,Raiva,2033,596,8,12,122,385,24,0,25,3,2,0,4,1,2,2,6
PT_010606,Real,1132,367,4,11,114,223,4,1,4,1,0,0,2,2,0,0,1
PT_010607,Santa Maria De Sardoura,2096,694,6,10,298,329,7,0,9,10,3,2,10,3,1,2,4
PT_010608,São Martinho De Sardoura,1473,489,9,9,249,201,4,1,3,4,1,0,4,1,1,1,1
PT_010609,Sobrado,2204,816,12,36,270,438,21,0,19,3,2,0,3,4,1,3,4
PT_010701,Anta,8937,4200,52,167,1315,1982,139,3,309,93,16,7,54,15,9,18,21
PT_010702,Espinho,10566,5351,63,182,2260,1960,316,3,382,38,10,3,63,25,13,19,14
PT_010703,Guetim,1271,631,12,24,264,261,13,1,27,9,3,2,7,2,0,1,5
PT_010704,Paramos,3065,1405,19,34,388,738,45,2,116,27,10,4,8,5,1,2,6
PT_010705,Silvalde,6359,2960,34,63,552,1836,68,4,296,48,9,3,23,5,4,4,11
PT_010801,Avanca,5211,1800,22,50,767,755,55,1,70,16,7,1,24,5,7,7,13
PT_010802,Beduído,6295,2712,44,86,1050,1114,134,5,175,31,17,2,24,12,4,6,8
PT_010803,Canelas,1223,542,8,27,287,155,21,0,24,2,1,0,9,3,2,1,2
PT_010804,Fermelã,1312,566,9,13,285,194,12,0,33,2,2,0,6,4,1,2,3
PT_010805,Pardilhó,3327,1050,6,30,483,394,37,2,57,6,3,1,15,1,4,6,5
PT_010806,Salreu,3429,1201,16,35,643,408,36,2,35,1,5,0,6,3,3,4,4
PT_010807,Veiros,1902,539,15,19,280,166,17,5,13,5,3,1,7,1,3,1,3
PT_010901,Argoncilhe,6657,2775,46,80,1082,1285,79,3,75,17,11,7,38,11,11,14,16
PT_010902,Arrifana,5441,2226,21,42,644,1303,71,5,57,17,4,5,23,13,7,5,9
PT_010903,Canedo,4885,1194,21,31,549,478,22,5,30,11,2,4,21,6,3,4,7
PT_010904,Escapães,2544,1055,11,32,361,557,32,3,28,4,4,1,11,9,1,0,1
PT_010905,Espargo,1240,471,13,16,156,226,13,2,18,3,0,4,8,4,0,3,5
PT_010906,Feira,8934,3647,45,111,1298,1718,191,4,130,22,21,2,62,7,5,15,16
PT_010907,Fiães,7220,2980,40,79,759,1732,88,4,170,21,14,3,26,8,10,7,19
PT_010908,Fornos,2355,939,13,30,316,492,24,0,35,4,3,2,3,6,4,4,3
PT_010909,Gião,1322,435,6,11,214,158,11,0,9,2,5,0,12,0,5,1,1
PT_010910,Guisande,1142,488,1,9,220,226,5,0,11,5,1,0,2,1,1,3,3
PT_010911,Lobão,4355,1391,17,29,564,643,25,1,33,10,4,3,34,5,3,7,13
PT_010912,Louredo,1275,417,6,17,225,140,3,2,8,0,1,0,8,6,1,0,0
PT_010913,Lourosa,7996,3378,49,103,1023,1912,72,5,74,35,23,5,31,10,5,13,18
PT_010914,Milheirós De Poiares,2837,1199,11,30,366,664,35,0,35,7,6,7,16,2,3,7,10
PT_010915,Mosteiró,1735,609,11,6,178,340,14,1,24,13,3,0,7,3,1,3,5
PT_010916,Mozelos,5096,2384,24,86,751,1279,65,3,82,21,6,4,38,9,3,4,9
PT_010917,Nogueira Da Regedoura,3892,1658,14,32,606,845,31,1,66,14,5,2,25,5,5,0,7
PT_010918,São Paio De Oleiros,3455,1696,28,37,468,801,39,2,241,26,11,2,22,5,3,1,10
PT_010919,Paços De Brandão,4144,2118,33,72,984,866,57,2,43,9,3,2,21,8,0,10,8
PT_010920,Pigeiros,1060,433,5,6,135,226,7,1,30,8,3,1,3,2,1,1,4
PT_010921,Rio Meão,3913,1671,16,49,611,863,29,1,53,14,6,2,15,3,3,3,3
PT_010922,Romariz,2902,1037,8,29,464,463,16,3,9,3,3,2,16,7,4,6,4
PT_010923,Sanfins,1507,570,7,19,169,309,16,0,16,2,6,1,14,2,1,4,4
PT_010924,Sanguedo,2615,1034,24,24,399,479,29,4,23,4,6,0,27,1,2,3,9
PT_010925,Santa Maria De Lamas,4436,1994,26,46,679,1071,38,12,64,10,3,1,24,7,2,4,7
PT_010926,São João De Ver,6251,2502,33,56,592,1542,104,2,100,22,8,3,22,7,4,4,3
PT_010927,Caldas De São Jorge,2082,855,6,25,286,449,22,2,39,2,4,1,9,3,3,1,3
PT_010928,Souto,3983,1280,18,23,405,686,45,2,48,9,5,3,12,5,6,2,11
PT_010929,Travanca,1482,567,5,11,188,302,17,3,17,5,1,0,10,2,1,2,3
PT_010930,Vale,1760,489,5,15,267,171,4,1,8,3,1,1,5,3,2,1,2
PT_010931,Vila Maior,1157,505,6,4,245,206,6,3,10,3,2,2,7,2,1,3,5
PT_011001,Gafanha Do Carmo,1162,440,6,9,231,158,10,2,6,3,2,2,4,0,2,3,2
PT_011002,Gafanha Da Encarnação,3692,1076,10,32,623,293,33,2,33,10,7,4,11,8,2,5,3
PT_011003,Gafanha Da Nazaré,11325,3795,54,144,1658,1380,224,7,166,40,11,5,60,14,9,17,6
PT_011004,Ílhavo (São Salvador),12763,4583,52,195,1987,1738,239,9,208,24,18,7,48,21,14,14,9
PT_011101,Antes,733,317,3,8,135,154,11,1,2,0,0,0,2,0,0,0,1
PT_011102,Barcouço,1739,567,11,16,137,327,26,1,34,4,1,1,4,0,0,1,4
PT_011103,Casal Comba,2788,820,8,26,189,501,26,1,41,5,3,3,10,0,2,3,2
PT_011104,Luso,2386,767,9,19,181,458,34,1,41,6,2,0,8,1,1,6,0
PT_011105,Mealhada,3163,1177,16,36,354,577,85,0,75,8,1,3,13,2,1,3,3
PT_011106,Pampilhosa,3437,1211,10,45,273,687,69,1,91,10,2,0,13,3,2,1,4
PT_011107,Vacariça,1906,518,9,14,147,303,9,0,21,4,1,0,3,1,0,4,2
PT_011108,Ventosa Do Bairro,1121,318,3,9,171,115,4,0,2,2,1,0,5,2,1,1,2
PT_011201,Bunheiro,2189,713,11,23,440,173,14,2,22,1,2,3,6,7,2,3,4
PT_011202,Monte,1217,406,6,16,222,124,14,1,5,1,0,1,6,2,1,3,4
PT_011203,Murtosa,2694,799,9,20,539,167,20,2,18,2,2,2,6,2,3,2,5
PT_011204,Torreira,2181,436,4,17,216,156,18,0,9,2,1,0,7,2,0,3,1
PT_011301,Carregosa,3014,1212,25,56,567,426,42,6,21,7,6,2,20,7,12,6,9
PT_011302,Cesar,2561,1133,9,38,474,487,33,1,40,11,10,2,12,4,3,5,4
PT_011303,Fajões,2687,885,19,18,419,326,22,3,39,10,4,2,14,4,2,1,2
PT_011304,Loureiro,2687,1245,15,24,820,299,22,7,18,7,3,5,11,4,1,2,7
PT_011305,Macieira De Sarnes,1756,823,10,23,196,440,28,1,81,12,5,0,13,4,4,3,3
PT_011306,Macinhata Da Seixa,1147,458,3,22,195,210,9,1,4,3,0,1,4,0,1,3,2
PT_011307,Madail,664,318,3,9,189,91,6,0,6,1,2,1,4,3,0,0,3
PT_011308,Nogueira Do Cravo,2131,1121,18,41,363,555,38,2,58,9,2,3,20,4,4,1,3
PT_011309,Oliveira De Azeméis,8553,3519,43,142,1491,1478,149,5,89,22,15,4,44,9,7,7,14
PT_011310,Ossela,1896,789,16,26,392,299,9,3,7,10,6,1,8,3,3,1,5
PT_011311,Palmaz,1809,701,9,13,294,340,3,3,16,3,4,1,7,2,0,1,5
PT_011312,Pindelo,2233,889,17,14,293,465,23,3,29,11,13,0,6,4,1,5,5
PT_011313,Pinheiro Da Bemposta,2909,902,12,17,425,389,15,2,10,3,3,1,12,5,1,4,3
PT_011314,Santiago De Riba-Ul,3059,1323,14,46,452,664,32,2,68,9,4,1,14,2,3,4,8
PT_011315,São Martinho Da Gândara,1813,737,10,17,338,324,13,1,11,7,1,0,7,4,0,3,1
PT_011316,Travanca,1355,469,4,11,211,212,10,2,6,3,3,0,1,0,4,0,2
PT_011317,Ul,2219,805,16,22,354,360,10,1,13,5,2,2,4,2,3,3,8
PT_011318,São Roque,4307,1725,29,54,616,873,55,3,37,13,4,3,19,6,6,2,5
PT_011319,Vila De Cucujães,9752,3653,48,78,1131,2093,87,3,91,23,13,6,31,11,5,12,21
PT_011401,Bustos,2072,744,9,26,497,129,16,4,26,5,1,0,19,4,2,3,3
PT_011402,Mamarrosa,1336,505,9,17,356,82,8,1,8,1,2,1,7,6,2,1,4
PT_011403,Oiã,5537,1897,24,58,1245,386,36,7,55,9,3,2,33,6,8,13,12
PT_011404,Oliveira Do Bairro,4266,1369,14,64,828,336,40,2,35,3,7,2,17,7,7,4,3
PT_011405,Palhaça,2137,771,9,35,565,104,9,2,7,2,4,1,17,4,5,3,4
PT_011406,Troviscal,2116,784,21,37,524,133,8,5,31,1,6,1,9,5,1,1,1
PT_011501,Arada,2466,902,10,30,349,390,24,1,45,13,6,1,11,9,3,3,7
PT_011502,Cortegaça,3197,1353,19,48,389,746,58,4,45,14,4,4,16,1,1,2,2
PT_011503,Esmoriz,9018,3010,53,174,1023,1360,126,4,161,30,8,7,25,7,5,16,11
PT_011504,Maceda,2902,1099,9,25,324,583,28,1,83,10,5,1,13,6,2,3,6
PT_011505,Ovar,13561,5500,38,226,1520,2539,427,1,576,43,21,6,44,16,14,19,10
PT_011506,São Vicente De Pereira Jusã,1925,732,3,18,314,353,7,1,12,7,1,2,4,0,1,5,4
PT_011507,Válega,4961,1655,16,35,638,784,40,3,76,8,12,4,14,4,5,6,10
PT_011508,São João De Ovar,5229,2000,33,67,533,1025,75,2,186,37,4,1,20,6,0,6,5
PT_011601,São João Da Madeira,18466,8031,83,248,2633,3995,344,7,449,51,32,9,87,29,14,20,30
PT_011701,Cedrim,891,399,5,11,264,75,6,1,19,3,0,0,9,2,2,1,1
PT_011702,Couto De Esteves,1016,403,10,25,259,94,5,0,1,1,1,0,0,2,1,0,4
PT_011703,Paradela,728,254,7,4,165,54,7,1,2,3,0,0,3,3,0,4,1
PT_011704,Pessegueiro Do Vouga,1728,606,3,26,361,160,17,2,10,1,2,1,6,7,2,4,4
PT_011705,Rocas Do Vouga,1696,534,10,20,239,207,10,4,16,4,1,0,6,4,0,4,9
PT_011706,Sever Do Vouga,1985,861,17,30,501,229,30,1,16,7,3,0,16,3,0,2,6
PT_011707,Silva Escura,1511,633,15,8,338,203,23,1,17,4,0,1,7,4,3,5,4
PT_011708,Talhadas,1190,440,2,10,236,164,8,0,2,7,0,0,8,2,0,1,0
PT_011709,Dornelas,626,301,9,19,145,98,7,2,4,5,0,0,6,2,0,2,2
PT_011801,Calvão,1517,583,6,14,400,100,20,1,11,2,1,1,6,9,3,8,1
PT_011802,Covão Do Lobo,989,322,3,6,277,27,2,0,2,0,0,1,3,0,0,1,0
PT_011803,Fonte De Angeão,1171,411,7,14,322,54,4,0,1,0,2,0,2,2,2,1,0
PT_011804,Gafanha Da Boa Hora,1718,368,5,9,257,68,12,0,4,3,1,0,3,1,2,1,2
PT_011805,Ouca,1356,439,5,6,352,51,4,1,5,1,3,0,5,2,3,0,1
PT_011806,Ponte De Vagos,1459,439,4,9,364,34,2,0,6,1,6,0,7,4,0,1,1
PT_011807,Sosa,2200,618,6,24,438,108,11,2,5,5,3,0,7,3,4,2,0
PT_011808,Vagos,3115,1180,17,34,605,377,66,2,39,5,5,1,11,5,1,8,4
PT_011809,Santo António De Vagos,1336,381,11,3,294,51,13,1,3,0,0,0,2,2,0,1,0
PT_011810,Santo André De Vagos,1535,578,16,6,503,35,3,0,4,1,2,0,3,2,0,2,1
PT_011811,Santa Catarina,923,300,7,13,231,30,3,2,3,0,0,0,8,2,0,0,1
PT_011901,Arões,1879,565,9,21,355,124,9,1,9,2,5,0,9,3,6,5,7
PT_011902,São Pedro De Castelões,6229,2603,72,119,1174,931,89,4,59,28,29,8,44,17,10,9,10
PT_011903,Cepelos,1498,516,6,13,301,149,9,1,11,3,6,0,5,4,1,4,3
PT_011904,Codal,862,377,14,20,129,147,14,1,22,5,5,0,6,5,2,4,3
PT_011905,Junqueira,1186,537,22,14,365,105,6,2,2,2,1,0,7,0,2,4,5
PT_011906,Macieira De Cambra,4402,1886,40,57,598,998,55,2,55,10,15,2,25,9,6,7,7
PT_011907,Roge,1674,548,14,14,214,257,10,1,10,5,4,0,6,3,4,3,3
PT_011908,Vila Chã,3297,1513,40,66,629,615,53,1,47,10,12,1,18,7,2,6,6
PT_011909,Vila Cova De Perrinho,417,182,4,4,73,75,3,0,11,4,0,1,1,3,1,0,2
PT_020101,Aljustrel,4712,2032,15,48,147,780,64,0,900,44,5,2,7,4,2,9,5
PT_020102,Ervidel,1178,539,5,6,29,172,20,0,265,28,4,0,0,4,1,1,4
PT_020103,Messejana,990,397,13,1,24,221,10,0,109,13,2,0,0,1,1,1,1
PT_020104,São João De Negrilhos,1642,773,12,4,70,396,10,1,251,20,0,1,2,2,3,1,0
PT_020105,Rio De Moinhos,737,248,4,0,15,111,1,1,94,20,1,0,0,1,0,0,0
PT_020201,Almodôvar,3228,1093,20,22,270,581,53,2,95,21,4,0,11,7,1,1,5
PT_020202,Gomes Aires,483,173,7,3,23,120,1,1,7,5,1,0,2,1,0,1,1
PT_020203,Rosário,611,220,3,1,35,126,15,0,24,8,1,0,1,1,1,1,3
PT_020204,Santa Clara-a-Nova,736,235,2,2,61,140,2,1,15,7,2,1,1,0,0,0,1
PT_020205,Santa Cruz,800,279,6,1,53,178,2,0,22,10,0,0,1,1,0,3,2
PT_020206,São Barnabé,709,200,5,6,79,93,2,1,5,5,0,0,2,2,0,0,0
PT_020207,Senhora Da Graca De Padrões,438,152,1,0,11,101,6,0,24,5,1,0,1,0,0,0,2
PT_020208,Aldeia Dos Fernandes,601,228,7,1,38,127,9,2,34,5,1,0,2,1,0,0,1
PT_020301,Alvito,1071,433,2,7,102,116,16,1,166,13,2,0,1,5,0,1,1
PT_020302,Vila Nova Da Baronia,1045,377,7,8,38,201,9,1,96,11,0,0,3,2,0,1,0
PT_020401,Barrancos,1618,475,12,9,54,254,12,0,113,15,1,0,0,4,0,0,1
PT_020501,Albernoa,764,333,7,2,18,138,6,0,138,21,0,0,2,0,0,1,0
PT_020502,Baleizão,1009,441,2,4,22,89,34,0,270,14,1,0,2,3,0,0,0
PT_020503,Beringel,1374,535,6,7,79,273,7,1,137,15,3,0,2,1,0,1,3
PT_020504,Cabeça Gorda,1424,540,8,1,47,270,4,0,182,21,0,1,3,1,0,2,0
PT_020505,Mombeja,339,160,0,4,13,101,2,0,31,7,0,0,0,0,0,1,1
PT_020506,Nossa Senhora Das Neves,1722,619,6,9,38,332,13,3,181,30,1,1,1,1,2,1,0
PT_020507,Quintos,327,160,5,0,11,67,5,0,65,5,0,0,0,1,0,1,0
PT_020508,Salvada,1084,504,4,6,34,180,5,1,239,27,1,1,1,0,1,0,4
PT_020509,Beja  (Salvador),4711,1824,23,28,322,858,100,1,431,27,2,1,7,5,6,10,3
PT_020510,Santa Clara De Louredo,707,345,4,6,14,148,19,1,143,6,1,0,0,1,1,1,0
PT_020511,Beja (Santa Maria Da Feira),2867,923,9,12,163,387,51,3,255,27,3,0,3,5,1,2,2
PT_020512,Santa Vitória,670,349,3,1,27,161,9,0,126,20,0,0,0,1,0,1,0
PT_020513,Beja (Santiago Maior),6087,2332,20,58,263,1021,122,2,768,47,4,1,7,5,1,10,3
PT_020514,São Brissos,98,53,0,0,2,9,2,0,37,3,0,0,0,0,0,0,0
PT_020515,Beja (São João Baptista),5311,2193,33,65,703,915,137,0,295,15,4,2,10,3,1,5,5
PT_020516,São Matias,560,226,5,3,45,112,1,0,49,4,0,0,2,2,2,1,0
PT_020517,Trindade,311,115,0,1,9,69,0,0,30,2,2,0,1,0,0,1,0
PT_020518,Trigaches,482,188,3,3,12,98,2,0,53,12,1,2,0,1,1,0,0
PT_020601,Casével,310,155,0,3,14,66,10,0,54,6,0,0,0,1,0,1,0
PT_020602,Castro Verde,3718,1384,15,25,188,649,102,0,339,38,1,3,5,7,3,5,4
PT_020603,Entradas,734,344,7,8,22,101,2,0,180,17,0,1,2,1,1,1,1
PT_020604,Santa Bárbara De Padrões,1113,437,5,1,20,225,9,0,150,20,3,0,1,1,1,0,1
PT_020605,São Marcos Da Ataboeira,412,162,1,4,8,61,5,0,74,9,0,0,0,0,0,0,0
PT_020701,Cuba,2613,975,23,9,98,419,33,0,353,28,1,0,0,7,2,0,2
PT_020702,Faro Do Alentejo,530,211,5,1,10,99,3,0,79,12,0,1,0,0,1,0,0
PT_020703,Vila Alva,465,208,4,4,29,93,9,0,58,7,0,0,1,0,0,2,1
PT_020704,Vila Ruiva,569,201,5,1,15,94,3,0,74,8,0,0,0,0,0,0,1
PT_020801,Alfundão,876,299,4,2,31,173,7,1,70,4,0,0,1,0,1,0,5
PT_020802,Ferreira Do Alentejo,4396,1660,16,28,241,776,56,2,468,45,7,3,3,5,0,3,7
PT_020803,Figueira Dos Cavaleiros,1361,577,9,2,38,304,10,1,178,23,2,3,1,3,1,2,0
PT_020804,Odivelas,577,192,8,5,16,125,2,0,31,4,0,1,0,0,0,0,0
PT_020805,Peroguarda,356,144,5,1,12,78,6,0,33,8,0,0,1,0,0,0,0
PT_020806,Canhestros,525,228,0,0,30,121,1,0,61,10,2,0,0,1,0,1,1
PT_020901,Alcaria Ruiva,920,351,10,2,32,109,8,1,168,19,0,0,1,1,0,0,0
PT_020902,Corte Do Pinto,974,317,8,4,20,99,10,0,154,15,0,1,0,3,0,2,1
PT_020903,Espírito Santo,420,153,3,2,11,74,0,1,52,5,1,0,2,1,0,0,1
PT_020904,Mértola,2754,1150,14,25,88,490,36,3,434,45,2,1,1,2,3,4,2
PT_020905,Santana De Cambas,816,314,7,3,42,122,14,2,96,18,0,1,0,4,0,4,1
PT_020906,São João Dos Caldeireiros,668,246,4,1,14,102,5,1,101,14,0,1,0,2,0,1,0
PT_020907,São Miguel Do Pinheiro,802,334,4,3,26,153,12,1,107,20,1,0,1,3,1,0,2
PT_020908,São Pedro De Solis,312,85,1,1,10,51,1,0,12,6,0,1,0,1,0,1,0
PT_020909,São Sebastião Dos Carros,283,136,1,0,8,58,1,2,53,10,0,1,0,0,2,0,0
PT_021001,Amareleja,2375,743,10,5,48,247,17,0,377,29,0,0,1,7,0,1,1
PT_021002,Póvoa De São Miguel,963,213,4,6,41,114,6,2,29,6,1,0,0,0,1,2,1
PT_021003,Safara,1068,321,2,4,38,172,4,0,87,10,2,0,0,0,1,0,1
PT_021004,Moura (Santo Agostinho),3641,1014,8,19,219,553,36,0,153,13,2,1,1,1,2,4,2
PT_021005,Santo Aleixo Da Restauração,905,296,17,1,25,143,2,0,87,17,1,0,1,0,0,2,0
PT_021006,Santo Amador,556,205,3,4,13,79,1,0,92,11,0,0,1,0,0,1,0
PT_021007,Moura (São João Baptista),3737,964,10,12,119,566,37,1,184,20,2,0,6,2,0,2,3
PT_021008,Sobral Da Adiça,945,272,7,1,27,128,3,1,85,9,1,0,1,6,1,1,1
PT_021101,Colos,1022,380,5,8,58,183,10,0,101,6,0,0,2,4,0,1,2
PT_021102,Relíquias,1032,424,9,5,36,220,4,2,122,17,2,0,0,2,0,2,3
PT_021103,Sabóia,1253,441,8,9,52,266,11,3,55,17,2,1,3,4,3,6,1
PT_021104,Santa Clara-a-Velha,723,276,6,7,40,166,5,0,30,9,2,0,1,1,1,5,3
PT_021105,Odemira (Santa Maria),1234,514,9,8,103,209,18,2,135,17,1,3,2,3,0,4,0
PT_021106,São Luís,1952,789,20,15,151,312,22,1,213,31,4,3,2,6,4,3,2
PT_021107,São Martinho Das Amoreiras,1086,434,13,12,56,254,5,3,62,16,3,0,2,5,1,0,2
PT_021108,Odemira (São Salvador),1735,674,9,21,94,353,33,0,136,17,2,0,2,1,0,5,1
PT_021109,São Teotónio,4112,1850,48,50,168,972,56,5,400,95,9,2,8,13,5,9,10
PT_021110,Vale De Santiago,598,312,2,1,25,114,3,0,155,7,0,0,1,1,2,0,1
