gisco_id,name,registered,turnout,invalid,blank,PPD/PSD.CDS-PP,PS,B.E.,PDA,PCP-PEV,PCTP/MRPP,MD,POUS,PND,PPM,P.N.R.,MPT,P.H.
PT_040901,Açoreira,485,154,3,0,35,101,1,0,4,5,0,0,3,0,0,1,1
PT_040902,Adeganha,548,192,4,1,91,74,5,1,4,3,2,0,2,1,1,0,3
PT_040903,Cabeça Boa,455,169,0,2,85,71,3,1,3,2,0,0,1,0,1,0,0
PT_040904,Cardanha,328,138,3,1,53,61,4,2,2,4,1,0,1,3,0,1,2
PT_040905,Carviçais,1007,308,4,8,137,128,5,0,8,2,3,0,4,2,1,3,3
PT_040906,Castedo,279,126,1,1,39,68,3,0,2,2,0,0,2,0,1,4,3
PT_040907,Felgar,948,348,9,1,148,162,5,1,10,3,1,3,4,1,0,0,0
PT_040908,Felgueiras,419,161,3,4,58,83,3,1,1,1,0,0,2,2,0,0,3
PT_040909,Horta Da Vilariça,458,159,3,6,84,51,2,2,5,0,0,1,1,1,2,0,1
PT_040910,Larinho,486,160,5,2,84,55,0,1,3,3,0,1,3,0,1,1,1
PT_040911,Lousa,572,160,8,3,97,29,2,1,9,4,0,0,4,0,2,0,1
PT_040912,Maçores,276,116,2,1,33,74,2,0,2,0,1,0,1,0,0,0,0
PT_040913,Mós,317,138,0,0,45,90,0,0,2,0,0,0,1,0,0,0,0
PT_040914,Peredo Dos Castelhanos,186,87,2,1,24,56,1,0,1,0,0,0,0,0,0,1,1
PT_040915,Souto Da Velha,201,78,0,2,28,42,0,0,2,0,0,0,1,0,2,1,0
PT_040916,Torre De Moncorvo,2661,913,14,20,398,418,25,0,20,5,0,2,4,3,1,0,3
PT_040917,Urros,355,113,1,4,30,67,2,0,1,3,2,0,3,0,0,0,0
PT_041001,Assares,190,54,0,0,16,28,2,0,4,3,1,0,0,0,0,0,0
PT_041002,Benlhevai,228,81,1,1,32,39,2,0,2,1,0,0,3,0,0,0,0
PT_041003,Candoso,227,73,1,0,35,28,4,0,2,2,0,0,0,0,0,0,1
PT_041004,Carvalho De Egas,140,65,2,2,18,35,4,1,2,1,0,0,0,0,0,0,0
PT_041005,Freixiel,849,271,3,3,120,128,1,1,4,3,2,1,1,3,0,1,0
PT_041006,Lodões,153,35,1,0,7,25,0,1,0,0,0,0,0,0,0,0,1
PT_041007,Mourão,171,90,3,0,60,18,1,2,3,0,0,0,3,0,0,0,0
PT_041008,Nabo,269,130,1,3,68,52,0,0,2,1,0,0,1,0,0,0,2
PT_041009,Roios,220,85,1,1,48,24,1,0,1,4,1,1,2,0,0,1,0
PT_041010,Samões,375,113,6,2,51,48,0,0,2,1,1,0,1,0,0,0,1
PT_041011,Sampaio,217,52,1,1,31,18,0,0,0,0,0,0,0,1,0,0,0
PT_041012,Santa Comba De Vilariça,475,145,4,2,51,77,5,0,2,2,0,0,0,1,0,0,1
PT_041013,Seixo De Manhoses,575,183,4,3,104,45,3,1,5,2,0,0,7,2,1,4,2
PT_041014,Trindade,173,63,0,0,45,12,4,0,1,0,0,0,0,0,0,0,1
PT_041015,Vale Frechoso,243,103,2,0,41,53,2,0,2,2,0,0,0,0,0,0,1
PT_041016,Valtorno,396,119,2,0,65,42,3,0,4,1,0,0,1,0,0,1,0
PT_041017,Vila Flor,1915,617,8,16,207,324,13,0,27,6,1,0,3,4,3,5,0
PT_041018,Vilarinho Das Azenhas,184,72,4,0,33,25,1,0,1,3,1,0,1,0,1,1,1
PT_041019,Vilas Boas,750,270,6,5,119,120,4,0,9,1,1,0,1,0,1,2,1
PT_041101,Algoso,386,147,1,5,107,19,1,1,1,1,0,0,3,4,1,1,2
