gisco_id,name,registered,turnout,invalid,blank,PS,PPD/PSD.CDS-PP.PPM,CH,IL,BE,PCP-PEV,L,ADN,PAN,Volt,E,ND,RIR,MAS,MPT,NC,PTP
PT_130620,Nogueira e Silva Escura,7257,3215,15,45,977,1080,270,386,121,55,102,54,61,11,8,5,5,5,5,6,4
PT_130619,Cidade da Maia,35140,17160,114,197,5204,5754,1130,2206,773,391,790,177,281,31,32,25,17,16,9,9,4
PT_130618,Castêlo da Maia,16159,6985,43,85,2111,2297,568,863,276,164,281,93,121,26,11,14,10,4,5,7,6
PT_130617,Pedrouços,10106,4483,37,41,1523,1234,291,600,211,173,216,38,72,6,6,7,8,9,3,3,5
PT_130616,Vila Nova Da Telha,5301,2675,25,24,808,879,213,374,117,63,90,28,35,4,3,3,2,0,4,1,2
PT_130613,São Pedro Fins,1628,842,7,20,229,324,61,111,31,8,28,10,9,1,0,0,0,1,1,1,0
PT_130609,Moreira,11302,5150,32,61,1593,1665,454,616,224,127,202,49,82,12,4,8,7,5,3,4,2
PT_130608,Milheirós,3925,1938,18,31,681,599,135,197,77,43,76,35,27,4,0,2,3,6,1,0,3
PT_130603,Folgosa,3012,1394,6,15,452,522,107,125,57,29,33,17,16,2,5,3,3,0,0,2,0
PT_130601,Águas Santas,23232,10105,69,104,3761,2683,827,1031,506,337,417,81,181,22,20,13,18,10,10,9,6
PT_130532,"Silvares, Pias, Nogueira e Alvarenga",5832,2293,10,15,781,897,157,189,75,35,76,20,23,0,5,1,3,2,3,1,0
PT_130531,Nespereira e Casais,3021,1200,5,13,505,408,76,82,21,10,38,21,6,6,0,2,4,0,2,1,0
PT_130530,Lustosa e Barrosas (Santo Estêvão),5219,1664,10,21,650,474,194,121,56,31,40,28,12,6,3,7,1,3,2,2,3
PT_130529,Figueiras e Covas,1907,769,9,6,243,334,59,40,13,8,17,12,11,4,1,1,6,2,1,2,0
PT_130528,"Cristelos, Boim e Ordem",6574,2381,14,21,934,805,160,149,82,47,67,48,21,2,4,5,11,2,2,3,4
PT_130527,Cernadelo e Lousada (São Miguel e Santa Margarida),1937,684,7,8,237,251,56,36,25,18,11,7,10,4,2,2,6,3,0,1,0
PT_130526,Vilar Do Torno E Alentém,1164,450,4,5,209,118,45,27,6,10,5,10,4,2,2,1,1,1,0,0,0
PT_130525,Torno,2345,796,3,4,332,263,60,50,25,21,10,15,7,2,1,1,0,1,1,0,0
PT_130524,Sousela,1572,514,3,11,156,222,36,33,18,11,6,7,2,2,0,3,1,1,2,0,0
PT_130515,Nevogilde,2178,699,5,5,271,300,26,35,11,10,12,15,3,0,1,1,2,1,0,0,1
PT_130513,Meinedo,3448,1481,8,17,690,403,105,84,42,44,41,14,11,2,2,4,9,5,0,0,0
PT_130512,Macieira,1386,446,0,1,181,160,37,27,4,3,18,10,2,0,1,0,1,0,1,0,0
PT_130510,Lodares,1788,762,6,7,297,247,63,58,19,12,32,13,4,0,0,0,2,1,0,0,1
PT_130504,Caíde De Rei,2232,812,5,5,372,252,55,53,19,16,15,10,3,1,0,2,2,1,0,1,0
PT_130502,Aveleda,1719,583,8,5,208,217,52,36,13,8,18,9,1,0,0,1,2,4,0,1,0
PT_130416,Melres e Medas,4826,2369,23,33,977,683,170,165,95,61,74,22,31,4,7,3,10,3,2,3,3
PT_130415,"Gondomar (São Cosme), Valbom e Jovim",41810,17849,161,214,6126,5319,1376,1732,847,693,672,196,299,32,31,30,37,29,19,24,12
PT_130414,Foz do Sousa e Covelo,6471,3100,37,34,1030,1051,257,284,105,93,72,47,38,6,14,5,8,4,7,6,2
PT_130413,Fânzeres e São Pedro da Cova,33674,11025,84,122,4324,2552,1123,789,556,748,318,122,161,16,23,13,22,23,18,9,2
PT_130412,Baguim Do Monte,12578,5071,40,43,1883,1365,494,456,245,184,180,54,71,14,13,4,12,5,5,2,1
