gisco_id,name,registered,turnout,invalid,blank,SPD,CDU,FDP,DIE LINKE,GRÜNE,CSU,NPD,REP,FAMILIE,Die Tierschutzpartei,PBC,MLPD,BüSo,BP,PSG,Volksabstimmung,ZENTRUM,ADM,CM,DKP,DVU,DIE VIOLETTEN,FWD,ödp,PIRATEN,RRP,RENTNER
DE_01051037,Großenrade,409,278,9,0,50,114,50,20,19,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
DE_01051038,Groven,78,53,3,0,10,14,17,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DE_01051039,Gudendorf,315,225,4,0,53,95,37,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2
DE_01051043,Hedwigenkoog,171,125,4,0,30,47,12,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0
DE_01051044,Heide,16733,9537,267,0,2325,3237,1633,883,769,0,95,0,0,0,0,8,0,0,0,0,0,0,0,0,25,0,0,0,206,0,89
DE_01051045,Hellschen-Heringsand-Unterschaar,131,87,3,0,16,29,20,4,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
DE_01051046,Helse,712,457,13,0,137,141,83,30,36,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,2
DE_01051047,Hemme,407,284,15,0,57,112,43,23,18,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,5
DE_01051048,Hemmingstedt,2373,1526,41,0,474,500,240,116,95,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,28,0,8
DE_01051049,Hennstedt,1572,984,41,0,233,359,166,81,56,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,18,0,7
DE_01051050,Hillgroven,57,33,2,0,3,17,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DE_01051051,Hochdonn,954,603,16,0,135,209,100,60,48,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,3
DE_01051052,Hövede,53,42,4,0,6,10,15,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DE_01051053,Hollingstedt,243,175,11,0,38,62,29,11,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
DE_01051054,Immenstedt,86,59,2,0,10,32,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
