gisco_id,name,registered,turnout,invalid,blank,SPD,CDU,FDP,DIE LINKE,GRÜNE,CSU,NPD,REP,FAMILIE,Die Tierschutzpartei,PBC,MLPD,BüSo,BP,Volksabstimmung,ZENTRUM,ADM,DKP,DIE VIOLETTEN,ödp,PIRATEN,RRP,Freie Union,Übrige
DE_01051043,Hedwigenkoog,171,125,5,0,36,51,9,8,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DE_01051044,Heide,16733,9537,300,0,2629,3772,1186,871,652,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
DE_01051045,Hellschen-Heringsand-Unterschaar,131,87,1,0,19,37,17,4,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051046,Helse,712,457,15,0,151,164,67,26,23,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
DE_01051047,Hemme,407,284,14,0,62,120,42,21,16,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
DE_01051048,Hemmingstedt,2373,1526,39,0,525,548,189,116,86,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
DE_01051049,Hennstedt,1572,984,34,0,249,403,142,81,58,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051050,Hillgroven,57,33,3,0,3,20,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051051,Hochdonn,954,603,19,0,155,223,86,57,43,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
DE_01051052,Hövede,53,42,1,0,5,16,13,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051053,Hollingstedt,243,175,7,0,43,67,29,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DE_01051054,Immenstedt,86,59,1,0,12,33,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051057,Kaiser-Wilhelm-Koog,270,175,10,0,48,75,25,5,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051058,Karolinenkoog,102,68,0,0,13,29,11,6,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051060,Kleve,366,246,5,0,74,99,30,10,22,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051061,Krempel,483,315,8,0,117,94,35,39,16,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DE_01051062,Kronprinzenkoog,688,434,12,0,151,172,46,29,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
DE_01051063,Krumstedt,423,284,9,0,62,129,39,27,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DE_01051064,Kuden,494,335,10,0,80,135,46,25,29,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051065,Lehe,910,554,17,0,157,184,104,56,29,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
DE_01051067,Lieth,347,220,8,0,51,85,27,23,22,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051068,Linden,679,463,19,0,106,189,85,24,26,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DE_01051069,Lohe-Rickelshof,1690,1163,35,0,335,457,156,76,100,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051071,Lunden,1390,720,26,0,252,237,91,63,42,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
DE_01051072,Marne,4746,2777,77,0,846,1098,392,203,120,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
DE_01051073,Marnerdeich,319,185,2,0,66,62,21,25,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
