gisco_id,name,registered,turnout,invalid,blank,CDU,SPD,FDP,DIE LINKE,GRÜNE,CSU,PIRATEN,NPD,Tierschutzpartei,REP,ÖDP,FAMILIE,Bündnis 21/RRP,RENTNER,BP,PBC,BüSo,DIE VIOLETTEN,MLPD,Volksabstimmung,PSG,AfD,BIG,pro Deutschland,DIE RECHTE,DIE FRAUEN,FREIE WÄHLER,Partei der Nichtwähler,PARTEI DER VERNUNFT,Die PARTEI
DE_08325050,Schenkenzell,1427,876,20,0,513,134,44,22,63,0,19,5,2,1,6,0,0,0,0,1,0,0,0,0,0,36,0,1,0,0,9,0,0,0
DE_08325051,Schiltach,3060,1815,24,0,815,436,98,67,151,0,33,16,9,7,11,0,0,2,0,6,0,0,0,4,0,121,0,2,0,0,13,0,0,0
DE_08325053,Schramberg,15523,8124,144,0,3910,1574,406,375,455,0,168,129,50,20,207,0,0,26,0,10,1,0,2,20,0,562,3,11,0,0,43,0,8,0
DE_08325057,Sulz am Neckar,9092,5337,105,0,2526,931,376,194,333,0,99,111,34,42,38,0,0,12,0,25,0,0,4,10,0,412,5,6,0,0,68,0,6,0
DE_08325060,Villingendorf,2447,1472,17,0,831,218,75,58,77,0,33,14,9,1,27,0,0,0,0,5,0,0,0,7,0,88,0,0,0,0,10,0,2,0
DE_08325061,Vöhringen,3159,1887,32,0,899,335,129,69,112,0,50,49,14,21,16,0,0,11,0,7,0,0,0,8,0,120,0,0,0,0,14,0,1,0
DE_08325064,Wellendingen,2166,1217,13,0,694,196,88,35,61,0,16,23,5,2,8,0,0,5,0,0,0,0,0,2,0,58,1,0,0,0,9,0,1,0
DE_08325069,Zimmern ob Rottweil,4507,2510,29,0,1331,401,147,100,177,0,46,31,15,1,11,0,0,4,0,4,1,0,0,2,0,184,0,4,0,0,17,0,5,0
DE_08325070,Fluorn-Winzeln,2407,1581,30,0,806,242,81,46,81,0,23,30,8,8,73,0,0,2,0,2,1,0,1,3,0,127,1,3,0,0,11,0,2,0
DE_08325071,Eschbronn,1595,975,21,0,502,159,40,28,71,0,16,16,7,1,13,0,0,4,0,4,0,0,0,1,0,84,1,0,0,0,5,0,2,0
DE_08325072,Deißlingen,4480,2660,41,0,1235,540,158,118,186,0,37,55,28,5,23,0,0,7,0,2,1,0,2,5,0,174,2,2,0,0,21,0,18,0
DE_08325999,Briefwahl für mehrere Gemeinden,0,14734,139,0,7237,2573,1037,483,1373,0,209,160,152,42,213,0,0,81,0,42,7,0,3,68,0,759,3,8,0,0,131,0,14,0
DE_08326003,Bad Dürrheim,9846,5423,89,0,2664,929,367,243,394,0,111,94,40,8,13,0,0,18,0,20,3,0,2,9,0,349,4,4,0,0,53,0,9,0
DE_08326005,Blumberg,7276,4377,95,0,2208,817,265,201,222,0,68,98,40,11,10,0,0,15,0,9,0,0,2,8,0,255,0,5,0,0,48,0,0,0
DE_08326006,Bräunlingen,4332,2587,31,0,1292,488,168,85,242,0,37,42,30,2,5,0,0,4,0,6,0,0,0,4,0,136,0,2,0,0,13,0,0,0
DE_08326010,Dauchingen,2847,1675,21,0,868,332,63,62,121,0,25,34,9,1,4,0,0,2,0,6,0,0,1,1,0,112,1,0,0,0,11,0,1,0
DE_08326012,Donaueschingen,15773,8463,152,0,4109,1502,537,373,742,0,187,118,76,19,24,0,0,15,0,22,1,0,1,21,0,496,2,11,0,0,47,0,8,0
DE_08326017,Furtwangen im Schwarzwald,6618,3742,81,0,1912,655,176,141,391,0,88,43,35,12,4,0,0,11,0,9,0,0,1,4,0,156,2,3,0,0,16,0,2,0
DE_08326020,Gütenbach,953,588,14,0,303,95,20,27,73,0,9,4,4,4,2,0,0,1,0,1,0,0,0,2,0,20,0,0,0,0,8,0,1,0
DE_08326027,Hüfingen,5443,3320,56,0,1723,592,202,102,242,0,72,39,23,12,8,0,0,12,0,1,0,0,2,12,0,194,1,1,0,0,19,0,7,0
DE_08326031,Königsfeld im Schwarzwald,4606,2794,32,0,1262,508,125,130,341,0,50,64,30,5,18,0,0,5,0,27,0,0,0,4,0,164,1,0,0,0,26,0,2,0
DE_08326037,Mönchweiler,2322,1380,14,0,669,287,60,49,113,0,32,39,7,2,4,0,0,1,0,12,1,0,0,0,0,72,1,3,0,0,14,0,0,0
DE_08326041,Niedereschach,4536,2763,47,0,1501,400,119,123,234,0,22,51,22,5,14,0,0,3,0,9,0,0,1,3,0,167,0,4,0,0,33,0,5,0
DE_08326052,St.Georgen im Schwarzwald,9535,5608,108,0,2547,1187,280,209,506,0,125,73,50,9,22,0,0,17,0,82,2,0,1,10,0,304,0,1,0,0,73,0,2,0
DE_08326054,Schönwald im Schwarzwald,1889,1071,30,0,616,167,72,37,61,0,15,14,6,1,3,0,0,0,0,2,0,0,0,2,0,31,1,0,0,0,13,0,0,0
DE_08326055,Schonach im Schwarzwald,3215,2004,41,0,1190,254,105,64,136,0,33,23,13,5,9,0,0,1,0,5,0,0,0,2,0,98,1,1,0,0,21,0,2,0
DE_08326060,Triberg im Schwarzwald,3472,1857,39,0,994,319,119,60,125,0,34,30,8,2,3,0,0,4,0,1,0,0,0,1,0,89,0,1,0,0,28,0,0,0
DE_08326061,Tuningen,2141,1276,17,0,659,224,69,55,106,0,18,27,18,2,6,0,0,1,0,7,0,0,1,1,0,59,1,0,0,0,4,0,1,0
DE_08326065,Unterkirnach,1791,995,14,0,542,140,55,31,80,0,21,8,4,2,1,0,0,4,0,3,0,0,0,4,0,45,0,3,0,0,36,0,2,0
DE_08326068,Vöhrenbach,2805,1635,35,0,836,307,78,66,128,0,41,11,17,7,5,0,0,4,0,2,1,0,0,4,0,75,0,2,0,0,15,0,1,0
DE_08326074,Villingen-Schwenningen,57207,30150,472,0,13916,6323,1500,1596,2466,0,632,568,216,41,86,0,0,66,0,116,5,0,33,35,0,1792,13,16,0,0,224,0,34,0
DE_08326075,Brigachtal,4001,2564,37,0,1349,480,128,84,196,0,36,39,13,3,6,0,0,5,0,9,1,0,0,9,0,143,1,0,0,0,23,0,2,0
DE_08326999,Briefwahl für mehrere Gemeinden,0,23291,198,0,11143,4132,1789,742,2607,0,422,236,185,38,100,0,0,127,0,91,1,0,12,75,0,1089,4,13,0,0,264,0,23,0
DE_08327002,Aldingen,5349,2948,73,0,1426,586,167,137,182,0,58,38,21,6,14,0,0,16,0,17,0,0,0,8,0,160,0,4,0,0,32,0,3,0
DE_08327004,Bärenthal,361,238,3,0,149,25,13,6,11,0,1,3,0,5,1,0,0,0,0,0,0,0,0,1,0,18,0,0,0,0,1,0,1,0
DE_08327005,Balgheim,843,547,7,0,287,76,35,19,53,0,16,6,2,2,0,0,0,1,0,0,0,0,0,0,0,36,0,1,0,0,5,0,1,0
DE_08327006,Böttingen,1067,699,15,0,421,67,48,17,41,0,10,14,4,2,5,0,0,0,0,0,1,0,0,1,0,34,0,2,0,0,15,0,2,0
DE_08327007,Bubsheim,810,506,17,0,343,36,26,9,17,0,7,6,1,0,8,0,0,2,0,0,0,0,0,0,0,25,0,0,0,0,9,0,0,0
DE_08327008,Buchheim,520,387,7,0,264,37,20,11,24,0,4,7,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0,0
DE_08327009,Deilingen,1263,747,10,0,474,100,19,27,42,0,8,18,4,2,4,0,0,2,0,0,0,0,0,0,0,29,0,0,0,0,8,0,0,0
DE_08327010,Denkingen,1925,1140,18,0,633,165,56,52,81,0,21,14,5,1,3,0,0,2,0,1,0,0,0,2,0,60,0,1,0,0,22,0,3,0
DE_08327011,Dürbheim,1272,749,6,0,465,88,39,26,38,0,11,9,4,0,2,0,0,1,0,0,0,0,0,2,0,47,0,0,0,0,10,0,1,0
DE_08327012,Durchhausen,708,428,5,0,230,71,38,11,28,0,4,0,2,0,1,0,0,2,0,2,0,0,1,0,0,21,0,0,0,0,11,0,1,0
DE_08327013,Egesheim,466,260,3,0,175,15,27,13,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,2,0,0,0
DE_08327016,Fridingen an der Donau,2376,1438,28,0,683,282,71,50,135,0,27,14,9,8,8,0,0,2,0,2,1,0,0,3,0,60,0,1,0,0,51,0,3,0
DE_08327017,Frittlingen,1499,963,16,0,541,128,57,36,73,0,18,10,2,2,5,0,0,1,0,3,0,0,0,0,0,58,1,0,0,0,11,0,1,0
DE_08327018,Geisingen,4518,2592,35,0,1381,408,206,95,144,0,56,27,25,3,4,0,0,5,0,4,1,0,0,7,0,165,3,3,0,0,15,0,5,0
DE_08327019,Gosheim,2708,1385,25,0,866,155,85,44,77,0,29,13,5,3,6,0,0,1,0,0,0,0,0,6,0,53,0,0,0,0,16,0,1,0
DE_08327020,Gunningen,537,332,8,0,174,40,39,18,14,0,9,2,5,3,1,0,0,1,0,3,0,0,1,1,0,10,0,0,0,0,2,0,1,0
DE_08327023,Hausen ob Verena,614,351,7,0,140,85,22,18,26,0,7,4,3,2,1,0,0,1,0,0,0,0,0,1,0,30,0,1,0,0,3,0,0,0
DE_08327025,Immendingen,4265,2496,28,0,1306,444,118,98,162,0,60,41,19,16,7,0,0,3,0,2,0,0,3,6,0,159,0,1,0,0,17,0,6,0
DE_08327027,Irndorf,557,390,8,0,218,39,25,12,26,0,6,11,0,3,4,0,0,1,0,2,0,0,0,0,0,22,1,1,0,0,11,0,0,0
DE_08327029,Königsheim,432,296,8,0,218,15,15,5,14,0,2,5,1,1,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,1,0
DE_08327030,Kolbingen,984,678,19,0,413,90,41,22,35,0,7,7,1,1,2,0,0,4,0,1,0,0,0,0,0,24,0,0,0,0,10,0,1,0
DE_08327033,Mahlstetten,620,413,11,0,238,54,16,21,25,0,6,7,4,1,5,0,0,0,0,1,0,0,0,0,0,19,0,0,0,0,4,0,1,0
DE_08327036,Mühlheim an der Donau,2809,1869,46,0,917,399,99,74,142,0,32,24,10,6,10,0,0,2,0,2,0,0,1,5,0,61,0,0,0,0,38,0,1,0
