gisco_id,name,registered,turnout,invalid,blank,ΔΗ.ΣΥ.,Ε.Δ.Ε.Κ.-Σ.Κ.,ΔΗ.ΚΟ.,Α.Κ.Ε.Λ.,Κ.Ο.Σ.Π.,ΕΥΡΩ.ΚΟ.,Ματσάκης,Κ.Ε.Κ.,Ε.ΛΑ.Μ.,Κυριακού,Ευστρατίου,Μιχαήλ,Κωνσταντίνου [Κωνσταντίνου Μάριος]
CY_4120,Mazotos,587,418,6,1,215,31,26,116,6,11,4,0,1,0,0,0,1
CY_4121,Alaminos,221,149,3,2,84,16,21,21,1,1,0,0,0,0,0,0,0
CY_4122,Αναφωτίδα,503,354,2,2,225,18,26,72,0,4,1,1,3,0,0,0,0
CY_4124,Κιβισίλι,186,148,1,2,94,9,12,22,0,8,0,0,0,0,0,0,0
CY_4125,Alethriko,638,399,5,6,151,16,33,169,4,13,0,1,0,0,1,0,0
CY_4126,Κλαυδιά,465,315,9,1,150,27,43,62,1,12,7,2,1,0,0,0,0
CY_4127,Αγγλισίδες,822,467,9,4,219,32,40,112,1,37,0,13,0,0,0,0,0
CY_4202,Athienou,3513,2503,18,14,990,297,341,740,15,71,13,0,1,2,1,0,0
CY_4210,Καλό Χωριό (Λάρνακας),1226,769,9,5,264,110,46,304,3,15,6,2,3,1,0,1,0
CY_4211,Agia Anna,181,129,8,1,43,23,8,43,0,2,0,0,0,1,0,0,0
CY_4212,Μοσφιλωτή,919,627,13,1,257,39,44,245,6,10,8,1,2,0,0,1,0
CY_4213,Ψευδάς,736,523,2,1,151,84,17,256,2,8,2,0,0,0,0,0,0
CY_4214,Πυργά (Λάρνακας),482,326,4,4,60,14,17,142,3,32,47,2,1,0,0,0,0
CY_4215,Kornos,1356,906,12,5,262,198,29,364,1,16,9,0,5,0,0,5,0
CY_4300,Ζύγι,431,260,1,1,96,16,21,90,2,28,2,0,0,0,0,3,0
CY_4301,Mari,209,152,0,0,82,8,17,18,5,21,1,0,0,0,0,0,0
CY_4302,Καλαβασός,592,408,1,0,103,55,49,183,6,9,2,0,0,0,0,0,0
CY_4303,Τόχνη,267,162,1,0,45,22,25,28,4,35,2,0,0,0,0,0,0
CY_4304,Χοιροκoιτία,371,224,4,0,101,28,47,28,3,6,2,2,3,0,0,0,0
CY_4305,Psematismenos,142,107,3,0,63,14,7,9,1,10,0,0,0,0,0,0,0
CY_4306,Maroni,434,304,8,0,149,70,45,19,2,1,2,1,0,1,0,6,0
CY_4307,Άγιος Θεόδωρος (Λάρνακας),510,401,5,1,287,34,19,23,0,27,0,1,3,0,1,0,0
CY_4308,Skarinou,173,106,0,0,50,11,14,26,1,2,2,0,0,0,0,0,0
CY_4309,Κοφίνου,1089,706,15,3,244,71,53,283,2,18,3,9,2,0,0,3,0
CY_4310,Κάτω Λεύκαρα,113,84,3,0,16,34,6,22,1,1,1,0,0,0,0,0,0
CY_4311,Πάνω Λεύκαρα,837,655,6,2,93,398,47,92,8,4,2,2,1,0,0,0,0
CY_4312,Κάτω Δρυς,122,93,0,0,63,8,11,5,0,1,4,0,1,0,0,0,0
CY_4313,Βάβλα,92,68,1,0,45,9,2,6,1,4,0,0,0,0,0,0,0
CY_4315,Ora,156,108,5,3,53,10,23,5,0,8,1,0,0,0,0,0,0
CY_4316,Μελίνη,78,63,0,1,11,0,6,40,1,3,0,0,0,1,0,0,0
CY_4317,Odou,137,83,1,3,33,3,7,34,0,2,0,0,0,0,0,0,0
CY_4318,'Αγιοι Βαβατσινιάς,164,81,0,0,29,9,16,25,0,0,1,0,1,0,0,0,0
CY_4319,Βαβατσινιά,96,75,5,0,34,9,16,11,0,0,0,0,0,0,0,0,0
CY_5001,Lemesos,65248,35243,542,187,11652,3251,4948,11641,525,1603,447,344,55,19,20,8,1
CY_5011,Mesa Geitonia,9026,4979,74,22,1453,433,683,1967,51,182,45,47,8,2,5,7,0
CY_5012,Agios Athanasios,7344,4434,56,28,1316,387,390,1955,57,180,31,22,8,1,0,2,1
CY_5013,Germasogeia,5277,2857,43,14,1068,190,366,942,42,133,31,15,5,1,3,4,0
CY_5020,Pano Polemidia,3406,2137,37,8,578,119,191,1118,11,42,15,8,1,2,6,1,0
CY_5021,'Υψωνας,4269,2253,23,11,930,184,228,632,28,169,15,19,13,1,0,0,0
CY_5022,Kato Polemidia,12530,6911,108,48,2312,514,724,2766,72,202,81,41,26,1,11,5,0
CY_5100,Palodeia,532,328,4,4,109,25,38,128,2,9,6,2,0,0,0,1,0
CY_5101,Παραμύθα,251,132,3,0,52,12,26,24,3,2,5,5,0,0,0,0,0
CY_5102,Spitali,203,114,1,3,67,4,17,13,5,4,0,0,0,0,0,0,0
CY_5103,Φασούλα (Λεμεσού),328,187,1,0,75,8,16,73,2,8,3,1,0,0,0,0,0
CY_5104,Μαθικολώνη,95,72,3,1,25,15,9,13,0,2,4,0,0,0,0,0,0
CY_5105,Gerasa,87,62,2,0,19,10,10,18,0,2,0,0,1,0,0,0,0
CY_5106,Apsiou,201,167,2,2,24,11,18,106,1,1,1,1,0,0,0,0,0
CY_5107,Apesia,285,186,3,2,108,10,39,8,1,6,0,9,0,0,0,0,0
CY_5108,Κορφή,152,105,2,3,78,3,7,8,1,2,1,0,0,0,0,0,0
CY_5109,Λιμνάτης,325,222,5,0,74,15,57,47,3,8,0,12,1,0,0,0,0
CY_5120,Mouttagiaka,1565,838,13,8,258,66,55,389,9,24,9,2,2,1,0,2,0
CY_5121,Αρμενοχώρι,133,99,10,0,2,3,6,72,0,3,1,2,0,0,0,0,0
CY_5122,Φοινικάρια,125,79,1,0,20,1,8,35,3,7,0,4,0,0,0,0,0
CY_5123,Akrounta,319,189,3,2,46,13,62,48,0,15,0,0,0,0,0,0,0
CY_5124,'Αγιος Τύχων,1073,560,9,6,224,35,53,138,23,46,10,9,0,0,0,7,0
CY_5125,Παρεκκλησιά,963,548,6,5,196,29,78,203,4,19,3,5,0,0,0,0,0
CY_5126,Pentakomo,367,246,2,0,107,14,29,64,3,20,1,6,0,0,0,0,0
CY_5127,Monagroulli,349,238,4,1,91,7,19,107,0,4,2,2,0,0,0,1,0
CY_5128,Μονή,316,215,2,0,84,10,22,92,0,5,0,0,0,0,0,0,0
CY_5129,Πύργος,960,598,14,0,299,51,51,138,8,27,4,2,3,1,0,0,0
CY_5130,Asgata,298,223,0,2,58,18,35,102,2,3,2,0,0,1,0,0,0
CY_5131,Βάσα (Κελλακίου),57,49,0,0,14,5,2,22,1,5,0,0,0,0,0,0,0
CY_5133,Πραστιό (Κελλακίου),82,70,0,0,10,0,8,51,0,0,1,0,0,0,0,0,0
CY_5136,Kellaki,278,193,4,2,46,15,19,98,4,3,1,0,1,0,0,0,0
CY_5138,Eptagoneia,301,202,4,2,92,6,17,67,5,5,1,0,0,3,0,0,0
CY_5140,Dierona,240,179,7,2,54,2,12,95,2,4,0,1,0,0,0,0,0
CY_5141,Arakapas,275,197,3,0,66,16,13,78,1,19,0,0,1,0,0,0,0
CY_5142,'Αγιος Παύλος,164,116,0,1,37,25,9,36,0,5,1,1,1,0,0,0,0
CY_5143,Agios Konstantinos,177,122,1,1,69,5,23,19,1,2,1,0,0,0,0,0,0
CY_5144,Συκόπετρα,112,65,3,0,14,0,5,41,0,0,2,0,0,0,0,0,0
CY_5145,Λουβαράς,344,204,5,1,45,17,5,119,1,10,0,0,0,0,1,0,0
CY_5146,Καλό Χωριό (Λεμεσού),396,260,3,0,99,17,34,88,7,8,1,1,1,0,1,0,0
CY_5147,Ζωοπηγή,198,143,6,0,53,11,40,25,1,4,0,1,2,0,0,0,0
CY_5200,Ακρωτήρι,615,398,8,5,184,21,59,78,7,25,5,0,0,1,5,0,0
CY_5201,Ασώματος (Λεμεσού),290,157,4,0,57,7,23,61,1,2,2,0,0,0,0,0,0
CY_5203,Τραχώνι (Λεμεσού),2716,1388,11,6,441,106,153,518,50,59,20,11,6,0,7,0,0
