gisco_id,name,registered,turnout,invalid,blank,ΔΗ.ΣΥ.,Ε.Δ.Ε.Κ.-Σ.Κ.,ΔΗ.ΚΟ.,Α.Κ.Ε.Λ.,Κ.Ο.Σ.Π.,ΕΥΡΩ.ΚΟ.,Ματσάκης,Κ.Ε.Κ.,Ε.ΛΑ.Μ.,Κυριακού,Ευστρατίου,Μιχαήλ,Κωνσταντίνου [Κωνσταντίνου Μάριος]
CY_6027,Kissonerga,960,616,8,12,88,148,75,236,5,25,6,0,2,1,10,0,0
CY_6100,Κούκλια (Πάφου),569,376,7,1,88,91,86,80,2,14,5,1,0,0,1,0,0
CY_6101,Μανδριά (Πάφου),377,232,1,2,92,31,17,73,0,10,2,1,2,0,1,0,0
CY_6102,Nikokleia,81,67,1,0,16,11,12,12,11,0,0,0,0,0,4,0,0
CY_6104,Τίμη,721,452,13,6,104,82,51,151,2,26,11,0,2,0,4,0,0
CY_6106,Αγία Βαρβάρα (Πάφου),87,65,0,0,13,12,13,19,2,4,0,0,0,0,2,0,0
CY_6107,Anarita,318,226,4,1,53,75,27,54,7,2,0,1,0,0,2,0,0
CY_6110,Marathounta,182,119,3,1,6,20,29,41,6,4,4,0,2,0,3,0,0
CY_6111,Armou,229,156,7,3,20,42,23,48,4,5,2,0,0,0,2,0,0
CY_6112,Επισκοπή (Πάφου),187,139,2,3,40,22,23,48,0,0,0,0,0,0,1,0,0
CY_6113,Nata,172,130,2,4,25,17,16,63,0,2,0,1,0,0,0,0,0
CY_6114,Χολέτρια,267,201,6,1,43,14,38,94,4,1,0,0,0,0,0,0,0
CY_6122,Stroumpi,437,282,2,3,113,34,69,48,4,7,1,0,0,1,0,0,0
CY_6120,Tsada,646,474,9,6,112,77,71,176,9,7,2,0,0,0,4,1,0
CY_6121,Κοίλη,253,198,2,3,33,35,66,41,5,9,0,0,3,0,1,0,0
CY_6123,Polemi,624,369,8,6,132,72,79,47,3,12,1,0,3,4,2,0,0
CY_6124,Kallepeia,206,160,1,1,38,26,42,47,1,4,0,0,0,0,0,0,0
CY_6125,Λετύμβου,323,253,5,5,56,88,62,29,2,0,0,0,3,0,3,0,0
CY_6128,Lemona,62,44,1,0,5,16,9,9,0,1,0,0,3,0,0,0,0
CY_6129,Χούλου,184,145,0,2,20,71,34,15,0,2,0,0,0,0,1,0,0
CY_6132,Kathikas,358,232,3,3,44,24,69,71,9,7,1,1,0,0,0,0,0
CY_6133,Pegeia,1695,1055,13,8,342,135,155,243,117,23,6,1,1,1,10,0,0
CY_6200,Πάνω Aρχιμανδρίτα,51,40,0,0,15,6,8,8,0,3,0,0,0,0,0,0,0
CY_6201,Φασούλα (Πάφου),54,39,1,1,3,9,11,14,0,0,0,0,0,0,0,0,0
CY_6205,Άγιος Γεώργιος (Πάφου),135,102,0,1,8,32,28,28,2,1,0,1,0,0,0,0,1
CY_6208,Τραχυπέδουλα,96,63,0,0,8,13,16,25,0,0,0,0,0,0,1,0,0
CY_6210,Kelokedara,282,176,6,4,45,41,45,30,0,4,0,0,1,0,0,0,0
CY_6211,Salamiou,340,232,1,2,26,57,49,84,2,4,0,2,0,0,5,0,0
CY_6213,Kedares,68,53,1,0,13,8,9,22,0,0,0,0,0,0,0,0,0
CY_6214,Mesana,72,46,2,3,9,3,12,14,0,3,0,0,0,0,0,0,0
CY_6215,Praitori,86,72,2,0,23,6,11,23,2,3,0,2,0,0,0,0,0
CY_6218,Άγιος Νικόλαος (Πάφου),61,51,1,0,15,4,18,11,0,1,0,1,0,0,0,0,0
CY_6220,Αμαργέτη,266,172,3,3,59,33,28,36,1,5,1,0,2,0,1,0,0
CY_6222,Pentalia,136,82,8,0,21,19,18,14,1,1,0,0,0,0,0,0,0
CY_6224,Galataria,119,81,2,1,15,8,36,13,1,4,0,1,0,0,0,0,0
CY_6227,Στατός-'Αγιος Φώτιος,304,205,2,2,28,58,58,47,1,7,1,0,1,0,0,0,0
CY_6230,Πάνω Παναγιά,556,337,5,3,38,76,68,138,3,5,0,0,1,0,0,0,0
CY_6231,Asprogia,67,42,1,0,13,9,11,7,0,0,0,0,0,0,1,0,0
CY_6300,Psathi,79,59,1,0,35,6,4,1,0,8,0,0,0,0,4,0,0
CY_6301,'Αγιος Δημητριανός,90,65,0,0,17,21,10,13,0,4,0,0,0,0,0,0,0
CY_6302,Κανναβιού,145,91,0,0,10,28,22,19,5,3,1,0,0,0,3,0,0
CY_6303,Θρίνια (Δρίνια),47,36,0,1,6,9,7,8,3,0,1,0,0,0,1,0,0
CY_6305,Kritou Marottou,57,48,1,2,7,22,9,7,0,0,0,0,0,0,0,0,0
CY_6306,Φύτη,115,63,2,2,4,18,23,10,1,2,0,0,0,1,0,0,0
CY_6307,Lasa,80,45,1,0,12,12,7,12,1,0,0,0,0,0,0,0,0
CY_6308,Δρύμου,88,58,1,1,17,10,18,8,1,0,0,1,0,0,1,0,0
CY_6310,Simou,172,131,1,0,37,49,10,25,3,6,0,0,0,0,0,0,0
CY_6320,Λυσός,195,131,1,0,35,15,38,27,1,11,0,1,2,0,0,0,0
CY_6321,Περιστερώνα (Πάφου),211,151,2,1,55,44,18,25,1,4,0,0,0,0,1,0,0
