gisco_id,name,registered,turnout,invalid,blank,Α.Κ.Ε.Λ.,ΔΗ.ΣΥ.,Παναγιώτου,ΔΗ.ΚΟ.,Ε.ΛΑ.Μ.,Βολτ,ΔΗ.ΠΑ.,Ε.Δ.Ε.Κ.-Σ.Κ.,Κ.Ο.Σ.Π.,Κ.Ε.Κ.Κ.,Κ.Ζ.Κ.,Κ.Ε.Δ.,Ζερβίδης,ΝΙΚΗ
CY_4215,Kornos,1581,1256,16,67,335,234,313,38,70,9,5,145,3,14,2,1,2,2
CY_4216,Δελίκηπος,33,23,1,0,11,1,5,1,0,1,0,3,0,0,0,0,0,0
CY_4300,Ζύγι,521,451,6,39,69,118,90,13,68,1,15,22,2,1,3,1,2,1
CY_4301,Mari,119,104,6,9,5,43,17,2,11,0,4,5,0,1,1,0,0,0
CY_4302,Καλαβασός,642,540,5,54,112,110,93,48,51,3,3,38,5,14,2,1,1,0
CY_4303,Τόχνη,364,337,3,22,24,126,53,18,40,7,1,34,4,2,0,2,1,0
CY_4304,Χοιροκoιτία,534,465,10,28,29,98,119,54,65,3,5,36,1,12,0,1,1,3
CY_4305,Psematismenos,133,94,2,0,5,52,6,6,10,2,0,9,0,0,0,0,0,2
CY_4306,Maroni,471,410,6,30,11,199,63,23,24,0,13,31,6,3,0,0,1,0
CY_4307,Άγιος Θεόδωρος Λάρνακας,588,521,13,20,18,278,65,19,82,1,1,15,0,8,0,1,0,0
CY_4308,Skarinou,227,201,5,12,11,89,25,16,17,3,0,12,1,5,2,2,0,1
CY_4309,Κοφίνου,971,803,12,44,139,337,133,21,54,2,9,17,0,28,1,4,2,0
CY_4310,Κάτω Λεύκαρα,144,121,0,13,23,28,18,10,2,1,3,21,0,2,0,0,0,0
CY_4311,Πάνω Λεύκαρα,931,782,5,45,160,180,107,61,34,31,6,129,17,5,1,0,0,1
CY_4312,Κάτω Δρυς,98,67,1,0,1,35,5,2,9,1,0,9,0,4,0,0,0,0
CY_4313,Βάβλα,69,29,0,0,2,10,2,3,5,0,0,4,3,0,0,0,0,0
CY_4314,Lageia,49,43,0,2,2,7,7,3,4,0,0,2,0,15,0,0,0,1
CY_4315,Ora,172,111,5,2,2,36,13,9,4,0,1,33,0,1,3,1,0,1
CY_4316,Μελίνη,105,93,0,12,39,10,10,2,3,3,0,9,1,3,0,0,1,0
CY_4317,Odou,144,117,0,2,22,35,26,7,12,1,1,10,1,0,0,0,0,0
CY_4318,'Αγιοι Βαβατσινιάς,194,181,2,22,28,46,23,12,27,2,2,11,1,3,1,0,1,0
CY_4319,Βαβατσινιά,147,134,4,3,17,48,28,14,9,1,5,2,0,2,0,1,0,0
CY_5000,Λεμεσός,60741,34385,795,1980,6437,8956,5547,3745,3263,934,614,1126,551,180,83,110,37,27
CY_5011,Mesa Geitonia,9721,5902,160,385,1140,1379,1096,589,525,144,123,188,92,29,21,19,8,4
CY_5012,Agios Athanasios,8850,5665,112,391,1188,1280,1074,441,528,158,135,201,80,19,15,23,14,6
