gisco_id,name,registered,turnout,invalid,blank,Α.Κ.Ε.Λ.,ΔΗ.ΣΥ.,Παναγιώτου,ΔΗ.ΚΟ.,Ε.ΛΑ.Μ.,Βολτ,ΔΗ.ΠΑ.,Ε.Δ.Ε.Κ.-Σ.Κ.,Κ.Ο.Σ.Π.,Κ.Ε.Κ.Κ.,Κ.Ζ.Κ.,Κ.Ε.Δ.,Ζερβίδης,ΝΙΚΗ
CY_6227,Στατός-'Αγιος Φώτιος,258,225,4,33,18,23,36,44,13,1,4,40,1,5,3,0,0,0
CY_6230,Πάνω Παναγιά,469,389,10,54,76,25,69,71,27,4,2,42,4,2,0,1,2,0
CY_6231,Asprogia,118,95,1,10,12,14,17,14,12,1,4,5,1,2,1,1,0,0
CY_6300,Psathi,97,88,0,4,2,16,15,0,31,1,1,13,4,0,0,1,0,0
CY_6301,'Αγιος Δημητριανός,110,91,2,4,2,11,22,11,5,0,22,11,0,1,0,0,0,0
CY_6302,Κανναβιού,214,197,1,11,16,19,53,22,39,0,3,26,1,6,0,0,0,0
CY_6305,Kritou Marottou,86,44,1,1,1,2,9,8,8,1,1,8,1,2,1,0,0,0
CY_6306,Φύτη,149,80,1,5,9,7,22,14,6,3,1,12,0,0,0,0,0,0
CY_6307,Lasa,60,54,0,12,2,8,10,8,0,0,4,6,2,2,0,0,0,0
CY_6308,Δρύμου,136,84,3,0,11,11,17,16,12,0,1,13,0,0,0,0,0,0
CY_6310,Simou,215,194,4,8,12,46,36,7,18,3,0,56,1,0,0,2,0,1
CY_6311,Anadiou,23,22,0,6,0,4,1,0,8,0,0,1,1,0,1,0,0,0
CY_6320,Λυσός,212,162,3,16,16,22,16,34,19,3,0,29,2,0,1,1,0,0
CY_6321,Περιστερώνα Πάφου,230,192,4,24,15,29,24,21,11,0,2,59,0,2,1,0,0,0
CY_6330,Theletra,133,116,2,7,8,13,30,18,22,0,1,15,0,0,0,0,0,0
CY_6331,Giolou,644,580,18,58,44,90,81,58,107,2,7,102,6,5,2,0,0,0
CY_6332,Pano Akourdaleia,75,38,2,0,4,5,6,4,2,2,0,13,0,0,0,0,0,0
CY_6333,Μηλιού,77,52,1,1,9,11,6,12,6,1,0,5,0,0,0,0,0,0
CY_6335,Tera,41,39,2,6,6,2,8,1,2,2,0,10,0,0,0,0,0,0
CY_6336,Kritou Tera,167,140,2,6,5,22,20,28,13,2,10,20,9,2,1,0,0,0
CY_6337,Σκούλλη,114,63,0,2,6,2,14,6,8,1,3,21,0,0,0,0,0,0
CY_6341,Χρυσοχού,113,93,2,4,15,10,11,7,6,0,2,33,0,2,0,1,0,0
CY_6343,Polis,1811,1481,26,101,156,173,251,115,164,15,16,424,10,14,5,9,2,0
CY_6344,Νέο Χωριό Πάφου,408,343,6,18,27,38,48,52,34,6,1,93,2,11,1,3,2,1
CY_6345,Goudi,153,124,3,3,12,4,9,15,13,2,0,55,2,4,0,1,0,1
CY_6350,Kato Arodes,57,48,3,9,6,9,9,2,6,2,0,0,1,0,0,0,1,0
CY_6351,Pano Arodes,109,65,8,6,8,10,4,18,5,3,0,2,0,0,0,0,0,1
CY_6352,Ineia,312,276,2,43,16,49,44,35,45,0,1,34,2,2,1,1,0,1
CY_6353,Drouseia,322,283,6,22,19,78,42,38,18,1,5,48,0,4,1,0,0,1
CY_6355,Androlikou,38,37,0,7,3,9,4,1,1,1,0,11,0,0,0,0,0,0
CY_6360,Pelathousa,141,61,2,4,18,4,8,10,2,0,0,12,0,0,0,1,0,0
CY_6361,Κυνούσα,82,71,0,8,3,4,21,3,1,0,0,30,0,1,0,0,0,0
CY_6363,Argaka,783,684,12,45,97,98,137,56,68,3,12,148,3,2,2,0,1,0
CY_6364,Gialia,155,141,1,6,13,17,22,11,7,0,0,60,2,2,0,0,0,0
CY_6365,Αγία Μαρίνα Χρυσοχούς,544,470,2,28,96,29,82,39,36,5,3,140,2,3,2,3,0,0
CY_6366,Νέα Δήμματα,64,53,0,1,4,4,12,2,1,0,1,28,0,0,0,0,0,0
CY_6367,Pomos,463,396,9,28,44,41,116,32,26,4,13,78,0,3,2,0,0,0
CY_6368,Στενή,151,85,5,1,3,15,17,14,11,0,0,15,1,2,1,0,0,0
CY_CYZZBE,Citizens of Cyprus living in Belgium,353,250,1,2,77,70,11,24,17,38,3,4,2,0,1,0,0,0
CY_CYZZGB,Citizens of Cyprus living in United Kingdom,1367,781,18,2,396,110,54,47,29,79,21,11,11,0,1,2,0,0
CY_CYZZEL,Citizens of Cyprus living in Greece,2923,1829,18,6,717,379,256,115,126,84,24,72,15,12,2,1,2,0
