gisco_id,name,registered,turnout,invalid,blank,ΔΗ.ΣΥ.,Α.Κ.Ε.Λ.,Ε.ΛΑ.Μ.,ΔΗ.ΚΟ.,Ε.Δ.Ε.Κ.-Σ.Κ.,Κ.Ε.Κ.Κ.,Π.Λ.,Α2020,Κ.Ο.Σ.Π.,ΔΗ.ΠΑ.,Α.Γ.,Σπάρος,Αλληλεγγύη,Πουργουρίδης,Χριστοδούλου,Κ.Ζ.Κ.,Α.Γ.Κ.,Π.Σ.,Χριστού,Θεμιστοκλέους,Μαρδαπήττας,Χρυσάνθου
CY_1000,Λευκωσία,32496,20032,302,100,5260,4065,1013,2214,1047,198,245,267,1672,1312,704,0,488,0,0,258,706,44,126,0,7,4
CY_1010,Agios Dometios,9152,5603,101,25,1452,843,280,830,398,54,70,88,389,516,209,0,117,0,0,75,94,13,45,0,1,3
CY_1011,Έγκωμη Λευκωσίας,10281,6775,98,28,1951,701,386,861,350,71,101,120,629,631,259,0,195,0,0,68,261,23,39,0,2,1
CY_1012,Στρόβολος,41193,25417,430,147,7117,4315,1297,3027,1582,277,416,333,2208,1482,911,0,670,0,0,304,676,39,170,0,13,3
CY_1013,Αγλαντζιά ή Αγλαγγιά,14739,9639,150,50,2467,1974,482,1024,576,117,116,122,906,574,395,0,200,0,0,116,307,10,48,0,4,1
CY_1021,Lakatameia,23280,14561,293,84,3348,3184,732,1534,905,278,235,225,925,1065,682,0,410,0,0,158,221,21,246,0,9,6
CY_1022,Συνοικισμός Ανθούπολης,2031,1140,19,4,209,364,53,146,77,24,12,18,38,59,37,0,35,0,0,14,16,5,9,0,0,1
CY_1023,Λατσιά ή Λακκιά,10520,6679,115,35,1730,1568,384,588,358,139,146,71,434,441,276,0,155,0,0,62,127,13,35,0,2,0
CY_1024,Geri,5599,3483,49,27,827,1078,207,223,180,106,40,42,186,160,149,0,77,0,0,45,47,14,24,0,1,1
CY_1100,Sia,445,307,7,0,65,72,14,28,19,17,3,9,15,19,22,0,7,0,0,3,4,0,3,0,0,0
CY_1101,Μαθιάτης,553,417,6,1,129,93,28,22,27,30,4,2,12,35,11,0,11,0,0,3,0,0,1,0,1,1
CY_1102,Alampra,890,706,3,5,90,237,38,31,127,12,8,9,60,51,22,0,5,0,0,4,3,0,0,0,1,0
CY_1103,Αγία Βαρβάρα Λευκωσίας,1961,1286,20,8,360,271,82,63,104,72,34,20,56,54,62,0,33,0,0,20,15,2,8,0,2,0
CY_1104,Κοτσιάτης,148,126,2,2,17,8,4,27,16,2,0,1,3,34,6,0,1,0,0,2,0,0,0,0,1,0
CY_1105,Νήσου,834,607,10,5,103,277,18,23,35,15,4,14,25,31,22,0,12,0,0,2,5,1,4,0,0,1
CY_1106,Πέρα Χωριό,2176,1533,34,8,216,696,83,68,87,72,14,13,55,78,40,0,41,0,0,10,10,2,5,0,1,0
CY_1107,Dali,6721,4449,69,28,1013,1390,201,265,275,193,70,57,227,256,171,0,97,0,0,58,61,2,14,0,0,2
CY_1108,Λύμπια,2003,1546,20,11,325,632,133,36,142,52,16,12,38,34,46,0,18,0,0,3,9,1,11,0,4,3
CY_1109,Λυθροδόντας,2029,1390,33,12,235,328,71,198,71,105,43,11,36,182,30,0,15,0,0,15,2,0,3,0,0,0
CY_1120,Potamia,372,249,3,0,46,79,4,26,22,7,1,1,5,15,11,0,24,0,0,2,1,0,2,0,0,0
CY_1200,Kampi,121,82,6,1,10,13,6,8,19,3,0,0,2,2,6,0,1,0,0,0,0,0,4,0,0,1
CY_1201,Φαρμακάς,430,336,4,2,35,166,4,29,4,17,1,4,4,6,52,0,0,0,0,4,0,1,3,0,0,0
CY_1202,Απλίκι,88,52,0,0,3,22,2,5,6,3,0,0,5,3,0,0,2,0,0,1,0,0,0,0,0,0
CY_1204,Γούρρη,292,186,6,1,39,48,10,14,10,12,5,1,6,19,6,0,2,0,0,2,2,0,3,0,0,0
CY_1206,Άγιος Επιφάνιος Ορεινής,332,224,3,1,35,79,28,20,14,6,0,4,13,4,14,0,1,0,0,1,0,0,1,0,0,0
CY_1207,Καλό Χωριό Ορεινής,452,336,2,2,53,143,23,16,10,8,5,3,20,17,19,0,2,0,0,4,1,0,7,0,1,0
CY_1208,Malounta,259,175,1,1,59,38,13,20,6,9,4,2,2,8,4,0,2,0,0,2,0,0,4,0,0,0
CY_1209,Κλήρου,1172,844,18,2,172,306,78,47,71,31,3,6,20,41,16,0,17,0,0,5,5,2,4,0,0,0
CY_1210,Arediou,1570,1094,23,6,258,311,93,91,69,56,14,10,65,33,26,0,17,0,0,8,8,0,6,0,0,0
CY_1211,Άγιος Ιωάννης Μαλούντας,268,210,7,2,59,12,23,47,7,9,2,1,12,4,7,0,14,0,0,3,1,0,0,0,0,0
CY_1212,Αγροκηπιά,363,251,3,2,52,63,16,27,14,6,3,6,17,18,7,0,7,0,0,4,1,1,3,0,1,0
CY_1213,Mitsero,573,406,11,1,51,168,28,20,31,15,5,8,12,20,10,0,11,0,0,3,2,0,10,0,0,0
CY_1220,Kapedes,424,298,7,1,94,30,73,23,38,6,2,0,3,3,7,0,8,0,0,2,0,1,0,0,0,0
CY_1222,Analiontas,263,192,2,0,46,45,11,13,15,20,12,7,6,6,6,0,0,0,0,2,0,0,1,0,0,0
CY_1223,Kampia,377,280,4,1,67,92,26,29,8,8,1,0,12,11,9,0,5,0,0,3,2,0,2,0,0,0
CY_1225,Tseri,4616,2905,64,25,568,832,152,277,107,92,36,31,209,234,146,0,41,0,0,40,24,1,24,0,2,0
CY_1226,Politiko,286,203,3,0,42,18,72,11,9,7,3,3,11,8,4,0,2,0,0,4,3,0,2,0,1,0
CY_1227,Pera,809,556,6,3,133,97,49,57,33,22,6,6,27,39,33,0,18,0,0,8,6,0,13,0,0,0
CY_1228,Episkopeio,372,244,6,2,89,25,27,14,7,22,5,3,8,11,7,0,5,0,0,5,0,5,3,0,0,0
CY_1229,Ψιμολόφου,1324,930,10,2,196,200,82,115,90,50,7,8,47,41,44,0,18,0,0,11,3,1,5,0,0,0
CY_1230,Ergates,1145,763,12,5,183,140,115,78,64,25,7,16,34,34,21,0,4,0,0,10,9,2,3,0,0,1
CY_1231,Anageia,1238,827,19,6,144,264,83,66,46,35,13,16,32,39,36,0,9,0,0,13,2,1,3,0,0,0
CY_1232,Πάνω Δευτερά,2391,1644,41,6,454,463,111,126,59,50,21,21,70,70,75,0,16,0,0,18,26,0,17,0,0,0
CY_1233,Κάτω Δευτερά,1028,640,6,2,127,154,47,85,51,26,6,6,42,24,18,0,10,0,0,7,9,1,15,0,3,1
CY_1240,Agioi Trimithias,1411,967,9,7,269,96,59,202,41,26,36,7,54,78,32,0,35,0,0,7,6,1,2,0,0,0
CY_1241,Παλαιομέτοχο,3254,2098,40,15,586,249,144,238,215,64,31,22,120,165,87,0,78,0,0,12,5,10,13,0,1,3
CY_1242,Deneia,354,223,4,0,43,17,13,15,35,16,1,7,6,43,6,0,11,0,0,4,1,1,0,0,0,0
CY_1243,Kokkinotrimithia,2878,1796,27,8,463,364,125,170,100,44,45,34,93,123,58,0,81,0,0,26,13,5,17,0,0,0
CY_1244,Μάμμαρη,1167,814,9,3,327,51,69,44,49,13,8,33,27,63,23,0,80,0,0,7,3,1,3,0,1,0
CY_1300,Παλαιχώρι Μόρφου,691,507,9,0,154,115,25,31,78,1,4,9,28,27,5,0,2,0,0,7,8,0,4,0,0,0
CY_1301,Askas,186,130,4,3,36,11,10,10,22,3,13,0,7,8,1,0,0,0,0,0,0,0,2,0,0,0
CY_1302,Alona,156,106,5,1,58,2,3,13,1,8,1,0,5,2,0,0,7,0,0,0,0,0,0,0,0,0
CY_1303,Φτερικούδι,153,110,4,0,27,24,9,3,16,10,2,1,0,5,4,0,2,0,0,1,1,1,0,0,0,0
CY_1304,Πολύστυπος,245,183,3,1,38,15,7,64,12,1,1,0,7,6,2,0,21,0,0,1,4,0,0,0,0,0
CY_1305,Lagoudera,162,106,1,0,48,11,3,23,3,6,1,0,5,1,3,0,0,0,0,0,1,0,0,0,0,0
CY_1306,Saranti,79,63,1,0,26,2,3,7,15,1,0,0,0,1,2,0,5,0,0,0,0,0,0,0,0,0
CY_1307,Λιβάδια Λευκωσίας,66,41,2,0,9,2,0,12,2,0,0,0,3,7,0,0,0,0,0,0,0,4,0,0,0,0
CY_1309,Platanistasa,156,126,5,1,40,18,12,8,6,5,1,0,1,8,3,0,16,0,0,0,0,0,2,0,0,0
CY_1310,Παλαιχώρι Ορεινής,393,278,2,0,85,27,16,17,43,7,13,8,22,17,8,0,8,0,0,1,2,0,1,0,1,0
CY_1320,Ξυλιάτος,155,113,5,0,40,14,3,6,9,2,0,3,4,23,2,0,0,0,0,0,1,0,1,0,0,0
CY_1322,Νικητάρι,442,296,3,0,107,31,31,31,10,3,11,4,15,13,7,0,23,0,0,5,1,1,0,0,0,0
CY_1323,Βυζακιά,390,259,2,1,92,50,22,27,11,2,1,3,10,25,6,0,2,0,0,0,2,0,3,0,0,0
CY_1324,Αγία Μαρίνα Ξυλιάτου,618,413,11,1,95,118,20,28,29,27,1,4,16,28,21,0,7,0,0,3,1,0,3,0,0,0
CY_1326,Κάτω Μονή,276,187,0,2,15,46,7,26,11,5,2,1,22,24,14,0,3,0,0,2,5,0,0,0,1,1
CY_1327,Orounta,463,327,8,2,78,45,17,49,30,4,2,9,22,42,6,0,7,0,0,1,2,0,2,0,0,1
CY_1330,Potami,508,359,5,0,104,71,45,39,26,8,2,9,8,20,8,0,6,0,0,5,1,1,1,0,0,0
CY_1360,Akaki,2151,1452,27,5,296,315,81,259,86,38,30,10,52,98,67,0,44,0,0,14,14,5,9,0,2,0
CY_1361,Περιστερώνα Λευκωσίας,2009,1317,14,9,378,237,113,131,153,18,9,10,56,71,34,0,41,0,0,17,8,1,15,0,2,0
CY_1362,Αστρομερίτης,1828,1208,25,8,249,284,104,153,85,15,5,14,44,100,29,0,76,0,0,7,3,1,1,0,4,1
CY_1368,Meniko,796,509,14,2,139,86,29,49,54,21,6,12,15,39,15,0,16,0,0,2,3,0,7,0,0,0
CY_1400,Σπήλια,245,162,4,0,59,20,23,19,12,0,1,3,5,7,0,0,8,0,0,0,0,1,0,0,0,0
CY_1403,Καννάβια,261,195,1,1,43,30,66,20,10,1,1,2,1,13,3,0,0,0,0,0,0,2,1,0,0,0
CY_1404,Kakopetria,1043,759,8,6,206,117,111,86,63,10,0,5,49,52,18,0,8,0,0,9,3,5,2,0,1,0
CY_1405,Άγιος Θεόδωρος Σολέας,115,88,2,0,17,6,7,20,20,5,0,1,2,2,2,0,3,0,0,1,0,0,0,0,0,0
CY_1406,Galata,580,382,11,3,52,49,36,127,18,1,7,6,15,36,9,0,3,0,0,0,5,1,3,0,0,0
CY_1407,Sinaoros,221,167,5,1,14,14,6,11,31,4,3,5,0,55,15,0,1,0,0,0,0,0,2,0,0,0
CY_1408,Kaliana,247,185,3,2,52,28,13,30,17,4,5,1,2,14,7,0,4,0,0,0,0,0,3,0,0,0
CY_1409,Τεμβριά,517,378,3,1,29,171,10,47,28,2,0,3,9,14,49,0,8,0,0,1,0,2,1,0,0,0
CY_1410,Korakou,538,350,3,1,72,95,23,39,44,5,5,0,20,29,11,0,2,0,0,0,0,0,1,0,0,0
CY_1411,Ευρύχου,923,588,10,2,115,104,50,104,74,14,1,5,22,45,11,0,13,0,0,1,6,6,4,0,0,1
CY_1412,Φλάσου,227,143,1,1,33,37,23,14,9,1,1,5,4,9,2,0,2,0,0,0,1,0,0,0,0,0
CY_1415,Ληνού,180,101,4,0,29,23,4,11,11,0,3,0,3,5,4,0,3,0,0,1,0,0,0,0,0,0
CY_1416,Κατύδατα,184,116,0,1,35,18,3,12,19,4,4,0,5,12,1,0,1,0,0,0,1,0,0,0,0,0
CY_1420,Pedoulas,228,144,2,0,41,7,2,53,15,4,1,3,8,4,2,0,1,0,0,0,0,0,1,0,0,0
CY_1421,Μυλικούρι,87,49,0,0,10,6,4,18,7,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
CY_1422,Moutoullas,268,164,7,3,39,29,5,21,26,8,1,1,2,11,7,0,0,0,0,0,1,2,1,0,0,0
CY_1423,Oikos,193,138,0,1,24,5,3,9,67,14,2,1,6,2,4,0,0,0,0,0,0,0,0,0,0,0
CY_1424,Καλοπαναγιώτης,307,181,1,1,46,48,5,28,19,5,0,0,15,5,5,0,0,0,0,1,1,1,0,0,0,0
CY_1425,Gerakies,187,126,0,1,25,10,5,21,55,0,1,0,1,3,2,0,1,0,0,0,1,0,0,0,0,0
CY_1426,Tsakistra,80,59,0,1,24,6,3,6,8,0,0,2,4,1,1,0,1,0,0,1,0,0,1,0,0,0
CY_1427,Kampos,330,177,11,1,28,40,5,13,45,8,2,1,3,4,4,0,7,0,0,3,0,0,2,0,0,0
CY_1457,Κάτω Πύργος,1133,751,16,6,241,84,37,77,156,16,0,4,2,81,10,0,9,0,0,4,1,5,2,0,0,0
CY_1460,Πηγένια,176,108,0,0,25,9,9,10,40,6,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0
CY_1461,Παχύαμμος,93,47,1,0,7,9,5,3,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CY_3100,Agia Napa,2691,2020,35,14,634,431,247,130,87,113,18,38,40,152,18,0,16,0,0,8,39,0,0,0,0,0
CY_3101,Paralimni,9207,6978,151,34,2765,562,1393,503,222,518,39,92,160,268,72,0,61,0,0,32,102,3,1,0,0,0
CY_3102,Δερύνεια,4013,3001,55,17,635,1086,175,129,119,378,33,36,54,119,35,0,13,0,0,31,86,0,0,0,0,0
CY_3103,Σωτήρα Αμμοχώστου,3880,2756,108,20,942,130,321,374,220,357,19,26,26,129,27,0,17,0,0,14,25,1,0,0,0,0
CY_3104,Liopetri,3422,2532,81,12,902,410,371,61,86,371,24,27,19,80,26,0,40,0,0,6,15,1,0,0,0,0
CY_3105,Φρέναρος,2811,2171,56,20,423,585,103,70,85,411,13,40,25,266,30,0,17,0,0,15,12,0,0,0,0,0
CY_3110,Αυγόρου,3538,2712,113,26,746,443,201,115,82,449,38,14,27,361,30,0,21,0,0,18,28,0,0,0,0,0
CY_3111,Αχνα,1653,1223,27,4,431,126,97,168,46,74,5,11,16,22,88,0,98,0,0,5,4,1,0,0,0,0
CY_3114,Αχερίτου,1664,1093,32,8,349,292,72,77,50,107,4,17,4,33,17,0,8,0,0,15,8,0,0,0,0,0
CY_4000,Λάρνακα,33755,21157,395,141,5568,5213,1223,2309,1305,379,389,236,507,1625,611,0,403,0,0,217,535,14,4,82,1,0
CY_4010,Aradippou,11630,8193,129,59,2603,2177,362,606,452,223,202,127,228,485,180,0,91,0,0,84,130,6,1,48,0,0
CY_4011,Λιβάδια Λάρνακας,4468,2914,67,17,658,1077,122,183,136,118,62,17,45,194,115,0,38,0,0,32,25,0,0,8,0,0
CY_4014,Δρομολαξιά-Μενεού,5614,3729,100,31,988,1342,139,282,111,151,62,21,72,195,108,0,51,0,0,18,55,1,0,2,0,0
CY_4100,Kellia,282,222,3,1,66,49,8,23,42,8,1,0,1,12,4,0,2,0,0,1,1,0,0,0,0,0
CY_4101,Troulloi,990,785,24,3,299,46,86,24,31,21,6,8,4,218,8,0,1,0,0,0,2,0,0,4,0,0
CY_4102,Bορόκληνη(Ορόκληνη),2388,1603,37,11,588,405,78,66,88,65,25,13,38,92,35,0,10,0,0,11,20,1,0,20,0,0
CY_4103,Αβδελλερό,136,113,0,0,11,18,8,5,12,14,5,1,5,32,0,0,0,0,0,0,0,0,0,2,0,0
CY_4104,Πύλα,1229,752,24,10,206,232,30,38,36,26,24,4,19,45,23,0,15,0,0,6,8,0,0,6,0,0
CY_4105,Ξυλοτύμβου,2833,1878,34,12,489,365,142,194,154,86,55,103,19,78,87,0,21,0,0,16,10,0,0,13,0,0
CY_4106,Ormideia,3523,2356,61,12,574,734,245,153,58,83,205,17,25,77,47,0,29,0,0,8,21,0,0,7,0,0
CY_4107,Ξυλοφάγου,4141,2722,62,26,758,628,400,94,93,198,40,36,45,211,47,0,21,0,0,24,26,3,0,10,0,0
CY_4110,Kiti,2640,1850,25,10,322,846,145,93,61,51,15,28,20,139,32,0,17,0,0,27,18,0,0,1,0,0
CY_4111,Περιβόλια Λάρνακας,1634,1192,14,4,165,686,61,43,30,53,14,20,16,44,16,0,5,0,0,12,8,0,0,1,0,0
CY_4112,Τερσεφάνου,870,628,16,4,137,270,32,42,17,58,11,2,7,19,6,0,2,0,0,3,1,0,0,1,0,0
CY_4120,Mazotos,568,436,9,3,122,89,71,69,8,7,16,1,3,27,6,0,2,0,0,3,0,0,0,0,0,0
CY_4121,Alaminos,317,260,3,2,74,57,61,23,10,9,1,1,7,5,2,0,1,0,0,3,1,0,0,0,0,0
CY_4122,Αναφωτίδα,581,403,2,5,188,49,32,36,14,20,7,11,6,26,5,0,0,0,0,0,2,0,0,0,0,0
CY_4124,Κιβισίλι,168,134,1,2,81,12,11,14,1,2,0,2,2,0,1,0,2,0,0,0,3,0,0,0,0,0
CY_4125,Alethriko,806,554,12,2,158,132,37,45,20,51,8,4,10,25,9,0,14,0,0,3,23,0,0,1,0,0
CY_4126,Κλαυδιά,400,306,1,3,152,35,19,35,12,11,5,1,4,11,3,0,10,0,0,0,4,0,0,0,0,0
CY_4127,Αγγλισίδες,913,653,20,2,268,90,65,54,33,31,6,11,10,37,13,0,6,0,0,1,4,0,0,2,0,0
CY_4202,Athienou,3785,2895,35,22,721,542,130,292,754,44,53,18,67,139,28,0,13,0,0,16,7,2,2,10,0,0
CY_4210,Καλό Χωριό Λάρνακας,1223,840,17,10,256,245,29,65,35,81,26,2,15,27,12,0,6,0,0,6,4,0,0,4,0,0
CY_4211,Agia Anna,159,115,3,0,25,28,20,0,14,8,1,3,5,5,1,0,0,0,0,0,0,0,0,2,0,0
CY_4212,Μοσφιλωτή,992,771,11,7,168,221,149,58,18,11,10,52,22,11,9,0,6,0,0,8,7,0,0,3,0,0
CY_4213,Ψευδάς,1155,832,11,13,159,344,51,43,80,39,5,12,7,42,11,0,3,0,0,4,6,1,0,1,0,0
CY_4214,Πυργά (τα) Λάρνακας,559,385,10,0,60,143,31,28,23,23,4,7,29,12,5,0,3,0,0,5,0,0,0,2,0,0
CY_4215,Kornos,1566,995,17,4,220,309,50,50,141,58,7,51,15,15,23,0,14,0,0,10,5,1,0,5,0,0
CY_4300,Ζύγι,832,549,5,5,170,91,51,30,26,30,19,7,6,33,8,0,52,0,0,4,11,0,1,0,0,0
CY_4301,Mari,84,63,3,0,43,4,4,0,2,1,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0
CY_4302,Καλαβασός,511,340,5,1,72,85,27,46,50,7,2,3,12,10,3,0,11,0,0,2,3,0,0,1,0,0
CY_4303,Τόχνη,236,162,2,0,60,9,12,38,24,4,0,1,3,3,1,0,3,0,0,1,1,0,0,0,0,0
CY_4304,Χοιροκoιτία,399,278,6,1,64,22,22,56,5,8,7,7,2,21,1,0,53,0,0,2,0,0,0,1,0,0
CY_4305,Psematismenos,118,88,0,0,31,5,18,9,7,2,4,7,0,1,0,0,3,0,0,1,0,0,0,0,0,0
CY_4306,Maroni,398,263,3,1,105,9,26,41,24,10,2,8,4,24,2,0,1,0,0,1,1,0,0,1,0,0
CY_4307,Άγιος Θεόδωρος Λάρνακας,539,421,4,0,223,10,69,31,27,17,8,1,6,13,6,0,6,0,0,0,0,0,0,0,0,0
CY_4308,Skarinou,156,122,3,0,59,3,5,31,3,8,1,0,1,5,1,0,1,0,0,0,1,0,0,0,0,0
CY_4309,Κοφίνου,1213,830,43,4,239,221,83,41,42,60,11,6,8,34,13,0,17,0,0,5,2,0,0,1,0,0
CY_4310,Κάτω Λεύκαρα,133,104,4,1,17,12,3,6,51,2,0,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0
CY_4311,Πάνω Λεύκαρα,950,679,7,5,141,120,20,59,232,20,7,2,20,27,9,0,3,0,0,0,2,0,0,5,0,0
CY_4312,Κάτω Δρυς,116,81,2,0,46,0,12,7,5,5,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
CY_4313,Βάβλα,114,62,1,1,21,6,3,5,4,2,0,2,5,3,5,0,2,0,0,1,1,0,0,0,0,0
CY_4315,Ora,128,95,1,1,56,8,4,9,5,1,2,0,2,4,1,0,1,0,0,0,0,0,0,0,0,0
CY_4316,Μελίνη,83,61,5,0,8,31,1,2,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY_4317,Odou,129,88,1,8,26,20,5,7,4,8,1,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0
CY_4318,'Αγιοι Βαβατσινιάς,161,105,0,0,27,20,3,38,6,2,0,1,0,5,1,0,2,0,0,0,0,0,0,0,0,0
CY_4319,Βαβατσινιά,92,73,1,0,34,6,1,11,7,2,1,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0
CY_5000,Λεμεσός,62967,38662,683,219,9957,8376,2232,5005,1961,866,297,667,1608,2573,999,23,1214,597,48,586,719,20,9,0,2,1
