gisco_id,name,registered,turnout,invalid,blank,ΔΗ.ΣΥ.,Α.Κ.Ε.Λ.,ΔΗ.ΚΟ.,Ε.ΛΑ.Μ.,Αλληλεγγύη,Π.Λ.,Ε.Δ.Ε.Κ.-Σ.Κ.,Σ.Π.,Κ.Ο.Σ.Π.,Ο.Α.Δ.,Κ.Ζ.Κ.,Κ.Κ.Σ.,Σταύρου [Σταύρου Λουκάς],Ευστρατίου,Θεοδούλου,Ο.Σ.Α.,Χριστοφόρου [Χριστοφόρου Γεώργιος],Αγγέλη
CY_1000,Λευκωσία,33790,21589,415,215,6835,4628,2925,587,1224,175,932,1271,1793,70,297,100,0,0,3,15,101,3
CY_1010,Agios Dometios,9717,6286,134,67,1853,1064,1069,201,374,74,328,406,528,29,96,30,0,0,0,8,25,0
CY_1011,Έγκωμη Λευκωσίας,9833,6353,108,54,2243,805,937,222,470,80,264,416,550,31,112,30,0,0,1,6,24,0
CY_1012,Στρόβολος,41179,26434,503,273,8210,5017,3754,754,1574,372,1252,1694,2267,88,404,118,0,0,2,41,108,3
CY_1013,Αγλαντζιά ή Αγλαγγιά,14335,9408,163,86,2757,2113,1222,250,511,148,450,620,836,34,130,33,0,0,2,13,40,0
CY_1021,Lakatameia,22069,14007,311,164,3548,3518,1894,445,791,187,799,917,1015,64,193,82,0,0,9,14,53,3
CY_1022,Συνοικισμός Ανθούπολης,2188,1384,56,12,256,457,206,26,43,11,71,105,88,16,17,13,0,0,0,1,6,0
CY_1023,Λατσιά ή Λακκιά,10017,6509,131,100,1893,1680,698,218,341,92,350,423,421,20,75,37,0,0,2,5,20,3
CY_1024,Geri,5319,3421,86,42,908,1174,254,126,195,21,149,150,201,5,46,52,0,0,0,2,9,1
CY_1100,Sia,412,282,4,1,61,78,20,12,23,7,24,10,29,0,3,9,0,0,0,0,1,0
CY_1101,Μαθιάτης,473,348,4,1,105,80,20,14,9,5,32,12,6,2,0,55,0,0,0,1,2,0
CY_1102,Alampra,849,661,10,5,128,265,29,26,22,3,14,28,34,0,4,89,0,0,0,1,3,0
CY_1103,Αγία Βαρβάρα Λευκωσίας,1846,1246,43,6,440,261,107,40,37,23,70,108,56,1,8,36,0,0,0,3,7,0
CY_1104,Κοτσιάτης,152,121,2,1,43,19,22,2,6,1,19,0,4,0,0,2,0,0,0,0,0,0
CY_1105,Νήσου,771,552,6,8,106,269,41,13,18,7,23,31,20,0,6,4,0,0,0,0,0,0
CY_1106,Πέρα Χωριό,2123,1505,38,19,271,672,92,43,42,15,66,144,51,7,12,29,0,0,1,0,3,0
CY_1107,Dali,6168,4090,83,43,1085,1459,271,145,220,35,201,176,218,9,46,76,0,0,2,4,17,0
CY_1108,Λύμπια,1901,1557,28,18,338,735,45,33,115,23,115,28,32,2,10,31,0,0,0,1,3,0
CY_1109,Λυθροδόντας,1948,1299,38,18,274,412,194,52,49,44,68,61,34,4,5,38,0,0,0,1,7,0
CY_1120,Potamia,355,258,4,1,41,96,30,5,31,0,18,19,4,0,2,6,0,0,0,0,1,0
CY_1200,Kampi,120,67,1,0,12,16,10,0,1,0,12,5,1,1,1,7,0,0,0,0,0,0
CY_1201,Φαρμακάς,443,309,2,1,41,190,24,7,3,4,11,12,12,0,1,1,0,0,0,0,0,0
CY_1202,Απλίκι,85,70,2,0,6,26,11,3,1,0,3,13,5,0,0,0,0,0,0,0,0,0
CY_1204,Γούρρη,272,177,3,6,47,66,20,6,6,1,3,13,6,0,0,0,0,0,0,0,0,0
CY_1206,Άγιος Επιφάνιος Ορεινής,333,243,12,2,29,89,35,9,14,0,8,23,11,2,5,2,0,0,0,0,2,0
CY_1207,Καλό Χωριό Ορεινής,448,320,2,5,55,128,55,10,17,5,5,14,19,1,1,0,0,0,0,0,3,0
CY_1208,Malounta,246,180,4,0,51,48,14,4,18,1,17,11,8,0,2,0,0,0,0,0,2,0
CY_1209,Κλήρου,1134,828,7,3,185,306,55,43,27,3,82,73,28,2,7,4,0,0,0,0,3,0
CY_1210,Arediou,1456,986,24,13,266,323,81,33,39,5,45,57,74,11,9,4,0,0,0,0,2,0
CY_1211,Άγιος Ιωάννης Μαλούντας,268,201,1,1,73,19,50,8,10,1,9,10,18,0,0,0,0,0,0,0,1,0
CY_1212,Αγροκηπιά,362,254,11,6,55,67,33,8,19,3,10,8,23,2,3,6,0,0,0,0,0,0
CY_1213,Mitsero,584,450,13,4,59,226,29,11,16,8,23,18,23,1,6,6,0,0,0,2,5,0
CY_1220,Kapedes,416,257,2,4,120,26,25,23,16,1,26,4,8,0,1,1,0,0,0,0,0,0
CY_1222,Analiontas,245,159,3,1,44,49,4,8,8,5,18,5,4,0,2,8,0,0,0,0,0,0
CY_1223,Kampia,350,251,9,2,71,91,17,10,13,2,6,11,10,0,2,6,0,0,0,0,1,0
CY_1225,Tseri,4250,2781,78,42,561,970,383,67,115,17,134,137,152,16,37,63,0,0,0,2,7,0
CY_1226,Politiko,286,190,1,2,44,22,16,69,1,1,1,22,8,0,1,2,0,0,0,0,0,0
CY_1227,Pera,791,542,12,1,134,117,63,28,45,12,34,36,49,1,7,3,0,0,0,0,0,0
CY_1228,Episkopeio,358,242,2,4,111,43,20,14,13,2,8,7,13,0,2,1,0,0,0,0,2,0
CY_1229,Ψιμολόφου,1224,832,21,7,238,223,101,46,36,11,33,34,45,8,13,11,0,0,0,0,3,2
CY_1230,Ergates,1111,729,15,9,229,149,87,67,34,3,49,33,43,0,5,5,0,0,0,0,1,0
CY_1231,Anageia,1150,773,25,11,157,273,74,42,39,8,22,59,46,4,8,3,0,0,0,0,2,0
CY_1232,Πάνω Δευτερά,2272,1589,44,26,447,522,185,51,61,20,38,80,72,17,11,8,0,0,0,0,5,2
CY_1233,Κάτω Δευτερά,998,658,16,11,143,192,101,24,22,5,38,45,44,2,6,4,0,0,0,0,5,0
CY_1240,Agioi Trimithias,1259,854,26,8,297,82,159,36,54,22,22,49,65,5,11,11,0,0,0,1,6,0
CY_1241,Παλαιομέτοχο,3135,2111,63,16,697,303,267,81,191,24,183,106,154,6,9,5,0,0,0,0,6,0
CY_1242,Deneia,346,196,1,0,54,22,18,37,10,4,27,9,8,2,1,2,0,0,0,0,1,0
CY_1243,Kokkinotrimithia,2870,1864,38,19,527,471,199,105,138,33,81,108,98,6,24,6,0,0,0,5,6,0
CY_1244,Μάμμαρη,1110,806,18,14,393,61,83,49,55,23,28,33,36,2,6,3,0,0,0,0,2,0
CY_1300,Παλαιχώρι Μόρφου,685,497,10,6,173,120,35,10,8,0,35,72,18,2,4,3,0,0,0,0,1,0
CY_1301,Askas,201,144,3,2,59,14,11,3,1,6,18,20,6,0,0,0,0,0,0,0,1,0
CY_1302,Alona,173,125,1,1,77,5,13,4,15,2,0,4,3,0,0,0,0,0,0,0,0,0
CY_1303,Φτερικούδι,156,103,5,1,30,25,3,5,3,2,19,1,6,1,2,0,0,0,0,0,0,0
CY_1304,Πολύστυπος,278,205,3,0,74,23,69,5,8,1,14,2,4,1,1,0,0,0,0,0,0,0
CY_1305,Lagoudera,177,132,5,1,46,13,25,6,10,1,2,13,8,0,0,0,0,0,0,0,2,0
CY_1306,Saranti,82,58,0,0,28,2,10,3,6,0,1,4,3,0,0,0,0,0,0,1,0,0
CY_1307,Λιβάδια Λευκωσίας,79,53,0,1,16,5,13,2,5,0,4,0,6,0,0,0,0,0,0,0,1,0
CY_1309,Platanistasa,170,132,6,1,40,22,7,1,48,1,2,3,1,0,0,0,0,0,0,0,0,0
CY_1310,Παλαιχώρι Ορεινής,424,321,10,4,112,45,15,7,5,5,17,82,13,0,2,0,0,0,0,2,2,0
CY_1320,Ξυλιάτος,153,110,1,0,34,16,24,4,8,0,10,3,9,0,0,1,0,0,0,0,0,0
CY_1322,Νικητάρι,444,291,5,0,122,43,39,20,19,2,26,4,7,0,2,2,0,0,0,0,0,0
CY_1323,Βυζακιά,391,264,8,0,83,82,17,16,14,0,14,7,16,1,4,0,0,0,0,0,2,0
CY_1324,Αγία Μαρίνα Ξυλιάτου,621,443,17,2,126,162,38,15,20,5,23,11,12,3,6,1,0,0,0,1,1,0
CY_1326,Κάτω Μονή,279,195,6,1,25,46,33,6,20,4,20,7,24,0,0,2,0,0,0,0,1,0
CY_1327,Orounta,477,373,9,7,99,69,65,26,19,0,37,20,13,3,4,1,0,0,0,1,0,0
CY_1330,Potami,480,341,8,3,123,60,57,15,7,2,39,16,8,0,2,0,0,0,0,0,1,0
CY_1360,Akaki,2107,1469,32,14,390,380,326,41,45,14,72,66,62,2,13,2,0,0,0,3,7,0
CY_1361,Περιστερώνα Λευκωσίας,2072,1367,38,8,401,301,256,46,53,5,136,45,57,4,7,7,0,0,0,1,2,0
CY_1362,Αστρομερίτης,1860,1275,27,17,299,405,209,37,44,7,91,53,50,7,9,12,0,0,0,6,2,0
CY_1368,Meniko,780,529,14,4,117,101,91,64,16,6,17,45,47,2,1,1,0,0,0,1,2,0
CY_1400,Σπήλια,247,161,2,2,49,25,19,7,7,1,38,2,7,0,1,1,0,0,0,0,0,0
CY_1403,Καννάβια,269,205,9,1,51,33,39,26,4,3,18,17,1,2,0,1,0,0,0,0,0,0
CY_1404,Kakopetria,1060,774,7,6,186,102,87,24,20,3,286,34,17,0,0,1,0,0,0,0,1,0
CY_1405,Άγιος Θεόδωρος Σολέας,85,70,1,0,10,7,11,3,6,0,31,0,1,0,0,0,0,0,0,0,0,0
CY_1406,Galata,625,449,13,3,72,61,192,5,9,5,65,11,8,0,0,1,0,0,0,4,0,0
CY_1407,Sinaoros,205,166,6,0,14,11,75,2,1,0,50,5,1,1,0,0,0,0,0,0,0,0
CY_1408,Kaliana,253,202,4,0,45,27,52,3,8,0,51,3,7,1,0,1,0,0,0,0,0,0
CY_1409,Τεμβριά,537,398,7,4,33,180,47,3,4,2,79,23,12,0,2,1,0,0,0,0,1,0
CY_1410,Korakou,553,388,3,2,76,128,47,12,10,2,81,5,17,0,3,0,0,0,0,0,2,0
CY_1411,Ευρύχου,908,606,7,4,162,100,98,23,26,0,141,12,21,0,1,9,0,0,0,0,1,1
CY_1412,Φλάσου,252,180,1,1,38,49,24,12,13,0,27,3,9,0,1,1,0,0,0,0,1,0
CY_1415,Ληνού,204,129,2,2,25,26,19,4,4,1,32,3,8,2,0,1,0,0,0,0,0,0
CY_1416,Κατύδατα,200,135,7,4,26,25,20,6,5,0,28,7,2,1,2,1,0,0,0,0,1,0
CY_1420,Pedoulas,199,117,3,0,49,6,24,1,3,0,17,1,7,1,0,5,0,0,0,0,0,0
CY_1421,Μυλικούρι,61,48,0,2,10,6,13,7,0,0,4,0,6,0,0,0,0,0,0,0,0,0
CY_1422,Moutoullas,279,179,6,3,39,30,32,3,8,0,40,8,6,2,1,0,0,0,0,0,1,0
CY_1423,Oikos,206,165,4,1,17,7,11,2,7,2,104,4,6,0,0,0,0,0,0,0,0,0
CY_1424,Καλοπαναγιώτης,304,191,2,0,45,56,33,7,8,2,20,7,9,0,2,0,0,0,0,0,0,0
CY_1425,Gerakies,200,115,2,1,23,14,15,1,2,0,40,9,8,0,0,0,0,0,0,0,0,0
CY_1426,Tsakistra,85,67,3,0,33,8,4,1,0,0,10,2,4,0,2,0,0,0,0,0,0,0
CY_1427,Kampos,350,207,8,0,46,57,28,3,14,0,36,8,7,0,0,0,0,0,0,0,0,0
CY_1457,Κάτω Πύργος,1136,837,15,13,243,99,101,34,16,2,151,33,125,0,0,2,0,0,0,1,2,0
CY_1460,Πηγένια,138,101,1,0,22,10,1,3,0,0,34,8,21,0,0,1,0,0,0,0,0,0
CY_1461,Παχύαμμος,100,73,2,0,8,14,2,4,2,0,37,1,2,1,0,0,0,0,0,0,0,0
CY_3100,Agia Napa,2418,1701,51,16,516,618,110,84,55,12,56,113,41,3,14,12,0,0,0,0,0,0
CY_3101,Paralimni,8376,6205,130,51,3140,858,773,464,101,56,126,279,171,12,29,15,0,0,0,0,0,0
CY_3102,Δερύνεια,3889,2902,103,36,690,1516,145,53,33,10,82,90,88,7,38,11,0,0,0,0,0,0
CY_3103,Σωτήρα Αμμοχώστου,3519,2369,78,16,1139,235,285,67,49,30,246,155,39,8,12,10,0,0,0,0,0,0
CY_3104,Liopetri,3304,2151,88,15,987,505,117,124,43,43,64,90,46,6,15,8,0,0,0,0,0,0
CY_3105,Φρέναρος,2740,1911,62,18,522,857,161,54,30,22,93,40,36,1,13,2,0,0,0,0,0,0
CY_3110,Αυγόρου,3370,2352,67,19,968,650,179,109,72,49,94,86,40,4,4,11,0,0,0,0,0,0
