gisco_id,name,registered,turnout,invalid,blank,Α.Κ.Ε.Λ.,Ε.ΛΑ.Μ.,ΔΗ.ΣΥ.,Ε.Δ.Ε.Κ.-Σ.Κ.,ΔΗ.ΠΑ.,ΔΗ.ΚΟ.,Ε.Α.Κ.,Κ.Γ.,Κ.Ο.Σ.Π.-Σ.Π.,Κ.Ζ.Κ.,Παρασκευά,Ο.Α.Δ.,Αριστείδου,Μαρδαπήττας,Σ.Κ.Κ.
CY_6230,Πάνω Παναγιά,525,269,5,0,51,17,30,106,1,40,1,5,11,0,0,1,0,0,1
CY_6351,Pano Arodes,132,59,3,0,16,0,9,10,0,20,0,0,1,0,0,0,0,0,0
CY_1232,Πάνω Δευτερά,1775,1078,18,12,355,81,320,59,35,137,0,9,34,6,5,5,0,0,2
CY_5304,Πάνω Κιβίδες,625,302,5,0,25,34,153,6,6,67,1,1,3,0,1,0,0,0,0
CY_4311,Πάνω Λεύκαρα,888,487,11,2,145,27,100,100,11,60,0,7,13,3,0,0,1,7,0
CY_5351,Pano Platres,249,129,0,4,6,9,41,31,6,26,0,3,2,1,0,0,0,0,0
CY_5020,Pano Polemidia,3395,1695,23,8,739,81,448,136,46,152,4,9,23,13,11,1,0,0,1
CY_3101,Paralimni,8745,4485,89,36,416,1073,1992,201,89,378,4,46,83,39,23,9,4,3,0
CY_5221,Paramali,136,91,5,1,7,11,55,1,2,7,0,0,2,0,0,0,0,0,0
CY_5101,Παραμύθα,358,156,2,1,24,24,48,15,4,32,0,1,2,2,0,0,1,0,0
CY_5125,Παρεκκλησιά,1237,518,14,5,138,42,160,43,29,55,0,7,18,3,0,1,2,0,1
CY_6000,Πάφος,18792,8555,193,69,1363,994,1914,1670,319,1600,28,97,218,45,26,7,7,3,2
CY_5308,Πάχνα,946,450,13,2,54,47,213,35,9,62,2,2,8,2,0,0,1,0,0
CY_1461,Παχύαμμος,108,54,0,0,13,5,6,21,0,8,0,0,0,0,0,1,0,0,0
CY_6133,Pegeia,2025,866,11,13,176,96,262,91,8,144,1,12,47,3,1,0,1,0,0
CY_1420,Pedoulas,192,93,1,0,4,3,39,15,1,28,0,0,1,0,0,1,0,0,0
CY_5365,Pelendri,1257,897,10,2,613,19,197,17,9,22,2,4,1,0,0,0,1,0,0
CY_5126,Pentakomo,467,253,4,2,67,25,85,16,7,39,0,1,4,1,0,1,0,1,0
CY_6222,Pentalia,281,112,7,2,15,6,25,20,5,25,0,0,7,0,0,0,0,0,0
CY_1227,Pera,938,526,14,3,99,60,156,59,19,77,1,6,23,5,1,1,0,1,1
CY_5327,Pera Pedi,165,106,4,0,19,2,50,8,8,10,1,3,1,0,0,0,0,0,0
CY_1106,Πέρα Χωριό,1895,1124,19,13,573,66,188,74,34,94,1,7,38,6,6,2,2,1,0
CY_4111,Περιβόλια Λάρνακας,1615,921,11,4,584,42,160,35,17,43,0,6,13,3,1,1,0,1,0
CY_1361,Περιστερώνα Λευκωσίας,1827,1043,15,8,207,76,324,139,34,181,2,14,16,7,8,4,2,6,0
CY_6321,Περιστερώνα Πάφου,206,132,2,1,18,6,33,48,4,18,0,0,1,1,0,0,0,0,0
CY_1460,Πηγένια,181,107,1,0,11,12,21,58,0,3,0,1,0,0,0,0,0,0,0
CY_5227,Pissouri,901,412,8,1,98,52,109,46,31,48,9,1,7,0,1,1,0,0,0
CY_5223,Platanisteia,181,99,1,2,14,5,32,19,8,14,0,1,1,1,0,0,1,0,0
CY_1309,Platanistasa,159,105,2,0,16,14,44,5,2,17,0,0,1,0,1,1,2,0,0
CY_6123,Polemi,713,376,15,3,23,50,99,66,25,81,1,2,8,1,0,2,0,0,0
CY_6343,Polis,1724,969,23,8,167,61,199,358,16,122,1,2,9,1,1,1,0,0,0
CY_1226,Politiko,316,193,1,1,22,74,39,14,3,23,0,1,10,2,1,2,0,0,0
CY_1304,Πολύστυπος,266,156,1,1,20,6,66,23,2,27,0,1,8,0,1,0,0,0,0
CY_1330,Potami,510,326,12,2,60,44,93,31,22,53,0,5,2,1,1,0,0,0,0
CY_1120,Potamia,396,246,7,3,90,16,44,5,13,56,0,5,5,0,2,0,0,0,0
CY_5329,Potamiou,119,57,0,0,6,8,26,1,7,9,0,0,0,0,0,0,0,0,0
CY_5363,Potamitissa,128,76,4,1,6,2,30,9,1,22,0,0,0,1,0,0,0,0,0
CY_6215,Praitori,86,61,0,0,9,9,12,5,10,14,0,0,1,0,1,0,0,0,0
CY_5220,Πραστιό Αυδήμου,214,141,2,0,32,17,37,45,1,4,0,1,1,0,0,1,0,0,0
CY_5133,Πραστιό Κελλακίου,92,51,1,0,38,0,5,2,0,5,0,0,0,0,0,0,0,0,0
CY_5342,Prodromos,229,79,4,2,5,0,24,8,9,23,0,0,3,1,0,0,0,0,0
CY_4104,Πύλα,1218,557,11,2,235,33,178,16,7,48,0,1,11,9,1,0,0,5,0
CY_4214,Πυργά (τα) Λάρνακας,607,373,5,3,154,45,45,29,3,40,0,1,41,3,4,0,0,0,0
CY_5129,Πύργος Λεμεσού,1382,650,15,2,156,55,233,45,30,85,2,7,14,5,1,0,0,0,0
CY_6367,Pomos,438,268,6,0,61,8,56,114,4,14,0,3,1,1,0,0,0,0,0
CY_6211,Salamiou,289,126,7,1,44,12,12,14,3,29,0,1,2,0,1,0,0,0,0
CY_1306,Saranti,84,42,0,0,2,4,26,1,2,6,0,0,1,0,0,0,0,0,0
CY_1100,Sia,523,288,6,3,91,22,77,21,6,38,0,4,16,1,0,2,1,0,0
CY_6310,Simou,222,133,2,1,26,5,30,45,6,8,9,0,0,0,0,0,1,0,0
CY_1407,Sinaoros,231,154,0,0,15,5,16,53,15,46,0,1,2,1,0,0,0,0,0
CY_4308,Skarinou,188,109,2,0,18,16,34,11,4,20,0,0,3,0,0,0,0,0,1
CY_6337,Σκούλλη,124,68,0,2,15,2,8,31,5,3,0,2,0,0,0,0,0,0,0
CY_5300,Souni-Zanakia,457,221,5,1,37,21,90,18,5,28,2,1,7,5,1,0,0,0,0
CY_1400,Σπήλια,254,135,3,1,24,15,42,23,7,18,0,0,2,0,0,0,0,0,0
CY_5102,Spitali,214,124,2,0,9,18,71,7,0,11,1,1,2,0,1,0,1,0,0
CY_6227,Στατός-'Αγιος Φώτιος,281,147,2,0,21,18,28,40,0,31,0,1,5,0,0,1,0,0,0
CY_6206,Σταυροκόννου,52,39,2,0,15,7,5,1,0,9,0,0,0,0,0,0,0,0,0
CY_6368,Στενή,156,99,2,2,4,16,22,33,4,13,0,3,0,0,0,0,0,0,0
CY_1012,Στρόβολος,40993,20890,343,111,4293,1357,6333,2135,839,3402,21,420,1167,190,173,57,20,21,8
CY_6122,Stroumpi,421,236,9,1,19,40,65,29,17,42,0,6,5,1,0,1,1,0,0
CY_5144,Συκόπετρα,140,83,1,2,27,8,8,30,0,2,0,0,3,2,0,0,0,0,0
CY_5313,Silikou,180,116,0,2,36,10,29,10,5,19,0,2,3,0,0,0,0,0,0
CY_1022,Συνοικισμός Ανθούπολης,2089,970,26,6,362,53,205,83,36,159,0,8,21,4,4,1,0,1,1
CY_3103,Σωτήρα Αμμοχώστου,3832,1758,59,21,123,241,818,124,32,262,7,20,20,9,12,8,0,1,1
CY_5214,Σωτήρα Λεμεσού,129,76,0,0,18,2,33,6,1,11,0,2,2,0,0,0,1,0,0
CY_6026,Τάλα,955,414,7,4,49,45,60,122,23,83,0,4,16,1,0,0,0,0,0
CY_1409,Τεμβριά,530,338,8,2,170,17,31,40,9,54,1,1,2,3,0,0,0,0,0
CY_4112,Τερσεφάνου,935,540,7,2,279,39,118,10,38,38,0,2,3,3,1,0,0,0,0
CY_6104,Τίμη,800,387,8,4,99,60,78,63,7,52,2,8,4,1,1,0,0,0,0
CY_4303,Τόχνη,310,139,1,0,13,19,57,18,7,18,1,0,5,0,0,0,0,0,0
CY_6208,Τραχυπέδουλα,178,97,2,1,23,15,9,17,0,27,2,0,1,0,0,0,0,0,0
CY_5203,Τραχώνι Λεμεσού,2980,1269,17,9,348,162,371,122,43,143,4,9,20,5,11,1,3,1,0
CY_5344,Treis Elies,74,30,1,0,11,0,7,1,0,6,1,2,1,0,0,0,0,0,0
CY_6023,Tremithousa,507,252,3,4,44,52,48,33,11,49,2,2,3,0,0,1,0,0,0
CY_5315,Τριμήκληνη,401,212,2,0,47,20,59,18,0,45,15,1,4,0,0,0,1,0,0
CY_4101,Troulloi,902,546,8,9,44,37,375,12,11,42,0,0,5,2,0,1,0,0,0
CY_6120,Tsada,657,310,9,1,67,35,56,65,19,48,0,3,5,2,0,0,0,0,0
CY_1426,Tsakistra,80,49,0,1,5,3,19,7,3,7,0,0,4,0,0,0,0,0,0
CY_1225,Tseri,4553,2249,46,15,761,152,493,185,130,302,0,24,94,16,26,2,1,0,2
CY_5021,'Υψωνας,6315,2609,60,16,503,234,949,239,72,341,32,32,78,18,16,8,9,2,0
CY_1201,Φαρμακάς,455,216,2,1,139,5,31,12,4,20,0,1,1,0,0,0,0,0,0
CY_5103,Φασούλα Λεμεσού,460,203,6,0,46,15,82,18,2,17,0,3,11,2,1,0,0,0,0
CY_6201,Φασούλα Πάφου,54,32,1,1,6,5,5,5,0,6,0,1,1,0,1,0,0,0,0
CY_1412,Φλάσου,3477,217,0,3,91,17,35,32,1,18,0,18,1,0,0,0,0,0,1
CY_5352,Φοινί,465,256,4,0,43,17,77,75,5,29,1,1,4,0,0,0,0,0,0
CY_5122,Φοινικάρια,302,99,4,1,21,11,19,5,2,21,0,5,3,7,0,0,0,0,0
CY_3105,Φρέναρος,2824,1209,47,24,514,83,329,55,10,98,0,13,14,14,2,3,2,0,1
CY_1303,Φτερικούδι,161,90,2,1,11,6,35,14,3,17,0,0,1,0,0,0,0,0,0
CY_6306,Φύτη,159,72,5,2,7,5,11,18,3,16,0,2,1,0,0,0,0,2,0
CY_5368,Χανδριά,233,130,3,1,4,15,87,4,1,12,0,0,1,1,1,0,0,0,0
CY_6020,Χλώρακας,2408,1232,20,19,312,212,271,154,38,174,1,7,13,6,3,0,0,2,0
CY_4304,Χοιροκoιτία,449,212,5,1,30,28,79,9,8,47,2,2,0,0,0,1,0,0,0
CY_6114,Χολέτρια,228,115,2,0,41,15,24,14,1,16,0,0,0,1,0,0,1,0,0
CY_6129,Χούλου,307,139,3,3,35,12,27,35,3,17,2,0,1,1,0,0,0,0,0
CY_6341,Χρυσοχού,93,39,2,0,7,5,3,11,0,11,0,0,0,0,0,0,0,0,0
CY_4305,Psematismenos,138,87,3,0,7,3,47,10,5,10,0,1,1,0,0,0,0,0,0
CY_4213,Ψευδάς,901,565,11,2,286,31,111,84,5,23,2,1,5,2,2,0,0,0,0
CY_1229,Ψιμολόφου,1197,699,7,6,185,64,188,61,28,113,0,3,23,9,5,5,1,0,1
