gisco_id,name,registered,turnout,invalid,blank,Α.Κ.Ε.Λ.,Ε.ΛΑ.Μ.,ΔΗ.ΣΥ.,Ε.Δ.Ε.Κ.-Σ.Κ.,ΔΗ.ΠΑ.,ΔΗ.ΚΟ.,Ε.Α.Κ.,Κ.Γ.,Κ.Ο.Σ.Π.-Σ.Π.,Κ.Ζ.Κ.,Παρασκευά,Ο.Α.Δ.,Αριστείδου,Μαρδαπήττας,Σ.Κ.Κ.
CY_5142,'Αγιος Παύλος,148,82,4,1,16,4,32,17,1,7,0,0,0,0,0,0,0,0,0
CY_5124,'Αγιος Τύχων,1510,609,9,10,101,82,175,67,35,95,2,4,19,4,4,2,0,0,0
CY_1013,Αγλαντζιά ή Αγλαγγιά,14557,8048,103,54,1978,483,2137,899,355,1250,2,163,475,73,45,14,5,4,8
CY_5367,Agridia,168,98,2,0,10,7,25,5,5,41,0,0,2,0,1,0,0,0,0
CY_1212,Αγροκηπιά,412,229,5,1,66,16,47,9,32,42,0,1,7,0,2,1,0,0,0
CY_5366,Agros,699,417,11,3,51,14,206,24,34,58,2,1,9,1,1,1,1,0,0
CY_4202,Athienou,3887,2248,47,17,558,149,736,274,83,307,1,17,39,11,1,5,2,1,0
CY_1360,Akaki,2275,1235,16,12,316,66,243,98,61,338,3,17,43,12,4,1,1,3,1
CY_5123,Akrounta,367,162,4,2,26,10,34,17,6,54,0,4,3,1,1,0,0,0,0
CY_5200,Ακρωτήρι,764,421,6,2,61,59,152,73,6,43,2,0,13,0,2,0,1,0,1
CY_4121,Alaminos,226,143,0,4,21,39,38,7,6,23,0,1,2,2,0,0,0,0,0
CY_1102,Alampra,1042,632,11,7,282,48,124,26,25,38,0,10,52,5,3,0,1,0,0
CY_5302,Alassa,230,100,4,1,12,10,33,8,2,26,0,0,4,0,0,0,0,0,0
CY_4125,Alethriko,790,384,10,0,125,38,122,16,18,40,0,0,8,3,3,0,0,0,1
CY_1302,Alona,166,104,3,1,4,7,69,0,1,16,0,2,1,0,0,0,0,0,0
CY_6220,Αμαργέτη,350,170,9,2,39,20,50,20,7,19,0,1,2,0,1,0,0,0,0
