gisco_id,name,registered,turnout,invalid,blank,ΔΗ.ΣΥ.,Α.Κ.Ε.Λ.,ΔΗ.ΚΟ.,Α.ΔΗ.Κ.,Ε.ΔΗ.,Ε.Δ.Ε.Κ.-Σ.Κ.,Ν.Ο.,Κ.Ο.Σ.Π.,Ευστρατίου,Τσαγγαρίδης,Παυλίδης,Γιασεμίδης,Αριστείδης
CY_6111,Armou,201,179,6,9,17,69,37,2,1,24,10,2,2,0,0,0,0
CY_6112,Episkopi Pafou,233,227,13,5,69,57,50,4,2,24,1,0,2,0,0,0,0
CY_6113,Nata,187,174,1,6,34,68,25,3,5,20,4,3,5,0,0,0,0
CY_6114,Choletria,225,213,8,2,34,75,32,13,12,29,4,2,2,0,0,0,0
CY_6122,Stroumpi,440,412,6,9,156,83,82,12,7,44,4,2,7,0,0,0,0
CY_6120,Tsada,600,553,12,16,143,170,76,32,13,71,7,5,8,0,0,0,0
CY_6121,Koili,260,244,1,4,63,46,77,12,1,30,4,4,2,0,0,0,0
CY_6123,Polemi,597,525,12,9,226,54,148,14,14,31,7,2,8,0,0,0,0
CY_6124,Kallepeia,228,210,4,0,60,44,38,8,9,39,5,3,0,0,0,0,0
CY_6125,Letymvou,353,337,8,9,75,61,96,6,6,62,6,3,3,0,0,0,2
CY_6128,Lemona,84,76,0,5,15,15,12,4,2,19,3,0,1,0,0,0,0
CY_6129,Choulou,233,193,1,4,36,18,27,5,5,91,4,2,0,0,0,0,0
CY_6132,Kathikas,368,319,5,8,85,131,40,10,5,27,5,1,1,0,0,0,1
CY_6133,Pegeia,1153,1058,12,10,379,277,228,16,43,63,18,7,5,0,0,0,0
CY_6200,Pano Archimandrita,64,54,2,1,20,11,13,1,0,4,2,0,0,0,0,0,0
CY_6204,Mamonia,78,76,4,2,15,25,17,1,5,4,1,0,2,0,0,0,0
CY_6205,Agios Georgios Pafou,70,64,2,1,6,28,7,3,0,16,1,0,0,0,0,0,0
CY_6208,Trachypedoula,114,108,1,1,11,68,20,1,0,4,1,1,0,0,0,0,0
CY_6210,Kelokedara,336,310,4,7,66,48,117,6,6,40,11,2,2,0,0,0,1
CY_6211,Salamiou,355,323,3,3,59,114,74,3,2,53,9,2,1,0,0,0,0
CY_6213,Kedares,73,64,0,0,19,25,16,1,0,2,1,0,0,0,0,0,0
CY_6214,Mesana,93,80,1,1,19,22,23,4,1,6,2,1,0,0,0,0,0
CY_6215,Praitori,71,62,0,1,22,21,10,4,2,2,0,0,0,0,0,0,0
CY_6216,Filousa Kelokedaron,46,35,1,0,10,14,5,0,1,4,0,0,0,0,0,0,0
CY_6218,Agios Nikolaos Pafou,68,60,1,1,25,9,5,15,0,4,0,0,0,0,0,0,0
CY_6220,Amargeti,277,255,4,7,84,70,33,8,4,32,6,0,7,0,0,0,0
CY_6222,Pentalia,140,125,3,5,27,24,37,6,1,14,4,4,0,0,0,0,0
CY_6224,Galataria,87,80,1,2,21,8,38,0,1,6,2,0,1,0,0,0,0
CY_6225,Koilineia,60,54,3,1,6,6,24,0,1,4,8,1,0,0,0,0,0
CY_6227,Statos - Agios Fotios,319,299,3,9,69,54,90,5,9,47,6,3,3,0,0,0,1
CY_6230,Panagia,551,494,9,8,34,236,102,3,7,85,4,3,3,0,0,0,0
CY_6231,Asprogia,58,57,3,0,24,11,12,2,0,3,1,0,1,0,0,0,0
