gisco_id,name,registered,turnout,invalid,blank,ΔΗ.ΣΥ.,Α.Κ.Ε.Λ.,ΔΗ.ΚΟ.,Α.ΔΗ.Κ.,Ε.ΔΗ.,Ε.Δ.Ε.Κ.-Σ.Κ.,Ν.Ο.,Κ.Ο.Σ.Π.,Ευστρατίου,Τσαγγαρίδης,Παυλίδης,Γιασεμίδης,Αριστείδης
CY_1415,Linou,228,212,10,4,66,71,27,0,0,25,5,3,0,1,0,0,0
CY_1416,Katydata,217,209,4,1,46,72,15,8,7,38,14,4,0,0,0,0,0
CY_1420,Pedoulas,253,225,10,5,100,26,46,6,4,25,1,2,0,0,0,0,0
CY_1421,Mylikouri,74,62,5,0,20,25,5,2,0,1,1,3,0,0,0,0,0
CY_1422,Moutoullas,411,370,10,4,80,113,88,4,7,60,4,0,0,0,0,0,0
CY_1423,Oikos,202,198,6,5,29,43,33,0,1,73,5,3,0,0,0,0,0
CY_1424,Kalopanagiotis,304,267,5,7,59,106,43,5,6,30,5,1,0,0,0,0,0
CY_1425,Gerakies,214,196,7,4,49,30,24,4,10,57,6,5,0,0,0,0,0
CY_1426,Tsakistra,97,95,2,1,50,16,11,1,8,6,0,0,0,0,0,0,0
CY_1427,Kampos,449,424,4,4,84,139,63,23,22,72,13,0,0,0,0,0,0
CY_1457,Kato Pyrgos,1050,971,27,4,298,181,227,8,36,159,4,26,0,1,0,0,0
CY_1460,Pigenia,156,150,8,1,47,7,23,2,2,59,0,1,0,0,0,0,0
CY_1461,Pachyammos,105,103,1,2,21,30,29,0,0,18,0,2,0,0,0,0,0
CY_3100,Agia Napa,1740,1615,45,46,449,596,201,31,98,59,70,20,0,0,0,0,0
CY_3101,Paralimni,6457,6120,144,99,3086,970,1133,106,258,137,154,33,0,0,0,0,0
CY_3102,Deryneia,3244,3076,70,64,740,1733,197,14,95,72,47,44,0,0,0,0,0
CY_3103,Sotira Ammochostou,2658,2550,122,64,1056,318,639,90,65,129,58,9,0,0,0,0,0
CY_3104,Liopetri,2605,2434,84,47,1318,684,124,25,56,34,51,11,0,0,0,0,0
CY_3105,Frenaros,2453,2312,61,52,618,1205,185,14,26,84,53,14,0,0,0,0,0
CY_3110,Avgorou,2738,2575,77,47,1085,821,295,14,33,148,47,8,0,0,0,0,0
CY_3111,Achna,1458,1364,46,19,690,384,102,2,19,32,67,3,0,0,0,0,0
CY_3114,Acheritou,1439,1372,36,22,463,534,180,5,16,69,40,7,0,0,0,0,0
CY_4001,Larnaka,31658,28669,709,567,9277,10368,4226,314,559,1360,805,484,0,0,0,0,0
CY_4010,Aradippou,6020,5582,96,75,1898,2450,422,57,44,423,77,40,0,0,0,0,0
CY_4011,Livadia Larnakas,3103,2952,48,37,814,1596,198,17,57,91,66,28,0,0,0,0,0
CY_4012,Dromolaxia,3677,3394,75,39,1025,1637,417,19,40,57,53,32,0,0,0,0,0
CY_4013,Meneou,769,734,17,21,202,344,85,4,11,23,14,13,0,0,0,0,0
CY_4100,Kellia,218,209,4,4,77,69,32,1,2,2,18,0,0,0,0,0,0
CY_4101,Troulloi,673,643,12,8,421,56,129,1,5,2,9,0,0,0,0,0,0
CY_4102,Voroklini,1457,1358,27,30,572,511,100,10,16,35,47,10,0,0,0,0,0
CY_4103,Avdellero,60,58,4,0,20,9,24,0,0,1,0,0,0,0,0,0,0
CY_4104,Pyla,724,677,13,9,238,324,48,1,8,22,12,2,0,0,0,0,0
CY_4105,Xylotymvou,2348,2231,28,37,1142,620,256,4,7,94,33,10,0,0,0,0,0
CY_4106,Ormideia,2904,2758,70,46,1048,1250,207,10,43,40,29,15,0,0,0,0,0
CY_4107,Xylofagou,3445,3305,126,127,1698,935,154,12,137,41,55,20,0,0,0,0,0
CY_4110,Kiti,2011,1870,20,26,408,1141,130,7,25,65,26,22,0,0,0,0,0
CY_4111,Perivolia Larnakas,1181,1084,14,13,174,785,56,9,6,14,6,7,0,0,0,0,0
CY_4112,Tersefanou,650,626,11,13,187,325,43,3,3,16,25,0,0,0,0,0,0
CY_4120,Mazotos,488,451,3,5,233,137,59,2,1,7,3,1,0,0,0,0,0
CY_4121,Alaminos,218,203,1,3,116,20,51,4,0,5,3,0,0,0,0,0,0
