gisco_id,name,registered,turnout,invalid,blank,LSAP - d'Sozialisten,DP - Demokratesch Partei,CSV - Chrëschtlech-Sozial Vollekspartei,ADR - Alternativ Demokratesch Reformpartei,déi gréng,KPL - d'Kommunisten,déi Lénk,PID - Partei fir Integral Demokratie,Piratepartei
LU_0610,Vallée de l'Ernz,1196,1101,97,69,71,233,350,65,93,18,38,25,37
LU_0903,Vianden,877,695,76,30,113,92,217,31,66,3,21,16,26
LU_0709,Vichten,639,593,44,22,31,84,173,38,80,5,25,61,26
LU_0710,Wahl,573,505,60,26,26,61,149,66,59,5,17,15,17
LU_1008,Waldbillig,912,822,84,34,57,132,240,64,125,8,29,14,32
LU_1208,Waldbredimus,567,505,29,12,37,62,195,30,77,7,19,7,24
LU_0310,Walferdange,3575,3008,243,84,228,465,1046,147,496,24,135,37,98
LU_0311,Weiler-la-Tour,1174,1052,81,68,74,143,313,75,193,12,48,16,25
LU_0505,Weiswampach,817,737,68,38,35,137,270,57,55,2,20,12,39
LU_0807,Wiltz,2265,1922,210,91,347,209,609,123,156,35,44,19,73
LU_0502,Wincrange,2618,2346,239,105,191,431,793,197,179,18,38,56,95
LU_0808,Winseler,592,539,55,40,50,66,192,30,61,10,8,6,18
LU_1108,Wormeldange,1434,1272,89,52,82,205,506,80,161,6,46,11,28
