gisco_id,name,registered,turnout,invalid,blank,PD,PRM,PNL,PSD,UDMR,PC,PNT-CD,P.Romilor,P.Verde,PIN,PNG-CD,PLD,PAS,TOKES
RO_027436,Biharia,3388,1144,49,0,71,7,15,19,488,6,4,1,2,5,5,3,4,465
RO_083936,Bilbor,2243,508,8,0,117,60,43,198,2,8,4,6,2,13,14,22,7,4
RO_047036,Bilca,2795,806,65,0,203,39,104,203,2,8,6,5,3,10,21,120,6,11
RO_066401,Bilciuresti,1304,620,41,0,115,11,116,242,0,12,1,5,1,5,39,30,1,1
RO_055911,Biled,3155,753,27,0,227,14,106,221,14,2,27,1,3,13,38,51,3,6
RO_078929,Bilieşti,2029,667,38,0,141,15,74,259,1,4,7,3,3,5,14,90,5,8
RO_121386,Bira,1545,522,46,0,104,31,121,127,0,19,2,2,2,5,14,40,5,4
RO_070940,Bârca,3355,984,40,0,141,22,117,400,4,35,29,40,3,5,100,38,7,3
RO_010006,Birchis,1511,705,15,0,367,16,100,125,0,19,6,2,0,5,34,12,1,3
RO_059366,Birda,1595,606,23,0,152,21,59,215,3,5,33,8,1,3,41,38,3,1
RO_044232,Bârghiş,1716,843,52,0,222,38,131,186,35,46,10,10,0,18,50,24,10,11
RO_045245,Bisoca,2202,670,40,0,143,46,29,229,0,18,12,10,6,7,107,18,4,1
RO_003039,Bistra,4053,871,38,0,158,55,264,142,2,79,23,1,4,22,56,20,2,5
RO_007270,Bistra,3363,1310,60,0,627,58,264,103,2,18,36,5,3,13,8,94,10,9
RO_070897,Bistret,3342,1471,84,0,468,44,60,497,2,4,18,20,9,8,92,151,8,6
RO_032633,Bistrita Bargaului,3485,1232,41,0,884,28,67,85,2,5,12,5,0,19,11,60,8,5
RO_095943,Bivolari,3442,928,83,0,281,28,69,377,2,6,7,3,2,12,14,18,9,17
RO_065121,Bixad,1477,581,36,0,13,5,5,10,240,7,3,3,2,3,2,6,4,242
RO_037069,Bixad,6131,1014,17,0,323,62,103,360,4,1,48,4,3,15,25,32,12,5
RO_021506,Blagesti,5534,1906,121,0,194,57,1113,259,5,9,12,9,3,22,15,60,15,12
RO_062559,Blagesti,1384,458,55,0,89,28,51,156,0,1,4,7,2,1,25,29,4,6
RO_045334,Blajani,994,340,23,0,92,12,27,115,1,4,3,11,7,10,14,16,3,2
RO_044303,Blajel,1918,720,16,0,170,13,43,239,64,22,18,5,4,7,5,101,5,8
RO_088350,Blajeni,1182,412,8,0,117,39,42,141,4,18,3,2,4,3,10,18,2,1
RO_039983,Blândeşti,1816,963,29,0,116,76,283,156,6,108,7,2,2,16,106,43,11,2
RO_003397,Blandiana,916,376,19,0,183,14,79,32,0,8,4,0,1,4,11,14,3,4
RO_052083,Blejesti,3137,1286,93,0,293,33,515,227,7,39,5,10,2,13,27,18,2,2
RO_030678,Blejoi,6696,1268,73,0,420,34,136,300,3,47,3,11,1,42,93,97,3,5
RO_056096,Bobalna,1420,760,40,0,198,49,108,189,18,23,7,11,2,20,59,12,19,5
RO_025873,Bobicesti,2750,811,61,0,280,44,93,191,3,2,5,8,3,25,40,49,4,3
RO_040280,Bobota,3097,955,55,0,159,36,135,276,9,13,37,12,2,11,142,47,11,10
