gisco_id,name,registered,turnout,invalid,blank,PARTIDUL DEMOCRAT LIBERAL,PARTIDUL MIŞCAREA POPULARĂ,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,ALIANŢA ELECTORALĂ PSD-UNPR-PC,PARTIDUL NAŢIONAL LIBERAL,PARTIDUL ROMÂNIA MARE,ALIANŢA NAŢIONALĂ A AGRICULTORILOR,PARTIDUL DREPTĂŢII SOCIALE,PARTIDUL NOUA REPUBLICĂ,PARTIDUL VERDE,FORŢA CIVICĂ,PARTIDUL ECOLOGIST ROMÂN,PARTIDUL ALTERNATIVA SOCIALISTĂ,PARTIDUL NAŢIONAL ŢĂRĂNESC CREŞTIN DEMOCRAT,PARTIDUL POPORULUI - DAN DIACONESCU,UNGUREANU GEORGIANA-CORINA,FILIP CONSTANTIN-TITIAN,LIGA DĂNUŢ,PUREA PAUL,CAPSALI PERICLE-IULIAN,COSTEA PETER,DIACONU MIRCEA,DĂEANU VALENTIN-EUGEN
RO_116796,Fântânele,3990,1534,36,0,20,7,1344,28,36,9,9,2,3,2,13,7,1,0,1,0,1,1,4,3,4,3,0
RO_116867,Găleşti,2193,639,17,0,10,4,551,19,9,7,1,0,1,0,8,0,0,1,0,3,0,2,2,0,2,1,1
RO_116938,Găneşti,2992,1247,29,0,33,22,956,62,36,16,2,0,2,0,9,1,1,1,43,1,0,2,0,9,1,21,0
RO_116983,Gheorghe Doja,2280,860,27,0,32,13,666,26,34,25,9,1,1,0,6,2,1,1,4,0,0,0,0,2,2,8,0
RO_117042,Ghindari,2553,630,26,0,10,5,523,32,7,5,4,0,0,1,4,7,2,0,2,0,0,0,0,0,0,2,0
RO_117113,Glodeni,2833,1247,57,0,57,10,928,63,33,34,8,2,3,5,9,2,1,6,18,3,0,1,2,1,1,2,1
RO_117177,Gorneşti,4555,1920,59,0,104,40,1462,122,41,18,8,1,1,1,14,4,2,7,12,1,1,3,1,0,5,13,0
RO_117275,Grebenişu de Câmpie,1278,288,21,0,27,8,1,151,17,14,10,0,1,2,1,2,0,2,12,1,0,1,0,2,2,13,0
RO_117319,Gurghiu,5021,1691,89,0,101,48,455,237,577,29,25,3,3,1,28,2,3,4,32,2,2,3,3,5,1,38,0
RO_117426,Hodac,3966,1061,63,0,214,38,7,345,199,56,7,3,2,2,13,5,2,0,73,3,0,1,3,1,0,24,0
RO_117505,Hodoşa,1000,556,16,0,5,5,492,10,4,4,5,2,0,0,1,0,1,0,1,0,0,8,0,1,0,0,1
RO_117550,Ibăneşti,3502,1451,78,0,89,43,4,699,322,44,14,4,0,2,17,4,3,0,82,1,1,7,0,4,1,31,1
RO_117667,Iclănzel,1691,342,16,0,22,9,4,139,83,8,8,0,0,4,7,3,1,4,23,1,0,2,0,0,1,7,0
RO_117783,Ideciu de Jos,1741,990,38,0,159,62,48,422,67,44,24,3,5,9,19,5,1,3,20,6,1,10,3,0,1,39,1
RO_117827,Oraş Iernut,7892,2104,142,0,538,63,215,492,322,75,23,2,6,6,26,10,3,7,54,8,1,4,5,7,14,78,3
RO_117925,Livezeni,2309,684,36,0,38,14,383,58,37,18,12,1,1,3,6,5,0,1,15,1,1,3,0,1,13,37,0
RO_117998,Lunca,2070,820,57,0,82,24,10,393,71,38,34,4,1,0,13,8,3,14,22,3,1,3,5,5,1,28,0
RO_118058,Lunca Bradului,1663,394,19,0,75,17,34,91,46,26,5,1,1,2,6,2,2,2,33,7,1,0,3,2,4,15,0
RO_118094,Măgherani,1049,557,10,0,10,1,500,8,5,1,7,0,0,0,6,3,0,0,2,0,0,0,2,0,1,1,0
RO_118209,Mica,3504,839,79,0,55,9,456,93,56,8,9,1,1,0,11,5,2,2,27,3,0,6,1,7,1,6,1
RO_118281,Oraş Miercurea Nirajului,4687,1490,35,0,31,15,1252,30,65,12,13,0,2,2,7,1,0,0,11,1,0,2,1,0,2,8,0
RO_118370,Miheşu de Câmpie,1921,546,21,0,173,7,14,217,35,10,5,0,1,1,1,1,0,2,27,3,2,1,0,4,4,17,0
