gisco_id,name,registered,turnout,invalid,blank,PP,PUSL,ADU,Şoşoacă,RS,Ştefănuţă,REPER,AUR,PDU,UDMR,PAD,PRM,S.O.S. RO,PSD-PNL,Pîrvănescu,Gheorghe
RO_104519,Oinacu,2612,1995,106,0,2,2,18,13,2,7,0,79,14,2,3,1,28,1706,1,11
RO_104546,Periş,6089,3925,238,0,35,57,484,62,31,71,83,704,50,25,8,124,292,1507,40,114
RO_104582,Petrăchioaia,2826,2078,116,0,7,12,70,12,8,25,15,238,25,42,4,3,107,1362,2,30
RO_104635,Plătăreşti,2524,1788,63,0,7,3,44,15,1,15,6,154,8,1,1,5,68,1376,1,19
RO_104680,Prundu,3234,2076,145,0,8,8,18,7,1,10,8,302,5,6,0,5,54,1486,1,12
RO_104715,Putineiu,1753,1536,119,0,11,15,14,6,7,7,7,103,7,7,3,4,68,1151,0,7
RO_104751,Radovanu,3005,2590,101,0,7,14,62,7,10,25,15,612,8,12,6,7,65,1204,3,38
RO_104788,Răsuceni,1602,1209,55,0,9,0,24,6,0,1,0,24,1,16,0,0,33,1037,0,3
RO_104831,Roata de Jos,6285,3882,329,0,41,35,59,27,4,30,40,523,35,23,7,8,180,2510,6,25
RO_104886,Săruleşti,2228,1677,111,0,3,7,8,9,3,7,4,100,6,3,1,3,52,1350,4,5
RO_104975,Schitu,1159,1018,44,0,4,11,10,2,1,7,1,66,15,1,2,1,44,802,1,6
RO_105026,Sineşti,2148,1317,101,0,6,5,55,15,2,10,12,201,3,5,2,4,112,769,7,8
RO_105106,Singureni,2162,1630,99,0,7,0,13,1,2,6,7,276,2,9,1,1,50,1153,1,2
RO_105142,Slobozia Moară,1656,1393,92,0,3,8,24,26,1,17,15,217,7,6,1,5,76,869,3,23
RO_105160,Snagov,7004,4680,160,0,35,41,332,49,13,110,136,719,86,23,17,33,190,2547,27,162
RO_105222,Sohatu,1797,1327,169,0,11,7,15,8,4,10,6,81,16,15,1,5,58,910,0,11
RO_105259,Spanţov,3556,2163,200,0,8,21,23,14,2,19,7,193,16,4,1,8,131,1501,2,13
RO_105295,Stăneşti,2093,1544,118,0,8,18,15,7,3,9,8,182,7,12,2,6,54,1089,0,6
RO_105348,Stoeneşti,1476,1323,69,0,14,8,10,4,0,3,3,97,5,4,0,1,61,1040,0,4
RO_105384,Şoldanu,2466,1735,156,0,10,15,22,19,3,34,13,143,15,13,0,7,32,1219,13,21
RO_105419,Ştefăneştii de Jos,8831,6265,544,0,52,106,459,32,14,115,183,567,47,62,20,26,795,3052,15,176
RO_105455,Tămădău Mare,1914,1291,92,0,6,7,17,11,2,4,20,160,4,5,1,2,60,890,1,9
RO_105534,Tărtăşeşti,4234,2594,130,0,10,24,151,29,10,31,50,400,35,11,8,157,138,1356,7,47
RO_105570,Tunari,7337,4801,139,0,29,40,586,32,9,166,189,486,51,20,20,25,151,2649,28,181
RO_105605,Ulmeni,3733,2260,175,0,9,16,53,15,1,32,12,149,11,11,0,9,79,1656,7,23
RO_105623,Ulmi,5989,3698,171,0,17,672,415,47,13,52,36,492,47,27,5,16,153,1443,20,72
RO_105712,Valea Argovei,1772,1271,87,0,7,6,10,5,2,16,10,270,6,10,3,3,52,768,5,8
RO_105776,Valea Dragului,2192,1867,78,0,4,7,0,30,0,11,5,577,2,39,2,23,55,1021,3,10
RO_105794,Valea Măcrişului,1240,928,68,0,2,6,126,8,0,22,5,68,2,8,2,7,31,563,1,9
RO_105829,Vasilaţi,3164,2175,170,0,5,12,319,14,1,32,7,193,9,9,1,37,119,1218,1,28
RO_105874,Vărăşti,4571,3311,231,0,23,15,17,16,2,16,15,184,11,12,3,6,60,2680,2,18
RO_105909,Vedea,2082,1650,155,0,1,0,2,4,0,2,5,189,7,2,0,1,43,1229,0,10
RO_105936,Vidra,7380,3536,328,0,23,19,81,33,10,54,33,512,42,18,7,17,183,2091,12,73
RO_105972,Vânătorii Mici,3581,2684,174,0,16,17,127,22,4,20,15,255,15,12,4,6,150,1824,3,20
RO_106318,Municipiul Baia Mare,114480,48646,1737,0,450,642,7152,400,300,1795,3217,6617,1353,4656,923,459,1791,15280,336,1470
RO_106363,Groşi,3098,1631,51,0,8,13,164,11,8,59,93,260,58,35,29,10,62,716,8,46
