gisco_id,name,registered,turnout,invalid,blank,IA,DN,DEMOS,EQUO,IU-LV,PA (1971),PP,PRAO,PSOE,UCE,UPyD,EEB,Hartos.org,PACMA,PCPE,PI,FE de las JONS,PUM+J,SAIn,Republicanos,ACM,PH (1984),CHA-IU,PIRATA,PP-PAR,SxT,IU-CHA,PLI,AA (1990),FORO,IU,PDyC,ERC,FyV,PSM-EN-ExM-EQUO,ANC,CVR,NC-BC,UP (1998),IU-IpH-LV,SSP-SxTF-EQUO,BASTA YA,PRC (1978),CyD,CCD,CDL,PCAS,UCIN,PREPAL,URCL,HD,AC,CiU,ICV-EUiA,PSC,PxC,PRE,CREx,IU-LV-SIEX,PP-EU,BNG,CXXI,POSI,Amaiur,DNE,GBai,UPN-PP,EAJ/PNV,MAS [Muerte al Sistema],PREDE,CC (2010),ERPV-LV,E-2000,UxV,CY!,LV-GV
ES_04016,Antas,2184,1699,22,15,1,1,2,7,65,68,988,2,492,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04017,Arboleas,1337,965,5,7,0,2,1,2,48,47,476,1,361,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04018,Armuña de Almanzora,293,250,5,2,0,0,0,1,7,3,97,0,129,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04019,Bacares,269,210,1,3,2,0,0,0,10,0,72,1,117,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04020,Bayárcal,361,265,2,1,1,0,0,1,0,2,145,1,109,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04021,Bayarque,188,157,0,2,0,1,0,1,4,0,73,0,75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04022,Bédar,375,296,1,0,0,0,1,5,10,2,122,1,144,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04023,Beires,144,116,0,2,0,0,0,0,3,0,73,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04024,Benahadux,3049,2396,35,19,5,14,1,8,164,7,1246,2,806,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04026,Benitagla,75,58,0,0,0,0,0,0,2,0,47,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04027,Benizalón,260,186,0,0,0,0,0,0,4,1,121,0,52,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04028,Bentarique,239,212,5,0,3,0,0,0,9,0,66,0,127,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
