gisco_id,name,registered,turnout,invalid,blank,EKD,Kesk,ER,EIP,VL,Isamaa,VEE,KE,ERL,SDE,EER,Burmeister,Luus [Koit Luus],Hallik,Kodu,Kambla,Ivinskaja,Stepanova
EE_0345,Kunda,0,0,0,0,21,539,301,1,0,146,3,11,25,148,51,0,0,0,0,0,0,0
EE_0381,Laekvere,0,0,0,0,5,175,137,1,0,93,0,1,301,70,53,0,0,0,0,0,0,0
EE_MA06,Lääne-Viru maakond,49425,27951,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0660,Rakke,0,0,0,0,12,138,150,3,0,75,0,1,490,84,65,0,0,0,0,0,0,0
EE_0663,Rakvere linn,0,0,0,0,92,1601,1788,24,8,1589,17,5,248,1312,581,0,0,0,0,0,0,0
EE_0662,Rakvere vald,0,0,0,0,12,245,205,4,0,156,2,0,44,123,52,0,0,0,0,0,0,0
EE_0702,Rägavere,0,0,0,0,5,121,97,1,0,53,0,0,59,57,34,0,0,0,0,0,0,0
EE_0770,Sõmeru,0,0,0,0,14,421,406,9,2,275,2,1,47,219,120,0,0,0,0,0,0,0
EE_0787,Tamsalu vald,0,0,0,0,12,540,439,5,2,281,1,0,133,203,78,0,0,0,0,0,0,0
EE_0791,Tapa,0,0,0,0,57,760,596,13,3,424,13,9,93,452,254,0,0,0,0,0,0,0
EE_0887,Vihula,0,0,0,0,20,223,322,4,0,192,0,0,78,113,94,0,0,0,0,0,0,0
EE_0900,Vinni,0,0,0,0,44,733,558,6,1,459,0,0,393,297,156,0,0,0,0,0,0,0
EE_0902,Viru-Nigula,0,0,0,0,9,254,152,1,0,59,0,1,30,78,33,0,0,0,0,0,0,0
EE_0927,Väike-Maarja,0,0,0,0,36,571,493,3,2,346,1,0,449,296,110,0,0,0,0,0,0,0
EE_0149,Are,0,0,0,0,0,128,107,2,0,72,0,0,230,39,27,0,0,0,0,3,0,0
EE_0159,Audru,0,0,0,0,29,390,584,11,2,529,0,2,128,329,143,0,0,0,0,9,0,0
EE_0188,Halinga,0,0,0,0,15,308,490,4,1,229,1,0,137,152,138,0,0,0,0,2,0,0
EE_0213,Häädemeeste,0,0,0,0,18,322,374,5,2,293,1,0,56,185,72,0,0,0,0,0,0,0
EE_0276,Kaisma,0,0,0,0,3,41,64,0,0,29,0,0,36,23,35,0,0,0,0,2,0,0
EE_0303,Kihnu,0,0,0,0,2,55,52,3,1,47,0,0,10,92,14,0,0,0,0,1,0,0
EE_0334,Koonga,0,0,0,0,8,160,90,3,1,39,0,0,129,40,30,0,0,0,0,2,0,0
EE_0395,Lavassaare,0,0,0,0,6,67,38,4,1,50,2,1,48,19,8,0,0,0,0,1,0,0
EE_0568,Paikuse,0,0,0,0,39,207,434,10,4,301,0,1,309,146,110,0,0,0,0,3,0,0
EE_0625,Pärnu,0,0,0,0,257,4152,5224,136,19,3711,58,116,801,1869,1453,0,0,0,0,39,0,0
EE_MA08,Pärnu maakond,69061,38010,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0711,Saarde,0,0,0,0,30,640,518,7,2,288,0,0,188,262,187,0,0,0,0,6,0,0
EE_0730,Sauga,0,0,0,0,17,211,409,6,0,267,1,3,139,114,146,0,0,0,0,2,0,0
EE_0741,Sindi,0,0,0,0,30,471,484,8,3,319,12,7,107,138,112,0,0,0,0,1,0,0
EE_0756,Surju,0,0,0,0,10,64,76,5,0,49,0,0,232,31,35,0,0,0,0,0,0,0
EE_0848,Tahkuranna,0,0,0,0,7,184,287,4,0,218,0,0,66,104,80,0,0,0,0,2,0,0
EE_0805,Tootsi,0,0,0,0,2,143,76,0,1,42,1,1,86,19,31,0,0,0,0,2,0,0
EE_0808,Tori,0,0,0,0,7,274,276,1,1,155,0,1,130,109,127,0,0,0,0,2,0,0
EE_0826,Tõstamaa,0,0,0,0,8,141,187,4,1,73,0,1,123,125,60,0,0,0,0,2,0,0
EE_0863,Varbla,0,0,0,0,9,213,85,0,0,62,0,0,49,40,30,0,0,0,0,0,0,0
EE_0930,Vändra,0,0,0,0,14,202,192,12,1,144,0,0,123,80,85,0,0,0,0,5,0,0
EE_0931,Vändra (alev),0,0,0,0,14,304,385,4,2,261,0,0,52,143,108,0,0,0,0,2,0,0
EE_0117,Ahja,0,0,0,0,3,108,171,0,0,59,0,0,84,69,30,0,0,0,0,0,0,0
EE_0285,Kanepi,0,0,0,0,9,321,374,0,0,137,0,0,89,184,58,0,0,0,0,0,0,0
EE_0354,Kõlleste,0,0,0,0,9,123,156,1,0,26,0,0,72,48,36,0,0,0,0,0,0,0
EE_0385,Laheda,0,0,0,0,5,122,113,0,0,36,0,0,43,221,31,0,0,0,0,0,0,0
EE_0465,Mikitamäe,0,0,0,0,5,279,69,1,0,28,0,4,153,51,15,0,0,0,0,0,0,0
EE_0473,Mooste,0,0,0,0,10,75,146,3,0,72,0,0,231,56,17,0,0,0,0,0,0,0
EE_0547,Orava,0,0,0,0,7,138,120,0,0,32,0,0,57,44,16,0,0,0,0,0,0,0
EE_0620,Põlva linn,0,0,0,0,38,741,874,12,5,349,1,1,317,392,225,0,0,0,0,0,0,0
EE_MA09,Põlva maakond,25240,14492,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
