gisco_id,name,registered,turnout,invalid,blank,EER,Isamaa,SDE,ER,Kesk,VEE,EIP,ERL,EKD,Helme [Martin Helme],Aasa,Eenpalu,Poolamets,Ibragimov,Helme [Mart Helme],Ergma,Ivinskaja,Meesak,Tšižikov,Vihmar,Rämmel,Ellik,Teesalu,Õun,Veges,Põlluaas,Nurmik,Trapido,Reinberg,Paddar,Hiob,Kunnas,Sisask,Tammeraid,Siir,Luus [Koit Luus],Hirv,Koitla,Soosaar,Merirand,Derbnev
EE_0338,Kose,0,0,0,0,77,382,457,966,147,3,10,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0353,Kuusalu,0,0,0,0,259,552,348,893,241,1,6,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0363,Kõue,0,0,0,0,41,97,133,216,66,1,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0424,Loksa linn,0,0,0,0,37,87,54,120,260,9,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0446,Maardu,0,0,0,0,56,204,215,371,2168,120,4,109,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0518,Nissi,0,0,0,0,66,229,217,392,140,0,6,27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0562,Padise,0,0,0,0,51,104,142,254,75,0,1,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0580,Paldiski,0,0,0,0,16,76,58,158,433,10,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0651,Raasiku,0,0,0,0,81,308,224,873,131,4,5,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0653,Rae,0,0,0,0,179,807,529,1632,700,15,23,26,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0718,Saku,0,0,0,0,169,729,428,1340,270,6,18,46,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0728,Saue linn,0,0,0,0,114,572,333,980,242,5,8,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0727,Saue vald,0,0,0,0,201,782,417,1343,375,10,13,27,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
