gisco_id,name,registered,turnout,invalid,blank,Parempoolsed,EER,Isamaa,SDE,EKRE,E200,ER,Kesk,Mõttus,VL,Stalnuhhin,Radvilavičius,Kookmaa [Vello Kookmaa],Kookmaa [Alar Kookmaa],Svjatušenko,Laiapea,Paulus,Kalde,Nurmberg
EE_0130,Alutaguse,3217,1901,22,0,69,4,177,239,324,214,536,135,0,126,55,0,0,0,0,0,0,0,0
EE_0141,Anija,4200,2699,25,0,63,19,215,360,390,280,905,366,0,53,0,22,1,0,0,0,0,0,0
EE_0142,Antsla,3475,2238,16,0,52,78,319,179,606,263,478,244,3,0,0,0,0,0,0,0,0,0,0
EE_0171,Elva,11128,7392,44,0,210,101,834,590,1717,1047,2190,634,0,25,0,0,0,0,0,0,0,0,0
EE_0184,Haapsalu,9294,6409,41,0,122,73,331,527,1196,1287,1786,1046,0,0,0,0,0,0,0,0,0,0,0
EE_0191,Haljala,3490,2409,10,0,85,12,325,146,474,225,874,249,0,3,0,0,0,0,0,0,4,2,0
EE_0198,Harku,11600,8755,18,0,264,58,672,532,1013,1174,4267,607,0,77,0,68,3,2,0,0,0,0,0
EE_0205,Hiiumaa,8241,5852,16,0,131,41,432,1277,745,851,1711,648,0,0,0,0,0,0,0,0,0,0,0
EE_0214,Häädemeeste,3917,2467,8,0,48,20,384,138,614,323,649,282,0,1,0,0,0,0,0,0,0,0,0
EE_0245,Jõelähtme,4812,3323,13,0,80,30,238,231,503,447,1352,338,0,60,0,30,0,1,0,0,0,0,0
EE_0247,Jõgeva,10270,6606,35,0,128,61,1226,461,1384,788,1609,874,0,40,0,0,0,0,0,0,0,0,0
EE_0251,Jõhvi,5983,3768,22,0,44,19,208,363,480,272,901,731,0,419,309,0,0,0,0,0,0,0,0
EE_0255,Järva,6731,4255,34,0,94,39,463,456,1079,380,1078,616,0,0,0,0,0,0,0,16,0,0,0
EE_0272,Kadrina,3647,2462,7,0,55,9,370,250,441,293,824,205,0,4,0,0,0,0,0,0,0,4,0
EE_0283,Kambja,9458,6850,11,0,170,61,542,542,998,1336,2723,441,0,26,0,0,0,0,0,0,0,0,0
EE_0284,Kanepi,3799,2523,16,0,36,31,170,212,661,315,772,305,5,0,0,0,0,0,0,0,0,0,0
EE_0291,Kastre,4557,3094,28,0,90,28,197,681,550,428,894,189,0,9,0,0,0,0,0,0,0,0,0
EE_0293,Kehtna,4155,2811,26,0,82,12,311,265,702,307,701,364,0,4,0,37,0,0,0,0,0,0,0
EE_0296,Keila linn,6843,5319,32,0,147,34,420,469,713,677,2207,523,0,48,0,40,6,3,0,0,0,0,0
EE_0303,Kihnu,594,367,0,0,13,0,21,37,70,50,148,28,0,0,0,0,0,0,0,0,0,0,0
EE_0305,Kiili,4305,3413,7,0,158,22,282,207,380,516,1608,186,0,22,0,24,0,1,0,0,0,0,0
EE_0317,Kohila vald,5413,3748,15,0,79,27,706,220,711,437,1188,300,0,30,0,30,4,1,0,0,0,0,0
EE_0321,Kohtla-Järve,12991,6211,50,0,24,20,198,584,459,371,575,1686,0,1408,836,0,0,0,0,0,0,0,0
EE_0338,Kose,5530,3990,17,0,114,21,305,319,763,641,1427,323,0,6,0,52,2,0,0,0,0,0,0
EE_0353,Kuusalu,4908,3533,14,0,147,21,390,275,518,488,1375,264,0,4,0,34,3,0,0,0,0,0,0
EE_0424,Loksa linn,1045,632,11,0,42,2,58,36,71,56,127,180,0,39,0,7,1,2,0,0,0,0,0
EE_0430,Lääneranna,4244,2587,11,0,120,22,160,228,731,319,662,332,0,2,0,0,0,0,0,0,0,0,0
EE_0431,Lääne-Harju,8108,5060,33,0,162,38,387,323,779,839,1673,636,0,146,0,39,2,3,0,0,0,0,0
EE_0432,Luunja,4041,2552,13,0,109,24,251,168,424,437,920,146,0,60,0,0,0,0,0,0,0,0,0
EE_0441,Lääne-Nigula,5561,3701,17,0,65,33,331,442,869,588,926,430,0,0,0,0,0,0,0,0,0,0,0
EE_0442,Lüganuse,5303,3200,30,0,45,15,347,324,431,189,779,658,0,257,125,0,0,0,0,0,0,0,0
