gisco_id,name,registered,turnout,invalid,blank,SDE,Kesk,Isamaalit,ERP,ERL,VL,EDP,ER,EPE,VEE,Helme [Martin Helme],Bõstrov,Strandberg,Tann
EE_0105,Abja,0,0,0,0,379,136,32,22,45,2,5,11,5,1,4,0,10,0
EE_0112,Aegviidu,0,0,0,0,115,33,21,13,14,1,3,35,1,0,0,1,4,0
EE_0117,Ahja,0,0,0,0,83,36,14,19,33,1,3,18,1,0,0,0,9,0
EE_0122,Alajõe,0,0,0,0,3,17,0,54,65,0,0,2,1,5,0,1,1,0
EE_0126,Alatskivi,0,0,0,0,102,27,16,15,93,2,0,19,4,0,1,9,3,0
EE_0129,Albu,0,0,0,0,100,39,19,11,36,0,1,12,2,0,0,0,8,0
EE_0134,Ambla,0,0,0,0,198,67,43,34,57,4,6,53,4,0,5,1,7,0
EE_0140,Anija,0,0,0,0,316,185,68,77,37,1,10,107,6,8,12,15,29,0
EE_0143,Antsla,0,0,0,0,244,135,65,71,164,4,5,60,5,2,4,0,21,0
EE_0149,Are,0,0,0,0,89,51,8,15,80,2,3,19,1,0,3,1,8,0
EE_0154,Aseri,0,0,0,0,107,78,20,20,35,0,9,27,9,3,2,5,4,1
EE_0159,Audru,0,0,0,0,343,97,64,65,36,0,5,67,3,0,9,2,15,0
EE_0161,Avanduse,0,0,0,0,61,25,15,13,13,0,2,10,0,0,0,0,5,0
EE_0164,Avinurme,0,0,0,0,122,62,33,14,13,1,5,44,1,0,1,0,5,0
EE_0170,Elva,0,0,0,0,677,210,160,87,78,5,32,190,9,0,5,2,37,1
EE_0175,Emmaste,0,0,0,0,197,61,36,18,6,0,1,41,0,0,2,0,6,0
EE_0181,Haanja,0,0,0,0,99,34,34,19,62,2,2,14,0,0,4,0,4,0
EE_0183,Haapsalu,0,0,0,0,896,368,222,161,78,9,21,352,18,6,14,29,49,1
EE_0185,Haaslava,0,0,0,0,122,36,22,18,143,0,2,36,2,0,2,1,15,1
EE_0188,Halinga,0,0,0,0,248,117,65,50,63,4,3,61,4,0,3,0,10,1
EE_0190,Haljala,0,0,0,0,187,75,23,22,26,2,4,56,0,0,5,0,12,0
