gisco_id,name,registered,turnout,invalid,blank,РУСОФИЛИ ЗА ВЪЗРАЖДАНЕ НА ОТЕЧЕСТВОТО,"ПАТРИОТИЧЕН ФРОНТ – НФСБ, БДС РАДИКАЛИ И БНДС ЦЕЛОКУПНА БЪЛГАРИЯ",ВЪЗРАЖДАНЕ,НАЦИОНАЛНО ОБЕДИНЕНИЕ НА ДЕСНИЦАТА,БСДД – Български Съюз за Директна Демокрация,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ – ЕВРОЛЕВИЦА,АТАКА,ПП ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,ПП ГЛАС НАРОДЕН,Движение за права и свободи – ДПС,ПП ПРАВОТО,ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,БНО,ВОЛЯ,ПП ИМА ТАКЪВ НАРОД,Продължаваме Промяната,Партия МИР,ПП БЛАГОДЕНСТВИЕ – ОБЕДИНЕНИЕ – ГРАДИВНОСТ,Български национален съюз – НД,ПРЯКА ДЕМОКРАЦИЯ,"ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България, ДСБ, Зелено движение)",ИЗПРАВИ СЕ БГ! НИЕ ИДВАМЕ!,ГЕРБ-СДС,БСП ЗА БЪЛГАРИЯ,БЪЛГАРСКА ПРОГРЕСИВНА ЛИНИЯ,Партия на ЗЕЛЕНИТЕ,БРИГАДА,ИК за Петър Константинов Низамов - независим-Петър Константинов Низамов,Давид Леон Леви - независим-Давид Леон Леви
BG_BGZZMA,Morocco,6,36,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,9,0,0,0,0,9,2,8,1,0,0,0,0,0
BG_BGZZMX,Mexico,8,33,1,2,0,0,7,0,0,1,0,1,0,0,0,0,0,0,0,6,0,0,0,0,8,0,6,1,0,0,0,0,0
BG_BGZZMD,Moldova,38,560,43,5,15,2,45,2,3,9,2,5,4,163,0,4,0,2,18,37,5,0,0,0,17,3,48,125,0,1,2,0,0
BG_BGZZNG,Nigeria,6,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,4,0,3,2,0,0,0,0,0
BG_BGZZNL,Netherlands,1551,6465,500,131,9,7,421,4,8,9,13,20,35,209,11,32,2,7,887,2387,7,0,2,3,1368,122,560,146,0,19,3,0,0
BG_BGZZNZ,New Zealand,44,29,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,9,0,0,0,0,12,0,1,0,0,0,0,0,0
BG_BGZZNO,Norway,696,1288,14,23,3,2,150,22,2,1,2,3,8,15,2,2,1,0,257,416,1,0,1,4,134,23,157,44,0,1,0,0,0
BG_BGZZAE,United Arab Emirates,73,476,16,5,0,1,33,0,0,0,0,0,2,2,0,4,0,0,35,204,0,0,0,0,68,13,76,17,0,0,0,0,0
BG_BGZZGB,United Kingdom,8953,33907,323,581,81,43,3556,63,27,60,76,161,122,348,56,134,24,31,8033,11162,47,25,14,18,3670,592,3142,883,12,64,11,0,0
BG_BGZZPL,Poland,118,328,7,8,0,0,15,0,0,0,0,0,0,3,0,5,0,0,32,134,1,0,0,1,67,2,34,18,1,0,0,0,0
