gisco_id,name,registered,turnout,invalid,blank,ПП ДОСТ,ПП ГЛАС НАРОДЕН,Социалистическа партия Български път,ПП ВЕЛИЧИЕ,Булгари,МОЯ СТРАНА БЪЛГАРИЯ,ПП ИМА ТАКЪВ НАРОД,ДПС-Ново начало,БРИГАДА,Партия на ЗЕЛЕНИТЕ,ПРАВОТО,ВЪЗРАЖДАНЕ,АЛИАНС ЗА ПРАВА И СВОБОДИ – АПС,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,БСДД – ДИРЕКТНА ДЕМОКРАЦИЯ,СИНЯ БЪЛГАРИЯ,ПП МЕЧ,ГЕРБ-СДС,АТАКА,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,ПРЯКА ДЕМОКРАЦИЯ,"КП СВОБОДНИ ИЗБИРАТЕЛИ (РБ, ССД и ЗС)",БТР – БЪЛГАРИЯ НА ТРУДА И РАЗУМА,КОЙ,КП РУСОФИЛИ ЗА БЪЛГАРИЯ,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,БЪЛГАРСКИ ВЪЗХОД,БСП – ОБЕДИНЕНА ЛЕВИЦА,ЧАВДАР ИВАНОВ ПОПОВ - независим кандидат-ЧАВДАР ИВАНОВ ПОПОВ
BG_SOF46,Столична,1207017,465040,4107,20568,215,2461,339,14293,356,485,32686,5292,259,1887,543,65869,3207,420,361,11158,20253,110101,862,422,2231,557,288,505,1669,128799,2779,32067,0
BG_DOB15,Добрич-селска,21103,7369,258,137,0,11,12,168,4,14,284,1910,5,5,8,707,366,5,6,46,272,1353,11,13,12,7,3,10,14,328,18,1382,0
BG_SFO39,Самоков,30326,12115,320,327,0,32,0,231,7,12,582,1225,8,20,17,1239,320,16,5,51,462,4586,14,5,15,16,5,9,36,1100,52,1402,0
BG_VRC08,Бяла Слатина,19868,10680,318,252,0,23,0,195,1,10,384,1835,3,9,13,694,97,10,1,29,346,5365,10,7,5,32,0,3,21,576,21,420,0
BG_DOB27,Тервел,20170,5442,173,80,0,1,3,117,0,2,126,770,2,3,11,309,901,4,0,6,113,2327,5,7,3,0,2,4,12,206,7,248,0
BG_HKV19,Минерални бани,6726,3487,92,41,3,4,1,31,0,0,50,1145,1,1,3,164,1418,1,1,5,43,257,1,1,1,0,3,1,3,88,3,125,0
BG_PDV43,Сопот,8631,2854,31,160,6,5,1,158,0,3,325,8,2,3,6,526,70,0,0,7,137,541,7,2,13,115,1,4,26,251,12,433,0
BG_SLS34,Тутракан,13688,5014,160,104,6,12,0,170,0,8,218,196,0,3,4,622,1500,12,3,13,170,1055,5,4,12,20,5,1,14,343,14,340,0
BG_SFO54,Антон,1207,440,11,15,0,0,0,6,1,0,31,84,0,1,0,102,15,1,0,9,24,69,1,0,1,0,1,0,2,30,4,32,0
BG_TGV02,Антоново,5585,2667,71,38,2,4,1,22,1,2,42,1183,1,0,1,85,662,2,2,0,50,244,2,5,0,1,1,1,2,72,5,165,0
BG_SFO10,Горна Малина,4564,1869,30,76,0,5,0,40,4,1,209,205,2,5,1,252,14,0,1,29,108,519,3,1,6,5,3,1,13,140,10,186,0
BG_SZR07,Гълъбово,9567,4311,129,121,3,9,4,194,3,6,215,1711,3,4,3,473,28,4,6,5,262,617,4,8,2,42,3,2,4,142,3,301,0
BG_TGV24,Попово,24241,7076,139,516,10,12,9,260,6,8,380,892,0,6,3,756,450,5,1,26,261,1181,6,8,8,4,1,3,24,452,19,1630,0
BG_VTR04,Велико Търново,70983,27484,345,1019,0,89,0,1819,7,24,2386,1743,12,63,18,4612,405,29,15,280,1037,7383,53,20,96,23,14,17,133,3633,118,2091,0
BG_SML31,Смолян,32099,12891,188,566,16,42,14,351,6,12,780,1051,4,16,8,1469,806,14,9,53,465,4082,16,7,35,0,5,13,29,1754,60,1020,0
BG_KRZ02,Ардино,26312,6850,128,88,17,3,1,15,0,7,28,1101,2,2,3,135,4532,6,1,3,42,473,0,3,1,3,6,2,1,150,2,96,0
BG_VAR16,Дългопол,12011,5206,151,57,4,3,2,96,1,3,86,614,11,2,3,270,1197,2,2,7,99,2078,6,10,1,5,1,0,5,181,5,304,0
BG_GAB05,Габрово,53503,18732,278,634,0,68,0,986,6,15,1478,278,4,31,17,3227,230,15,25,195,904,6395,38,13,139,23,9,9,86,2146,62,1421,0
BG_SZR31,Стара Загора,137745,53219,1061,1782,97,115,58,2512,30,63,4949,2087,26,89,66,9198,227,43,59,429,3406,15524,132,64,213,103,27,33,338,6025,188,4274,0
BG_VID16,Димово,4740,2463,101,51,0,4,0,29,1,8,72,1356,0,2,2,157,7,3,1,4,51,244,3,3,3,2,1,2,3,250,2,101,0
BG_PDV01,Асеновград,57626,21020,413,719,115,45,20,695,16,12,1189,1232,4,25,16,2594,3382,15,10,182,824,5012,25,18,53,92,12,18,51,1768,126,2337,0
BG_SLV16,Нова Загора,31449,8376,232,234,0,19,15,338,1,15,660,501,2,12,11,1370,344,6,12,37,722,2352,49,20,14,16,4,6,59,615,29,681,0
BG_VTR31,Стражица,10751,3357,130,110,0,8,0,105,1,4,187,1075,2,2,3,325,119,2,2,12,136,753,5,4,12,5,0,3,13,138,4,197,0
BG_PVN21,Никопол,7627,3244,99,71,2,2,0,65,2,5,129,1232,1,1,3,266,170,2,0,6,79,354,3,2,3,0,1,4,6,113,5,604,14
BG_JAM25,Тунджа,17192,6412,185,155,0,15,6,238,6,8,460,697,1,4,11,1013,179,8,5,26,358,1536,17,10,15,8,3,2,22,417,38,968,0
BG_PVN16,Левски,16381,5322,171,132,10,12,0,180,1,6,355,485,4,5,7,698,703,6,7,12,181,1116,7,3,2,7,1,1,21,434,8,728,19
BG_BGS09,Карнобат,20555,5924,147,190,16,17,13,264,11,8,442,678,2,4,10,805,519,10,3,30,339,1160,11,13,15,6,5,9,31,412,19,735,0
BG_MON26,Медковец,2838,1225,38,22,0,0,0,21,1,10,42,534,3,2,1,99,1,1,2,5,67,250,2,2,0,1,0,0,5,32,2,82,0
BG_KRZ21,Момчилград,32580,8975,246,118,10,2,9,19,3,2,180,1707,3,0,2,109,5738,13,4,4,34,485,2,2,0,2,6,3,1,158,1,112,0
BG_PDV28,Садово,12137,3252,92,90,10,10,4,116,13,4,172,62,0,4,6,449,55,3,5,24,165,634,6,3,6,5,3,3,15,266,16,1011,0
BG_SML02,Баните,3237,1613,31,29,2,6,3,19,0,1,94,234,1,0,2,87,198,0,0,1,26,625,0,4,3,0,0,4,3,96,1,143,0
BG_BGS13,Царево,7229,3609,74,92,0,3,2,107,1,5,169,635,1,3,2,361,13,1,0,14,97,1526,1,2,10,4,1,1,7,253,8,216,0
BG_PAZ08,Велинград,30890,10950,239,291,0,12,9,282,4,4,452,2020,3,4,7,1147,383,4,2,28,403,4054,8,7,22,10,3,8,26,910,17,591,0
BG_SLS31,Силистра,46075,16607,352,579,14,38,0,988,18,31,1233,1080,7,22,14,2903,631,20,11,69,750,3977,16,23,76,70,10,8,59,2098,104,1406,0
BG_PDV07,Брезово,4930,1890,77,35,1,5,1,64,1,1,86,106,3,1,5,325,3,1,0,6,93,497,3,4,4,2,1,1,12,112,17,423,0
BG_KNL04,Бобов дол,6434,2428,53,79,0,7,0,46,5,0,148,378,1,7,7,359,5,3,0,4,149,724,5,4,11,21,2,2,12,150,8,238,0
BG_RSE33,Сливо поле,9971,3277,116,77,1,3,0,93,3,8,89,514,2,2,4,263,562,1,5,15,113,1077,8,3,2,6,3,2,7,98,12,188,0
BG_BLG02,Белица,7995,5383,166,59,0,2,0,13,2,1,18,3457,2,0,0,91,991,1,2,0,38,323,0,1,0,3,0,1,0,36,2,174,0
BG_KNL29,Кюстендил,64969,18111,374,647,0,69,0,567,12,33,1219,1773,6,87,20,2757,120,19,11,103,908,5587,42,29,62,28,11,13,59,2027,59,1468,0
BG_KNL05,Бобошево,1959,909,34,10,0,4,0,21,0,3,39,157,2,0,1,98,21,1,2,15,32,296,0,2,1,5,1,1,1,51,2,109,0
BG_PVN10,Долна Митрополия,15377,4897,141,108,4,8,0,287,2,10,570,711,3,6,8,560,94,6,8,12,227,1160,8,5,8,19,7,8,17,340,17,506,37
BG_PER36,Радомир,15559,5036,97,217,0,11,0,172,4,11,428,127,1,11,5,845,21,7,2,104,309,1634,11,8,7,1,1,5,18,519,10,440,0
BG_SHU11,Хитрино,11179,3204,128,47,4,7,1,15,1,4,24,306,3,0,0,60,259,6,1,5,19,126,1,3,1,1,4,31,3,2070,3,71,0
BG_KRZ35,Черноочене,12922,5045,99,40,7,0,1,2,0,1,37,3396,1,1,1,36,1189,0,0,2,11,112,1,0,1,0,1,0,2,51,0,53,0
BG_LOV34,Троян,25767,9400,175,318,10,26,11,495,1,7,732,407,3,17,5,1409,177,2,7,84,778,2755,25,6,15,17,3,6,28,969,60,852,0
BG_KNL48,Дупница,39492,14270,335,459,0,44,0,373,12,14,862,1803,7,44,26,1766,84,11,7,160,751,4352,36,17,43,18,12,8,50,1237,25,1714,0
BG_BLG13,Гърмен,13388,7847,198,154,0,3,0,81,1,6,93,2995,4,2,2,220,2425,3,2,12,122,903,6,1,4,4,2,5,2,118,4,476,0
BG_VID06,Брегово,3827,2063,48,93,0,3,0,20,2,0,65,298,1,0,3,167,5,3,2,15,59,935,3,2,1,0,0,0,1,113,7,217,0
BG_HKV30,Стамболово,12685,4574,112,42,7,0,3,22,0,0,36,2716,3,1,0,92,1161,1,1,2,24,146,3,0,0,1,3,0,1,110,0,87,0
BG_RAZ26,Разград,50911,14896,275,589,16,33,0,628,7,13,680,700,6,9,12,1591,1969,8,1,47,357,2917,16,12,26,20,9,4,40,3389,27,1495,0
BG_DOB12,Генерал Тошево,12317,3696,100,87,0,9,11,166,1,7,226,228,2,5,0,508,173,3,4,9,159,910,12,6,9,7,2,6,12,317,11,706,0
BG_DOB03,Балчик,17365,5649,125,148,0,17,7,230,6,11,303,863,1,5,2,901,609,1,4,21,220,1313,14,8,10,5,3,2,14,407,18,381,0
BG_MON02,Берковица,15162,6182,186,149,9,8,0,157,7,9,273,2065,4,7,11,937,32,5,2,31,256,848,4,4,8,3,1,8,15,512,26,605,0
BG_RSE08,Две могили,7476,2299,65,64,5,6,0,87,2,2,103,593,0,1,1,259,278,2,2,6,90,467,2,0,2,1,1,1,6,89,8,156,0
BG_VRC10,Враца,64359,22353,304,796,0,49,0,758,30,32,1663,2065,11,21,23,3249,451,23,5,139,1326,7485,34,15,57,38,4,25,78,1981,185,1506,0
BG_BLG11,Гоце Делчев,28431,12191,210,343,0,13,0,351,12,9,333,686,3,10,8,912,2997,4,7,32,399,2126,9,7,20,20,3,6,31,759,41,2840,0
BG_PER08,Брезник,4907,1711,29,63,0,2,0,60,1,0,133,48,0,2,1,254,12,4,2,30,87,589,2,3,5,1,0,5,8,143,7,220,0
BG_VAR26,Суворово,6576,3061,97,67,3,1,7,108,1,5,121,363,3,0,3,268,256,0,3,7,73,1403,5,1,2,1,2,2,6,134,6,113,0
BG_BLG01,Банско,11080,5212,106,195,0,13,0,128,4,3,260,225,2,3,5,536,76,2,5,37,174,2303,8,5,11,8,4,0,20,586,25,468,0
BG_BLG37,Разлог,17192,9877,265,241,0,18,0,177,7,12,413,1282,7,5,7,801,21,6,9,23,269,4426,12,6,8,8,4,5,29,1261,21,534,0
BG_BGS15,Несебър,21012,8097,127,245,6,17,5,445,5,12,563,1122,5,7,3,1345,133,4,5,45,498,1674,12,10,20,3,2,6,51,755,25,947,0
BG_PAZ20,Панагюрище,20113,6441,120,219,0,16,8,320,7,12,520,132,3,7,3,1101,14,3,4,38,503,1880,10,7,13,14,4,5,27,661,17,773,0
BG_PDV13,Карлово,43278,13489,288,569,20,41,18,677,12,20,1147,343,4,22,9,2184,826,21,14,75,723,3144,33,14,31,321,13,9,75,1429,74,1333,0
BG_KNL27,Кочериново,3037,1264,37,29,0,4,0,25,1,3,162,126,0,2,5,166,1,1,1,12,44,336,2,4,2,1,0,2,1,115,4,178,0
BG_SML10,Доспат,7375,3597,61,45,2,10,0,50,1,1,87,297,0,0,1,108,60,0,0,3,50,2419,1,1,2,0,0,1,1,329,4,63,0
BG_RSE27,Русе,141126,46908,743,1829,63,159,0,2993,25,69,5016,1806,17,82,45,7932,1225,23,22,473,3127,9604,123,56,208,215,18,40,250,6645,225,3874,0
BG_VTR22,Павликени,19271,6293,152,185,0,15,0,275,1,13,358,1226,3,10,4,896,122,7,4,32,312,1287,10,11,16,14,2,2,24,342,23,946,0
BG_PAZ03,Батак,5081,2184,41,67,0,2,1,21,4,1,62,423,1,0,0,175,738,0,0,7,78,327,1,2,1,2,1,0,7,119,4,99,0
BG_RSE03,Борово,4738,1508,49,45,6,3,0,49,2,4,61,212,1,2,0,197,94,1,2,4,115,419,3,0,3,16,2,1,10,67,4,136,0
BG_SFO43,Своге,15913,6114,108,211,0,21,0,154,7,10,287,1453,3,5,9,903,82,9,2,33,255,1566,8,6,19,1,2,5,10,463,42,450,0
BG_LOV38,Ябланица,4563,1972,67,24,1,2,3,28,0,1,79,431,2,1,4,166,11,0,2,6,91,823,4,1,5,0,0,4,7,82,4,123,0
BG_VRC21,Криводол,6927,3152,122,63,0,4,0,60,1,7,124,630,2,3,2,277,113,3,3,9,154,1021,5,5,4,4,0,6,5,129,12,384,0
BG_KRZ16,Кърджали,100272,29679,781,620,34,23,15,284,9,12,657,15571,14,15,9,1635,4371,10,5,50,397,2568,14,9,29,74,9,4,36,1543,31,849,0
BG_SLS07,Главиница,11196,4902,103,72,5,4,0,47,0,2,70,550,1,2,3,142,2925,3,3,3,56,620,3,4,1,29,5,2,8,91,2,146,0
BG_SZR23,Опан,1956,1001,35,11,0,2,2,29,1,1,43,211,0,0,1,130,1,1,2,0,55,257,1,3,1,1,0,0,2,32,2,177,0
BG_VTR13,Елена,7911,3146,75,86,0,10,0,118,4,0,161,374,0,1,6,406,62,0,7,16,118,1210,3,6,3,0,0,0,10,226,5,239,0
BG_PVN24,Плевен,114856,42236,762,1226,38,83,0,2048,17,36,4767,3627,17,36,56,6130,1598,34,22,433,1876,9230,75,31,77,191,23,51,158,4354,150,3343,1746
BG_PDV12,Калояново,9045,3165,79,94,1,7,1,105,2,2,248,326,1,4,3,407,15,3,3,12,193,944,3,8,12,212,2,1,10,226,12,229,0
BG_SML09,Девин,10178,4081,109,110,4,6,3,74,0,3,136,524,1,1,4,246,938,4,0,7,96,1268,8,6,3,0,0,3,10,187,4,326,0
BG_LOV19,Луковит,14405,5146,250,87,2,8,5,80,3,0,227,709,4,4,4,399,197,3,11,31,209,2289,2,5,4,5,2,8,20,227,10,341,0
BG_SFO26,Костинброд,13681,5909,107,233,0,25,0,189,6,7,342,662,1,17,7,694,235,3,4,33,250,2095,21,7,8,4,2,3,22,505,28,399,0
BG_MON29,Монтана,44296,17185,333,616,18,40,0,492,16,32,1339,2286,6,37,15,2908,27,16,18,143,1048,4661,31,18,45,14,19,17,84,1580,177,1149,0
BG_BLG33,Петрич,54495,18965,436,417,0,35,0,572,14,16,1053,2281,7,11,18,1585,78,21,10,196,768,8626,9,20,27,13,9,8,37,1501,20,1177,0
BG_PDV26,Родопи,28372,9402,147,380,8,40,8,438,15,6,761,270,6,10,16,1398,410,9,42,126,669,2476,14,8,46,63,3,7,32,1007,57,923,0
BG_DOB17,Каварна,12290,4125,101,113,0,25,4,177,2,3,244,408,3,5,5,522,87,4,1,13,195,1363,23,9,12,12,1,1,8,451,10,323,0
BG_PVN03,Белене,7534,2442,45,113,1,6,0,138,3,4,297,66,0,1,1,474,61,3,3,6,145,380,5,6,4,6,1,1,10,210,8,417,27
BG_MON04,Бойчиновци,6561,3273,98,43,1,5,0,35,2,6,121,1187,2,3,0,356,54,5,1,54,93,911,5,2,0,17,1,3,7,77,35,149,0
BG_SZR27,Раднево,15115,5934,117,148,5,16,5,223,3,4,506,457,1,3,5,1301,52,2,3,19,664,1298,21,8,6,128,10,1,18,290,11,608,0
BG_BGS06,Средец,10819,4515,184,91,2,3,5,152,3,7,213,1067,3,10,3,462,22,5,3,28,184,1344,7,2,5,2,4,2,16,326,9,351,0
BG_MON36,Чипровци,2892,1623,53,59,1,6,0,29,1,2,53,72,0,5,1,268,2,1,0,7,103,727,6,3,1,2,2,2,2,114,7,94,0
BG_RAZ14,Исперих,26283,9442,231,210,5,6,0,96,4,3,127,386,0,3,8,356,4896,7,4,5,132,2234,5,1,6,2,18,4,2,439,4,248,0
BG_GAB35,Трявна,9441,2953,42,100,0,12,0,205,2,2,263,8,1,5,4,584,32,3,1,29,104,842,8,7,9,4,0,3,19,361,20,283,0
BG_PDV15,Лъки,2122,749,12,23,1,6,0,31,2,2,52,138,0,0,0,100,17,0,1,3,30,177,0,2,1,1,0,0,1,61,3,85,0
BG_HKV17,Любимец,7696,3867,93,54,5,6,4,71,0,2,214,188,0,1,3,268,2,2,3,14,105,2398,5,2,3,5,2,2,8,160,3,244,0
BG_RAZ16,Кубрат,18609,6204,140,144,3,6,0,90,3,6,146,537,2,6,5,367,2846,9,4,4,130,1004,3,7,2,8,12,3,12,382,7,316,0
BG_PDV37,Хисаря,9869,3455,72,130,3,6,7,224,7,9,252,186,2,0,7,579,13,4,4,20,247,740,10,4,10,88,2,2,14,315,25,473,0
BG_VAR08,Ветрино,4199,1834,47,53,2,5,5,310,4,4,88,283,1,1,2,116,212,0,0,5,67,442,1,2,1,0,2,2,3,54,1,121,0
BG_VID01,Белоградчик,5056,2095,58,68,0,2,0,67,1,3,114,724,3,0,0,243,9,2,2,31,50,351,1,0,4,1,1,3,3,181,3,170,0
BG_PDV25,Раковски,21932,5084,128,183,4,13,9,223,4,5,279,71,3,4,11,771,14,6,4,25,370,2146,4,7,7,45,5,6,21,341,9,366,0
BG_SHU30,Шумен,84894,26171,382,1004,34,94,34,1589,18,28,2055,1119,11,39,18,4448,1439,23,8,176,1460,6168,47,33,57,24,10,25,117,2949,120,2642,0
BG_TGV22,Омуртаг,24866,8623,279,146,71,7,3,68,3,9,129,4154,8,6,6,245,2369,5,1,6,109,566,8,2,3,3,7,6,7,168,5,224,0
BG_VID33,Ружинци,2970,1605,72,26,0,1,0,14,0,1,28,294,1,0,1,110,16,1,0,9,48,849,2,1,1,0,1,0,3,65,2,59,0
BG_HKV11,Ивайловград,6133,2583,59,48,3,5,6,39,1,7,104,255,0,3,2,256,141,3,1,12,50,1195,1,6,1,1,1,5,3,153,6,216,0
BG_VAR04,Белослав,8793,2876,68,106,1,9,1,240,2,2,272,370,3,5,4,392,192,2,2,15,164,615,8,4,6,0,1,0,15,194,4,179,0
BG_RSE37,Ценово,4216,1742,71,28,0,1,0,73,1,1,85,31,0,2,1,140,18,0,0,9,100,847,3,4,2,8,2,2,6,84,0,223,0
BG_PDV17,Марица,25315,7947,139,340,6,23,10,402,16,9,657,604,8,7,9,1293,44,4,4,73,707,2002,10,13,21,15,3,3,39,668,50,768,0
BG_SFO56,Мирково,1697,637,26,16,0,4,0,12,0,2,35,21,0,1,1,89,0,1,0,192,33,107,1,2,2,0,0,1,0,42,2,47,0
BG_BGS23,Сунгурларе,10179,4860,188,53,0,2,9,65,7,8,100,2539,2,2,3,260,757,0,6,4,86,405,3,4,5,4,2,4,2,137,2,200,0
BG_SLV20,Сливен,107850,31751,868,946,0,83,37,1418,20,40,2255,2503,19,48,23,4629,491,26,28,340,1799,9393,51,48,119,340,24,33,202,3339,164,2463,0
BG_BGS18,Руен,28927,13911,416,190,18,4,7,30,2,3,67,3812,2,2,3,113,7928,7,5,6,63,773,3,2,1,6,9,2,8,121,5,303,0
BG_HKV33,Харманли,20894,7786,240,209,10,9,9,243,5,8,391,1249,5,7,8,1000,216,9,10,22,430,2478,10,4,20,11,3,7,22,533,28,590,0
BG_RSE04,Бяла,11119,3553,111,76,2,7,0,188,4,3,224,327,1,6,3,479,41,0,5,6,174,1287,6,7,9,109,6,5,29,201,7,230,0
BG_PER19,Земен,1849,930,22,35,0,2,0,19,0,2,63,108,0,0,0,101,0,0,1,11,34,331,1,0,4,0,1,1,2,64,3,125,0
BG_PAZ32,Стрелча,3979,1555,45,33,0,7,2,75,0,0,69,263,2,0,0,196,47,0,0,8,93,451,0,2,3,5,0,2,12,101,7,132,0
BG_BGS12,Малко Търново,2429,933,34,25,2,3,3,29,0,2,38,145,4,1,2,131,92,4,0,4,38,207,2,1,0,0,0,0,2,59,5,100,0
BG_SLV24,Твърдица,11755,3683,192,109,0,13,8,159,0,5,147,1192,3,4,9,348,138,2,3,13,134,651,3,2,5,6,1,3,15,180,28,310,0
BG_VAR24,Провадия,18805,6790,245,135,8,18,4,355,3,3,298,887,2,5,4,778,727,4,5,18,265,2161,11,1,10,1,4,2,9,367,9,451,0
BG_SFO17,Елин Пелин,17887,6079,90,282,0,30,0,193,5,11,841,187,2,18,7,1121,86,4,8,55,315,1517,11,9,22,3,5,2,30,658,26,541,0
BG_PER32,Перник,78047,29003,461,1159,0,72,0,985,52,49,2594,672,19,71,42,4081,62,35,38,790,1473,11032,62,25,57,12,13,24,110,2915,115,1983,0
BG_RAZ29,Самуил,9140,3659,94,26,0,1,0,8,0,1,31,104,1,1,1,45,2862,2,1,0,12,183,1,0,1,0,3,0,0,245,2,34,0
BG_BLG42,Сатовча,15153,7521,120,114,0,6,0,49,0,4,149,4720,3,1,0,182,441,1,5,1,63,1216,0,0,2,47,1,2,1,176,4,213,0
BG_SML38,Чепеларе,5595,2130,36,70,0,4,2,164,2,2,121,158,0,4,0,243,173,1,0,16,70,666,3,0,2,0,1,1,6,225,7,153,0
BG_VRC27,Мездра,16337,6302,106,235,0,10,0,134,2,21,331,928,1,7,5,794,27,8,2,25,406,2173,9,6,7,22,3,3,14,385,58,580,0
BG_SFO20,Ихтиман,14019,6842,222,139,0,12,0,86,6,15,318,2048,3,27,5,537,13,3,4,36,241,2513,8,5,11,3,1,5,19,301,19,242,0
BG_HKV09,Димитровград,45758,17336,455,521,16,28,13,707,15,19,959,2195,12,22,9,2670,170,20,8,82,861,5547,25,17,43,73,8,14,61,1766,35,963,0
BG_SFO07,Ботевград,26952,9937,179,407,0,30,0,370,16,16,997,896,8,18,24,1395,36,11,3,117,514,2957,9,16,38,8,9,4,27,894,127,811,0
BG_RSE13,Иваново,7124,2651,58,72,6,7,0,124,1,5,193,71,0,4,5,342,190,4,3,17,99,946,5,3,1,11,1,4,11,177,3,288,0
BG_SFO06,Божурище,6465,2795,39,144,0,16,0,109,3,3,194,218,4,15,6,433,44,2,1,28,174,741,4,4,12,1,4,4,13,357,16,206,0
BG_SHU10,Върбица,11480,4530,73,33,2,1,0,20,1,4,40,3706,1,1,2,55,281,2,1,4,18,187,3,1,1,2,0,0,0,18,3,70,0
BG_SLS10,Дулово,29176,10860,231,141,9,3,0,67,2,6,104,1358,1,4,1,297,4653,10,5,12,138,2945,3,6,10,467,18,5,8,151,9,196,0
BG_SFO18,Етрополе,9939,5034,124,142,0,14,0,111,4,2,291,1214,2,14,5,548,19,11,2,14,226,1000,4,5,7,1,1,9,11,317,15,921,0
BG_VID03,Бойница,699,396,14,8,0,0,0,3,1,0,14,12,0,0,0,38,4,0,0,1,11,214,0,1,0,1,0,1,0,34,2,37,0
BG_JAM03,Болярово,2538,1493,51,60,0,1,6,35,0,4,42,157,1,3,3,168,37,0,5,2,52,183,2,3,5,4,0,4,7,57,15,586,0
BG_SML27,Рудозем,8280,4379,77,187,6,6,4,30,4,0,101,421,2,1,7,159,2196,6,2,1,94,628,1,6,3,0,2,3,10,283,4,135,0
BG_PAZ14,Лесичово,4145,1660,72,32,0,3,3,35,3,1,74,300,1,2,2,165,129,3,3,1,100,416,3,1,3,8,2,0,13,90,4,191,0
BG_SML05,Борино,3083,1474,17,25,0,1,1,5,1,0,7,220,0,1,0,35,831,4,0,0,16,216,2,1,0,0,1,0,0,34,0,56,0
BG_SML16,Мадан,10047,5174,81,219,5,8,3,72,2,3,138,293,0,7,7,228,2931,1,4,6,113,664,1,6,5,0,5,4,5,193,3,167,0
BG_PVN27,Пордим,4526,1523,50,26,1,0,0,61,0,0,109,279,1,2,3,185,34,0,1,3,54,352,2,0,1,0,0,2,9,65,3,270,10
BG_HKV18,Маджарово,3131,1228,22,5,2,0,0,13,0,0,19,810,1,0,0,55,94,0,0,1,8,103,1,0,1,0,0,1,0,34,1,57,0
BG_JAM07,Елхово,12227,3697,106,105,0,12,12,151,2,5,251,227,2,5,4,649,142,2,2,23,275,821,12,4,16,11,5,4,16,321,56,456,0
BG_VRC05,Борован,4277,2313,74,54,0,2,0,19,0,1,56,664,1,0,1,247,27,3,0,3,62,900,3,4,1,4,0,3,2,48,8,126,0
BG_SHU07,Венец,10769,3154,117,40,6,3,0,12,0,1,9,1515,2,0,0,31,885,1,0,2,23,294,2,0,1,0,2,5,0,164,1,38,0
BG_SLS32,Ситово,4914,2054,59,33,0,0,0,33,0,4,47,70,0,0,4,114,1097,4,1,1,43,348,2,1,1,9,1,0,2,57,2,121,0
BG_VRC35,Хайредин,3432,1628,28,35,0,2,0,22,0,0,47,193,0,1,1,145,584,1,1,12,67,255,1,2,1,0,1,0,4,66,0,159,0
BG_MON11,Вълчедръм,6883,3096,70,44,2,8,0,73,2,3,99,1433,3,2,3,219,27,0,0,19,110,679,5,3,1,1,2,0,8,99,5,176,0
BG_PAZ29,Септември,20729,8110,260,208,0,10,8,192,3,5,304,2987,7,8,5,760,97,7,5,54,495,1439,10,11,12,52,6,3,21,387,20,734,0
BG_VAR09,Вълчи дол,7710,2978,116,57,3,2,1,291,2,2,91,352,1,1,0,285,225,10,2,7,88,1031,5,4,10,5,3,1,7,123,5,248,0
BG_SFO09,Годеч,4136,1642,36,78,0,3,0,24,1,3,111,164,0,1,0,168,1,1,1,9,68,691,7,2,7,3,1,0,6,126,8,122,0
BG_SHU18,Каолиново,18059,5772,143,47,2,3,2,19,1,3,21,3278,6,3,3,85,1533,1,3,3,42,273,1,1,2,12,1,1,0,220,1,62,0
BG_VID15,Грамада,1303,688,13,11,0,1,0,6,0,1,26,53,0,0,1,52,2,1,0,1,16,84,0,0,3,0,0,0,4,351,1,61,0
BG_BGS04,Бургас,182692,68162,792,2465,67,133,61,3353,39,100,5737,2457,38,140,58,10257,801,54,45,850,3393,21690,80,47,262,50,39,63,334,9631,416,4711,0
BG_SZR04,Братя Даскалови,5580,2622,72,31,0,3,2,72,5,4,68,728,2,2,3,204,54,3,3,2,78,588,2,2,3,2,0,1,8,115,12,553,0
BG_PAZ06,Брацигово,7239,2236,63,59,0,4,1,58,0,0,97,138,1,4,4,348,16,1,2,6,101,860,0,1,5,3,2,3,4,214,4,237,0
BG_BLG44,Симитли,12333,7955,165,158,0,13,0,415,3,4,191,162,0,5,7,306,15,6,4,19,159,5892,4,6,8,23,1,3,7,212,8,159,0
BG_PVN39,Кнежа,11067,4923,173,140,6,12,0,103,5,6,219,258,2,10,6,446,493,3,4,24,371,2167,4,2,2,7,1,2,10,171,6,244,26
BG_PVN08,Гулянци,8806,2991,72,51,5,6,0,340,2,2,204,542,2,2,2,300,134,2,1,20,95,662,3,0,4,8,2,2,11,144,5,330,38
BG_PVN37,Червен бряг,23958,8562,224,170,9,9,0,160,10,9,530,1760,4,2,6,812,937,14,6,34,412,2254,9,4,14,6,4,0,15,474,17,623,34
BG_RAZ11,Завет,11093,3830,92,66,3,7,0,14,1,3,39,287,1,6,3,91,1912,10,1,5,50,471,0,5,4,5,10,3,3,687,1,50,0
BG_MON07,Брусарци,3650,2018,91,48,2,4,0,32,1,0,49,572,1,3,0,128,3,1,0,0,74,846,5,2,3,0,0,1,6,51,2,93,0
