gisco_id,name,registered,turnout,invalid,blank,ПП ДОСТ,ПП ГЛАС НАРОДЕН,Социалистическа партия Български път,ПП ВЕЛИЧИЕ,Булгари,МОЯ СТРАНА БЪЛГАРИЯ,ПП ИМА ТАКЪВ НАРОД,ДПС-Ново начало,БРИГАДА,Партия на ЗЕЛЕНИТЕ,ПРАВОТО,ВЪЗРАЖДАНЕ,АЛИАНС ЗА ПРАВА И СВОБОДИ – АПС,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,БСДД – ДИРЕКТНА ДЕМОКРАЦИЯ,СИНЯ БЪЛГАРИЯ,ПП МЕЧ,ГЕРБ-СДС,АТАКА,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,ПРЯКА ДЕМОКРАЦИЯ,"КП СВОБОДНИ ИЗБИРАТЕЛИ (РБ, ССД и ЗС)",БТР – БЪЛГАРИЯ НА ТРУДА И РАЗУМА,КОЙ,КП РУСОФИЛИ ЗА БЪЛГАРИЯ,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,БЪЛГАРСКИ ВЪЗХОД,БСП – ОБЕДИНЕНА ЛЕВИЦА,ЧАВДАР ИВАНОВ ПОПОВ - независим кандидат-ЧАВДАР ИВАНОВ ПОПОВ
BG_BGZZGR,Greece,332,2624,96,73,7,12,3,272,3,1,164,22,0,12,2,528,27,5,4,26,190,479,4,5,18,1,3,2,13,536,5,111,0
BG_BGZZDZ,Algeria,3,31,1,0,0,0,0,0,0,1,2,0,0,0,1,15,0,1,0,1,0,5,0,0,0,0,0,0,0,1,0,3,0
BG_BGZZES,Spain,1733,10899,210,279,16,28,4,1729,9,6,1292,99,2,16,8,2291,256,9,1,58,996,1345,22,22,106,18,6,10,74,1687,35,265,0
BG_BGZZJO,Jordan,10,38,3,0,1,0,1,1,0,0,5,0,0,0,0,6,2,0,0,1,0,6,2,0,0,0,0,0,0,5,0,5,0
BG_BGZZBE,Belgium,224,3766,73,105,21,8,3,312,2,2,245,171,0,14,5,448,460,3,3,27,247,348,2,1,9,3,0,0,10,1123,9,112,0
BG_BGZZUS,United States,1233,8918,129,158,30,35,8,1053,3,6,726,24,2,23,2,1567,35,4,1,69,407,960,7,7,60,20,5,8,29,3371,14,155,0
BG_BGZZDE,Germany,2062,20876,442,590,34,67,12,2237,13,21,1887,352,3,61,9,3607,960,14,12,201,1662,1965,26,37,162,28,4,26,113,5791,53,487,0
BG_BGZZCH,Switzerland,201,2213,34,58,5,6,0,177,1,1,139,20,1,11,1,347,19,1,1,30,106,191,5,4,15,5,2,1,11,959,7,55,0
BG_BGZZRS,Serbia,62,1055,65,21,6,8,6,21,1,4,62,3,2,5,2,85,4,1,1,21,17,331,3,1,1,1,1,0,2,350,5,24,0
BG_BGZZNO,Norway,169,949,9,35,1,1,1,97,0,3,113,3,1,1,0,195,21,1,0,9,77,125,1,2,5,3,0,0,5,220,2,18,0
BG_BGZZMK,North Macedonia,60,327,23,13,1,1,1,0,0,2,24,17,0,0,0,48,5,1,0,10,3,109,1,0,4,0,0,0,3,53,0,8,0
BG_BGZZFR,France,445,3115,65,105,8,6,4,277,0,3,245,63,2,20,2,468,141,3,4,49,128,299,2,1,12,2,3,8,15,1066,15,99,0
BG_BGZZAT,Austria,349,4387,57,184,18,21,2,315,4,4,308,61,0,31,11,633,150,1,6,53,268,542,5,1,32,8,0,6,18,1506,20,130,0
BG_BGZZCA,Canada,212,2765,46,34,5,0,0,311,1,6,188,0,0,4,0,843,4,0,1,21,76,283,11,2,41,1,0,4,5,828,6,44,0
BG_BGZZSK,Slovakia,28,146,3,4,1,0,0,12,0,0,7,1,0,0,0,20,0,0,1,5,4,8,0,0,1,0,0,3,0,68,0,8,0
BG_BGZZAU,Australia,91,344,7,7,2,0,0,34,0,1,18,0,0,0,0,86,1,0,0,8,10,15,0,0,5,1,0,0,3,138,1,7,0
BG_BGZZHU,Hungary,17,211,2,5,1,1,0,7,0,0,17,1,0,1,2,30,1,0,0,1,6,20,0,1,0,0,0,2,0,100,1,12,0
BG_BGZZMT,Malta,41,459,5,18,0,3,0,43,0,1,72,4,1,1,1,72,2,0,1,6,16,71,2,4,3,0,0,0,4,113,1,15,0
BG_BGZZRO,Romania,33,200,2,13,0,1,1,7,0,0,10,0,0,2,0,17,3,0,0,2,8,29,0,0,1,0,0,0,0,95,0,9,0
