gisco_id,name,registered,turnout,invalid,blank,Движение за права и свободи – ДПС,БСДД – Български Съюз за ДИРЕКТНА ДЕМОКРАЦИЯ,БНО,ПП Национално движение Единство,ПП ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,Коалиция Справедлива България,ПРЯКА ДЕМОКРАЦИЯ,НФСБ,Продължаваме Промяната,МИР,КОД /Консервативно Обединение на Десницата/,БТР – БЪЛГАРИЯ НА ТРУДА И РАЗУМА,ПП КОАЛИЦИЯ ЗА ТЕБ БЪЛГАРИЯ,ВЪЗРАЖДАНЕ,БЪЛГАРСКИ ВЪЗХОД,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,ПП ИЗПРАВИ СЕ БЪЛГАРИЯ,ДВИЖЕНИЕ НА НЕПАРТИЙНИТЕ КАНДИДАТИ,ПП ИМА ТАКЪВ НАРОД,ПП ГЛАС НАРОДЕН,ПРАВОТО,НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,ГЕРБ-СДС,"ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България, ДСБ, Зелено движение)",БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ – ЕВРОЛЕВИЦА,АТАКА,БСП ЗА БЪЛГАРИЯ,РУСОФИЛИ ЗА ВЪЗРАЖДАНЕ НА ОТЕЧЕСТВОТО,ИК за издигане на Цветан Христов Атанасов като независим кандидат-Цветан Христов Атанасов,Луна Йорданова Йорданова-Луна Йорданова Йорданова
BG_HKV30,Стамболово,12220,4407,15,28,3713,16,1,3,6,5,6,6,168,3,2,1,4,57,27,3,4,6,30,1,0,1,165,28,2,2,103,1,0,0
BG_RAZ26,Разград,49884,14760,30,587,2454,50,7,27,66,43,20,26,2249,19,21,13,25,1236,642,10,113,43,500,19,17,13,3263,1440,40,56,1695,35,0,0
BG_DOB03,Балчик,17455,5016,23,154,962,13,5,11,65,13,11,6,855,1,11,8,12,667,343,2,67,13,161,18,3,8,857,199,12,17,486,13,0,0
BG_MON02,Берковица,14916,5578,18,170,1255,23,3,0,23,11,7,7,1030,12,12,8,14,457,157,8,142,26,211,7,3,5,1187,115,20,23,603,21,0,0
BG_RSE08,Две могили,7580,2090,12,44,435,7,1,3,27,3,2,1,348,1,3,6,4,176,61,1,15,12,55,3,2,2,574,32,12,3,244,1,0,0
BG_VRC10,Враца,65558,23089,33,899,1108,33,15,22,373,66,43,17,4234,38,38,27,42,2434,1210,36,359,85,1201,48,8,22,7282,1005,71,99,2171,70,0,0
BG_BLG11,Гоце Делчев,27938,10782,13,305,2744,22,5,12,113,17,10,4,1270,4,9,3,19,730,333,4,24,41,203,12,5,0,2302,325,14,29,2184,26,0,0
BG_PER08,Брезник,5074,2069,16,79,41,3,1,2,6,3,2,0,361,1,12,4,7,176,80,3,43,10,95,3,3,1,762,76,6,9,256,8,0,0
BG_VAR26,Суворово,6480,2531,17,50,245,8,5,7,22,8,5,3,335,14,5,4,7,213,61,1,19,6,65,4,1,4,1177,50,5,13,176,0,1,0
BG_BLG01,Банско,10872,5159,8,271,129,11,6,9,44,13,8,4,904,9,11,2,10,462,353,4,41,21,169,6,2,0,1758,242,12,13,625,12,0,0
BG_BLG37,Разлог,17059,8219,2,237,801,33,6,18,94,21,12,4,1654,22,7,4,18,534,726,6,63,31,323,11,6,0,1916,736,11,8,891,24,0,0
BG_BGS15,Несебър,19988,7376,5,300,165,20,1,26,23,33,12,23,1657,15,15,7,27,1067,581,6,79,35,312,18,4,7,1782,416,19,11,607,103,0,0
BG_PAZ20,Панагюрище,20513,6904,7,239,151,13,6,14,44,20,15,6,1294,10,11,15,20,713,317,3,59,34,307,20,8,4,2218,324,19,43,940,30,0,0
BG_PDV13,Карлово,43852,13523,25,674,909,30,10,36,229,110,15,54,2591,20,9,22,25,1339,654,13,149,51,452,13,5,11,3141,591,32,47,2231,35,0,0
BG_KNL27,Кочериново,3186,1369,24,24,70,4,0,5,6,5,3,1,210,2,0,9,4,93,57,0,20,5,66,3,0,4,520,39,10,4,179,2,0,0
BG_SML10,Доспат,7531,3214,2,59,260,5,3,6,2,7,4,3,473,4,1,1,6,79,92,0,11,7,102,2,1,4,1681,49,7,3,338,2,0,0
BG_RSE27,Русе,143481,50118,70,2189,1315,68,21,83,775,254,75,51,12524,90,116,43,109,6500,2643,25,536,279,2773,121,37,98,10303,3412,143,226,5093,146,0,0
BG_BLG33,Петрич,53454,16397,24,484,190,31,21,43,406,38,20,22,2926,20,113,19,33,1193,772,9,100,43,790,11,29,0,7083,465,62,38,1393,19,0,0
BG_VTR22,Павликени,19482,6253,36,238,879,22,4,14,68,38,7,6,886,4,7,7,13,627,181,11,106,21,187,15,7,5,1416,268,25,33,1102,20,0,0
BG_PAZ03,Батак,5131,2406,0,73,1319,4,2,4,18,13,2,2,194,2,2,4,3,98,80,3,6,3,45,2,0,1,365,38,2,1,117,3,0,0
BG_RSE03,Борово,4858,1450,9,46,196,7,1,2,17,4,4,3,248,4,2,3,7,119,46,4,15,5,48,2,0,3,441,38,5,5,164,2,0,0
BG_SFO43,Своге,16305,6256,41,253,979,11,7,12,26,29,14,10,890,10,8,5,8,664,274,8,67,19,193,32,9,8,1852,261,15,20,516,15,0,0
BG_LOV38,Ябланица,4583,1481,10,32,176,4,1,3,8,11,5,3,209,1,3,4,5,127,28,4,13,4,55,1,1,2,531,51,5,5,178,1,0,0
BG_VRC21,Криводол,6948,2419,30,80,300,12,1,2,62,5,1,1,349,1,2,1,4,172,61,1,19,8,76,2,4,1,737,50,7,22,401,7,0,0
BG_KRZ16,Кърджали,98882,25114,82,766,13066,119,21,39,50,45,32,28,3182,38,24,18,32,1152,456,18,82,43,453,19,16,12,3166,750,27,22,1329,25,0,0
BG_SLS07,Главиница,10727,4784,10,52,3324,18,8,8,12,14,2,3,267,5,2,0,5,92,34,3,11,6,70,3,2,1,608,25,12,5,177,5,0,0
BG_SZR23,Опан,2051,1101,32,13,93,1,1,0,13,3,2,1,136,2,1,1,1,68,69,0,8,3,41,3,0,3,303,27,7,5,262,2,0,0
BG_VTR13,Елена,7879,3097,21,59,343,12,2,3,21,7,4,4,457,8,4,5,8,267,88,1,19,7,81,7,3,12,1089,119,9,8,420,9,0,0
BG_PVN24,Плевен,114739,41696,47,1854,1800,66,18,71,426,130,53,96,8802,83,45,36,142,4490,2555,26,501,211,3201,99,38,31,9346,2363,95,158,4769,144,0,0
BG_PDV12,Калояново,9115,3228,18,116,293,10,3,7,17,7,7,5,485,2,2,7,9,283,128,5,20,10,111,4,6,2,1047,210,9,15,386,4,0,0
BG_SML09,Девин,10422,3595,7,114,952,11,2,11,10,10,8,3,501,4,2,2,8,153,106,2,11,7,131,3,0,8,939,83,13,9,474,11,0,0
BG_LOV19,Луковит,14575,4176,22,97,715,19,5,13,20,14,8,8,595,5,6,5,3,257,83,1,27,11,180,4,2,1,1481,111,12,14,445,12,0,0
BG_SFO26,Костинброд,13740,6171,27,216,386,11,0,9,210,25,9,9,953,14,7,7,20,594,280,6,66,22,189,12,2,5,2213,299,17,28,523,12,0,0
BG_MON29,Монтана,44641,17843,67,636,2570,33,14,0,160,75,29,16,3218,20,22,21,35,2055,831,17,323,70,890,43,15,15,4009,672,41,71,1811,64,0,0
BG_PDV26,Родопи,27667,9757,6,432,588,14,2,30,47,40,11,27,1999,12,29,6,13,1102,512,4,88,28,408,15,3,17,2900,454,22,42,885,21,0,0
BG_DOB17,Каварна,12506,3549,19,110,160,7,2,4,19,15,4,9,906,5,4,6,9,458,232,3,21,17,151,8,6,4,704,200,15,21,424,6,0,0
BG_PVN03,Белене,7770,2727,16,137,88,7,2,5,18,6,6,2,585,6,2,5,8,289,140,5,63,8,119,8,2,7,477,98,10,13,590,5,0,0
