gisco_id,name,registered,turnout,invalid,blank,Движение за права и свободи – ДПС,БСДД – Български Съюз за ДИРЕКТНА ДЕМОКРАЦИЯ,БНО,ПП Национално движение Единство,ПП ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,Коалиция Справедлива България,ПРЯКА ДЕМОКРАЦИЯ,НФСБ,Продължаваме Промяната,МИР,КОД /Консервативно Обединение на Десницата/,БТР – БЪЛГАРИЯ НА ТРУДА И РАЗУМА,ПП КОАЛИЦИЯ ЗА ТЕБ БЪЛГАРИЯ,ВЪЗРАЖДАНЕ,БЪЛГАРСКИ ВЪЗХОД,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,ПП ИЗПРАВИ СЕ БЪЛГАРИЯ,ДВИЖЕНИЕ НА НЕПАРТИЙНИТЕ КАНДИДАТИ,ПП ИМА ТАКЪВ НАРОД,ПП ГЛАС НАРОДЕН,ПРАВОТО,НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,ГЕРБ-СДС,"ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България, ДСБ, Зелено движение)",БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ – ЕВРОЛЕВИЦА,АТАКА,БСП ЗА БЪЛГАРИЯ,РУСОФИЛИ ЗА ВЪЗРАЖДАНЕ НА ОТЕЧЕСТВОТО,ИК за издигане на Цветан Христов Атанасов като независим кандидат-Цветан Христов Атанасов,Луна Йорданова Йорданова-Луна Йорданова Йорданова
BG_PAZ14,Лесичово,4150,1595,13,37,389,8,2,3,13,4,2,5,201,3,2,1,2,97,57,2,20,1,49,2,1,0,384,32,6,6,246,7,0,0
BG_SML05,Борино,3189,1642,4,16,1144,7,0,2,0,2,2,0,120,1,0,1,1,17,30,0,1,1,22,0,0,1,121,71,2,1,73,2,0,0
BG_SML16,Мадан,10079,5515,38,141,3304,9,1,6,5,9,6,3,574,4,3,1,5,159,59,3,34,10,153,2,1,1,584,101,8,7,282,2,0,0
BG_PVN27,Пордим,4638,1529,4,42,161,10,0,4,29,5,7,6,188,1,3,5,3,134,46,1,13,7,56,4,3,3,449,25,5,10,300,5,0,0
BG_HKV18,Маджарово,3017,1173,18,12,766,1,0,0,1,3,1,1,87,0,0,1,2,48,10,0,4,0,12,2,0,1,130,17,1,0,55,0,0,0
BG_JAM07,Елхово,12644,3824,32,113,106,9,5,9,13,16,6,3,708,10,8,7,11,354,184,1,36,17,131,8,5,5,1193,131,10,23,655,15,0,0
BG_VRC05,Борован,4318,1933,25,55,906,26,4,2,8,8,4,2,173,6,2,8,4,81,26,4,10,4,45,1,1,5,304,20,4,8,181,6,0,0
BG_SHU07,Венец,10216,3439,3,25,2239,41,4,15,2,7,6,5,123,5,6,7,4,17,14,3,10,4,10,1,5,4,826,8,2,2,40,1,0,0
BG_SLS32,Ситово,4965,1970,11,36,1051,10,2,3,4,4,1,7,171,7,1,3,4,84,23,3,12,0,65,1,0,0,266,20,9,4,168,0,0,0
BG_VRC35,Хайредин,3623,1398,9,22,482,4,0,2,24,6,0,2,160,3,1,2,2,104,62,0,18,2,24,1,0,0,228,40,9,4,180,7,0,0
BG_MON11,Вълчедръм,7106,3060,27,39,1728,8,1,0,6,10,4,2,281,1,1,2,4,150,37,3,38,8,68,3,0,2,317,28,10,8,267,7,0,0
BG_PAZ29,Септември,20996,7865,31,164,2472,32,13,21,88,31,8,10,764,9,13,15,14,595,209,7,46,26,189,8,5,10,2094,152,19,26,778,16,0,0
BG_VAR09,Вълчи дол,7864,2906,43,66,407,18,4,8,24,12,11,7,354,4,6,2,8,258,100,1,59,12,74,3,3,2,1072,49,7,11,275,4,2,0
BG_SFO09,Годеч,4251,1574,10,78,41,2,2,0,2,6,4,4,219,6,4,1,9,137,129,2,55,19,37,0,0,0,621,40,4,5,132,5,0,0
BG_SHU18,Каолиново,16933,5488,2,28,4235,25,8,8,11,19,10,3,185,5,1,4,8,56,18,5,11,1,22,1,1,1,716,26,1,0,77,0,0,0
BG_VID15,Грамада,1360,671,1,8,29,1,0,1,1,0,0,2,132,1,0,0,4,24,17,0,6,2,17,0,3,0,97,220,6,2,95,2,0,0
BG_BGS04,Бургас,182241,71528,57,3090,1214,94,25,79,441,223,106,254,16248,141,154,78,253,8178,5036,33,707,312,2993,175,35,53,19929,5364,135,177,5731,213,0,0
BG_SZR04,Братя Даскалови,5706,2196,25,30,618,9,0,2,6,17,3,6,250,3,1,2,4,163,62,4,6,15,56,4,1,3,454,55,8,8,367,14,0,0
BG_PAZ06,Брацигово,7426,2189,1,64,85,4,2,5,34,17,2,7,421,4,3,5,8,222,54,2,15,6,59,5,2,6,756,51,4,4,333,8,0,0
BG_BLG44,Симитли,12420,7420,12,108,52,9,2,7,35,7,8,7,590,30,5,5,11,234,114,3,9,15,117,4,33,0,5664,105,10,7,213,4,0,0
BG_PVN39,Кнежа,10598,3515,16,137,485,10,3,6,18,2,9,3,623,10,2,3,7,296,135,2,34,14,145,8,3,3,965,68,7,12,475,14,0,0
BG_PVN08,Гулянци,9522,2330,11,73,56,11,4,2,12,7,2,3,345,9,4,2,7,260,94,1,23,11,142,2,0,7,530,74,7,7,617,7,0,0
BG_PVN37,Червен бряг,23865,7301,2,227,1175,32,5,20,45,22,18,9,1217,9,1,9,24,522,354,9,67,16,582,6,7,12,1632,231,22,29,975,22,0,0
BG_RAZ11,Завет,10965,3707,2,67,2190,20,3,6,5,9,2,8,147,3,3,5,3,73,36,2,3,4,30,1,4,11,559,446,9,5,48,3,0,0
BG_MON07,Брусарци,3563,2053,33,28,855,7,1,0,7,4,4,3,188,4,0,3,4,105,14,2,22,6,30,2,1,1,587,9,7,6,118,2,0,0
BG_PDV23,Първомай,21945,6496,12,244,774,23,4,15,28,20,8,22,1035,9,8,6,15,844,435,3,35,28,155,11,4,7,1520,235,18,18,945,15,0,0
BG_SZR12,Казанлък,64670,24278,18,831,2572,48,18,45,171,106,38,43,4339,24,21,41,35,3053,1136,13,193,102,1016,34,10,18,6864,931,56,78,2351,73,0,0
BG_VAR13,Долни чифлик,15782,4716,21,80,776,29,18,14,35,12,8,12,437,9,6,14,13,401,116,4,40,28,85,5,3,14,2040,63,13,16,394,9,1,0
BG_PER51,Трън,3299,1340,28,57,40,3,1,3,10,3,1,0,195,1,1,2,14,94,45,1,12,2,43,4,5,3,509,35,4,11,209,4,0,0
BG_VRC20,Козлодуй,16222,5850,8,343,420,15,2,16,51,30,6,2,788,11,2,12,14,801,572,8,95,24,302,13,5,9,1443,190,14,19,609,26,0,0
BG_HKV32,Тополовград,8451,3113,32,64,207,12,1,8,9,13,9,8,621,5,4,7,10,231,291,4,18,13,137,2,2,10,832,93,8,13,442,7,0,0
BG_LOV33,Тетевен,17181,6654,20,176,1268,31,6,14,73,13,16,8,1011,9,5,14,15,383,108,5,23,17,172,8,5,12,2272,189,19,19,724,19,0,0
BG_PVN11,Долни Дъбник,11658,2888,3,89,407,23,5,8,32,14,4,6,382,6,4,7,14,217,93,3,37,11,101,11,3,6,618,77,11,12,680,4,0,0
BG_VAR05,Бяла,2572,998,6,40,53,1,5,1,5,1,0,2,193,0,3,2,3,196,44,0,7,0,50,1,0,1,279,24,2,6,70,3,0,0
BG_VTR32,Сухиндол,2006,739,14,24,165,1,2,2,3,4,1,1,83,3,2,2,1,43,26,0,2,3,22,2,0,0,154,11,4,6,156,2,0,0
BG_SML18,Неделино,5307,1735,19,14,391,6,3,4,0,2,3,12,218,0,2,2,3,129,90,0,14,2,41,0,4,0,446,110,7,6,206,1,0,0
BG_DOB29,Шабла,3869,1338,12,51,9,3,0,1,9,1,2,2,247,3,2,0,1,176,68,3,9,7,54,3,2,2,345,98,7,7,208,6,0,0
BG_KNL31,Невестино,1609,789,13,19,32,4,1,2,11,1,1,0,128,2,1,0,2,61,61,1,13,3,33,0,1,1,189,16,5,3,184,1,0,0
BG_VAR06,Варна,292489,123961,38,4793,3289,121,43,136,778,395,185,156,28805,215,271,93,217,17006,6411,63,1560,653,5505,369,54,114,33306,10098,144,307,8306,248,276,0
BG_SFO16,Драгоман,4069,1722,24,61,25,0,1,2,95,32,1,0,286,3,1,2,4,107,149,2,14,4,51,1,2,2,623,55,5,8,159,3,0,0
BG_SHU21,Никола Козлево,6934,2509,5,20,538,28,3,10,6,2,2,3,99,5,2,9,4,39,20,6,5,4,19,4,3,16,1503,15,6,6,120,7,0,0
BG_KRZ08,Джебел,22723,5735,8,32,4812,22,1,5,5,1,2,2,119,3,2,2,2,42,13,1,3,4,36,0,0,0,519,15,0,1,82,1,0,0
BG_LOV02,Априлци,2421,1025,5,33,8,0,1,2,6,4,0,2,179,3,0,0,2,123,45,0,4,5,32,0,1,1,376,62,2,6,120,3,0,0
BG_BGS27,Приморско,5266,2202,4,79,95,4,0,12,15,10,4,7,400,19,3,4,7,227,182,1,15,3,76,7,3,3,824,62,3,6,126,1,0,0
BG_RAZ17,Лозница,10280,3950,16,67,2498,19,7,7,6,10,6,5,200,2,4,4,4,126,31,5,6,9,58,3,2,4,544,197,1,8,100,1,0,0
BG_RSE05,Ветово,12211,3677,6,41,2505,17,3,8,27,15,9,6,280,6,6,8,3,144,52,0,14,8,44,2,2,1,249,30,7,7,170,7,0,0
BG_SZR22,Мъглиж,9561,2679,8,60,726,19,9,7,8,15,10,8,547,5,4,3,8,175,71,6,24,3,67,2,3,4,577,61,5,9,230,5,0,0
BG_MON14,Георги Дамяново,1845,1108,27,27,53,4,0,0,4,0,0,0,207,1,0,2,2,74,53,2,13,6,23,2,1,1,374,49,4,2,170,7,0,0
BG_SFO34,Правец,6110,2633,35,101,242,15,2,14,5,22,6,6,421,15,6,6,9,193,98,2,25,10,85,6,10,3,630,94,9,6,546,11,0,0
BG_VID30,Ново село,2074,1007,22,19,62,4,1,2,3,5,1,1,114,2,1,0,1,88,59,1,10,5,51,1,0,0,292,116,5,3,132,6,0,0
BG_SZR36,Чирпан,16796,5768,24,127,1250,10,4,6,63,34,12,7,794,8,9,5,15,603,199,7,34,25,155,9,1,4,1407,196,10,23,707,20,0,0
BG_BGS08,Камено,9844,2683,31,107,165,10,0,12,10,8,10,22,409,4,5,8,15,317,94,1,20,4,106,4,2,1,876,66,6,9,358,3,0,0
BG_BLG40,Сандански,34663,12910,25,356,236,26,12,24,2005,53,23,9,2554,14,7,11,29,1058,681,7,87,36,377,21,10,0,3332,563,27,33,1284,10,0,0
BG_SHU22,Нови пазар,16515,4871,23,114,1314,25,4,13,27,18,7,4,572,6,11,9,10,376,109,7,26,13,157,4,0,9,901,136,11,15,943,7,0,0
BG_VRC28,Мизия,5558,1679,8,84,65,6,1,1,34,9,4,5,325,8,0,7,5,163,76,2,17,5,65,1,1,2,430,33,4,7,307,4,0,0
BG_SLS15,Кайнарджа,4269,1407,11,17,301,11,2,2,7,1,2,1,87,3,6,3,5,51,17,4,3,0,28,1,1,1,713,14,3,2,110,0,0,0
BG_VID25,Макреш,998,539,12,8,36,1,0,0,5,0,1,0,78,0,0,0,1,26,20,0,1,1,15,1,0,0,131,31,4,3,162,2,0,0
BG_GAB12,Дряново,7477,2849,21,82,118,9,6,4,27,13,3,4,531,2,5,4,7,289,93,0,34,15,114,5,3,3,567,107,7,8,752,16,0,0
BG_VTR06,Горна Оряховица,39638,13844,33,595,889,42,8,25,221,52,23,15,2407,36,14,14,25,1704,673,9,97,60,574,64,5,23,3318,702,67,46,2063,40,0,0
BG_VID37,Чупрене,1356,635,33,21,112,0,0,2,0,0,2,0,80,1,1,1,1,37,17,0,4,2,8,0,1,0,182,38,1,3,85,3,0,0
BG_SHU19,Каспичан,6722,1948,29,65,138,7,1,4,15,20,2,3,290,3,2,2,5,187,62,3,13,1,75,2,5,5,614,34,7,4,345,5,0,0
BG_VTR26,Полски Тръмбеш,11288,3629,13,103,869,20,4,10,27,16,2,4,481,7,2,5,5,297,86,2,68,10,141,2,5,1,715,69,12,17,626,10,0,0
BG_MON12,Вършец,6275,2700,22,54,555,7,1,0,11,10,6,1,465,16,0,3,5,161,49,4,34,4,68,4,2,1,787,89,9,8,313,11,0,0
BG_BGS21,Созопол,10860,4615,18,151,107,25,7,15,27,24,8,12,629,17,12,6,11,439,398,4,33,15,117,6,2,7,1102,178,32,10,1185,18,0,0
BG_KNL50,Трекляно,441,343,10,10,10,1,0,0,6,0,0,2,34,1,0,0,0,13,7,0,5,0,9,0,0,0,72,8,4,1,150,0,0,0
BG_VRC31,Оряхово,8984,2880,10,102,493,13,3,8,40,9,5,13,393,2,2,4,10,206,121,4,26,9,73,1,3,4,820,70,11,14,400,11,0,0
BG_BLG28,Кресна,4418,2182,5,32,2,5,1,3,18,2,2,2,183,0,3,0,7,75,43,3,3,4,29,8,1,0,574,63,9,2,1101,2,0,0
BG_HKV28,Свиленград,18625,7685,49,237,110,23,12,26,41,30,17,9,1863,9,8,15,31,696,1242,1,56,29,282,8,8,9,1732,263,15,16,824,24,0,0
BG_VID22,Кула,3402,1255,15,52,65,2,0,2,62,3,2,0,201,1,2,1,1,66,26,0,9,9,84,3,0,0,475,64,2,3,102,3,0,0
BG_LOV36,Угърчин,4788,1596,16,33,94,7,1,5,4,11,3,3,229,5,2,2,8,81,37,4,10,2,50,1,2,4,692,40,8,2,233,7,0,0
BG_TGV23,Опака,5704,2357,13,29,1731,15,2,7,8,5,2,2,86,1,2,1,1,51,37,2,6,5,39,1,0,2,189,17,3,0,100,0,0,0
BG_PDV33,Съединение,7925,2596,21,91,17,6,5,5,19,13,6,6,495,8,1,3,7,293,126,2,43,11,101,6,2,8,805,61,7,13,410,5,0,0
BG_BLG49,Струмяни,4081,1247,24,23,22,0,1,2,49,1,2,1,181,3,3,2,0,67,81,0,6,5,54,1,1,0,421,48,7,5,235,2,0,0
BG_VTR14,Златарица,3515,1287,11,22,412,4,4,2,123,2,1,1,140,0,0,1,3,68,77,3,5,2,37,1,0,2,195,30,1,3,134,3,0,0
BG_LOV17,Летница,4078,996,8,17,155,6,0,0,2,2,5,3,162,4,2,1,0,52,58,2,5,2,42,0,0,1,238,10,6,3,203,7,0,0
BG_SZR37,Гурково,4192,1549,3,20,643,13,5,0,8,13,2,3,173,1,3,2,9,130,20,12,8,1,44,3,2,2,187,43,5,2,190,2,0,0
BG_PDV42,Куклен,6244,2190,10,68,611,10,2,4,6,5,2,10,297,5,4,3,6,155,91,3,9,18,36,2,1,2,463,93,3,5,264,2,0,0
BG_SFO25,Костенец,10149,3897,6,192,12,6,3,5,26,10,8,3,584,11,4,0,6,383,423,4,30,23,112,8,2,7,1481,170,11,16,342,9,0,0
BG_VAR14,Девня,7665,2812,7,64,46,6,4,8,14,4,8,11,329,2,5,4,3,234,101,4,56,8,91,2,2,16,1562,39,7,6,167,2,1,0
BG_VTR20,Лясковец,10850,3661,0,166,159,12,2,7,54,10,4,8,664,9,4,6,11,497,161,1,37,18,159,16,0,3,959,145,9,9,521,10,0,0
BG_MON24,Лом,23841,8667,51,224,2177,32,5,0,27,25,10,7,1134,9,10,12,20,613,237,15,61,21,228,18,6,9,2826,216,16,30,609,19,0,0
BG_SFO59,Долна баня,3782,2067,10,60,6,7,2,8,8,6,2,5,224,5,6,5,8,107,89,2,15,4,41,4,3,3,1287,43,5,4,90,8,0,0
BG_VRC32,Роман,4655,1939,29,50,431,9,4,7,33,3,2,3,238,3,1,1,6,140,95,2,16,2,57,2,0,2,483,76,2,12,227,3,0,0
BG_PVN23,Искър,5743,1497,7,40,255,16,0,7,23,9,2,2,185,2,3,7,6,113,28,2,23,4,93,5,1,3,247,26,9,7,367,5,0,0
BG_MON38,Якимово,3066,1121,18,18,501,7,0,0,2,3,0,0,111,0,0,1,1,49,13,2,14,12,34,1,0,1,203,10,2,0,118,0,0,0
BG_PAZ24,Ракитово,12772,4042,0,81,1931,34,7,11,19,9,8,9,299,15,5,6,8,222,110,8,16,15,90,4,2,6,610,54,5,6,447,5,0,0
BG_SHU23,Велики Преслав,12293,3240,16,110,479,12,5,7,17,14,7,8,642,5,2,7,6,281,108,7,17,13,135,1,1,7,855,95,7,7,363,6,0,0
BG_HKV29,Симеоновград,6764,2284,18,43,75,7,2,4,4,9,0,3,242,10,2,6,5,176,134,4,5,8,55,1,10,7,1135,63,8,6,235,7,0,0
BG_SFO55,Пирдоп,6503,2432,0,139,195,5,0,3,24,7,4,4,447,11,2,4,6,279,134,3,13,3,107,7,1,2,682,122,6,13,204,5,0,0
BG_PER22,Ковачевци,1119,701,30,16,15,1,0,2,3,1,0,0,95,0,4,2,3,41,34,1,11,0,31,0,0,0,195,25,8,4,177,2,0,0
BG_SZR38,Николаево,3707,1211,2,15,529,14,1,3,6,13,5,4,116,2,1,2,0,62,29,0,4,3,31,0,0,0,210,19,4,0,132,4,0,0
BG_RAZ36,Цар Калоян,6066,1879,2,40,1294,14,2,0,4,1,3,2,144,1,2,0,3,35,29,3,9,5,19,0,0,1,155,37,2,1,68,3,0,0
BG_SFO47,Златица,4693,1623,4,79,19,2,0,2,11,7,4,3,307,4,0,2,2,209,110,0,26,4,75,2,2,0,501,60,2,13,173,0,0,0
BG_PDV41,Стамболийски,17674,5228,0,181,17,19,5,12,27,41,8,9,981,11,7,10,14,617,175,4,58,30,216,11,1,15,1876,213,21,18,610,21,0,0
BG_PAZ21,Пещера,18339,4794,0,151,536,7,1,7,180,14,7,9,825,4,5,1,13,419,196,6,44,31,151,7,1,10,1090,138,23,16,879,23,0,0
BG_SFO24,Копривщица,1820,780,0,35,27,3,0,1,16,4,6,7,194,2,2,1,5,84,44,0,12,4,16,3,2,2,174,44,1,5,82,4,0,0
BG_PDV39,Кричим,7123,1780,0,78,247,3,4,6,5,5,8,7,330,2,2,0,5,188,82,3,9,6,64,3,1,2,483,52,4,4,163,14,0,0
BG_PAZ39,Сърница,4215,2342,0,17,1964,6,1,2,0,1,0,1,67,1,0,0,1,6,7,1,2,4,7,0,0,3,125,10,1,0,115,0,0,0
BG_KNL41,Сапарева баня,6206,2397,1,93,78,7,1,7,7,11,7,4,359,6,10,1,9,272,134,2,64,12,96,5,4,3,946,57,4,6,184,7,0,0
BG_KNL38,Рила,2365,858,10,41,65,1,2,0,6,2,2,3,129,1,2,2,4,47,82,0,9,2,26,0,0,2,269,34,2,6,109,0,0,0
BG_PDV40,Перущица,4084,1216,0,42,87,2,0,2,4,3,1,6,247,0,0,2,6,125,37,2,13,1,28,1,0,1,385,103,2,3,109,4,0,0
BG_PDV22,Пловдив,298158,119289,66,5040,3452,181,76,188,901,515,178,181,29597,166,274,91,200,13053,7317,88,985,582,5304,343,86,110,29939,10042,232,349,9461,292,0,0
BG_DOB28,Добрич,81359,25873,16,1056,922,42,9,52,213,78,50,57,5802,69,41,23,57,3649,1453,12,316,117,1123,104,11,21,5821,1538,64,85,3016,56,0,0
BG_SFO57,Чавдар,1000,364,0,23,13,0,1,1,0,0,0,1,66,3,1,0,1,41,13,0,1,3,9,0,0,0,84,13,3,5,81,1,0,0
BG_SFO58,Челопеч,1248,574,2,16,27,1,1,1,1,0,0,1,90,2,0,0,0,49,70,1,6,2,23,1,1,1,190,12,2,5,68,1,0,0
BG_JAM26,Ямбол,64554,20211,25,781,456,31,6,18,102,77,54,32,4455,43,39,22,43,2806,1226,10,205,84,972,27,19,13,4902,875,42,144,2639,63,0,0
BG_BGZZAU,Australia,157,388,3,6,0,0,0,0,0,2,0,0,110,0,1,0,0,117,12,1,1,1,12,0,1,1,33,76,0,0,11,0,0,0
BG_BGZZAT,Austria,751,4780,11,179,85,5,6,7,12,23,11,3,1637,5,13,5,7,712,136,1,35,25,235,9,3,7,591,852,5,8,139,13,0,0
BG_BGZZAZ,Azerbaijan,13,23,1,1,0,0,0,0,0,0,0,2,5,1,0,0,0,3,1,0,1,1,0,0,0,0,3,3,0,0,1,0,0,0
BG_BGZZAL,Albania,245,324,10,4,6,3,2,3,44,0,0,2,21,0,0,0,0,5,16,0,0,0,8,0,1,3,107,11,0,0,76,2,0,0
BG_BGZZDZ,Algeria,10,34,4,2,4,0,0,0,0,0,0,0,4,0,1,0,0,3,2,0,0,0,0,0,0,0,7,2,0,0,5,0,0,0
BG_BGZZAM,Armenia,11,23,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,6,0,1,0,0,0,0,0,5,4,0,0,2,0,0,0
BG_BGZZBY,Belarus,12,26,1,1,0,0,0,0,0,1,0,0,7,0,1,0,0,6,0,0,0,0,0,0,0,0,4,3,0,0,2,0,0,0
BG_BGZZBE,Belgium,417,3829,25,79,304,6,1,8,17,10,6,3,1167,3,7,3,5,584,86,2,27,11,177,13,2,4,376,750,6,21,113,13,0,0
BG_BGZZBA,Bosnia and Herzegovina,70,111,2,4,1,0,0,0,1,0,0,1,22,0,1,0,0,14,20,1,2,0,9,0,0,0,18,8,0,0,7,0,0,0
BG_BGZZBR,Brazil,47,30,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,3,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0
BG_BGZZDE,Germany,3777,22232,153,655,749,26,7,39,71,91,32,13,6814,29,22,11,35,4672,614,9,165,83,1498,47,9,52,2427,3160,21,47,593,82,0,0
BG_BGZZGE,Georgia,15,32,0,2,0,0,0,0,0,0,0,0,12,0,1,0,0,2,3,0,0,0,1,0,0,0,2,8,0,0,1,0,0,0
BG_BGZZGR,Greece,735,3646,70,100,19,7,2,9,16,19,7,2,954,11,8,6,9,698,143,0,28,22,188,5,3,8,689,409,1,10,181,22,0,0
BG_BGZZDK,Denmark,355,1785,27,79,29,2,1,0,3,7,7,0,735,1,3,0,2,263,46,1,14,5,118,10,0,3,137,244,1,1,43,3,0,0
BG_BGZZEG,Egypt,3,49,0,2,0,0,0,0,1,0,0,0,12,0,0,0,0,5,8,0,1,0,2,0,0,0,4,11,0,0,3,0,0,0
BG_BGZZIL,Israel,41,171,6,2,0,0,0,1,0,0,0,0,55,0,1,0,0,26,3,0,2,2,3,0,0,0,34,30,0,0,6,0,0,0
BG_BGZZIR,Iran,4,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,5,6,0,0,3,0,0,0
BG_BGZZIE,Ireland,290,900,8,24,2,0,0,0,3,3,0,0,291,0,0,0,2,182,22,0,7,5,82,5,0,1,78,147,0,4,30,4,0,0
BG_BGZZIS,Iceland,42,108,2,7,2,0,0,0,1,0,0,0,30,2,0,0,0,17,3,0,3,0,15,1,0,0,9,11,0,0,4,1,0,0
BG_BGZZES,Spain,2049,12214,187,411,209,12,2,16,42,92,22,7,2752,19,14,4,30,3353,353,7,107,68,1110,26,2,26,2078,752,15,42,381,74,0,0
BG_BGZZIT,Italy,1044,3764,61,104,35,3,0,7,20,25,9,1,942,7,10,7,10,943,112,3,40,31,228,7,3,9,493,461,0,9,168,16,0,0
BG_BGZZJO,Jordan,12,35,0,3,0,0,0,0,0,0,0,0,3,1,0,0,0,9,6,0,0,1,0,0,0,0,4,6,0,0,1,1,0,0
BG_BGZZCA,Canada,646,2998,45,32,6,3,1,3,10,14,8,2,968,1,2,0,2,922,52,1,10,2,133,4,1,1,320,386,2,3,56,8,0,0
BG_BGZZQA,Qatar,12,78,3,1,0,0,0,0,0,0,1,0,20,0,2,0,1,13,4,0,2,0,2,0,1,0,11,17,0,0,0,0,0,0
BG_BGZZCY,Cyprus,254,1863,3,47,19,2,0,2,6,13,5,2,426,0,3,0,7,542,60,1,16,7,129,3,1,13,382,97,4,1,64,8,0,0
BG_BGZZCN,China,33,62,0,3,0,0,0,0,0,0,0,0,24,0,0,0,0,4,4,0,1,0,3,0,0,0,9,10,0,0,4,0,0,0
BG_BGZZXK,Kosovo,30,62,0,5,0,0,0,0,1,1,2,0,12,0,0,0,1,7,12,0,1,0,1,0,0,0,7,11,0,0,1,0,0,0
BG_BGZZKW,Kuwait,35,89,5,1,4,0,0,2,0,1,0,0,25,0,1,0,0,13,2,0,0,1,3,0,0,0,14,15,0,0,2,0,0,0
BG_BGZZLB,Lebanon,17,37,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,5,2,0,0,0,0,0,0,0,13,6,0,0,3,0,0,0
BG_BGZZLU,Luxembourg,160,783,0,15,4,0,0,1,3,1,1,0,290,2,2,0,2,62,16,1,9,2,18,1,0,0,79,249,2,1,22,0,0,0
BG_BGZZMT,Malta,93,600,8,19,2,0,0,0,3,1,2,0,175,0,0,0,1,114,14,0,6,1,54,0,0,0,98,77,0,5,17,3,0,0
BG_BGZZMA,Morocco,6,36,1,4,0,0,0,0,1,0,1,0,11,0,0,0,0,3,1,0,0,0,0,0,0,0,8,5,0,0,1,0,0,0
BG_BGZZMD,Moldova,156,972,125,5,266,1,1,1,6,3,1,2,26,1,0,0,2,333,6,2,3,3,9,1,0,0,52,14,1,3,92,13,0,0
BG_BGZZNL,Netherlands,1286,6481,47,304,298,5,2,12,31,17,6,3,2474,5,8,3,20,735,120,2,53,16,291,18,5,4,541,1321,4,5,123,8,0,0
BG_BGZZNZ,New Zealand,67,120,0,7,0,0,0,0,0,2,0,0,44,4,0,0,0,21,3,0,0,0,6,0,0,0,16,13,0,0,3,1,0,0
BG_BGZZNO,Norway,528,1037,21,52,10,0,0,0,2,6,3,0,302,4,3,1,1,243,38,1,2,9,78,4,0,2,101,123,0,1,27,3,0,0
BG_BGZZAE,United Arab Emirates,68,379,2,10,2,1,0,0,2,0,0,0,154,0,0,0,0,49,9,0,2,2,5,1,0,0,55,73,0,1,11,0,0,0
BG_BGZZGB,United Kingdom,5322,26785,270,1128,325,31,6,51,88,112,32,14,8404,45,29,14,42,5770,723,8,244,142,2523,94,14,28,2589,3254,31,37,655,82,0,0
BG_BGZZPL,Poland,76,315,5,7,4,0,0,0,3,1,1,0,126,0,0,0,2,25,9,0,1,2,18,3,0,0,29,72,1,1,4,1,0,0
BG_BGZZPT,Portugal,120,430,1,12,5,0,0,0,0,0,1,0,141,0,0,0,2,74,17,0,2,0,35,0,0,0,52,75,1,0,11,1,0,0
BG_BGZZKR,South Korea,16,38,0,3,0,0,0,0,0,0,0,0,12,0,0,0,0,1,1,0,0,0,3,0,0,0,2,15,0,0,1,0,0,0
BG_BGZZMK,North Macedonia,179,461,15,14,8,4,2,1,91,1,1,0,69,2,0,0,3,30,15,0,2,1,22,2,2,0,127,38,0,0,9,2,0,0
BG_BGZZZA,South Africa,94,315,3,4,4,0,0,1,1,2,1,0,55,0,0,0,2,155,3,1,0,2,8,0,0,0,36,26,0,1,10,0,0,0
BG_BGZZRO,Romania,51,235,5,10,1,0,0,0,1,1,1,0,88,0,0,0,0,24,7,0,4,0,4,2,0,0,30,48,0,0,9,0,0,0
BG_BGZZRU,Russia,88,334,12,9,4,2,0,0,0,2,0,0,29,4,0,0,0,160,13,0,4,1,10,0,0,0,15,13,1,1,33,21,0,0
BG_BGZZSA,Saudi Arabia,3,21,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,2,1,1,0,1,0,0,0,0,6,4,0,0,0,0,0,0
BG_BGZZUS,United States,2265,10308,100,155,11,6,1,18,36,32,8,10,4512,5,19,3,11,1841,226,2,33,25,485,19,0,8,984,1516,4,5,225,8,0,0
BG_BGZZSG,Singapore,85,134,0,2,0,0,0,0,0,0,0,0,60,0,0,0,0,12,0,0,2,0,1,0,0,0,11,43,0,0,3,0,0,0
BG_BGZZSK,Slovakia,51,222,6,5,0,0,0,1,1,0,0,0,89,0,0,0,0,27,4,0,1,1,7,2,0,0,16,56,0,0,6,0,0,0
BG_BGZZSI,Slovenia,30,147,0,3,0,0,0,0,0,1,0,0,48,0,0,0,0,25,3,0,0,1,2,0,1,0,16,40,0,0,7,0,0,0
