gisco_id,name,registered,turnout,invalid,blank,ПП ИМА ТАКЪВ НАРОД,ПП ГЛАС НАРОДЕН,СИНЯ БЪЛГАРИЯ,"НИЕ ГРАЖДАНИТЕ /БЪЛГАРСКАТА ПРОЛЕТ, КОЙ, БРСП, НАЦИЯ/",ПОЛИТИЧЕСКА ПАРТИЯ БЪЛГАРСКИ ГЛАСЪ,КОАЛИЦИЯ НА РОЗАТА,ЦЕНТЪР,СОЛИДАРНА БЪЛГАРИЯ,ЕДИНЕНИЕ,БНО,ВЪЗРАЖДАНЕ,ПП МЕЧ,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,БЪЛГАРСКИ ВЪЗХОД,КП ГРАЖДАНСКИ БЛОК (ГБ),ПП ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,ЛЕВИЦАТА!,Партия на ЗЕЛЕНИТЕ,НИЕ ИДВАМЕ,ГЕРБ-СДС,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,БСП за БЪЛГАРИЯ,ПП ВЕЛИЧИЕ,ПП ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,ПРЯКА ДЕМОКРАЦИЯ,Движение за права и свободи – ДПС,ЗЕЛЕНО ДВИЖЕНИЕ,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД – БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ,КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (РУСОФИЛИ И КОМУНИСТИ)
BG_SML38,Чепеларе,5628,2039,52,44,91,4,20,4,0,2,27,30,2,0,233,37,212,3,9,1,1,24,2,9,605,5,151,125,5,2,336,0,2,0,1
BG_VRC27,Мездра,16485,6143,221,165,250,15,39,13,16,6,46,48,17,2,707,198,347,8,67,3,1,115,14,4,1905,10,937,171,42,3,750,12,4,1,6
BG_SFO20,Ихтиман,13434,5055,249,110,196,23,39,9,3,13,45,38,8,2,512,167,298,5,12,1,14,15,13,14,1900,6,217,97,38,8,976,16,6,0,5
BG_HKV09,Димитровград,45883,13415,387,368,789,40,100,51,12,11,101,194,26,10,2606,536,1527,18,99,24,22,30,35,33,3620,16,930,619,66,17,983,33,18,80,14
BG_SFO07,Ботевград,27574,8029,181,270,688,29,111,11,19,12,105,130,14,4,1210,288,825,14,103,9,12,42,30,10,2227,8,727,383,44,14,463,29,10,2,5
BG_RSE13,Иваново,7140,2489,90,77,142,15,23,6,3,4,20,16,4,1,311,61,207,8,10,2,1,12,9,8,796,4,320,91,11,4,205,4,20,1,3
BG_SFO06,Божурище,6824,3739,88,314,271,28,59,6,10,1,70,49,10,0,541,134,459,5,37,6,3,20,24,10,881,5,224,181,30,13,189,59,5,1,6
BG_SHU10,Върбица,10878,3953,79,18,38,2,3,2,0,3,2,0,3,4,49,15,24,1,3,0,18,1,0,4,226,2,84,16,2,4,3343,3,2,2,0
BG_SLS10,Дулово,27830,9574,306,142,107,9,4,5,2,7,15,27,6,1,306,90,178,2,8,10,9,2,10,9,2415,7,192,79,7,18,5571,10,6,7,7
BG_SFO18,Етрополе,9922,4181,153,98,201,19,17,6,9,6,34,40,21,0,440,141,275,2,17,0,5,15,9,6,641,3,634,166,30,12,1171,3,3,1,3
BG_VID03,Бойница,699,382,15,5,12,2,1,0,0,0,0,5,0,0,27,4,42,0,2,1,0,9,1,0,208,0,33,1,0,0,12,2,0,0,0
BG_JAM03,Болярово,2545,1415,92,34,40,3,1,6,7,3,5,11,1,1,135,27,67,0,8,3,0,0,4,2,169,7,693,23,5,2,61,1,0,2,2
BG_SML27,Рудозем,8274,4258,125,126,183,12,4,2,3,2,17,15,6,0,158,61,304,8,7,2,4,7,3,6,555,4,117,38,50,3,2426,6,2,0,2
BG_PAZ14,Лесичово,3918,1504,71,27,70,3,1,3,2,1,18,14,0,2,195,58,72,2,2,2,4,5,3,2,374,1,174,30,23,4,335,1,1,0,4
BG_SML05,Борино,3111,1586,41,21,15,1,1,0,2,0,0,4,15,0,31,11,64,1,0,1,3,3,0,3,124,0,63,10,0,2,1166,2,0,0,2
BG_SML16,Мадан,10073,5254,130,149,122,13,15,5,3,1,16,15,2,3,170,57,174,5,1,6,9,4,15,7,547,2,191,63,5,7,3471,36,8,1,1
BG_PVN27,Пордим,4533,1434,92,39,75,3,4,4,4,1,7,11,4,0,160,34,65,3,1,0,2,60,3,2,407,2,147,47,47,0,205,3,0,0,2
BG_HKV18,Маджарово,2990,1177,30,11,11,2,1,0,1,0,1,1,1,1,61,3,40,1,2,0,2,0,0,2,101,0,45,11,1,4,840,4,0,0,0
BG_JAM07,Елхово,12282,3338,142,69,174,6,38,6,4,4,47,32,4,2,539,116,305,11,34,6,3,8,8,8,751,5,742,114,27,5,118,3,4,0,3
BG_VRC05,Борован,4318,2246,116,29,47,5,7,0,13,2,8,9,2,1,136,34,51,2,27,1,2,3,3,2,942,3,114,25,12,0,649,1,0,0,0
BG_SHU07,Венец,10269,3270,192,36,9,4,1,3,2,0,3,7,3,2,29,18,76,3,2,3,6,3,1,0,551,2,33,8,4,4,2258,3,1,1,2
BG_SLS32,Ситово,4902,1801,64,23,36,2,2,2,1,0,4,6,5,0,102,41,72,3,4,4,9,3,2,0,196,3,110,33,5,4,1059,2,2,1,1
BG_VRC35,Хайредин,3422,1430,44,24,40,5,13,5,4,1,12,12,3,2,121,33,78,1,4,0,2,8,4,2,249,0,108,27,12,2,612,0,1,1,0
BG_MON11,Вълчедръм,6921,2993,116,39,76,6,14,6,1,0,16,19,1,0,184,62,89,3,10,3,7,13,1,6,674,7,160,31,9,6,1420,3,5,0,6
BG_PAZ29,Септември,20344,7701,361,147,211,15,34,12,5,26,126,46,8,2,779,302,358,9,23,5,17,12,13,6,1813,11,576,155,43,12,2550,13,5,1,5
BG_VAR09,Вълчи дол,7909,3252,282,60,89,13,7,2,1,2,11,24,0,3,322,74,124,8,4,0,2,92,11,10,1498,9,206,182,11,2,195,1,1,2,4
BG_SFO09,Годеч,4135,1462,56,62,63,3,12,1,1,1,25,19,4,0,151,31,96,0,4,2,2,10,10,3,652,0,109,40,16,5,77,1,3,0,3
BG_SHU18,Каолиново,16930,5374,134,34,31,6,3,2,0,1,1,8,2,0,61,23,207,2,4,2,18,1,3,3,544,4,76,7,0,4,4184,7,0,0,2
BG_VID15,Грамада,1314,697,27,17,30,2,5,1,2,1,1,6,2,0,40,17,301,1,0,2,0,9,2,1,87,1,60,10,2,0,69,1,0,0,0
BG_BGS04,Бургас,183252,58320,777,2024,4636,143,1649,140,38,46,494,1224,303,16,9365,1775,8915,79,914,112,104,395,132,162,15278,55,3498,3850,519,160,892,439,59,33,94
BG_SZR04,Братя Даскалови,5589,2317,111,28,57,7,10,7,3,3,6,11,1,3,221,43,105,3,7,2,3,9,6,4,463,3,354,33,2,4,799,5,0,1,3
BG_PAZ06,Брацигово,7270,2021,74,38,70,5,12,3,5,4,38,22,4,2,266,71,154,0,8,41,4,11,3,6,768,7,193,70,36,4,79,18,2,3,0
BG_BLG44,Симитли,12243,7348,288,105,143,16,11,2,16,0,522,18,3,0,239,71,160,3,8,5,1,12,13,11,5336,3,114,44,33,2,164,4,0,0,1
BG_PVN39,Кнежа,11101,4219,282,121,186,29,23,7,2,2,35,25,5,0,385,168,212,1,12,1,4,7,11,7,1816,6,200,84,8,3,564,7,1,2,3
BG_PVN08,Гулянци,9207,2473,109,57,147,10,11,4,3,4,253,17,2,0,323,79,160,1,13,0,2,20,5,2,536,3,231,116,23,4,330,4,2,1,1
BG_PVN37,Червен бряг,24018,6440,247,160,431,21,45,13,0,11,84,65,10,1,742,221,439,9,49,14,14,87,11,11,1606,5,498,159,44,13,1405,9,5,2,9
BG_RAZ11,Завет,10718,3460,122,70,30,3,3,1,0,1,7,2,4,1,75,60,345,6,1,3,6,0,5,6,522,1,52,21,5,10,2088,8,1,0,1
BG_MON07,Брусарци,3642,1839,115,32,40,4,7,1,2,1,7,21,1,0,130,53,55,2,12,2,1,10,1,4,726,7,67,19,5,2,503,3,1,0,5
BG_PDV23,Първомай,22096,5336,149,137,292,14,113,7,5,6,62,48,10,1,1018,244,519,8,67,4,8,44,14,7,1032,13,623,260,24,14,581,5,2,1,4
BG_SZR12,Казанлък,64069,20198,525,566,1377,61,182,56,30,31,206,217,41,1,3567,557,1908,29,91,17,13,82,55,36,4560,14,1441,1342,162,45,2892,46,20,7,21
BG_VAR13,Долни чифлик,15896,5281,360,69,129,15,10,8,5,4,21,54,6,3,423,143,248,7,11,0,13,139,20,4,2599,6,260,122,14,10,572,1,3,1,1
BG_PER51,Трън,3153,1278,63,39,145,6,8,3,0,1,6,15,0,0,122,42,77,3,6,2,3,6,4,1,509,3,128,25,8,7,33,6,4,2,1
BG_VRC20,Козлодуй,16017,5701,187,189,312,24,269,14,9,4,52,160,22,1,889,363,293,7,24,1,9,20,15,15,1450,3,312,239,33,13,744,11,2,2,13
BG_HKV32,Тополовград,8261,3203,172,54,708,19,19,3,2,3,11,28,9,2,341,94,183,6,6,3,5,7,1,15,764,2,258,94,17,4,362,7,3,1,0
BG_LOV33,Тетевен,16867,6578,234,110,274,14,23,8,5,10,35,45,8,2,496,152,409,8,11,1,6,178,15,17,2275,8,457,100,100,5,1552,12,2,2,4
BG_PVN11,Долни Дъбник,11625,2361,79,66,193,11,18,6,1,1,17,38,5,1,317,78,145,6,13,1,1,15,0,3,437,4,434,84,47,3,321,8,2,0,6
BG_VAR05,Бяла,2552,910,54,27,48,0,3,2,0,0,2,7,0,0,193,23,152,4,5,0,0,22,1,4,216,0,38,51,4,2,49,1,0,0,2
BG_VTR32,Сухиндол,1927,652,24,15,33,4,1,5,0,0,6,2,0,0,61,24,24,0,1,0,0,2,1,2,104,0,149,21,6,2,162,2,0,0,1
BG_SML18,Неделино,5139,1612,77,20,37,4,8,0,1,2,2,3,3,0,166,21,288,5,4,0,2,2,5,2,362,3,125,18,2,0,449,0,1,0,0
BG_DOB29,Шабла,3730,1235,25,38,92,0,4,2,0,2,6,8,1,0,260,59,135,1,9,0,0,8,6,3,351,0,137,51,10,2,20,1,0,1,3
BG_KNL31,Невестино,1540,668,25,12,39,2,4,1,1,1,4,10,1,1,109,10,50,2,6,0,0,1,2,1,147,3,130,12,25,1,67,1,0,0,0
BG_VAR06,Варна,294075,104398,1692,3281,8279,299,1347,224,131,86,809,1539,268,33,18648,2649,18069,80,596,94,55,2277,264,381,26075,66,5649,6439,983,315,3194,377,49,28,115
BG_SFO16,Драгоман,3973,1609,45,53,70,7,6,12,3,0,16,33,1,0,175,57,108,3,4,1,1,8,4,9,682,1,111,49,103,1,34,4,6,1,1
BG_SHU21,Никола Козлево,6622,2722,157,17,13,3,2,4,1,1,1,2,2,2,56,20,235,10,4,1,8,1,4,2,366,0,116,8,2,8,1671,1,0,3,1
