gisco_id,name,registered,turnout,invalid,blank,"ПП ""Нова Алтернатива""","ПП ""Демократическа Партия""","ПП ""Национален Фронт за Спасение на България""","КП ""Коалиция за България""","КП ""Център - Свобода и Достойнство""","ПП ""Национал-Демократична Партия""","КП ""Гражданска Листа - Модерна България""","КП ""Съюз на Демократичните Сили""","ПП ""Либерален Алианс""","ПП ""Християн-Социален Съюз""","ПП ""Атака""","ПП ""ГЕРБ""","ПП ""Ред, Законност и Справедливост""","ПП ""ВМРО - Българско Национално Движение""","ПП ""Демократична Гражданска Инициатива""","ПП ""Християндемократическа Партия на България""","ПП ""Средна Европейска Класа""","ПП ""Национално Патриотично Обединение""","ПП ""Лидер""","ПП ""Зелените""","КП ""Демократи за Силна България и Български Демократически Форум (ДСБ, БДФ)""","ПП ""Социалдемократическа Партия""","ПП ""Другата България""","ПП ""Българската Левица""","ПП ""Кауза България""","ПП ""Движение България на Гражданите""","ПП ""Демократична Алтернатива за Национално Обединение""","КП ""Българска Пролет""","КП ""Горда България""","ПП ""Глас Народен""","ПП ""Български Земеделски Народен Съюз""","ПП ""Движение за Права и Свободи""","ПП ""Национално Движение Единство""","ПП ""Партия на Българските Жени""","ПП ""Единна Народна Партия""","ПП ""Съюз на Комунистите в България""",Инициативен Комитет Жоро Петров НиЧев
BG_BGZZKW,Kuwait,41,125,1,0,1,1,1,13,0,0,3,3,0,1,5,44,2,2,1,0,0,0,0,0,20,1,0,1,0,17,1,0,1,0,0,3,0,3,0,0,0
BG_BGZZLB,Lebanon,53,109,1,0,1,1,1,28,0,0,1,1,0,0,8,47,0,0,0,0,0,0,2,0,4,2,1,0,0,5,0,0,1,0,0,4,0,0,0,1,0
BG_BGZZLU,Luxembourg,187,364,5,0,1,0,1,63,2,0,1,11,0,0,4,121,2,1,1,0,0,0,0,32,60,0,2,1,0,42,1,0,3,8,1,1,0,0,0,0,0
BG_00607,Ардино,21053,7713,278,0,11,4,80,667,437,2,14,27,2,0,37,903,35,403,0,5,1,4,26,11,20,1,3,4,0,44,4,0,6,13,7,4616,0,13,23,12,0
BG_BGZZMT,Malta,200,332,0,0,1,1,6,26,1,0,3,6,0,0,37,202,4,10,0,0,0,0,0,1,3,0,1,0,0,13,0,2,1,8,0,2,0,3,1,0,0
BG_BGZZMA,Morocco,34,76,2,0,0,1,4,9,0,0,0,4,0,0,5,31,2,1,0,0,0,0,0,1,8,0,0,0,0,4,0,0,0,0,0,2,0,1,0,1,0
BG_BGZZMD,Moldova,27,182,11,0,1,1,0,30,0,1,1,2,0,1,6,28,3,0,0,0,0,0,0,1,1,7,81,1,0,1,0,2,0,0,0,1,1,0,0,2,0
BG_BGZZNG,Nigeria,33,38,0,0,0,0,2,11,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,2,10,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
BG_BGZZNL,Netherlands,254,1306,21,0,5,1,23,107,25,0,7,17,0,1,60,470,8,14,4,2,0,0,6,72,104,0,3,3,0,120,2,3,5,31,0,184,0,4,3,1,0
BG_BGZZNO,Norway,64,246,7,0,0,1,5,25,1,0,2,6,0,0,17,107,2,2,7,0,0,1,0,10,20,0,0,0,1,12,1,0,1,6,0,11,0,0,0,1,0
BG_BGZZAE,United Arab Emirates,26,184,2,0,0,1,5,22,2,0,0,6,0,0,9,86,0,2,3,0,0,0,0,8,12,0,2,0,0,18,0,0,2,3,0,0,0,1,0,0,0
BG_BGZZPL,Poland,43,147,2,0,0,1,8,32,1,0,0,5,0,0,8,35,0,2,0,0,0,0,0,6,23,1,0,2,0,18,0,0,0,1,1,1,0,0,0,0,0
BG_BGZZPT,Portugal,62,234,8,0,1,1,5,25,0,0,2,2,2,0,17,123,3,2,3,1,1,0,1,3,11,0,0,0,0,17,0,0,1,3,0,1,0,0,0,1,0
BG_BGZZZA,South Africa,34,91,1,0,0,0,0,9,0,0,2,3,1,0,4,47,0,3,0,0,0,1,0,2,10,0,0,0,0,4,0,0,2,1,0,0,0,1,0,0,0
BG_BGZZRO,Romania,46,147,1,0,3,2,6,19,0,0,5,1,0,0,5,48,1,2,1,0,0,0,0,7,13,3,1,0,0,12,3,0,0,12,1,0,0,0,0,1,0
BG_BGZZRU,Russia,130,444,9,0,0,0,12,167,6,0,0,5,6,0,36,91,9,6,1,1,1,0,0,4,18,2,0,5,0,28,0,0,0,16,1,10,1,4,1,4,0
BG_67653,Смолян,38707,23762,639,0,220,65,935,7014,342,21,173,194,43,20,964,8018,401,260,137,44,10,138,374,197,770,3,17,38,100,974,22,26,291,252,71,932,5,14,35,3,0
BG_BGZZSK,Slovakia,95,184,2,0,1,1,9,31,0,2,0,9,0,0,10,54,1,2,2,0,1,0,0,13,15,0,2,0,0,16,0,0,0,7,0,0,0,3,0,3,0
BG_BGZZSI,Slovenia,34,83,1,0,1,0,1,12,1,0,0,4,0,0,7,40,0,1,0,0,1,0,1,7,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
BG_BGZZRS,Serbia,22,100,6,0,0,0,0,16,0,0,0,3,0,0,3,40,1,2,0,0,0,0,0,5,16,1,0,0,0,5,0,0,0,1,0,0,0,1,0,0,0
BG_BGZZTN,Tunisia,36,43,0,0,0,0,1,11,0,0,0,0,0,0,0,21,0,1,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
BG_BGZZTR,Turkey,62865,65426,3332,0,36,118,144,196,8288,36,73,98,13,9,48,419,31,19,13,28,10,6,8,22,192,36,5,12,3,57,18,5,29,19,51,51784,117,27,88,32,0
BG_BGZZUA,Ukraine,34,55,0,0,0,0,2,8,0,0,0,1,0,0,3,25,1,0,0,0,0,0,0,0,5,1,1,0,0,4,0,1,1,0,0,0,0,0,0,2,0
BG_BGZZHU,Hungary,63,182,4,0,1,0,7,34,2,0,2,3,1,0,0,63,3,2,0,0,0,0,0,24,17,0,0,0,0,16,0,0,0,2,0,0,0,1,0,0,0
BG_BGZZFI,Finland,56,161,5,0,1,0,2,22,1,0,2,3,0,0,9,71,1,2,1,0,0,0,0,15,7,0,4,1,0,8,0,0,0,5,0,0,0,0,0,1,0
BG_BGZZFR,France,1121,2564,67,0,11,4,60,285,31,1,13,62,6,1,147,917,22,31,24,0,0,2,5,155,202,7,5,13,2,197,2,12,13,45,7,195,1,13,1,5,0
BG_BGZZHR,Croatia,31,41,0,0,1,0,0,3,0,0,0,2,1,0,0,15,0,0,0,0,0,0,0,6,9,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
BG_BGZZCZ,Czech Republic,154,626,10,0,0,0,24,65,3,0,5,15,0,0,65,262,4,11,4,0,0,1,1,32,38,3,2,1,0,40,0,2,3,18,1,11,0,1,1,3,0
BG_BGZZCH,Switzerland,473,920,5,0,3,1,12,132,5,1,2,28,0,2,41,336,6,8,6,0,0,0,1,62,119,2,0,4,1,100,0,1,3,30,0,2,0,4,1,2,0
BG_BGZZSE,Sweden,180,543,15,0,2,1,7,43,12,2,1,7,0,0,19,140,2,3,2,2,1,0,0,12,30,1,2,6,0,29,0,0,1,10,2,186,0,5,0,0,0
BG_BGZZJP,Japan,48,68,0,0,0,1,0,16,0,0,0,1,0,0,3,13,0,0,0,0,0,0,0,18,7,0,1,1,0,6,0,0,0,0,0,0,1,0,0,0,0
BG_77058,Хаджидимово,9062,4914,135,0,5,3,158,1029,58,0,18,44,1,2,222,1159,149,26,11,4,13,5,69,6,62,8,5,5,0,182,0,1,17,14,11,1474,3,8,7,0,0
BG_43952,Ловеч,48761,25111,586,0,99,29,987,7729,188,33,82,570,38,4,1931,7856,526,446,139,34,19,9,475,109,533,0,0,44,14,862,34,23,100,221,80,1228,7,0,24,52,0
BG_40097,Крушари,5456,1908,82,0,3,3,64,286,151,5,3,25,1,0,75,328,28,28,2,3,0,1,1,0,3,0,1,0,2,36,3,2,18,2,1,746,0,2,3,0,0
BG_39030,Котел,19284,7426,413,0,49,0,343,1556,138,8,14,19,14,15,234,1947,101,60,35,14,6,5,22,6,90,0,1,11,0,76,4,0,6,15,4,2162,11,10,11,26,0
BG_87338,Якоруда,9102,5058,190,0,3,3,42,389,187,3,4,6,30,2,50,514,168,25,4,1,1,0,42,1,18,2,2,3,0,33,1,0,26,10,3,3265,13,8,9,0,0
BG_00084,Аврен,6429,4320,136,0,1,3,159,1188,14,2,7,43,31,0,184,1787,43,17,10,4,0,4,5,7,101,0,3,6,2,271,1,2,3,11,6,245,0,0,5,16,3
BG_39970,Крумовград,28200,9386,312,0,20,0,87,906,426,11,15,28,6,8,79,1099,35,24,0,0,0,4,32,6,12,0,1,4,0,46,6,0,9,6,16,6094,0,24,51,19,0
BG_65927,Севлиево,34270,17455,432,0,17,19,737,5000,91,11,52,117,24,6,874,5917,280,269,223,8,13,9,45,41,276,0,7,19,8,436,6,17,30,218,39,2123,0,28,24,39,0
BG_36926,Кирково,28705,11868,495,0,8,0,114,1087,230,6,18,48,5,4,48,2065,45,32,0,0,0,5,8,3,10,0,4,7,3,73,13,0,24,16,12,7392,0,26,49,18,0
BG_04279,Благоевград,84075,36759,923,0,158,25,909,8665,212,51,146,397,59,7,3280,13075,1959,1039,126,20,124,14,662,273,1307,20,33,27,17,1221,19,112,302,1048,68,210,7,68,176,0,0
BG_00151,Айтос,27813,13514,457,0,23,8,489,2478,795,5,26,474,77,6,542,2674,109,180,36,8,8,8,701,29,91,10,4,15,9,218,1,10,10,67,18,3867,0,18,21,22,0
BG_03592,Белово,8332,4404,131,0,16,0,185,1474,59,7,10,152,11,3,608,1171,83,47,6,4,5,0,19,19,56,10,2,7,1,177,4,7,15,40,14,49,1,7,1,3,0
BG_10971,Видин,64144,26799,784,0,111,0,832,8993,552,26,602,503,77,21,2205,7772,576,316,159,12,41,16,382,76,528,0,40,47,90,1259,27,32,213,175,0,264,0,0,13,55,0
BG_00182,Аксаково,15340,8677,251,0,22,11,436,2280,32,12,21,108,75,0,726,3069,143,86,32,8,11,20,139,30,115,0,2,10,3,197,4,8,14,83,29,599,4,11,13,38,35
BG_31111,Златоград,11369,5616,203,0,9,5,288,2000,35,2,14,42,19,0,90,2331,36,7,11,3,2,3,102,10,39,0,5,1,6,115,0,3,28,20,7,167,1,0,12,0,0
BG_73626,Търговище,57101,29898,691,0,47,0,705,7195,1631,28,57,186,32,12,1807,6332,363,236,79,0,5,0,314,73,352,0,13,34,7,701,31,28,62,120,31,8595,0,43,56,32,0
BG_67372,Сливница,7990,4317,73,0,16,5,236,1398,8,4,23,38,10,2,302,1239,97,60,15,2,3,2,266,22,151,5,2,3,0,137,1,4,10,42,8,105,2,13,1,12,0
BG_65766,Свищов,33236,17819,459,0,71,15,1038,5502,135,20,91,180,33,8,1490,4292,288,241,48,17,51,7,388,134,545,0,15,39,5,1030,7,46,204,210,36,1007,10,61,28,68,0
BG_00415,Алфатар,2832,1583,61,0,1,0,111,449,16,0,4,30,4,1,94,461,34,14,2,1,1,1,36,4,3,0,0,3,0,12,0,1,5,1,0,223,1,3,6,0,0
BG_55155,Пазарджик,107018,50763,1283,0,267,0,835,12748,168,85,233,725,136,26,6992,14948,623,980,153,86,125,44,253,201,1320,42,20,83,39,1189,82,30,267,455,180,5841,44,83,82,95,0
BG_57491,Поморие,23435,12685,315,0,38,16,1359,2303,562,12,42,256,7,11,502,3777,171,150,42,10,17,5,198,51,228,8,7,13,5,285,3,11,20,80,29,2106,0,14,13,19,0
BG_55021,Павел баня,13962,7085,184,0,44,9,342,1935,70,7,15,56,7,2,368,1340,28,46,7,7,0,6,36,14,51,0,1,5,1,109,3,7,15,19,14,2272,9,16,19,21,0
BG_77195,Хасково,92334,46032,1185,0,208,34,1665,10975,653,29,181,399,43,22,3475,12909,517,602,162,42,23,30,497,127,890,0,18,72,26,992,21,64,330,421,132,8890,44,73,218,63,0
