gisco_id,name,registered,turnout,invalid,blank,БСП ЗА БЪЛГАРИЯ,ГЕРБ-СДС,ВЪЗРАЖДАНЕ,ПП ИМА ТАКЪВ НАРОД,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,"КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (АТАКА, РУСОФИЛИ, КОМУНИСТИ)",Българско Национално Обединение,ЗАЕДНО,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,НДСВ,КОД /Консервативно Обединение на Десницата/,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,Движение за права и свободи – ДПС,ЛЕВИЦАТА!,ПП БЪЛГАРСКИ ВЪЗХОД,МИР,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ – ЕВРОЛЕВИЦА,БСДД – Български Съюз за ДИРЕКТНА ДЕМОКРАЦИЯ,ПП Глас Народен,Социалистическа партия Български път,ВЪН от ЕС и НАТО,ИК за издигане на Веселин Найденов Марешки за независим кандидат за народен представител-Веселин Найденов Марешки,Милен Ганев Милев-Милен Ганев Милев
BG_SFO16,Драгоман,4032,1740,33,84,172,651,214,45,6,3,2,4,0,1,4,281,42,53,130,3,2,1,3,0,3,0,0
BG_SHU21,Никола Козлево,6911,2523,99,30,125,1432,64,11,4,2,1,0,0,3,1,125,591,5,18,3,3,1,1,1,2,0,0
BG_KRZ08,Джебел,23929,5668,28,29,107,430,70,21,3,0,2,4,1,1,1,134,4814,6,13,0,2,1,0,1,0,0,0
BG_LOV02,Априлци,2390,1083,15,44,94,405,203,33,3,2,3,2,0,2,0,215,9,19,28,2,0,0,0,0,3,0,1
BG_BGS27,Приморско,5258,2421,53,110,124,977,298,93,11,4,4,2,0,2,4,420,110,34,158,5,3,3,0,2,4,0,0
BG_RAZ17,Лозница,10234,4136,80,69,120,671,152,49,3,4,5,3,0,3,2,428,2500,12,22,1,3,0,5,2,2,0,0
BG_RSE05,Ветово,12208,4150,112,59,183,300,218,52,4,8,1,10,1,10,3,316,2795,39,25,5,3,0,2,0,4,0,0
BG_SZR22,Мъглиж,9601,2636,83,79,195,546,296,91,5,11,2,11,2,11,4,443,721,35,34,8,45,1,4,3,5,0,0
BG_MON14,Георги Дамяново,1848,1138,31,42,138,475,111,23,2,6,1,6,0,1,0,203,64,9,23,1,1,0,0,0,1,0,0
BG_SFO34,Правец,6117,2754,87,121,735,627,299,91,8,8,3,8,3,6,9,448,144,55,67,10,7,1,8,0,9,0,0
BG_VID30,Ново село,2079,1051,27,24,101,309,120,33,2,6,1,1,0,3,1,233,38,18,131,0,1,0,0,1,1,0,0
BG_SZR36,Чирпан,17249,5965,103,191,689,1257,818,183,16,42,1,7,1,11,8,854,1511,96,131,8,4,4,6,1,23,0,0
BG_BGS08,Камено,9856,2840,110,95,334,953,480,98,15,12,1,6,3,5,5,404,165,31,92,6,5,3,4,1,10,0,0
BG_BLG40,Сандански,35043,12688,221,554,1327,3605,1583,502,60,38,13,14,8,32,15,2931,243,334,1121,24,9,5,6,4,31,0,0
BG_SHU22,Нови пазар,16845,5148,134,133,1061,924,538,180,14,10,6,9,1,8,5,637,1301,55,104,3,6,9,2,0,6,0,0
BG_VRC28,Мизия,5516,2207,47,90,331,497,228,67,5,14,2,7,0,8,0,355,172,25,345,0,0,2,3,0,9,0,0
BG_SLS15,Кайнарджа,4284,1414,50,18,133,710,70,24,7,5,3,0,0,2,1,125,234,5,15,3,3,1,0,3,2,0,0
BG_VID25,Макреш,991,558,7,17,152,158,42,8,1,2,0,0,0,1,0,94,44,5,26,0,1,0,0,0,0,0,0
BG_GAB12,Дряново,7511,2774,49,114,540,629,419,105,7,22,1,12,0,24,1,578,69,131,55,5,0,1,3,1,8,0,0
BG_VTR06,Горна Оряховица,39407,13727,162,726,1579,3485,2415,588,48,68,8,48,7,21,32,2782,845,407,368,13,36,4,42,2,40,0,0
BG_VID37,Чупрене,1361,707,48,21,74,193,53,13,1,2,0,1,0,0,5,115,148,12,19,1,1,0,0,0,0,0,0
BG_SHU19,Каспичан,6699,1935,65,80,331,515,271,114,6,10,3,2,1,1,1,305,151,42,28,0,2,1,4,0,2,0,0
BG_VTR26,Полски Тръмбеш,11176,4048,121,100,786,732,472,128,14,17,1,6,4,9,11,499,1012,57,64,3,2,2,5,1,2,0,0
BG_MON12,Вършец,6218,2822,92,75,279,905,233,78,4,9,3,3,0,1,6,550,473,36,60,1,3,2,4,0,5,0,0
BG_BGS21,Созопол,10844,4551,77,211,1021,1108,657,136,19,19,3,25,3,3,16,737,110,74,293,13,5,9,2,0,10,0,0
BG_KNL50,Трекляно,453,330,11,5,137,61,33,3,0,2,0,0,2,0,0,47,10,6,13,0,0,0,0,0,0,0,0
BG_VRC31,Оряхово,8912,3118,57,99,455,902,379,102,12,9,3,4,0,5,2,426,462,48,121,2,7,2,5,4,12,0,0
BG_BLG28,Кресна,4350,1853,34,56,183,748,140,51,2,3,2,1,1,1,10,371,52,123,70,1,0,3,0,0,1,0,0
BG_HKV28,Свиленград,18558,8317,180,290,842,3065,1163,353,32,33,11,23,7,10,8,1777,99,181,176,9,8,2,11,7,30,0,0
BG_VID22,Кула,3361,1456,32,60,111,626,90,52,2,5,1,0,1,2,1,251,107,22,81,0,3,1,2,1,5,0,0
BG_LOV36,Угърчин,4768,1625,38,44,232,668,167,43,3,4,1,4,1,3,3,241,110,17,33,4,2,1,0,2,3,0,1
BG_TGV23,Опака,5706,2462,41,41,139,215,86,35,1,0,3,3,0,1,0,117,1743,16,11,0,4,2,1,2,1,0,0
BG_PDV33,Съединение,7922,2768,60,124,402,838,502,117,12,9,1,3,3,4,3,516,14,34,110,0,0,2,4,0,10,0,0
BG_BLG49,Струмяни,4121,1336,43,49,146,402,149,42,4,2,1,2,1,4,1,240,113,23,111,1,0,1,1,0,0,0,0
BG_VTR14,Златарица,3518,1318,48,30,191,213,103,19,6,1,1,1,0,3,0,167,418,49,57,3,2,2,2,0,2,0,0
BG_LOV17,Летница,4071,943,22,25,227,233,95,25,5,5,1,3,2,2,3,163,76,16,38,0,0,0,1,0,1,0,0
BG_SZR37,Гурково,4209,1751,50,40,175,176,192,46,2,4,2,7,0,2,4,195,807,14,25,3,2,2,2,0,1,0,0
BG_PDV42,Куклен,6239,2344,52,103,215,469,218,52,10,6,2,8,1,4,5,339,759,23,76,2,0,0,0,0,0,0,0
BG_SFO25,Костенец,10191,4089,89,219,420,1431,619,142,8,18,3,90,1,5,4,682,17,81,229,13,2,2,7,0,8,0,0
BG_VAR14,Девня,7661,2949,66,71,182,1622,333,121,13,7,3,21,0,5,2,312,49,71,51,0,0,3,6,2,4,5,0
BG_VTR20,Лясковец,10776,3899,72,184,457,1014,708,157,13,18,2,4,3,3,11,695,198,222,105,5,2,1,14,0,11,0,0
BG_MON24,Лом,23656,8766,265,239,625,3304,953,240,17,49,3,14,3,10,8,1195,1582,81,132,5,5,0,16,0,21,0,0
BG_SFO59,Долна баня,3800,2293,60,62,97,1555,163,52,6,10,1,4,0,6,1,213,12,20,23,2,0,3,0,1,2,0,0
BG_VRC32,Роман,4621,2094,50,66,245,589,200,50,2,3,0,0,0,2,1,290,486,35,67,0,2,1,2,1,2,0,0
BG_PVN23,Искър,5720,1607,70,55,315,346,172,87,5,4,1,1,2,4,1,220,240,40,34,0,1,2,3,0,4,0,0
BG_MON38,Якимово,3090,1423,36,17,126,529,83,24,3,3,1,0,1,2,1,162,413,12,9,0,1,0,0,0,0,0,0
BG_PAZ24,Ракитово,12781,4302,114,94,673,795,393,76,15,10,3,3,5,5,5,358,1517,35,177,6,6,3,3,0,6,0,0
BG_SHU23,Велики Преслав,12219,3252,82,108,327,885,371,85,21,10,0,7,3,6,3,656,521,43,105,3,0,2,2,4,8,0,0
BG_HKV29,Симеоновград,6730,2411,62,59,242,1166,271,45,3,7,1,0,1,2,1,266,72,161,34,2,1,2,3,0,10,0,0
BG_SFO55,Пирдоп,6459,2508,41,138,206,742,376,118,7,7,1,7,0,3,3,507,195,34,97,6,5,1,6,0,8,0,0
BG_PER22,Ковачевци,1161,791,20,19,275,192,55,21,2,1,0,0,1,2,2,110,13,25,49,1,1,0,0,0,2,0,0
BG_SZR38,Николаево,3700,1359,73,29,137,180,99,25,1,5,2,4,0,6,3,111,625,21,30,1,2,2,0,2,1,0,0
BG_RAZ36,Цар Калоян,6037,1897,25,40,84,146,80,18,2,3,0,1,0,1,0,207,1254,14,10,1,0,1,3,0,1,0,0
BG_SFO47,Златица,4672,1863,34,99,197,550,295,66,3,8,1,4,2,4,2,440,38,47,63,8,0,0,0,0,2,0,0
BG_PDV41,Стамболийски,17653,5752,149,231,692,2037,890,219,25,36,2,8,8,6,6,1186,11,83,112,5,4,2,20,0,19,0,0
BG_PAZ21,Пещера,18322,5629,152,197,877,1947,608,177,23,28,8,21,1,28,20,841,501,59,107,11,6,1,4,0,12,0,0
BG_SFO24,Копривщица,1806,824,15,28,97,193,167,25,3,9,1,1,0,3,1,200,21,18,34,1,1,0,2,0,3,0,0
BG_PDV39,Кричим,7139,1729,41,80,159,418,264,77,2,8,1,4,2,5,3,311,278,33,36,1,2,0,2,0,1,0,0
BG_PAZ39,Сърница,4170,2619,18,30,59,143,18,9,1,0,0,0,0,0,0,90,2239,3,9,0,0,0,0,0,0,0,0
BG_KNL41,Сапарева баня,6182,2591,56,103,235,1051,407,131,12,8,2,9,0,6,9,326,112,43,67,1,2,0,3,0,8,0,0
BG_KNL38,Рила,2334,824,21,40,99,304,86,31,3,4,1,0,2,1,4,155,38,16,14,0,2,0,1,0,2,0,0
BG_PDV40,Перущица,4107,1335,38,49,139,364,196,38,2,0,4,1,4,2,0,311,139,12,26,1,3,0,0,0,6,0,0
BG_PDV22,Пловдив,301066,122478,1622,6071,9136,30996,18294,5664,470,585,152,466,108,357,434,36072,3728,2244,4809,191,123,120,356,49,412,0,0
BG_DOB28,Добрич,80265,26748,398,1254,2894,6280,5258,1285,94,107,20,82,23,141,58,6203,782,639,1000,21,14,11,107,9,70,0,0
BG_SFO57,Чавдар,985,394,6,24,86,76,50,12,0,6,0,1,1,0,0,74,27,10,17,2,0,1,0,0,1,0,0
BG_SFO58,Челопеч,1228,515,0,21,70,151,58,17,1,1,0,3,0,0,0,92,31,53,16,0,0,0,1,0,0,0,0
BG_JAM26,Ямбол,64167,20430,284,979,2658,4848,3846,965,80,121,22,140,7,45,38,4590,356,408,887,34,12,11,31,5,60,0,0
BG_BGZZAU,Australia,198,501,3,8,13,52,141,23,1,0,0,0,0,5,1,226,3,16,4,2,0,0,0,2,1,0,0
BG_BGZZAT,Austria,408,4162,50,209,100,495,796,229,15,11,2,9,0,11,17,1951,61,69,87,11,5,4,12,0,18,0,0
BG_BGZZAZ,Azerbaijan,14,23,0,2,0,0,3,0,0,2,0,1,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0
BG_BGZZAL,Albania,176,355,15,1,150,96,9,7,1,0,1,1,0,0,0,32,1,5,32,2,1,1,0,0,0,0,0
BG_BGZZDZ,Algeria,10,28,2,0,6,0,10,0,0,0,0,1,1,0,0,2,2,2,2,0,0,0,0,0,0,0,0
BG_BGZZAM,Armenia,14,28,2,3,3,4,5,0,0,0,0,1,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0
BG_BGZZBY,Belarus,10,28,1,1,2,5,9,2,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0
BG_BGZZBE,Belgium,292,3699,90,95,89,429,619,231,7,11,1,9,4,8,5,1623,359,49,39,10,2,2,10,0,7,0,0
BG_BGZZBA,Bosnia and Herzegovina,89,117,0,12,13,16,23,8,0,0,0,0,0,0,0,20,7,2,15,0,0,0,1,0,0,0,0
BG_BGZZBR,Brazil,43,31,1,1,2,2,4,0,1,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0
BG_BGZZDE,Germany,2732,21654,326,828,494,2305,5424,1701,99,85,26,70,11,32,50,8644,732,283,319,25,20,22,50,4,97,0,0
BG_BGZZGE,Georgia,19,36,0,3,3,1,2,1,0,0,0,0,0,1,0,21,0,2,2,0,0,0,0,0,0,0,0
BG_BGZZGR,Greece,477,3042,99,103,141,609,741,153,24,32,3,6,6,12,6,921,9,62,70,14,2,3,11,2,13,0,0
BG_BGZZDK,Denmark,225,1534,14,65,38,124,287,128,7,0,1,7,1,4,3,737,48,18,27,4,2,2,13,1,3,0,0
BG_BGZZEG,Egypt,11,64,3,2,1,4,14,1,0,0,0,1,0,3,0,30,0,2,2,0,1,0,0,0,0,0,0
BG_BGZZIL,Israel,32,205,3,3,4,43,34,14,1,0,0,0,0,2,2,87,2,7,3,0,0,0,0,0,0,0,0
BG_BGZZIE,Ireland,189,824,7,29,22,87,206,80,2,4,0,3,0,2,4,343,3,7,12,1,0,1,5,0,6,0,0
BG_BGZZIS,Iceland,36,104,0,11,5,9,21,13,0,0,0,0,0,0,0,38,2,0,2,1,1,0,1,0,0,0,0
BG_BGZZES,Spain,1968,11518,199,459,378,1824,3714,1103,58,82,8,36,4,24,11,2963,223,128,173,17,7,13,29,2,61,0,0
BG_BGZZIT,Italy,1000,3732,77,134,160,473,1162,254,16,47,6,9,2,9,6,1210,24,46,55,6,2,5,4,1,24,0,0
BG_BGZZJO,Jordan,8,37,0,3,1,8,10,1,0,0,0,1,0,1,0,11,1,0,0,0,0,0,0,0,0,0,0
BG_BGZZCA,Canada,585,3304,62,42,77,330,1190,194,7,17,4,7,0,2,8,1271,10,35,26,4,1,0,8,2,7,0,0
BG_BGZZQA,Qatar,10,72,4,3,0,14,13,7,0,0,0,0,0,0,0,30,0,0,1,0,0,0,0,0,0,0,0
BG_BGZZCY,Cyprus,576,1894,58,82,60,358,629,133,26,12,1,4,0,1,4,446,16,27,28,0,1,4,2,0,2,0,0
BG_BGZZCN,China,15,54,0,2,3,10,6,1,0,1,0,0,0,0,0,28,0,1,2,0,0,0,0,0,0,0,0
BG_BGZZXK,Kosovo,4,60,1,10,2,4,5,3,0,0,0,0,0,0,0,27,1,2,5,0,0,0,0,0,0,0,0
BG_BGZZKW,Kuwait,24,85,5,4,4,15,15,4,0,0,0,2,0,0,0,31,2,2,1,0,0,0,0,0,0,0,0
BG_BGZZLB,Lebanon,4,46,2,1,4,10,8,3,0,0,0,0,0,0,0,14,0,1,3,0,0,0,0,0,0,0,0
BG_BGZZLU,Luxembourg,119,667,12,14,15,73,63,14,0,0,0,2,0,4,3,439,1,12,7,2,3,1,1,0,1,0,0
BG_BGZZMT,Malta,74,504,13,22,7,77,138,55,0,5,0,0,0,0,2,161,4,7,8,1,0,0,3,0,1,0,0
BG_BGZZMA,Morocco,5,37,0,1,3,13,4,1,0,0,0,0,0,1,0,11,0,0,2,0,0,0,0,0,1,0,0
BG_BGZZMD,Moldova,110,1122,90,10,48,34,411,5,3,3,2,1,2,0,1,50,436,1,6,0,1,0,4,8,6,0,0
BG_BGZZNL,Netherlands,1259,6054,65,384,95,539,838,358,40,8,1,17,3,10,18,3274,210,56,71,13,6,7,24,1,13,0,0
BG_BGZZNZ,New Zealand,58,109,0,5,7,8,31,4,0,0,0,0,0,1,0,45,0,4,0,2,1,0,1,0,0,0,0
BG_BGZZNO,Norway,343,987,16,49,16,107,272,90,4,2,0,5,0,0,3,359,7,21,21,2,0,4,3,0,6,0,0
BG_BGZZAE,United Arab Emirates,56,404,11,21,13,52,59,18,1,1,1,0,0,3,0,210,2,9,1,0,0,0,1,0,1,0,0
BG_BGZZGB,United Kingdom,3286,26219,466,1296,600,2490,7112,2920,122,68,29,80,10,41,97,9551,291,312,374,47,16,33,99,9,155,0,0
BG_BGZZPL,Poland,82,290,2,17,6,29,34,16,0,1,0,1,0,0,3,167,1,5,2,1,3,1,0,0,1,0,0
BG_BGZZPT,Portugal,91,465,3,12,8,54,84,40,1,6,2,0,1,2,3,227,5,6,6,0,3,1,0,0,1,0,0
BG_BGZZKR,South Korea,21,40,1,1,1,2,3,2,0,0,0,0,0,1,0,25,0,0,4,0,0,0,0,0,0,0,0
BG_BGZZRO,Romania,34,244,2,13,10,34,38,5,0,0,0,1,0,0,1,132,0,3,5,0,0,0,0,0,0,0,0
BG_BGZZRU,Russia,280,349,23,12,29,19,159,7,0,17,0,0,0,1,4,39,7,13,12,1,1,0,0,0,5,0,0
BG_BGZZZA,South Africa,117,369,5,6,14,38,170,14,0,0,0,0,4,5,0,101,4,3,3,0,0,0,0,0,2,0,0
BG_BGZZSA,Saudi Arabia,6,26,0,2,0,7,4,1,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0
BG_BGZZUS,United States,2090,10450,160,203,194,1092,2382,689,30,7,5,27,2,5,22,5352,26,71,119,9,6,4,21,2,22,0,0
BG_BGZZMK,North Macedonia,169,453,36,13,14,143,39,10,3,2,1,3,1,1,0,127,35,7,12,0,1,0,3,1,1,0,0
BG_BGZZSG,Singapore,36,100,1,7,0,5,7,1,0,0,0,0,0,1,0,76,0,1,1,0,0,0,0,0,0,0,0
BG_BGZZSK,Slovakia,45,203,4,9,2,22,29,12,0,1,0,1,0,1,1,113,1,4,2,0,1,0,0,0,0,0,0
BG_BGZZSI,Slovenia,23,137,2,4,4,16,21,4,0,0,0,0,0,1,0,83,0,2,0,0,0,0,0,0,0,0,0
BG_BGZZRS,Serbia,164,1177,73,39,14,229,89,32,4,4,1,1,0,3,2,554,5,5,108,4,1,0,7,0,2,0,0
BG_BGZZTN,Tunisia,3,18,0,1,0,4,6,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0
BG_BGZZTR,Turkey,27848,69123,3451,132,545,1307,192,87,42,39,36,48,30,145,56,1106,61467,140,97,33,70,50,26,11,9,0,0
BG_BGZZHU,Hungary,51,284,11,9,7,34,43,8,1,0,0,2,0,1,1,153,0,7,6,0,0,0,1,0,0,0,0
BG_BGZZFI,Finland,94,398,17,18,6,57,96,27,1,2,0,1,2,1,3,143,10,6,1,0,0,0,1,0,6,0,0
BG_BGZZFR,France,647,3717,38,139,112,422,765,213,12,12,3,7,4,5,7,1740,85,59,68,2,1,6,7,1,9,0,0
BG_BGZZHR,Croatia,10,81,2,3,4,13,6,1,0,0,0,1,0,0,0,43,0,5,0,0,0,1,2,0,0,0,0
BG_BGZZME,Montenegro,11,20,0,1,0,3,6,0,0,0,0,0,0,0,0,8,0,1,1,0,0,0,0,0,0,0,0
BG_BGZZCZ,Czech Republic,219,1060,24,32,29,104,319,58,5,4,3,2,0,2,3,430,6,12,11,1,0,7,2,0,6,0,0
BG_BGZZCH,Switzerland,370,2378,24,55,57,221,510,110,4,10,9,8,3,2,11,1255,10,38,30,3,0,1,8,1,8,0,0
BG_BGZZSE,Sweden,166,850,9,21,19,108,164,39,0,6,0,0,0,0,1,386,62,13,11,3,0,2,5,0,1,0,0
BG_BGZZJP,Japan,92,165,1,4,4,11,22,4,0,0,2,0,0,0,0,108,1,5,2,0,0,0,1,0,0,0,0
