gisco_id,name,registered,turnout,invalid,blank,"Ред, законност и справедливост","ПП ""ЛИДЕР""",ГЕРБ,"ДПС ""Движение за права и свободи""",Партия АТАКА,КОАЛИЦИЯ ЗА БЪЛГАРИЯ,"СЪЮЗ НА ПАТРИОТИЧНИТЕ СИЛИ ""ЗАЩИТА""",НДСВ,Българска лява коалиция,Партия на либералната алтернатива и мира,ПП ЗЕЛЕНИТЕ,Политическо движение „Социалдемократи“,Другата България,Обединение на българските патриоти,Национално движение за спасение на Отечеството,БНС – НД,Синята коалиция,„За Родината“: ДГИ – Новите лидери
BG_LOV0252218,Априлци,3005,2226,70,0,213,24,944,30,279,436,4,75,0,0,4,4,2,0,0,1,136,4
BG_BGS2758356,Приморско,6998,5072,100,0,124,162,1957,156,1517,549,6,104,6,0,8,2,1,2,1,2,368,7
BG_RAZ1744166,Лозница,10187,6367,151,0,27,32,1090,4422,171,258,2,82,1,0,1,0,1,0,0,0,126,3
BG_RSE0510803,Ветово,12900,7728,282,0,97,55,953,4702,555,575,3,396,6,0,4,4,7,0,0,1,85,3
BG_MON1414773,Георги Дамяново,2771,1941,55,0,35,128,731,32,173,547,3,89,11,0,1,1,2,1,0,3,123,6
BG_SFO3458030,Правец,6815,4457,136,0,143,55,1792,119,268,1584,2,148,2,2,18,1,0,9,1,0,164,13
BG_VID3052180,Ново село,2979,2069,68,0,46,64,617,34,120,780,7,176,1,0,5,1,0,0,0,4,146,0
BG_SZR3681414,Чирпан,20482,12640,338,0,430,586,4313,730,1791,3314,26,445,17,0,20,16,4,5,1,12,573,19
BG_BGS0835883,Камено,10397,5520,182,0,143,159,1596,350,1322,1289,8,47,8,0,4,10,26,3,0,2,354,17
BG_BLG4065334,Сандански,37995,22281,450,0,5483,682,8238,974,1408,2719,28,537,34,0,35,26,5,0,5,10,1606,41
BG_VRC2848043,Мизия,7236,4553,172,0,64,376,948,241,409,901,4,1245,14,0,2,5,3,0,4,3,149,13
BG_SLS1535242,Кайнарджа,4224,2495,89,0,91,14,829,568,196,604,0,69,3,0,0,2,0,0,2,0,27,1
BG_BLG4978046,Струмяни,5253,2999,117,0,485,267,1112,25,176,525,8,116,6,0,6,1,1,0,1,6,145,2
BG_VID2546245,Макреш,1698,1162,49,0,24,13,403,28,52,464,8,80,4,0,0,1,0,0,0,0,36,0
BG_GAB1223947,Дряново,9194,5944,127,0,163,112,2266,474,835,1263,3,312,5,0,10,2,4,0,1,8,346,13
BG_VTR0616359,Горна Оряховица,45672,26974,576,0,1413,875,12525,1395,3443,4474,56,755,53,0,90,25,20,100,0,3,1069,102
BG_VID3781757,Чупрене,2051,1340,32,0,132,4,317,284,104,384,2,49,2,0,3,2,1,0,1,0,23,0
BG_SHU1936590,Каспичан,7550,4499,134,0,152,124,1597,659,569,1009,3,164,7,0,7,9,2,0,2,2,53,6
BG_VTR2657354,Полски Тръмбеш,14024,9015,202,0,539,256,2814,1493,1088,1875,16,282,18,0,12,6,6,7,0,3,383,15
BG_MON1212961,Вършец,7489,4421,93,0,115,368,1786,69,478,1070,14,122,23,0,9,4,2,0,1,26,233,8
BG_BGS2167800,Созопол,13900,9795,168,0,363,364,3241,585,2597,1296,8,441,22,0,31,4,5,10,0,14,632,14
BG_KNL5073047,Трекляно,702,534,12,0,20,7,92,27,24,285,0,41,1,0,0,0,0,0,0,0,25,0
