gisco_id,name,registered,turnout,invalid,blank,"Ред, законност и справедливост","ПП ""ЛИДЕР""",ГЕРБ,"ДПС ""Движение за права и свободи""",Партия АТАКА,КОАЛИЦИЯ ЗА БЪЛГАРИЯ,"СЪЮЗ НА ПАТРИОТИЧНИТЕ СИЛИ ""ЗАЩИТА""",НДСВ,Българска лява коалиция,Партия на либералната алтернатива и мира,ПП ЗЕЛЕНИТЕ,Политическо движение „Социалдемократи“,Другата България,Обединение на българските патриоти,Национално движение за спасение на Отечеството,БНС – НД,Синята коалиция,„За Родината“: ДГИ – Новите лидери
BG_BLG0203504,Белица,8218,6433,163,0,107,71,1031,4339,82,475,3,73,0,0,3,0,0,0,1,0,83,2
BG_KNL2941112,Кюстендил,62194,36571,834,0,2184,2988,15173,605,1813,9322,40,894,67,82,131,48,68,0,14,37,2169,102
BG_VTR1327190,Елена,9325,5604,146,0,408,70,2263,685,423,1204,10,144,10,0,9,10,0,4,0,2,203,13
BG_KNL0504532,Бобошево,2652,1836,79,0,111,209,561,25,240,389,2,77,0,34,3,2,4,0,1,0,87,12
BG_PVN1022215,Долна Митрополия,18954,11520,442,0,364,725,3389,1217,1597,2749,20,233,68,0,7,13,5,6,8,11,621,45
BG_PER3661577,Радомир,19560,11690,267,0,825,445,5172,332,981,2604,40,299,37,14,31,15,5,0,20,0,539,64
BG_SHU1114516,Хитрино,9570,5659,107,0,23,35,398,4640,85,261,1,51,7,0,5,0,0,0,0,1,43,2
BG_KRZ3581236,Черноочене,12079,7423,81,0,4,5,212,6937,17,134,2,19,2,0,2,0,0,0,1,0,7,0
BG_LOV3473198,Троян,30980,20298,416,0,996,565,8415,691,3292,3436,63,697,25,0,49,31,7,5,7,7,1553,43
BG_KNL4868789,Дупница,45335,27466,885,0,2041,2017,10769,81,1559,4949,29,1026,47,1986,164,30,37,0,12,23,1433,378
BG_BLG1318366,Гърмен,12859,8913,133,0,266,158,1687,5773,161,508,0,62,0,0,4,1,4,0,2,0,149,5
BG_VID0606224,Брегово,5560,4006,128,0,49,88,1206,80,123,2034,13,61,20,0,4,0,1,0,2,1,196,0
BG_HKV3068727,Стамболово,10351,4560,145,0,40,14,406,3478,86,310,4,47,1,0,1,3,1,0,1,1,22,0
BG_RAZ2661710,Разград,54442,30714,590,0,547,536,11649,8600,2643,4239,44,526,19,0,71,13,11,0,0,0,1190,36
BG_DOB0302508,Балчик,19518,12838,419,0,276,408,4091,2351,1843,2619,23,251,18,0,35,18,2,0,14,6,430,34
BG_MON0203928,Берковица,18403,10463,351,0,275,1059,4191,200,927,2258,117,534,17,0,28,6,8,6,2,23,441,20
BG_RSE0820184,Две могили,9067,5852,172,0,245,67,1447,1954,856,826,2,82,3,0,4,6,2,0,0,1,178,7
BG_VRC1012259,Враца,74839,41049,1059,0,1577,1814,17931,879,3671,7763,159,3229,74,0,177,68,36,0,28,40,2225,319
BG_BLG1117395,Гоце Делчев,28744,19149,264,0,1230,437,6917,5520,1215,2108,21,484,7,0,22,9,6,0,5,7,868,29
BG_VAR2670175,Суворово,6473,4643,122,0,888,35,1248,882,507,717,0,113,9,0,4,4,0,0,1,2,109,2
BG_BLG0102676,Банско,11660,8370,219,0,526,1025,4044,382,434,1150,13,107,11,0,14,3,1,0,6,3,396,36
BG_BLG3761813,Разлог,18871,12982,397,0,706,1054,5957,66,999,2086,18,289,55,0,18,22,6,0,2,11,1240,56
BG_BGS1551500,Несебър,20739,14926,237,0,916,413,6394,1002,3537,1298,4,182,16,0,52,13,12,4,2,6,825,13
BG_PAZ2055302,Панагюрище,24127,15040,398,0,844,342,6632,141,1600,3746,0,299,36,0,56,11,14,0,7,10,848,56
BG_PDV1336498,Карлово,49327,29998,754,0,983,475,11024,2360,4922,6689,16,457,136,0,59,25,28,39,6,14,1969,42
BG_KNL2739116,Кочериново,4347,2687,122,0,175,157,746,92,200,711,6,81,3,158,11,5,1,0,0,2,206,11
BG_SML1023025,Доспат,8484,5353,63,0,137,465,531,3118,60,727,1,43,0,0,2,1,2,0,0,27,172,4
BG_RSE2763427,Русе,159283,93418,1531,0,5084,1904,44660,5940,10871,13779,93,2967,182,0,308,100,119,0,0,56,5573,251
BG_BLG3356126,Петрич,52812,29807,569,0,4288,1263,11573,977,3306,3211,68,1369,102,0,45,55,20,0,9,54,2825,73
