gisco_id,name,registered,turnout,invalid,blank,ПП ДРОМ,ПП Движение за радикална промяна Българската пролет,Политическа партия Движение Напред България,"Нова Република – ДСБ, Съюз за Пловдив, Българска демократична общност","КОАЛИЦИЯ НА НЕДОВОЛНИТЕ (БСД – Евролевица, Българска Социалдемократическа партия, Християн-Социален Съюз)",ВОЛЯ,ПП БЪЛГАРСКИ ДЕМОКРАТИЧЕН ЦЕНТЪР - БДЦ,Коалиция АБВ – Движение 21,Движение за права и свободи – ДПС,БСП за БЪЛГАРИЯ,ПП ГЕРБ,партия на ЗЕЛЕНИТЕ,Обединение ДОСТ,ПП Възраждане,ДВИЖЕНИЕ ПРЕЗАРЕДИ БЪЛГАРИЯ,"КП ДВИЖЕНИЕ ДА БЪЛГАРИЯ (Зелените, ДЕОС)","ОБЕДИНЕНИ ПАТРИОТИ – НФСБ, АТАКА и ВМРО",КОЙ – Българската левица и Зелена партия,ПП НАЦИОНАЛНА РЕПУБЛИКАНСКА ПАРТИЯ,БЪЛГАРСКО НАЦИОНАЛНО ОБЕДИНЕНИЕ,РЕФОРМАТОРСКИ БЛОК – ГЛАС НАРОДЕН,Соня Спасова Маркова - независим-Соня Спасова Маркова,Красимир Иванчев Жейнов - независим-Красимир Иванчев Жейнов,Росица Пенчева Йорданова - независим-Росица Пенчева Йорданова,Златко Спасов Здравков - независим-Златко Спасов Здравков,Димитър Огнянов Игнатов - независим-ДИМИТЪР ОГНЯНОВ ИГНАТОВ,Румен Желязков Домбашов - независим-Румен Желязков Домбашов,Георги Стоянов Кадиев - независим-Георги Стоянов Кадиев,Димитър Кирилов Байрактаров - независим-ДИМИТЪР КИРИЛОВ БАЙРАКТАРОВ,Иван Стоянов Матев - независим-Иван Стоянов Матев
BG_BGS06,Средец,11878,7164,524,0,133,19,13,46,16,231,8,84,568,1997,2196,18,10,40,0,22,1038,0,7,7,72,0,0,0,0,0,0,0,0,0
BG_MON36,Чипровци,3415,2255,91,0,1,11,2,19,0,65,6,8,85,658,882,2,8,32,0,27,217,3,1,0,81,0,0,0,0,0,0,0,0,0
BG_RAZ14,Исперих,26442,13077,887,0,25,41,7,132,6,229,6,42,4252,1052,4946,23,588,40,0,52,480,4,7,5,37,0,0,0,0,0,0,0,0,0
BG_GAB35,Трявна,10719,5790,150,0,1,18,10,67,7,506,7,220,33,1660,1856,25,7,89,0,112,737,12,4,5,114,0,0,0,0,0,0,0,0,0
BG_PDV15,Лъки,2546,1417,70,0,1,2,0,12,0,65,0,5,143,560,291,0,4,3,0,7,81,1,1,3,143,0,0,0,0,0,0,0,0,0
BG_HKV17,Любимец,8221,5193,200,0,7,8,5,44,8,87,4,27,122,1496,2623,15,4,54,0,34,326,3,4,3,53,0,0,0,0,0,0,0,0,0
BG_RAZ16,Кубрат,19485,8894,333,0,12,36,17,87,10,238,11,48,3525,1227,1588,18,939,44,0,140,343,4,14,6,109,0,0,0,0,0,0,0,0,0
BG_PDV37,Хисаря,11203,6205,379,0,16,18,15,169,14,234,7,214,20,2101,1723,27,16,71,0,53,679,9,6,9,282,0,0,0,0,0,0,0,0,0
BG_VAR08,Ветрино,4869,2916,206,0,1,1,4,23,2,170,2,15,560,852,776,1,44,12,0,7,173,0,2,1,15,0,6,0,0,0,0,0,0,0
BG_VID01,Белоградчик,5808,2966,83,0,1,8,11,234,5,89,0,69,149,1165,640,3,4,28,0,23,217,1,3,2,114,0,0,0,0,0,0,0,0,0
