gisco_id,name,registered,turnout,invalid,blank,ПП ДРОМ,ПП Движение за радикална промяна Българската пролет,Политическа партия Движение Напред България,"Нова Република – ДСБ, Съюз за Пловдив, Българска демократична общност","КОАЛИЦИЯ НА НЕДОВОЛНИТЕ (БСД – Евролевица, Българска Социалдемократическа партия, Християн-Социален Съюз)",ВОЛЯ,ПП БЪЛГАРСКИ ДЕМОКРАТИЧЕН ЦЕНТЪР - БДЦ,Коалиция АБВ – Движение 21,Движение за права и свободи – ДПС,БСП за БЪЛГАРИЯ,ПП ГЕРБ,партия на ЗЕЛЕНИТЕ,Обединение ДОСТ,ПП Възраждане,ДВИЖЕНИЕ ПРЕЗАРЕДИ БЪЛГАРИЯ,"КП ДВИЖЕНИЕ ДА БЪЛГАРИЯ (Зелените, ДЕОС)","ОБЕДИНЕНИ ПАТРИОТИ – НФСБ, АТАКА и ВМРО",КОЙ – Българската левица и Зелена партия,ПП НАЦИОНАЛНА РЕПУБЛИКАНСКА ПАРТИЯ,БЪЛГАРСКО НАЦИОНАЛНО ОБЕДИНЕНИЕ,РЕФОРМАТОРСКИ БЛОК – ГЛАС НАРОДЕН,Соня Спасова Маркова - независим-Соня Спасова Маркова,Красимир Иванчев Жейнов - независим-Красимир Иванчев Жейнов,Росица Пенчева Йорданова - независим-Росица Пенчева Йорданова,Златко Спасов Здравков - независим-Златко Спасов Здравков,Димитър Огнянов Игнатов - независим-ДИМИТЪР ОГНЯНОВ ИГНАТОВ,Румен Желязков Домбашов - независим-Румен Желязков Домбашов,Георги Стоянов Кадиев - независим-Георги Стоянов Кадиев,Димитър Кирилов Байрактаров - независим-ДИМИТЪР КИРИЛОВ БАЙРАКТАРОВ,Иван Стоянов Матев - независим-Иван Стоянов Матев
BG_PDV25,Раковски,23121,10670,962,0,2,29,13,152,10,335,5,100,168,2770,4699,21,8,96,0,70,743,8,4,11,267,0,0,0,0,0,0,0,0,0
BG_SHU30,Шумен,90286,44727,1544,0,59,86,87,533,49,2763,20,693,2765,11371,14321,83,1537,440,0,604,5146,31,34,59,1545,0,0,0,0,0,0,0,0,0
BG_TGV22,Омуртаг,25158,12137,542,0,15,13,11,22,9,212,2,25,6152,1143,1413,17,1987,13,0,18,303,6,13,7,48,0,0,0,0,0,0,0,0,0
BG_VID33,Ружинци,3440,2114,94,0,5,1,1,19,2,19,0,18,159,568,732,3,358,8,0,2,76,1,1,0,23,0,0,0,0,0,0,0,0,0
BG_HKV11,Ивайловград,6869,3928,144,0,0,6,3,41,3,92,1,36,356,1137,1580,7,41,9,0,24,321,2,4,2,66,0,0,0,0,0,0,0,0,0
BG_VAR04,Белослав,9363,4696,267,0,5,7,8,57,6,640,6,48,184,1320,1190,11,78,39,0,44,552,6,2,12,84,0,16,4,0,0,0,0,0,0
BG_RSE37,Ценово,5069,3069,175,0,3,6,2,13,2,52,3,11,87,1136,1098,5,2,15,0,16,321,3,1,4,56,0,0,0,0,0,0,0,0,0
BG_PDV17,Марица,25657,14130,982,0,15,25,26,212,17,720,19,201,573,4090,4704,31,38,80,0,111,1295,12,11,16,654,0,0,0,0,0,0,0,0,0
BG_SFO56,Мирково,1969,1166,70,0,2,4,1,12,3,50,2,7,44,354,264,6,0,5,0,15,123,4,1,2,155,0,0,0,0,0,0,0,0,0
BG_PER19,Земен,2204,1493,71,0,0,3,3,15,3,47,5,38,14,626,368,4,2,10,0,3,119,3,1,2,125,0,0,0,0,0,0,0,0,0
BG_SFO16,Драгоман,4384,2807,117,0,2,5,9,19,2,69,4,29,79,919,1129,8,3,24,0,31,161,1,2,4,119,0,0,0,0,0,0,0,0,0
BG_BGS23,Сунгурларе,10731,5980,465,0,25,8,8,36,15,137,8,47,1950,1164,985,11,542,20,0,10,419,3,9,4,39,0,0,0,0,0,0,0,0,0
BG_SLV20,Сливен,112208,55808,3277,0,271,114,70,1010,69,2167,58,808,2218,17535,17861,136,457,465,0,873,5710,34,35,41,1398,0,0,0,0,0,0,0,0,0
BG_BGS18,Руен,28429,17111,1163,0,13,13,18,10,9,312,6,113,7769,590,770,28,5895,13,0,21,160,6,13,2,73,0,0,0,0,0,0,0,0,0
BG_HKV33,Харманли,22530,12674,711,0,68,18,13,142,39,276,10,57,943,3866,3953,28,429,87,0,67,1406,5,12,14,335,0,0,0,0,0,0,0,0,0
BG_RSE04,Бяла,12524,6533,309,0,5,15,15,49,13,202,9,65,261,1907,2392,20,15,76,0,39,728,10,3,6,263,0,0,0,0,0,0,0,0,0
BG_PAZ32,Стрелча,4363,2613,133,0,3,3,4,23,0,81,1,132,244,898,737,1,1,22,0,22,196,2,4,5,60,0,0,0,0,0,0,0,0,0
BG_BGS12,Малко Търново,2848,1803,143,0,8,5,3,9,5,54,3,42,52,598,555,3,3,15,0,18,202,3,0,3,47,0,0,0,0,0,0,0,0,0
BG_SLV24,Твърдица,11739,5592,481,0,8,15,3,23,9,174,7,42,418,1619,1897,10,132,66,0,14,468,11,6,2,95,0,0,0,0,0,0,0,0,0
BG_VAR24,Провадия,19918,10574,735,0,20,9,21,108,22,1190,8,96,1616,3342,1884,9,112,85,0,100,941,7,5,9,93,0,19,5,0,0,0,0,0,0
BG_SFO17,Елин Пелин,18444,10206,453,0,14,18,32,138,14,350,5,115,180,3038,3364,31,16,108,0,193,1425,16,7,29,346,0,0,0,0,0,0,0,0,0
BG_PER32,Перник,84668,46343,1342,0,48,89,98,680,96,2344,56,1629,605,14586,15686,152,141,381,0,901,3551,51,38,61,2415,0,0,0,0,0,0,0,0,0
BG_RAZ29,Самуил,9121,4090,265,0,3,7,6,60,4,34,5,9,2503,154,490,3,454,2,0,2,28,2,2,0,13,0,0,0,0,0,0,0,0,0
BG_BLG42,Сатовча,15191,7909,388,0,1,22,8,20,2,63,5,36,3977,1144,1869,0,222,4,0,11,63,1,1,1,24,0,0,0,0,0,0,0,0,0
BG_SML38,Чепеларе,6414,3711,127,0,1,11,9,69,2,166,10,36,265,1197,1105,10,32,19,0,41,418,3,0,5,82,0,0,0,0,0,4,0,0,0
BG_VRC27,Мездра,18600,10702,478,0,28,22,14,122,31,314,17,1010,320,3439,2802,15,16,40,0,89,1108,9,3,12,573,0,0,0,0,0,0,0,0,0
BG_SFO20,Ихтиман,14485,8967,721,0,27,18,16,65,15,225,36,60,718,2053,3508,30,8,43,0,102,642,8,3,7,485,0,0,0,0,0,0,0,0,0
BG_HKV09,Димитровград,50444,26058,1122,0,132,61,35,251,40,739,18,222,711,7684,8323,67,76,316,0,302,2180,19,12,28,3136,0,0,0,0,0,0,0,0,0
