gisco_id,name,registered,turnout,invalid,blank,Движение 21,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ - НД,ПП НОВОТО ВРЕМЕ,ОБЕДИНЕНА БЪЛГАРИЯ,СОЦИАЛДЕМОКРАТИЧЕСКА ПАРТИЯ,"РЕФОРМАТОРСКИ БЛОК – БЗНС, ДБГ, ДСБ, НПСД, СДС",ПП Нова България,ПП ГЕРБ,ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,АТАКА,НДСВ,КП БЪЛГАРИЯ БЕЗ ЦЕНЗУРА,Коалиция АБВ – (Алтернатива за българско възраждане),ЛЕВИЦАТА И ЗЕЛЕНА ПАРТИЯ,НОВА АЛТЕРНАТИВА,КП ДЕСНИТЕ,ДПС – Движение за права и свободи,ПП Глас Народен,ПАРТИЯ НА ЗЕЛЕНИТЕ,НОВА СИЛА,БСП лява България,ЗЕЛЕНИТЕ,ПАТРИОТИЧЕН ФРОНТ – НФСБ И ВМРО,РЕПУБЛИКА БГ,Инициативен Комитет Никола Николов Вапцаров,Ик Октай Хасанов Енимехмедов,Господин Тончев Тонев
BG_BGZZPL,Poland,266,266,7,0,6,1,0,0,3,2,61,2,92,1,9,0,3,4,0,2,1,33,3,0,0,15,10,10,1,0,0,0
BG_BGZZPT,Portugal,361,361,14,0,2,0,4,0,1,0,41,3,190,1,12,1,14,7,1,0,0,11,3,1,1,18,4,32,0,0,0,0
BG_BGZZZA,South Africa,95,95,4,0,2,0,1,0,1,0,16,0,44,0,11,0,4,0,0,0,0,0,2,0,0,3,1,6,0,0,0,0
BG_BGZZRO,Romania,117,117,4,0,1,0,0,0,0,0,34,0,46,0,4,0,0,4,1,0,0,1,3,0,0,6,5,7,1,0,0,0
BG_BGZZRU,Russia,378,378,6,0,8,4,0,0,3,0,52,3,82,1,45,0,2,46,0,0,2,9,8,2,0,81,4,19,1,0,0,0
BG_BGZZUS,United States,9424,9424,282,0,66,24,19,10,33,4,2382,65,4666,26,208,19,125,242,17,20,27,15,116,26,8,313,127,565,19,0,0,0
BG_BGZZSG,Singapore,106,106,4,0,1,0,0,0,0,0,41,1,38,0,2,1,0,1,0,1,2,0,1,0,0,3,9,1,0,0,0,0
BG_BGZZSK,Slovakia,172,172,2,0,2,0,0,0,0,0,48,2,58,0,6,2,5,6,0,0,0,2,5,1,0,14,3,16,0,0,0,0
BG_BGZZSI,Slovenia,95,95,1,0,0,1,0,0,0,0,19,0,44,2,3,1,5,2,0,0,3,1,0,0,0,5,2,6,0,0,0,0
BG_BGZZRS,Serbia,219,219,24,0,3,1,0,0,3,3,39,1,87,0,13,1,1,5,1,0,0,0,7,0,0,11,3,16,0,0,0,0
BG_BGZZTR,Turkey,62587,62587,4053,0,26,35,12,5,19,27,489,56,425,18,46,26,39,65,13,27,53,56894,37,9,14,135,14,40,10,0,0,0
BG_BGZZUA,Ukraine,69,69,1,0,2,0,0,0,0,0,9,1,31,0,2,0,1,3,1,1,0,0,4,3,0,4,2,4,0,0,0,0
BG_BGZZHU,Hungary,197,197,4,0,1,3,0,0,1,1,59,1,63,0,2,0,4,11,0,2,0,1,6,2,0,10,11,15,0,0,0,0
BG_BGZZFI,Finland,256,256,10,0,3,0,1,0,2,1,45,1,129,0,14,0,3,5,0,1,0,1,7,3,0,7,11,12,0,0,0,0
BG_BGZZDE,Germany,10506,10506,310,0,111,32,21,14,37,15,2707,90,4179,40,286,25,156,311,26,40,32,439,281,70,12,390,333,507,51,0,0,0
BG_BGZZFR,France,3211,3211,114,0,34,7,6,5,6,2,694,14,1167,8,64,9,41,124,10,10,14,366,55,13,7,174,98,152,18,0,0,0
BG_BGZZHR,Croatia,47,47,1,0,2,0,0,0,0,1,10,1,16,0,0,1,0,2,1,0,2,0,1,1,0,5,1,2,0,0,0,0
BG_BGZZCZ,Czech Republic,923,923,28,0,5,4,0,3,4,4,177,9,394,5,52,1,15,34,2,0,2,8,32,5,0,40,37,59,2,0,0,0
BG_BGZZCH,Switzerland,1216,1216,27,0,19,4,0,2,5,0,410,8,461,3,31,2,7,38,3,0,1,5,23,11,1,70,33,44,8,0,0,0
BG_BGZZSE,Sweden,813,813,20,0,4,2,2,0,8,0,147,2,261,4,20,3,6,12,0,4,4,212,11,3,0,30,28,27,3,0,0,0
BG_BGZZJP,Japan,78,78,2,0,2,0,0,0,0,0,23,0,27,0,1,0,2,3,0,0,0,0,1,0,0,6,8,2,1,0,0,0
BG_BGZZTN,Tunisia,34,34,0,0,1,0,0,2,0,0,6,0,11,0,1,0,0,2,2,0,0,0,0,0,0,8,0,1,0,0,0,0
