gisco_id,name,registered,turnout,invalid,blank,Движение 21,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ - НД,ПП НОВОТО ВРЕМЕ,ОБЕДИНЕНА БЪЛГАРИЯ,СОЦИАЛДЕМОКРАТИЧЕСКА ПАРТИЯ,"РЕФОРМАТОРСКИ БЛОК – БЗНС, ДБГ, ДСБ, НПСД, СДС",ПП Нова България,ПП ГЕРБ,ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,АТАКА,НДСВ,КП БЪЛГАРИЯ БЕЗ ЦЕНЗУРА,Коалиция АБВ – (Алтернатива за българско възраждане),ЛЕВИЦАТА И ЗЕЛЕНА ПАРТИЯ,НОВА АЛТЕРНАТИВА,КП ДЕСНИТЕ,ДПС – Движение за права и свободи,ПП Глас Народен,ПАРТИЯ НА ЗЕЛЕНИТЕ,НОВА СИЛА,БСП лява България,ЗЕЛЕНИТЕ,ПАТРИОТИЧЕН ФРОНТ – НФСБ И ВМРО,РЕПУБЛИКА БГ,Инициативен Комитет Никола Николов Вапцаров,Ик Октай Хасанов Енимехмедов,Господин Тончев Тонев
BG_52218,Априлци,2863,1585,66,0,13,7,3,2,12,6,112,3,534,2,85,4,144,72,4,1,1,45,12,1,4,252,6,191,3,0,0,0
BG_58356,Приморско,5498,3024,273,0,24,10,6,2,9,6,113,5,1304,1,33,9,130,75,5,2,1,87,14,4,3,236,2,663,4,0,3,0
BG_44166,Лозница,10459,5391,223,0,8,5,6,1,3,3,150,7,690,4,40,7,64,32,4,5,10,3747,4,2,4,235,0,133,4,0,0,0
BG_10803,Ветово,12921,5795,309,0,13,8,1,0,5,3,87,9,564,3,106,4,157,165,10,10,4,3665,7,3,1,354,5,299,3,0,0,0
BG_14773,Георги Дамяново,2332,1550,100,0,4,14,1,2,0,1,71,4,715,2,140,7,92,17,3,1,3,16,2,2,3,297,2,49,2,0,0,0
BG_58030,Правец,6391,3575,281,0,30,16,8,5,17,5,153,3,809,11,107,14,177,154,3,20,4,36,36,9,12,1304,18,334,9,0,0,0
BG_52180,Ново село,2564,1413,78,0,8,6,1,3,8,2,80,2,389,4,94,5,109,36,4,2,10,38,2,5,3,441,2,61,20,0,0,0
BG_81414,Чирпан,19242,10167,915,0,65,23,9,7,23,15,338,47,2302,14,693,18,671,326,25,37,14,1649,55,21,22,1997,35,787,59,0,0,0
BG_35883,Камено,10044,4111,533,0,16,19,6,5,12,16,161,6,1049,7,144,12,219,57,6,9,4,297,15,5,10,929,7,543,16,0,8,0
BG_65334,Сандански,37335,18466,1197,0,87,48,11,36,27,34,1225,49,7064,24,1125,9,842,542,40,55,39,715,83,45,23,1973,50,2953,130,43,0,0
BG_52009,Нови пазар,17682,7450,401,0,34,14,10,2,24,7,329,15,1527,1,291,16,496,427,11,73,10,1976,32,10,3,1094,14,575,58,0,0,0
BG_48043,Мизия,6571,2925,242,0,17,11,8,4,12,10,54,5,644,7,252,56,333,72,13,1,4,166,4,6,6,822,6,151,19,0,0,0
BG_35242,Кайнарджа,4280,2071,152,0,7,0,1,2,3,10,65,5,753,2,18,4,49,41,3,0,1,544,7,2,2,314,4,78,4,0,0,0
BG_46245,Макреш,1294,784,60,0,4,5,2,0,0,1,31,3,176,2,70,2,63,13,3,0,2,42,0,0,2,257,2,31,13,0,0,0
BG_23947,Дряново,8589,4302,156,0,55,18,8,6,12,12,259,30,1094,8,332,29,373,244,14,7,10,205,40,8,911,21,421,29,0,0,0,0
BG_16359,Горна Оряховица,43624,20985,1110,0,224,91,29,79,80,36,1177,77,6057,32,1199,49,1088,1294,42,157,263,1697,238,44,44,3532,97,2036,213,0,0,0
BG_81757,Чупрене,1730,979,71,0,6,5,0,0,3,0,22,2,250,2,60,2,101,21,6,0,1,128,3,1,2,235,0,38,20,0,0,0
BG_36590,Каспичан,7255,3405,237,0,17,13,6,3,10,3,79,10,1026,3,180,5,230,94,8,16,0,430,8,10,10,730,7,245,25,0,0,0
BG_57354,Полски Тръмбеш,12845,6528,410,0,35,19,5,6,27,6,219,37,1332,5,360,12,382,190,14,21,64,1439,42,17,10,1346,9,443,78,0,0,0
BG_12961,Вършец,6982,3853,286,0,14,8,12,3,9,11,313,13,1243,6,215,8,321,170,3,5,4,439,21,4,5,614,7,118,1,0,0,0
BG_67800,Созопол,12953,6519,593,0,54,26,8,1,16,10,379,18,2363,8,141,23,350,110,9,29,1,281,42,6,9,806,20,1176,22,0,18,0
BG_73047,Трекляно,553,423,16,0,0,1,2,0,0,0,6,0,84,24,0,53,16,1,0,0,17,0,1,1,187,1,12,1,0,0,0,0
BG_54020,Оряхово,10656,5231,404,0,34,16,8,3,26,5,102,12,1513,6,249,13,460,186,11,9,6,601,20,6,6,1165,21,327,22,0,0,0
