gisco_id,name,registered,turnout,invalid,blank,ФСБСБ,ДНБ,КзБ,Гранит,КнЕ,НДСВ,КДБ,ДСБ,НКДЖБ,Евророма,КнР,БНС,НВ,Атака,ФАГО,ОППБ,ДПС,БХК,ОДС,НЗПНП,ПСД,РК,Петко Илиев Пенев,Радослав Николов Коев,Неделчо Михайлов Димов,Стефчо Иванов Събчев,Илия Замфиров Илиев - Независим,Любомир Христов Василев,Ивайло Манчев Петров,Жоро Петров Ничев,Георги Николаев Мумджиев,Веселина Минчева Бозукова,Асен Фиданов Чаушев,Илия Кирилов Велчев - Независим,Юлий Григоров Абаджиев - Независим
BG_VAR0403719,Белослав,9027,5151,169,0,14,10,1188,8,7,1027,11,188,16,32,116,151,119,501,3,28,409,81,853,5,2,6,0,178,29,0,0,0,0,0,0,0,0,0,0
BG_VAR0507598,Бяла,2777,1666,59,0,3,5,519,6,1,367,3,57,2,39,12,66,50,93,1,6,166,7,196,1,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0
BG_VAR0610135,Варна,281438,155179,2278,0,680,168,36002,233,123,47824,203,11428,795,531,2683,9030,6093,14202,275,435,6051,800,11288,53,34,36,0,1437,2497,0,0,0,0,0,0,0,0,0,0
BG_VAR0810865,Ветрино,5459,3688,172,0,6,5,1164,8,2,551,8,72,16,31,83,115,96,175,1,23,896,1,196,5,1,1,0,54,6,0,0,0,0,0,0,0,0,0,0
BG_VAR0912574,Вълчи дол,10031,6568,279,0,10,27,2181,9,13,1093,9,125,16,172,153,371,75,414,28,27,1199,12,259,1,2,6,0,85,2,0,0,0,0,0,0,0,0,0,0
BG_VAR1321912,Долни чифлик,15512,9045,367,0,11,19,2809,14,10,1287,22,299,24,144,340,340,113,536,2,38,2254,31,256,2,5,2,0,100,20,0,0,0,0,0,0,0,0,0,0
BG_VAR1420482,Девня,7561,4038,152,0,11,4,934,12,7,900,5,64,21,62,202,125,49,274,6,27,259,47,800,3,2,1,0,61,10,0,0,0,0,0,0,0,0,0,0
BG_VAR1624565,Дългопол,12887,8734,316,0,3,16,2121,15,5,1051,18,97,12,19,288,101,129,102,4,34,3965,55,176,2,3,2,0,194,6,0,0,0,0,0,0,0,0,0,0
BG_VAR2458503,Провадия,21238,13115,504,0,34,17,4471,22,15,2117,28,267,64,267,278,639,317,800,1,33,1946,102,368,2,10,15,0,783,15,0,0,0,0,0,0,0,0,0,0
BG_VAR2670175,Суворово,5940,4083,211,0,13,7,943,9,5,799,5,95,10,42,48,166,52,301,30,11,985,4,77,2,0,4,0,255,9,0,0,0,0,0,0,0,0,0,0
