gisco_id,name,registered,turnout,invalid,blank,M11,SKP,PP,KaL,PS,KA,KD,SR,Vas,VIHR,SFP,Kesk.,Kok,SDP,Ilmarinen
FI_244,Kempele,11883,4508,15,0,9,4,13,10,500,8,136,4,517,169,24,1962,741,396,0
FI_290,Kuhmo,7887,2502,7,0,11,9,3,3,363,5,141,2,769,68,8,792,199,122,0
FI_305,Kuusamo,13909,4710,29,0,6,11,22,7,414,9,83,4,369,160,19,2758,538,281,0
FI_317,Kärsämäki,2280,781,2,0,1,0,3,1,129,3,32,1,42,8,0,477,49,33,0
FI_425,Liminka,5918,2141,11,0,6,3,9,4,228,2,74,2,209,107,8,1103,265,110,0
FI_436,Lumijoki,1424,516,1,0,0,4,0,3,60,2,20,0,44,18,2,307,37,17,1
FI_483,Merijärvi,945,352,1,0,0,0,2,2,34,0,2,0,7,5,0,286,9,4,0
FI_494,Muhos,6621,2320,14,0,2,6,6,3,596,1,53,1,330,54,4,945,190,115,0
FI_535,Nivala,8285,2730,7,0,5,2,6,13,406,5,85,3,98,50,4,1708,203,135,0
FI_563,Oulainen,6267,2185,10,0,9,5,11,6,278,3,87,1,188,52,10,1150,226,149,0
FI_564,Oulu,153221,58222,273,0,204,133,597,185,6912,58,1581,49,8853,4645,429,18242,10585,5467,9
FI_578,Paltamo,3110,1048,7,0,1,2,2,0,87,1,40,1,396,10,3,418,56,24,0
FI_615,Pudasjärvi,7244,2253,16,0,5,3,10,10,265,2,29,1,268,46,6,1356,118,116,2
FI_620,Puolanka,2633,871,6,0,3,3,1,1,62,2,26,1,293,11,0,406,37,19,0
FI_625,Pyhäjoki,2804,1010,4,0,5,1,3,7,103,0,35,1,160,39,4,545,66,37,0
FI_626,Pyhäjärvi,4941,1585,14,0,2,7,5,8,228,5,76,3,163,30,5,802,124,113,0
FI_630,Pyhäntä,1183,422,4,0,0,1,0,2,55,0,8,0,23,3,0,274,37,15,0
FI_678,Raahe,20101,6767,44,0,21,13,17,33,889,9,292,7,1619,177,18,2432,617,578,1
FI_691,Reisjärvi,2400,810,1,0,1,3,1,4,105,3,27,0,43,6,2,544,45,25,0
FI_697,Ristijärvi,1273,443,3,0,0,2,1,0,45,1,13,0,117,6,0,202,39,14,0
FI_746,Sievi,3777,1248,2,0,1,2,2,4,180,0,42,0,69,15,5,823,61,41,1
FI_748,Siikajoki,4318,1577,8,0,4,6,5,6,221,8,22,1,156,24,5,894,139,78,0
FI_791,Siikalatva,4921,1605,15,0,6,7,6,3,198,0,39,0,128,28,2,1025,61,86,1
FI_765,Sotkamo,8733,2807,19,0,4,6,5,4,319,4,126,2,942,75,13,911,299,76,2
FI_777,Suomussalmi,7768,2694,13,0,3,5,8,3,236,1,59,1,1360,19,5,790,140,51,0
FI_832,Taivalkoski,3661,1342,14,0,3,4,3,3,170,0,17,1,86,13,3,790,49,186,0
FI_859,Tyrnävä,4273,1580,9,0,2,3,2,6,206,1,32,0,170,45,2,932,119,51,0
FI_889,Utajärvi,2493,887,5,0,1,0,2,4,193,1,11,1,109,12,0,444,55,49,0
FI_785,Vaala,2783,941,8,0,3,6,1,1,132,1,26,0,171,17,3,453,70,49,0
FI_977,Ylivieska,11419,3494,15,0,14,8,15,15,460,4,162,1,224,124,6,1698,432,313,3
FI_047,Enontekiö,1872,605,5,0,4,1,2,8,71,0,63,0,32,40,74,231,53,21,0
FI_148,Inari,6147,2099,27,0,3,9,4,6,235,1,57,2,280,219,63,717,313,163,0
FI_240,Kemi,19758,6150,70,0,27,44,26,37,765,8,164,6,1437,249,38,1878,613,787,1
FI_320,Kemijärvi,7841,2627,16,0,12,4,7,7,312,4,158,5,325,54,4,1050,415,254,0
FI_241,Keminmaa,6948,2601,22,0,9,4,5,35,273,6,72,4,313,61,14,1444,193,146,0
FI_261,Kittilä,5565,1974,23,0,5,16,13,7,176,3,79,2,445,69,23,826,208,79,0
FI_273,Kolari,3815,1339,19,0,2,14,6,5,79,0,28,0,382,58,4,572,83,85,2
FI_498,Muonio,2100,673,5,0,1,2,3,2,50,3,52,0,58,30,6,325,94,42,0
FI_583,Pelkosenniemi,1086,350,2,0,3,3,4,0,41,1,14,0,50,21,2,147,37,25,0
FI_854,Pello,3895,1498,11,0,4,9,5,4,126,3,37,4,241,21,4,787,138,104,0
FI_614,Posio,3541,1158,9,0,1,1,3,5,111,2,26,2,90,13,3,776,73,43,0
FI_683,Ranua,3476,1101,9,0,4,2,6,2,94,3,25,1,41,16,7,767,80,44,0
FI_698,Rovaniemi,51052,17433,127,0,65,53,163,62,1877,28,618,9,1918,1109,122,6710,2888,1680,4
FI_732,Salla,4242,1251,12,0,5,4,3,0,168,2,34,1,232,12,4,612,91,71,0
FI_742,Savukoski,1004,411,4,0,4,1,1,2,52,0,19,0,35,19,2,213,42,17,0
FI_751,Simo,2773,1044,12,0,2,3,0,6,173,1,11,0,146,6,0,576,57,51,0
FI_758,Sodankylä,7933,2733,22,0,10,4,10,4,279,5,89,2,324,157,32,1300,318,177,0
FI_845,Tervola,3099,1103,16,0,1,4,11,0,113,3,16,0,164,9,4,670,43,49,0
FI_851,Tornio,19768,6128,44,0,25,24,37,18,668,10,140,5,758,199,29,3052,590,529,0
FI_890,Utsjoki,1262,501,2,0,3,1,5,1,48,1,20,1,29,44,49,198,79,20,0
FI_976,Ylitornio,4864,1636,10,0,1,2,1,2,142,3,24,2,344,23,5,901,102,74,0
