gisco_id,name,registered,turnout,invalid,blank,M11,SKP,PP,KaL,PS,KA,KD,SR,Vas,VIHR,SFP,Kesk.,Kok,SDP,Ilmarinen
FI_035,Brändö,486,206,1,0,0,0,0,0,5,0,2,0,2,5,167,6,8,10,0
FI_043,Eckerö,900,420,8,0,2,0,1,1,0,1,0,1,5,2,377,0,4,17,1
FI_060,Finström,2206,1026,22,0,1,1,3,1,3,0,4,1,8,13,932,5,10,22,0
FI_062,Föglö,551,233,5,0,0,0,0,0,2,0,0,0,1,0,218,0,4,3,0
FI_065,Geta,452,199,7,0,0,1,0,0,0,0,3,2,0,1,180,1,2,2,0
FI_076,Hammarland,1343,628,9,0,1,1,2,0,2,0,2,0,4,1,589,1,1,15,0
FI_170,Jomala,3669,1828,23,0,1,1,5,2,11,0,14,0,11,23,1654,15,28,40,0
FI_295,Kumlinge,387,146,3,0,0,0,0,0,0,0,0,0,2,3,129,0,4,5,0
FI_318,Kökar,285,125,1,0,0,0,1,0,2,0,1,0,1,3,104,4,1,7,0
FI_417,Lemland,1651,810,8,0,2,0,1,2,5,0,7,2,6,17,736,3,6,15,0
FI_438,Lumparland,367,208,1,0,1,0,0,1,0,0,2,0,0,3,192,2,4,2,0
FI_478,Mariehamn,10919,4996,68,0,5,7,28,7,26,2,28,2,76,123,4343,37,101,143,0
FI_736,Saltvik,1670,751,14,0,1,1,2,0,4,0,3,0,5,19,680,7,4,11,0
FI_766,Sottunga,114,57,0,0,0,0,0,0,0,0,0,0,1,1,55,0,0,0,0
FI_771,Sund,1001,464,8,0,1,1,1,2,4,0,4,0,4,6,420,2,4,5,2
FI_941,Vårdö,390,213,5,0,0,0,2,1,3,0,0,0,1,1,196,1,3,0,0
FI_016,Asikkala,6954,2787,20,0,18,13,7,16,486,4,283,0,138,116,8,739,669,269,1
FI_061,Forssa,14686,5498,73,0,23,26,21,12,691,17,282,3,907,241,33,1075,1192,900,2
FI_081,Hartola,2662,898,7,0,5,7,2,1,141,0,77,1,42,30,1,293,186,105,0
FI_082,Hattula,7658,2848,23,0,6,8,7,3,439,0,146,1,128,130,18,517,943,477,2
FI_086,Hausjärvi,6822,2413,20,0,9,15,14,3,412,3,207,5,137,144,21,526,548,347,2
FI_111,Heinola,16976,5868,44,0,17,110,20,34,937,14,519,4,381,295,43,1020,1526,903,1
FI_098,Hollola,17131,6635,41,0,18,14,25,27,1408,16,586,5,337,335,49,1185,1814,772,3
FI_103,Humppila,1989,773,4,0,4,4,5,1,102,1,26,0,78,36,2,271,124,113,2
FI_283,Hämeenkoski,1705,635,7,0,4,2,2,1,113,2,42,0,35,14,1,168,174,70,0
FI_109,Hämeenlinna,55154,21213,118,0,41,56,109,55,2606,32,1313,12,1283,1278,140,2986,7298,3879,7
FI_165,Janakkala,13180,4664,34,0,17,17,20,15,692,8,234,3,290,253,35,984,1069,993,0
FI_169,Jokioinen,4381,1632,11,0,8,4,3,1,212,2,62,0,233,66,6,550,257,216,1
FI_316,Kärkölä,3817,1291,5,0,5,6,10,7,241,2,52,0,74,41,8,307,345,188,0
FI_398,Lahti,86623,30984,211,0,123,155,188,106,4895,70,2481,46,2452,2329,230,3543,8909,5238,8
FI_433,Loppi,6444,2335,18,0,7,8,14,5,351,8,112,3,213,118,9,663,482,324,0
FI_532,Nastola,11879,4013,39,0,23,11,9,20,824,9,303,3,221,220,23,763,883,658,4
FI_560,Orimattila,13003,4447,27,0,17,16,28,10,893,8,243,1,241,223,38,1133,979,589,1
FI_576,Padasjoki,2821,1014,9,0,9,5,6,3,182,3,81,0,49,37,9,209,269,143,0
