gisco_id,name,registered,turnout,invalid,blank,VIHR,KTP,SKP,Vas,Kok,SDP,M11,PS,SFP,PP,KD,KA,Kesk.,SSP,STP,SR,Helminen,Korhonen,Laajola,Lönnroth,Marttunen,Nikoskinen,Salminen,YS,Alliansen,ÅS,Valjakka,Kotajärvi,Simonen,Toivanen,Niskanen
FI_504,Myrskylä,1630,1054,6,0,48,0,2,29,165,132,2,285,105,4,39,5,231,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_505,Mäntsälä,14722,9804,48,0,529,9,18,455,2396,1893,28,2402,68,32,291,19,1601,0,8,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
FI_540,Nummi-Pusula,4776,3253,15,0,170,7,14,228,583,610,6,848,26,9,69,4,658,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_543,Nurmijärvi,28897,20643,94,0,1374,10,45,895,5762,3654,44,4954,152,93,567,15,2967,0,9,0,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0
FI_611,Pornainen,3488,2492,17,0,134,0,3,89,510,564,5,634,36,5,39,5,448,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
FI_638,Porvoo,38611,26412,143,0,2012,25,41,1242,4730,5043,39,4360,6610,117,575,18,1392,0,37,6,0,0,0,7,9,0,6,0,0,0,0,0,0,0,0
FI_616,Pukkila,1541,1031,7,0,43,0,1,35,152,114,0,237,3,0,13,2,422,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_710,Raasepori,24751,16255,115,0,863,8,30,541,1229,4854,17,1057,6892,62,239,9,314,0,13,8,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
FI_753,Sipoo,13959,10300,51,0,748,8,52,293,2190,1416,12,1525,3234,47,240,5,432,0,9,5,0,0,0,27,3,0,3,0,0,0,0,0,0,0,0
FI_755,Siuntio,4551,3345,8,0,340,1,4,118,833,553,4,546,718,14,58,4,142,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_858,Tuusula,27759,19979,93,0,1420,22,68,946,5681,4181,46,4491,220,88,656,20,2016,0,22,1,0,0,0,1,5,2,0,0,0,0,0,0,0,0,0
FI_092,Vantaa,151194,103574,468,0,10310,104,359,6410,26628,23327,344,23552,2444,700,3287,131,5342,0,90,17,0,0,0,16,33,5,7,0,0,0,0,0,0,0,0
FI_927,Vihti,21202,14656,67,0,921,13,28,1025,3951,2762,32,3352,160,84,436,17,1784,0,10,3,0,0,0,2,6,1,2,0,0,0,0,0,0,0,0
FI_019,Aura,2968,2072,21,0,73,0,5,187,428,314,6,550,12,6,47,0,406,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
