gisco_id,name,registered,turnout,invalid,blank,Kesk.,SDP,Kok,Vas,VIHR,KD,SFP,PS,SKP,LKP,SSP,SKS,KTP,KA,STP,IPU,Basic,Hänninen,Syväoja,Varje,IKL,YA,OY,YS,BA,S,YVP,Aaltonen,Flinkman
FI_275,Konnevesi,2532,1650,0,0,799,349,108,127,49,129,0,58,5,0,8,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_277,Korpilahti,4046,2554,0,0,1090,496,346,225,101,146,0,79,39,3,9,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_291,Kuhmoinen,2410,1493,0,0,607,343,271,52,47,84,0,33,11,3,24,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_312,Kyyjärvi,1421,901,0,0,615,101,54,16,6,75,0,22,1,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_410,Laukaa,13111,8575,0,0,3447,2007,873,713,360,696,0,297,78,8,31,0,3,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_415,Leivonmäki,961,620,0,0,255,78,57,36,21,146,0,13,6,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_435,Luhanka,750,513,0,0,268,109,75,14,7,16,0,19,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_495,Multia,1644,1132,0,0,598,223,63,93,27,92,0,13,5,1,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_500,Muurame,6487,4498,0,0,1440,1144,806,373,236,297,0,87,60,2,6,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_592,Petäjävesi,2993,1963,0,0,712,388,254,99,74,335,0,58,17,0,3,0,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_601,Pihtipudas,4029,2491,0,0,1146,520,495,134,32,88,0,47,10,1,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_633,Pylkönmäki,823,521,0,0,351,72,19,26,5,35,0,3,5,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_729,Saarijärvi,8233,5264,0,0,2662,1018,591,196,167,411,0,138,17,2,19,0,5,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_850,Toivakka,1912,1207,0,0,534,250,115,64,32,157,0,32,7,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_892,Uurainen,2411,1638,0,0,613,290,116,86,39,405,0,68,11,1,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_931,Viitasaari,6346,4081,0,0,2290,898,241,152,81,309,0,38,18,0,19,0,1,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_992,Äänekoski,16545,10368,0,0,2736,3550,813,1319,321,1100,0,282,65,7,73,0,6,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_009,Alavieska,2183,1466,0,0,1112,115,60,53,19,37,0,49,0,0,0,0,1,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_678,Raahe / Brahestad,17717,10699,0,0,3668,1365,1250,3098,330,405,0,279,14,0,0,4,5,18,3,183,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_069,Haapajärvi,6340,3657,0,0,2228,429,321,189,92,190,0,143,6,0,0,1,1,2,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_071,Haapavesi,5890,3580,0,0,2226,301,258,390,111,78,0,139,5,0,0,0,2,3,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_084,Haukipudas,13151,8243,0,0,2997,1418,1026,1746,534,196,0,198,12,0,0,5,2,15,4,32,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_105,Hyrynsalmi,2610,1475,0,0,862,103,64,330,18,36,0,48,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_139,Ii,6789,4125,0,0,1760,472,342,1126,168,48,0,118,25,0,0,3,3,8,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_205,Kajaani / Kajana,30588,18612,0,0,6763,2973,2416,4058,675,484,0,963,81,0,0,7,18,19,5,33,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_208,Kalajoki,7460,4919,0,0,2163,384,1114,357,90,228,0,511,5,0,0,0,9,6,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_072,Hailuoto / Karlö,868,599,0,0,228,69,86,149,31,13,0,7,3,0,0,1,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_244,Kempele,10520,7080,0,0,2722,1036,1236,1020,475,281,0,181,33,0,0,6,4,24,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_247,Kestilä,1302,829,0,0,575,67,25,79,16,13,0,35,6,0,0,1,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_255,Kiiminki,8358,5432,0,0,2250,683,884,819,382,142,0,184,5,0,0,5,4,12,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_290,Kuhmo,8482,4921,0,0,2757,475,315,808,94,171,0,241,8,0,0,0,6,7,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_305,Kuusamo,14136,8666,0,0,5959,652,1074,419,335,67,0,78,7,0,0,0,2,12,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_317,Kärsämäki,2465,1669,0,0,1084,64,30,71,25,29,0,341,2,0,0,0,1,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_425,Liminka / Limingo,5069,3224,0,0,1608,308,461,402,179,108,0,104,7,0,0,5,2,4,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_436,Lumijoki,1293,828,0,0,511,57,71,89,37,27,0,19,7,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_483,Merijärvi,1017,638,0,0,473,20,21,23,20,10,0,34,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_494,Muhos,6355,3887,0,0,1675,437,370,747,189,111,0,300,4,0,0,0,21,4,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_535,Nivala,8325,5250,0,0,3571,606,364,183,88,223,0,143,12,0,0,5,1,9,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_563,Oulainen,6383,4175,0,0,2638,391,456,294,112,93,0,79,6,0,0,3,1,2,1,81,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_567,Oulunsalo,6223,4412,0,0,1859,444,746,694,378,115,0,118,6,0,0,2,3,16,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_578,Paltamo,3438,2107,0,0,997,269,130,426,48,83,0,117,11,0,0,3,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_603,Piippola,1064,614,0,0,358,88,25,46,29,12,0,40,3,0,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_615,Pudasjärvi,7671,4537,0,0,3108,477,169,466,147,50,0,78,7,0,0,1,2,4,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_617,Pulkkila,1362,884,0,0,595,60,39,116,17,13,0,30,1,0,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_620,Puolanka,2920,1671,0,0,880,78,98,445,28,51,0,68,4,0,0,4,1,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_625,Pyhäjoki,2827,1864,0,0,955,112,111,294,44,60,0,14,2,0,0,0,1,2,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_626,Pyhäjärvi,5302,3084,0,0,1668,433,179,396,80,114,0,154,12,0,0,3,0,11,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_630,Pyhäntä,1297,779,0,0,514,56,52,63,22,10,0,47,2,0,0,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_682,Rantsila,1622,1003,0,0,694,67,41,95,32,20,0,36,5,0,0,2,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_691,Reisjärvi,2435,1585,0,0,987,102,282,103,21,31,0,36,4,0,0,1,2,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_697,Ristijärvi,1406,949,0,0,525,50,67,168,23,40,0,54,4,0,0,0,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_746,Sievi,3778,2391,0,0,1574,179,184,217,44,74,0,82,12,0,0,2,3,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_748,Siikajoki,4444,2815,0,0,1569,180,323,437,69,55,0,123,3,0,0,0,1,5,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_765,Sotkamo,8701,5601,0,0,2912,346,443,1385,105,177,0,170,2,0,0,1,1,11,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0
