gisco_id,name,registered,turnout,invalid,blank,SKE,Kesk.,FP,Kok,KD,SDP,LPVV,PP,SKP,Korj,PS,Vas,EjOP,STL,VIHR,SFP,Lokka
FI_905,Vaasa / Vasa,56902,23493,75,0,30,1167,41,2680,1115,6183,39,111,51,40,3377,806,31,105,1850,5745,47
FI_924,Veteli / Vetil,2674,916,6,0,2,430,0,49,99,62,2,1,1,2,198,10,0,11,27,13,3
FI_934,Vimpeli,2515,856,4,0,0,317,1,67,93,107,0,3,4,5,154,48,2,18,31,2,0
FI_946,Vöyri / Vörå,5799,2680,14,0,1,46,0,29,73,125,0,3,6,1,69,23,2,8,44,2234,2
FI_989,Ähtäri / Etseri,4921,1556,6,0,1,512,0,258,125,278,2,9,5,2,200,46,0,18,81,11,2
FI_077,Hankasalmi,4192,1554,6,0,1,541,3,171,85,206,1,4,5,4,297,105,2,19,93,8,3
FI_172,Joutsa,3883,1538,3,0,3,478,1,308,85,210,1,11,3,3,282,34,0,12,92,7,5
FI_179,Jyväskylä,115954,48586,127,0,72,7405,167,9851,2986,6789,112,590,174,166,5937,3747,54,265,9453,571,120
FI_182,Jämsä,17495,6246,19,0,7,1291,5,1023,369,1272,9,12,22,21,1163,366,7,62,541,44,13
FI_216,Kannonkoski,1203,455,4,0,0,182,0,49,11,63,1,0,0,1,106,12,0,5,18,3,0
FI_226,Karstula,3645,1209,6,0,3,526,1,137,114,126,0,2,1,3,203,17,0,16,51,3,0
FI_249,Keuruu,8311,3045,12,0,8,795,5,466,258,529,4,6,9,15,475,152,3,22,263,19,4
FI_256,Kinnula,1483,607,2,0,0,394,0,47,5,52,0,1,1,1,78,12,0,3,10,1,0
FI_265,Kivijärvi,1029,369,1,0,0,195,0,31,14,42,0,2,1,1,68,5,0,3,5,1,0
FI_275,Konnevesi,2281,885,3,0,0,321,3,93,66,108,3,5,3,1,168,58,1,9,37,3,3
FI_291,Kuhmoinen,2068,767,0,0,1,184,0,160,71,113,0,1,1,1,136,28,0,4,61,6,0
FI_312,Kyyjärvi,1185,431,0,0,0,239,1,24,43,32,0,0,1,3,64,9,0,3,11,0,1
FI_410,Laukaa,14053,5268,38,0,12,1308,1,849,431,756,5,25,10,19,924,296,5,65,475,37,12
FI_435,Luhanka,640,315,2,0,0,109,0,76,14,33,1,1,1,0,58,3,1,2,13,1,0
FI_495,Multia,1363,536,0,0,2,190,1,56,42,74,1,1,0,2,81,28,1,3,48,5,1
FI_500,Muurame,7611,3345,11,0,1,712,5,705,235,487,7,13,7,11,479,171,2,25,434,31,9
FI_592,Petäjävesi,3034,1179,4,0,1,313,1,173,91,147,3,3,2,3,248,49,1,11,120,5,4
FI_601,Pihtipudas,3501,1175,4,0,1,543,1,74,39,176,1,3,4,6,207,50,0,8,50,6,2
FI_729,Saarijärvi,8104,2810,7,0,2,1025,3,369,249,385,1,11,7,5,441,93,2,15,182,7,6
FI_850,Toivakka,1901,824,1,0,0,257,2,109,103,105,0,2,3,2,160,25,2,0,52,1,0
FI_892,Uurainen,2676,999,2,0,1,337,2,112,86,107,1,3,1,1,233,36,1,18,49,7,2
FI_931,Viitasaari,5593,2013,8,0,4,601,3,229,149,374,1,4,2,4,391,74,4,9,136,16,4
FI_992,Äänekoski,15715,5172,21,0,5,1040,6,561,376,1066,4,14,15,15,921,530,2,46,506,33,11
FI_009,Alavieska,2057,769,0,0,1,390,1,24,36,34,1,4,1,1,147,28,0,13,83,4,1
FI_069,Haapajärvi,6032,1910,8,0,5,998,1,117,85,188,0,2,7,5,292,69,1,20,103,8,1
FI_071,Haapavesi,5413,1803,4,0,2,898,1,104,67,102,1,8,10,7,326,118,3,37,105,8,2
FI_072,Hailuoto / Karlö,837,380,0,0,0,152,2,57,7,36,0,1,0,0,54,36,0,7,24,4,0
FI_105,Hyrynsalmi,2187,591,2,0,2,256,0,22,30,47,2,0,2,1,118,55,0,14,34,4,2
FI_139,Ii,7477,2588,6,0,4,1131,2,152,47,204,1,9,10,4,379,375,2,97,148,9,8
FI_205,Kajaani / Kajana,30303,10574,36,0,11,2803,14,966,419,1172,12,59,78,20,2060,1232,10,112,1496,47,27
FI_208,Kalajoki,10071,3968,12,0,1,1632,1,308,217,241,3,13,3,11,560,210,0,50,672,23,11
FI_244,Kempele,13049,4899,13,0,8,1747,5,731,193,459,4,11,12,7,761,359,1,96,440,34,18
FI_290,Kuhmo,7357,2261,7,0,2,796,1,168,172,241,0,5,14,7,446,208,4,32,148,7,3
FI_305,Kuusamo,13472,4168,12,0,5,1988,1,641,83,311,0,6,11,7,503,190,0,86,296,20,8
FI_317,Kärsämäki,2178,805,2,0,0,436,2,44,30,52,0,4,4,1,158,31,1,14,22,3,1
FI_425,Liminka / Limingo,6342,2392,10,0,2,1058,5,250,67,143,3,3,5,6,360,145,2,74,243,6,10
FI_436,Lumijoki,1387,547,0,0,0,285,0,39,29,22,2,1,2,0,66,37,0,25,34,2,3
FI_483,Merijärvi,901,342,1,0,1,216,2,11,16,9,0,0,1,1,41,12,1,10,20,0,0
FI_494,Muhos,6647,2196,9,0,3,848,0,198,52,181,4,5,4,8,403,247,2,66,143,13,10
FI_535,Nivala,8148,2917,1,0,4,1556,5,157,93,193,1,6,6,4,589,68,0,57,159,12,6
FI_563,Oulainen,6115,2159,6,0,0,862,6,147,279,179,1,9,6,2,325,115,1,42,173,4,2
FI_564,Oulu / Uleåborg,162261,63256,178,0,63,16104,174,10472,1753,6080,169,599,129,120,8992,6558,80,1180,9521,717,367
FI_578,Paltamo,2925,973,7,0,4,374,1,43,41,70,1,3,8,2,184,142,1,16,71,2,3
FI_615,Pudasjärvi,6855,2000,10,0,5,1031,1,108,39,129,0,4,7,2,366,143,0,52,97,4,2
FI_620,Puolanka,2419,711,5,0,8,323,1,24,28,44,0,0,5,1,132,87,0,11,39,3,0
FI_625,Pyhäjoki,2616,1008,6,0,4,450,1,51,34,63,0,3,6,2,167,68,0,25,122,3,3
FI_626,Pyhäjärvi,4566,1414,2,0,0,614,1,80,79,148,4,6,3,2,241,139,1,32,50,9,3
FI_630,Pyhäntä,1172,488,3,0,0,275,0,33,12,29,1,1,1,2,84,15,0,12,20,0,0
FI_678,Raahe / Brahestad,19637,6651,19,0,11,2153,9,503,328,749,4,11,20,10,1233,843,7,186,521,17,27
FI_691,Reisjärvi,2276,758,3,0,1,441,1,36,22,38,0,2,1,1,139,28,0,21,20,4,0
FI_697,Ristijärvi,1146,417,1,0,1,180,0,29,16,28,0,0,4,0,83,31,0,5,37,2,0
FI_746,Sievi,3658,1308,3,0,0,717,2,63,42,39,0,4,3,1,266,69,0,41,52,4,2
FI_748,Siikajoki,4113,1546,5,0,1,781,0,114,42,93,1,4,4,5,245,122,0,60,58,6,5
FI_791,Siikalatva,4530,1544,9,0,2,853,1,70,35,112,0,4,8,0,221,88,1,66,68,3,3
FI_765,Sotkamo,8569,2797,11,0,1,971,3,271,134,201,1,11,69,5,551,280,0,33,246,8,1
FI_777,Suomussalmi,7238,2105,14,0,7,747,0,159,79,115,1,3,18,1,392,380,2,29,147,7,4
FI_832,Taivalkoski,3528,1208,5,0,0,587,0,55,27,175,0,5,4,4,187,69,0,35,49,4,2
FI_859,Tyrnävä,4361,1656,9,0,3,815,2,115,30,89,1,4,2,5,296,93,3,61,101,7,20
FI_889,Utajärvi,2316,735,3,0,1,345,0,34,13,66,0,1,1,1,143,78,0,20,24,3,2
FI_785,Vaala,2533,852,6,0,2,345,1,72,33,71,0,3,4,3,133,103,2,38,32,3,1
FI_977,Ylivieska,11691,3995,9,0,6,1514,5,394,192,392,5,13,8,10,633,149,1,81,553,18,12
FI_047,Enontekiö / Enontekis,1854,630,5,0,2,155,1,77,42,137,3,2,1,5,97,29,0,19,47,5,3
FI_148,Inari / Enare,6240,2275,15,0,4,365,8,273,77,747,1,7,6,5,310,177,1,58,211,7,3
FI_240,Kemi,18822,6056,41,0,10,702,7,687,138,1239,7,27,71,11,1076,1278,10,315,353,55,29
FI_320,Kemijärvi,7366,2303,10,0,0,1120,0,171,92,307,2,4,9,3,260,180,6,46,89,4,0
FI_241,Keminmaa,6775,2417,10,0,5,586,7,306,86,279,3,10,7,10,494,248,5,235,101,17,8
FI_261,Kittilä,5578,1797,6,0,3,486,4,202,61,244,3,5,11,5,230,269,4,81,164,16,3
FI_273,Kolari,3708,1185,11,0,5,354,4,97,29,151,4,2,7,4,98,217,0,50,144,3,5
FI_498,Muonio,2087,662,5,0,1,181,1,104,44,100,0,5,2,0,75,54,1,17,64,6,2
FI_583,Pelkosenniemi,1060,340,2,0,2,129,0,35,4,32,2,1,1,1,42,36,0,9,41,2,1
FI_854,Pello,3667,1272,7,0,2,432,4,119,39,188,1,6,10,2,139,195,0,66,58,4,0
FI_614,Posio,3235,1063,5,0,3,586,2,59,31,96,0,3,4,2,117,64,1,42,45,2,1
FI_683,Ranua,3314,958,3,0,3,570,2,71,20,82,1,4,2,1,110,34,2,28,23,2,0
FI_698,Rovaniemi,52849,18661,85,0,40,4058,51,2828,643,3193,32,126,78,41,2789,1322,17,684,2405,213,56
FI_732,Salla,3875,1005,4,0,1,449,0,60,28,100,0,0,4,0,151,142,1,19,38,5,3
FI_742,Savukoski,923,396,2,0,2,190,0,23,5,32,0,0,1,0,70,25,1,15,21,2,7
FI_751,Simo,2606,948,7,0,3,317,1,86,19,97,1,4,4,1,185,120,1,67,29,2,4
FI_758,Sodankylä,7660,2442,19,0,6,802,4,374,65,328,1,9,9,12,345,202,2,87,160,13,4
FI_845,Tervola,2900,883,4,0,2,343,2,38,16,75,1,4,2,1,146,128,0,95,22,3,1
FI_851,Tornio / Torneå,19613,6086,31,0,10,1733,11,853,152,811,6,29,24,11,1086,521,3,366,378,40,21
FI_890,Utsjoki,1234,507,2,0,2,93,1,69,26,149,1,4,2,4,62,23,0,19,37,13,0
FI_976,Ylitornio / Övertorneå,4574,1272,3,0,0,468,2,113,38,149,3,3,7,2,156,166,1,113,43,4,1
